Orthogroup	Pran	Praj
OG0000000	Pran.g_00582	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Pran.g_01423, Pran.g_00931, Pran.g_00601	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Pran.g_00579, Pran.g_00001, Pran.g_00602	Praj.g_00087
OG0000000	Pran.g_00593	Praj.g_01267
OG0000001	Pran.g_01395	Praj.g_01112
OG0000002	Pran.g_01500	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Pran.g_01483	Praj.g_01396
OG0000004	Pran.g_00200	Praj.g_00271
OG0000005	Pran.g_00983	Praj.g_01349
OG0000005	Pran.g_00657	Praj.g_01712
OG0000006	Pran.g_01951	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Pran.g_01681	Praj.g_00489
OG0000007	Pran.g_00970	Praj.g_01768
OG0000010	Pran.g_01704	Praj.g_01026, Praj.g_00466
OG0000011	Pran.g_00925	Praj.g_01187
OG0000011	Pran.g_01384	Praj.g_01158
OG0000012	Pran.g_01555	Praj.g_01066
OG0000013	Pran.g_01867	Praj.g_00362
OG0000014	Pran.g_01888	Praj.g_00341
OG0000014	Pran.g_00755, Pran.g_00754	Praj.g_01609
OG0000015	Pran.g_01394	Praj.g_01113
OG0000016	Pran.g_00620	Praj.g_01865
OG0000017	Pran.g_01580	Praj.g_00592
OG0000018	Pran.g_00078	Praj.g_01482
OG0000018	Pran.g_01316	Praj.g_00798
OG0000019	Pran.g_01363	Praj.g_00747
OG0000020	Pran.g_00117	Praj.g_01025
OG0000020	Pran.g_01804	Praj.g_01139
OG0000021	Pran.g_01829	Praj.g_01859
OG0000022	Pran.g_01401	Praj.g_01189
OG0000022	Pran.g_00097	Praj.g_01216
OG0000023	Pran.g_01834	Praj.g_01365, Praj.g_01329
OG0000024	Pran.g_01420	Praj.g_01134
OG0000024	Pran.g_01503	Praj.g_00666
OG0000025	Pran.g_01309, Pran.g_01863	Praj.g_00805
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Praj.g_00031
OG0000027	Pran.g_00583	Praj.g_01331
OG0000029	Pran.g_01410	Praj.g_01745
OG0000030	Pran.g_01170	Praj.g_02024
OG0000031	Pran.g_00753	Praj.g_00371
OG0000033	Pran.g_00263	Praj.g_00209
OG0000034	Pran.g_00866	Praj.g_01538
OG0000035	Pran.g_00733	Praj.g_01632
OG0000037	Pran.g_00324	Praj.g_00147
OG0000038	Pran.g_01210	Praj.g_02089
OG0000039	Pran.g_01492	Praj.g_00679
OG0000040	Pran.g_00923	Praj.g_01735
OG0000041	Pran.g_01016	Praj.g_01813
OG0000042	Pran.g_01167	Praj.g_02020
OG0000043	Pran.g_00179	Praj.g_00864
OG0000045	Pran.g_01823	Praj.g_01049
OG0000047	Pran.g_01864	Praj.g_00370
OG0000048	Pran.g_01772, Pran.g_01820	Praj.g_00308
OG0000050	Pran.g_01789, Pran.g_00936, Pran.g_00946	Praj.g_01398
OG0000050	Pran.g_00149	Praj.g_00099
OG0000051	Pran.g_00944	Praj.g_01347
OG0000053	Pran.g_00713	Praj.g_01651
OG0000054	Pran.g_01572	Praj.g_00594
OG0000055	Pran.g_01362	Praj.g_00733
OG0000057	Pran.g_01480	Praj.g_00691, Praj.g_01313
OG0000058	Pran.g_00807	Praj.g_00839
OG0000059	Pran.g_01056	Praj.g_01892
OG0000060	Pran.g_01399	Praj.g_01108
OG0000061	Pran.g_00060	Praj.g_01461
OG0000062	Pran.g_00655	Praj.g_01714
OG0000063	Pran.g_00391	Praj.g_01867
OG0000065	Pran.g_00326	Praj.g_00145
OG0000066	Pran.g_01639	Praj.g_00530
OG0000067	Pran.g_01343	Praj.g_00769
OG0000068	Pran.g_00841	Praj.g_01575
OG0000069	Pran.g_00614	Praj.g_01276, Praj.g_01675
OG0000070	Pran.g_01727	Praj.g_00444
OG0000071	Pran.g_00938, Pran.g_00876	Praj.g_01528
OG0000072	Pran.g_00261	Praj.g_00211
OG0000073	Pran.g_01679	Praj.g_00491
OG0000074	Pran.g_01496	Praj.g_00674
OG0000075	Pran.g_01137	Praj.g_01987
OG0000076	Pran.g_01160	Praj.g_02012
OG0000077	Pran.g_00354	Praj.g_00116
OG0000078	Pran.g_00194	Praj.g_00280
OG0000079	Pran.g_01940	Praj.g_00291
OG0000081	Pran.g_01647	Praj.g_00522
OG0000082	Pran.g_01593	Praj.g_01827
OG0000083	Pran.g_01436, Pran.g_00895, Pran.g_00576	Praj.g_01121, Praj.g_00411
OG0000084	Pran.g_00737	Praj.g_01628
OG0000085	Pran.g_00963	Praj.g_01762
OG0000086	Pran.g_00344	Praj.g_00126
OG0000087	Pran.g_00295	Praj.g_00179
OG0000088	Pran.g_00266	Praj.g_00206
OG0000089	Pran.g_01839	Praj.g_00403
OG0000090	Pran.g_01645	Praj.g_00524
OG0000091	Pran.g_01536	Praj.g_00630
OG0000092	Pran.g_00434	Praj.g_00892
OG0000093	Pran.g_00455	Praj.g_00754
OG0000094	Pran.g_00549	Praj.g_00846
OG0000095	Pran.g_00903, Pran.g_00568	Praj.g_01024
OG0000096	Pran.g_00603, Pran.g_00114	Praj.g_01249
OG0000097	Pran.g_00019	Praj.g_01416
OG0000098	Pran.g_00855	Praj.g_01546
OG0000099	Pran.g_00806	Praj.g_00372
OG0000100	Pran.g_00659	Praj.g_01709
OG0000101	Pran.g_01105	Praj.g_01952
OG0000102	Pran.g_01165	Praj.g_02017
OG0000103	Pran.g_01244	Praj.g_02135
OG0000104	Pran.g_01253	Praj.g_02145
OG0000105	Pran.g_01920	Praj.g_00310
OG0000106	Pran.g_01824	Praj.g_01156, Praj.g_01282
OG0000107	Pran.g_01808	Praj.g_01869
OG0000108	Pran.g_01698	Praj.g_00473
OG0000109	Pran.g_01684	Praj.g_00486
OG0000110	Pran.g_01603	Praj.g_00565
OG0000111	Pran.g_01479	Praj.g_00692
OG0000112	Pran.g_01378	Praj.g_00938
OG0000113	Pran.g_01321	Praj.g_00793, Praj.g_01176
OG0000114	Pran.g_00429	Praj.g_00887
OG0000115	Pran.g_00123	Praj.g_01725
OG0000116	Pran.g_00070	Praj.g_01471
OG0000117	Pran.g_01466	Praj.g_01355
OG0000118	Pran.g_00864	Praj.g_01540
OG0000119	Pran.g_00845	Praj.g_01568
OG0000120	Pran.g_00752	Praj.g_00664
OG0000121	Pran.g_00731	Praj.g_01634
OG0000122	Pran.g_00693	Praj.g_01673
OG0000123	Pran.g_01112	Praj.g_01959
OG0000124	Pran.g_01176	Praj.g_02031
OG0000125	Pran.g_01212	Praj.g_02091
OG0000126	Pran.g_01252	Praj.g_02144
OG0000128	Pran.g_01268	Praj.g_00011
OG0000129	Pran.g_00381	Praj.g_00048
OG0000130	Pran.g_00363	Praj.g_00107
OG0000131	Pran.g_00288	Praj.g_00185
OG0000132	Pran.g_00268	Praj.g_00204
OG0000133	Pran.g_01872	Praj.g_00357
OG0000134	Pran.g_01838	Praj.g_00405
OG0000135	Pran.g_01812	Praj.g_01279
OG0000136	Pran.g_01739	Praj.g_00435
OG0000137	Pran.g_01703	Praj.g_00467
OG0000138	Pran.g_01683	Praj.g_00487
OG0000139	Pran.g_01641	Praj.g_00528
OG0000140	Pran.g_01640	Praj.g_00529
OG0000141	Pran.g_01571	Praj.g_00595
OG0000142	Pran.g_01543	Praj.g_00623
OG0000143	Pran.g_01539	Praj.g_00627
OG0000144	Pran.g_01526	Praj.g_00640
OG0000145	Pran.g_01400	Praj.g_01054
OG0000146	Pran.g_01377	Praj.g_00937
OG0000147	Pran.g_01376	Praj.g_00936
OG0000148	Pran.g_01327	Praj.g_00787
OG0000149	Pran.g_01297	Praj.g_00819
OG0000150	Pran.g_01289	Praj.g_00828
OG0000151	Pran.g_00439	Praj.g_00898
OG0000152	Pran.g_00487	Praj.g_01601, Praj.g_00946
OG0000153	Pran.g_00506	Praj.g_00965
OG0000154	Pran.g_00542	Praj.g_00995
OG0000155	Pran.g_00040	Praj.g_01440
OG0000156	Pran.g_00887	Praj.g_01517
OG0000157	Pran.g_00886	Praj.g_01518
OG0000158	Pran.g_00822	Praj.g_01995
OG0000159	Pran.g_00808	Praj.g_02043, Praj.g_02035
OG0000160	Pran.g_00732	Praj.g_01633
OG0000161	Pran.g_00726	Praj.g_01639
OG0000162	Pran.g_00720	Praj.g_01645
OG0000163	Pran.g_00686	Praj.g_01681
OG0000164	Pran.g_00994	Praj.g_01790
OG0000165	Pran.g_01001	Praj.g_01798
OG0000166	Pran.g_01069, Pran.g_01068	Praj.g_01915
OG0000167	Pran.g_01135	Praj.g_01985
OG0000168	Pran.g_01144	Praj.g_01996
OG0000169	Pran.g_01154	Praj.g_02006
