Orthogroup	Pran	Pral
OG0000000	Pran.g_00582	Pral.g_01331
OG0000000	Pran.g_01423, Pran.g_00931, Pran.g_00601	Pral.g_00037
OG0000001	Pran.g_01395	Pral.g_01296
OG0000002	Pran.g_01500	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Pran.g_01483	Pral.g_01743
OG0000004	Pran.g_00200	Pral.g_00809
OG0000005	Pran.g_00657	Pral.g_01075
OG0000006	Pran.g_01951	Pral.g_00797
OG0000007	Pran.g_01681	Pral.g_00593
OG0000007	Pran.g_00970	Pral.g_00107
OG0000009	Pran.g_00615	Pral.g_01065, Pral.g_01163
OG0000010	Pran.g_01704	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000011	Pran.g_01384	Pral.g_00064
OG0000012	Pran.g_01555	Pral.g_00015
OG0000013	Pran.g_01867	Pral.g_00712
OG0000014	Pran.g_01888	Pral.g_00732
OG0000014	Pran.g_00755, Pran.g_00754	Pral.g_00637, Pral.g_01261
OG0000015	Pran.g_01394	Pral.g_01813
OG0000017	Pran.g_01580	Pral.g_00491
OG0000018	Pran.g_00078	Pral.g_01346
OG0000018	Pran.g_01316	Pral.g_01516
OG0000019	Pran.g_01943	Pral.g_00790
OG0000019	Pran.g_01363	Pral.g_01344
OG0000020	Pran.g_00117	Pral.g_01038
OG0000020	Pran.g_01804	Pral.g_01891
OG0000021	Pran.g_01829	Pral.g_01667
OG0000022	Pran.g_01401	Pral.g_00044
OG0000023	Pran.g_01834	Pral.g_01687
OG0000024	Pran.g_01420	Pral.g_01895
OG0000025	Pran.g_01309, Pran.g_01863	Pral.g_01523
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Pral.g_01012
OG0000027	Pran.g_00583	Pral.g_01036
OG0000028	Pran.g_01874	Pral.g_00719
OG0000029	Pran.g_01410	Pral.g_01890
OG0000030	Pran.g_01170	Pral.g_00316
OG0000031	Pran.g_00753	Pral.g_01193
OG0000033	Pran.g_00263	Pral.g_00874
OG0000034	Pran.g_00866	Pral.g_01271
OG0000035	Pran.g_00733	Pral.g_01161
OG0000037	Pran.g_00324	Pral.g_00938
OG0000038	Pran.g_01210	Pral.g_00356
OG0000039	Pran.g_01492	Pral.g_01755
OG0000041	Pran.g_01016	Pral.g_00155
OG0000042	Pran.g_01167	Pral.g_00313
OG0000043	Pran.g_00179	Pral.g_01347
OG0000044	Pran.g_00949	Pral.g_01888
OG0000045	Pran.g_01823	Pral.g_01322
OG0000048	Pran.g_01772, Pran.g_01820	Pral.g_00768
OG0000050	Pran.g_01789, Pran.g_00936, Pran.g_00946	Pral.g_01829
OG0000051	Pran.g_00944	Pral.g_00095
OG0000053	Pran.g_00713	Pral.g_00066, Pral.g_01139
OG0000054	Pran.g_01572	Pral.g_00482
OG0000055	Pran.g_01362	Pral.g_01670
OG0000057	Pran.g_01480	Pral.g_01740
OG0000058	Pran.g_00807	Pral.g_01202
OG0000059	Pran.g_01056	Pral.g_00195
OG0000061	Pran.g_00060	Pral.g_01367, Pral.g_00639
OG0000062	Pran.g_00655	Pral.g_01073
OG0000065	Pran.g_00326	Pral.g_00940
OG0000066	Pran.g_01639	Pral.g_00551
OG0000067	Pran.g_01343	Pral.g_01488
OG0000068	Pran.g_00841	Pral.g_01222
OG0000069	Pran.g_00614	Pral.g_01114, Pral.g_01164
OG0000070	Pran.g_01727	Pral.g_00643
OG0000071	Pran.g_00938, Pran.g_00876	Pral.g_01281
OG0000072	Pran.g_00261	Pral.g_00872
OG0000073	Pran.g_01679	Pral.g_00591
OG0000074	Pran.g_01496	Pral.g_01760
OG0000075	Pran.g_01137	Pral.g_00279
OG0000076	Pran.g_01160	Pral.g_00305
OG0000077	Pran.g_00354	Pral.g_00969
OG0000078	Pran.g_00194	Pral.g_00800
OG0000079	Pran.g_01940	Pral.g_00787
OG0000081	Pran.g_01647	Pral.g_00559
OG0000082	Pran.g_01593	Pral.g_00057
OG0000083	Pran.g_01436, Pran.g_00895, Pran.g_00576	Pral.g_01898
OG0000084	Pran.g_00737	Pral.g_01169
OG0000085	Pran.g_00963	Pral.g_00099
OG0000086	Pran.g_00344	Pral.g_00959
OG0000087	Pran.g_00295	Pral.g_00906
OG0000088	Pran.g_00266	Pral.g_00878
OG0000089	Pran.g_01839	Pral.g_00676
OG0000090	Pran.g_01645	Pral.g_00557
OG0000091	Pran.g_01536	Pral.g_01443
OG0000092	Pran.g_00434	Pral.g_01794
OG0000093	Pran.g_00455	Pral.g_01472
OG0000094	Pran.g_00549	Pral.g_01604
OG0000095	Pran.g_00903, Pran.g_00568	Pral.g_01561
OG0000096	Pran.g_00603, Pran.g_00114	Pral.g_00444
OG0000097	Pran.g_00019	Pral.g_01416
OG0000098	Pran.g_00855	Pral.g_01239
OG0000099	Pran.g_00806	Pral.g_01201
OG0000100	Pran.g_00659	Pral.g_01078
OG0000101	Pran.g_01105	Pral.g_00243
OG0000102	Pran.g_01165	Pral.g_00310
OG0000103	Pran.g_01244	Pral.g_00397
OG0000104	Pran.g_01253	Pral.g_00406
OG0000105	Pran.g_01920	Pral.g_00765
OG0000106	Pran.g_01824	Pral.g_01859
OG0000107	Pran.g_01808	Pral.g_00171
OG0000108	Pran.g_01698	Pral.g_00611
OG0000109	Pran.g_01684	Pral.g_00596
OG0000110	Pran.g_01603	Pral.g_00513
OG0000111	Pran.g_01479	Pral.g_01739
OG0000112	Pran.g_01378	Pral.g_01635
OG0000113	Pran.g_01321	Pral.g_01511
OG0000114	Pran.g_00429	Pral.g_01799
OG0000115	Pran.g_00123	Pral.g_01141
OG0000116	Pran.g_00070	Pral.g_01356
OG0000117	Pran.g_01466	Pral.g_01398, Pral.g_01397
OG0000118	Pran.g_00864	Pral.g_01269
OG0000119	Pran.g_00845	Pral.g_01861, Pral.g_01063
OG0000120	Pran.g_00752	Pral.g_00702
OG0000121	Pran.g_00731	Pral.g_01159
OG0000122	Pran.g_00693	Pral.g_01116
OG0000123	Pran.g_01112	Pral.g_00250
OG0000124	Pran.g_01176	Pral.g_00322
OG0000125	Pran.g_01212	Pral.g_00358
OG0000126	Pran.g_01252	Pral.g_00405
OG0000128	Pran.g_01268	Pral.g_00421
OG0000129	Pran.g_00381	Pral.g_01000
OG0000130	Pran.g_00363	Pral.g_00978
OG0000131	Pran.g_00288	Pral.g_00900
OG0000132	Pran.g_00268	Pral.g_00880
OG0000133	Pran.g_01872	Pral.g_00717
OG0000134	Pran.g_01838	Pral.g_00674
OG0000135	Pran.g_01812	Pral.g_01034
OG0000136	Pran.g_01739	Pral.g_00653
OG0000137	Pran.g_01703	Pral.g_00617
OG0000138	Pran.g_01683	Pral.g_00595
OG0000139	Pran.g_01641	Pral.g_00553
OG0000140	Pran.g_01640	Pral.g_00552
OG0000141	Pran.g_01571	Pral.g_00481
OG0000142	Pran.g_01543	Pral.g_01436
OG0000143	Pran.g_01539	Pral.g_01440
OG0000144	Pran.g_01526	Pral.g_01453
OG0000145	Pran.g_01400	Pral.g_01037
OG0000146	Pran.g_01377	Pral.g_01636
OG0000147	Pran.g_01376	Pral.g_01637
OG0000148	Pran.g_01327	Pral.g_01505
OG0000149	Pran.g_01297	Pral.g_01535
OG0000150	Pran.g_01289	Pral.g_01545
OG0000151	Pran.g_00439	Pral.g_01789
OG0000152	Pran.g_00487	Pral.g_01627
OG0000153	Pran.g_00506	Pral.g_01578
OG0000154	Pran.g_00542	Pral.g_01595
OG0000155	Pran.g_00040	Pral.g_01390
OG0000156	Pran.g_00887	Pral.g_01292
OG0000157	Pran.g_00886	Pral.g_01291
OG0000158	Pran.g_00822	Pral.g_00287
OG0000159	Pran.g_00808	Pral.g_01263
OG0000160	Pran.g_00732	Pral.g_01160
OG0000161	Pran.g_00726	Pral.g_01154
OG0000162	Pran.g_00720	Pral.g_01148
OG0000163	Pran.g_00686	Pral.g_01106
OG0000164	Pran.g_00994	Pral.g_00131
OG0000165	Pran.g_01001	Pral.g_00138
OG0000166	Pran.g_01069, Pran.g_01068	Pral.g_00206
OG0000167	Pran.g_01135	Pral.g_00277
OG0000168	Pran.g_01144	Pral.g_00288
OG0000169	Pran.g_01154	Pral.g_00298
OG0000170	Pran.g_01156	Pral.g_00301
OG0000171	Pran.g_01175	Pral.g_00321
OG0000172	Pran.g_01184	Pral.g_00328
OG0000173	Pran.g_01199	Pral.g_00343
OG0000174	Pran.g_01226	Pral.g_00375
OG0000175	Pran.g_01236	Pral.g_00387
OG0000176	Pran.g_01261	Pral.g_00414
OG0000177	Pran.g_01262	Pral.g_00415
OG0000178	Pran.g_01263	Pral.g_00416
OG0000179	Pran.g_00408	Pral.g_01028
OG0000180	Pran.g_00407	Pral.g_01027
OG0000181	Pran.g_00406	Pral.g_01026
OG0000182	Pran.g_00405	Pral.g_01025
OG0000183	Pran.g_00401	Pral.g_01021
OG0000184	Pran.g_00379	Pral.g_00996
OG0000185	Pran.g_00376	Pral.g_00993
OG0000186	Pran.g_00368	Pral.g_00984
