Orthogroup	Pran	Praz
OG0000000	Pran.g_00582	Praz.g_01198
OG0000000	Pran.g_00601	Praz.g_00921
OG0000000	Pran.g_00001	Praz.g_00694
OG0000000	Pran.g_00001	Praz.g_00922
OG0000000	Pran.g_00602	Praz.g_00694
OG0000000	Pran.g_00602	Praz.g_00922
OG0000000	Pran.g_00894	Praz.g_01200
OG0000002	Pran.g_01500	Praz.g_01652
OG0000004	Pran.g_01483	Praz.g_01635
OG0000004	Pran.g_00200	Praz.g_00592
OG0000005	Pran.g_00983	Praz.g_00864
OG0000005	Pran.g_00657	Praz.g_00965
OG0000006	Pran.g_01951	Praz.g_00601
OG0000007	Pran.g_01681	Praz.g_01831
OG0000007	Pran.g_00970	Praz.g_00877
OG0000008	Pran.g_01506	Praz.g_01658
OG0000009	Pran.g_00615	Praz.g_01230, Praz.g_00929
OG0000009	Pran.g_00328	Praz.g_00465
OG0000010	Pran.g_00175	Praz.g_00074
OG0000010	Pran.g_01704	Praz.g_01854
OG0000011	Pran.g_01384	Praz.g_01240
OG0000012	Pran.g_01555	Praz.g_01707
OG0000013	Pran.g_01867	Praz.g_00684
OG0000014	Pran.g_01888	Praz.g_00663
OG0000014	Pran.g_00755, Pran.g_00754	Praz.g_01102
OG0000015	Pran.g_01394	Praz.g_01551
OG0000017	Pran.g_01580	Praz.g_01732
OG0000018	Pran.g_00078	Praz.g_00011
OG0000018	Pran.g_01316	Praz.g_01485
OG0000019	Pran.g_01943	Praz.g_00609
OG0000019	Pran.g_01363	Praz.g_01532
OG0000020	Pran.g_00117	Praz.g_00048
OG0000021	Pran.g_01829	Praz.g_00896, Praz.g_00810
OG0000022	Pran.g_01401	Praz.g_01556
OG0000022	Pran.g_00097	Praz.g_00029
OG0000023	Pran.g_01834	Praz.g_00814
OG0000024	Pran.g_01420	Praz.g_01571
OG0000024	Pran.g_01503	Praz.g_01655
OG0000025	Pran.g_01309	Praz.g_01477
OG0000025	Pran.g_01863	Praz.g_00688
OG0000026	Pran.g_00393	Praz.g_00396
OG0000026	Pran.g_00168	Praz.g_00081
OG0000027	Pran.g_00583	Praz.g_01858, Praz.g_01197
OG0000028	Pran.g_01874	Praz.g_00677
OG0000029	Pran.g_01410	Praz.g_01564
OG0000030	Pran.g_01170	Praz.g_00195
OG0000031	Pran.g_00753	Praz.g_01116
OG0000033	Pran.g_00263	Praz.g_00529
OG0000034	Pran.g_00866	Praz.g_01170
OG0000035	Pran.g_00733	Praz.g_01041
OG0000037	Pran.g_00324	Praz.g_00469
OG0000038	Pran.g_01210	Praz.g_00154
OG0000039	Pran.g_01492	Praz.g_01644
OG0000040	Pran.g_00923	Praz.g_00903
OG0000040	Pran.g_00079	Praz.g_00012
OG0000042	Pran.g_01167	Praz.g_00198
OG0000043	Pran.g_00179	Praz.g_01440
OG0000044	Pran.g_00949	Praz.g_00693
OG0000045	Pran.g_01823	Praz.g_00803
OG0000047	Pran.g_01864	Praz.g_00687
OG0000048	Pran.g_01820	Praz.g_00800
OG0000049	Pran.g_01811	Praz.g_00790
OG0000049	Pran.g_00586	Praz.g_01269
OG0000049	Pran.g_00526	Praz.g_00767
OG0000050	Pran.g_01789	Praz.g_00769
OG0000050	Pran.g_00149	Praz.g_00101
OG0000051	Pran.g_00898	Praz.g_01204
OG0000052	Pran.g_00777	Praz.g_01103
OG0000053	Pran.g_00713	Praz.g_01021
OG0000054	Pran.g_01572	Praz.g_01724
OG0000055	Pran.g_01362	Praz.g_01531
OG0000057	Pran.g_01480	Praz.g_01632
OG0000058	Pran.g_00807	Praz.g_01096
OG0000059	Pran.g_01056	Praz.g_00311
OG0000061	Pran.g_00060	Praz.g_00755
OG0000062	Pran.g_00655	Praz.g_00963
OG0000063	Pran.g_00391	Praz.g_00398
OG0000065	Pran.g_00326	Praz.g_00467
OG0000066	Pran.g_01639	Praz.g_01789
OG0000067	Pran.g_01343	Praz.g_01512
OG0000068	Pran.g_00841	Praz.g_01139
OG0000069	Pran.g_00614	Praz.g_00928
OG0000070	Pran.g_01727	Praz.g_01878
OG0000071	Pran.g_00938, Pran.g_00876	Praz.g_01180
OG0000072	Pran.g_00261	Praz.g_00531
OG0000073	Pran.g_01679	Praz.g_01829
OG0000074	Pran.g_01496	Praz.g_01648
OG0000075	Pran.g_01137	Praz.g_00230
