Orthogroup	Pran	Praw
OG0000000	Pran.g_00582	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Pran.g_00601	Praw.g_00455
OG0000000	Pran.g_00001	Praw.g_00294
OG0000000	Pran.g_00001	Praw.g_00454
OG0000000	Pran.g_00001	Praw.g_00496
OG0000000	Pran.g_00602	Praw.g_00294
OG0000000	Pran.g_00602	Praw.g_00454
OG0000000	Pran.g_00602	Praw.g_00496
OG0000000	Pran.g_00593	Praw.g_00472
OG0000000	Pran.g_00894	Praw.g_00959
OG0000001	Pran.g_01395	Praw.g_01739
OG0000002	Pran.g_01500	Praw.g_01844
OG0000004	Pran.g_01483	Praw.g_01827
OG0000004	Pran.g_00200	Praw.g_01203
OG0000005	Pran.g_00983	Praw.g_00528
OG0000005	Pran.g_00657	Praw.g_00413
OG0000006	Pran.g_01951	Praw.g_01950
OG0000007	Pran.g_01681	Praw.g_00651
OG0000007	Pran.g_00970	Praw.g_00515
OG0000008	Pran.g_01506	Praw.g_01850
OG0000009	Pran.g_00615	Praw.g_00447
OG0000009	Pran.g_00328	Praw.g_01330
OG0000010	Pran.g_00175	Praw.g_01460
OG0000010	Pran.g_01704	Praw.g_00673
OG0000012	Pran.g_01555	Praw.g_00159
OG0000013	Pran.g_01867	Praw.g_00807
OG0000014	Pran.g_01888	Praw.g_00828
OG0000015	Pran.g_01394	Praw.g_01738
OG0000016	Pran.g_00620	Praw.g_00484
OG0000017	Pran.g_01580	Praw.g_01944
OG0000018	Pran.g_00078	Praw.g_00215
OG0000018	Pran.g_01316	Praw.g_01670
OG0000019	Pran.g_01943	Praw.g_00884
OG0000019	Pran.g_01363	Praw.g_01717
OG0000020	Pran.g_00117	Praw.g_00181
OG0000020	Pran.g_01804	Praw.g_00483
OG0000021	Pran.g_01829	Praw.g_00479, Praw.g_00767
OG0000022	Pran.g_01401	Praw.g_01746
OG0000022	Pran.g_00097	Praw.g_00197
OG0000023	Pran.g_01834	Praw.g_00772
OG0000024	Pran.g_01420	Praw.g_01763
OG0000024	Pran.g_01503	Praw.g_01847
OG0000025	Pran.g_01309	Praw.g_01664
OG0000025	Pran.g_01863	Praw.g_00803
OG0000026	Pran.g_00393	Praw.g_01397
OG0000026	Pran.g_00168	Praw.g_01453
OG0000027	Pran.g_00583	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Pran.g_01874	Praw.g_00814
OG0000029	Pran.g_01410	Praw.g_01755
OG0000030	Pran.g_01170	Praw.g_00029
OG0000031	Pran.g_00753	Praw.g_01073
OG0000033	Pran.g_00263	Praw.g_01266
OG0000034	Pran.g_00866	Praw.g_00991
OG0000035	Pran.g_00733	Praw.g_01081, Praw.g_01083
OG0000037	Pran.g_00324	Praw.g_01326
OG0000038	Pran.g_01210	Praw.g_01182
OG0000039	Pran.g_01492	Praw.g_01836
OG0000040	Pran.g_00923	Praw.g_00476
OG0000040	Pran.g_00079	Praw.g_00214
OG0000041	Pran.g_01016	Praw.g_00562
OG0000042	Pran.g_01167	Praw.g_00032
OG0000043	Pran.g_00179	Praw.g_01627
OG0000045	Pran.g_01823	Praw.g_00761
OG0000047	Pran.g_01864	Praw.g_00804
OG0000048	Pran.g_01820	Praw.g_00504, Praw.g_00758
OG0000049	Pran.g_01811	Praw.g_00750
OG0000049	Pran.g_00586	Praw.g_00328
OG0000049	Pran.g_00526	Praw.g_00928
OG0000050	Pran.g_00149	Praw.g_01432
OG0000051	Pran.g_00898	Praw.g_00955
OG0000052	Pran.g_00777	Praw.g_01071
OG0000053	Pran.g_00713	Praw.g_00357
OG0000054	Pran.g_01572	Praw.g_00142
OG0000055	Pran.g_01362	Praw.g_01716
OG0000057	Pran.g_01480	Praw.g_01824
OG0000058	Pran.g_00807	Praw.g_01055
OG0000059	Pran.g_01056	Praw.g_01894
OG0000060	Pran.g_01399	Praw.g_01743
OG0000061	Pran.g_00060	Praw.g_00234
OG0000062	Pran.g_00655	Praw.g_00415
OG0000063	Pran.g_00391	Praw.g_01395
OG0000065	Pran.g_00326	Praw.g_01328
OG0000066	Pran.g_01639	Praw.g_00609
OG0000067	Pran.g_01343	Praw.g_01697
OG0000068	Pran.g_00841	Praw.g_01016
OG0000069	Pran.g_00614	Praw.g_00448
OG0000070	Pran.g_01727	Praw.g_00697
OG0000071	Pran.g_00938, Pran.g_00876	Praw.g_00981
OG0000072	Pran.g_00261	Praw.g_01264
OG0000073	Pran.g_01679	Praw.g_00649
OG0000074	Pran.g_01496	Praw.g_01840
OG0000075	Pran.g_01137	Praw.g_00064
OG0000076	Pran.g_01160	Praw.g_00039
OG0000077	Pran.g_00354	Praw.g_01356
OG0000078	Pran.g_00194	Praw.g_01196
OG0000081	Pran.g_01647	Praw.g_00617
OG0000082	Pran.g_01593	Praw.g_01932
OG0000083	Pran.g_00895	Praw.g_00958
OG0000083	Pran.g_00576	Praw.g_01775
OG0000084	Pran.g_00737	Praw.g_01087
OG0000085	Pran.g_00963	Praw.g_00508
OG0000086	Pran.g_00344	Praw.g_01346
OG0000087	Pran.g_00295	Praw.g_01296
OG0000088	Pran.g_00266	Praw.g_01269
OG0000089	Pran.g_01839	Praw.g_00776
OG0000090	Pran.g_01645	Praw.g_00615
OG0000091	Pran.g_01536	Praw.g_01880
OG0000092	Pran.g_00434	Praw.g_01592
OG0000093	Pran.g_00455	Praw.g_01571
OG0000094	Pran.g_00549	Praw.g_01486
OG0000095	Pran.g_00903, Pran.g_00568	Praw.g_01467
OG0000096	Pran.g_00603	Praw.g_00482
OG0000096	Pran.g_00114	Praw.g_00184
OG0000097	Pran.g_00019	Praw.g_00275
OG0000098	Pran.g_00855	Praw.g_00997
OG0000099	Pran.g_00806	Praw.g_01051
OG0000100	Pran.g_00659	Praw.g_00411
OG0000101	Pran.g_01105	Praw.g_00096
OG0000102	Pran.g_01165	Praw.g_00034
OG0000103	Pran.g_01244	Praw.g_01148
OG0000104	Pran.g_01253	Praw.g_01140
OG0000105	Pran.g_01920	Praw.g_00860
OG0000106	Pran.g_01824	Praw.g_00762
