Orthogroup	Pran	Syat
OG0000001	Pran.g_01395	Syat.g_02910, Syat.g_02911
OG0000005	Pran.g_00983	Syat.g_03065
OG0000005	Pran.g_00657	Syat.g_03105
OG0000006	Pran.g_01951	Syat.g_01439, Syat.g_01865
OG0000007	Pran.g_01681	Syat.g_03191
OG0000007	Pran.g_00970	Syat.g_03124
OG0000009	Pran.g_00328	Syat.g_01567
OG0000010	Pran.g_00175, Pran.g_01704	Syat.g_01372
OG0000013	Pran.g_01867	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Pran.g_01888	Syat.g_02104
OG0000014	Pran.g_00755, Pran.g_00754	Syat.g_03196, Syat.g_02250
OG0000017	Pran.g_01580	Syat.g_00015
OG0000018	Pran.g_00078, Pran.g_01316	Syat.g_01334
OG0000019	Pran.g_01943, Pran.g_01363	Syat.g_01876
OG0000021	Pran.g_01829	Syat.g_00964
OG0000022	Pran.g_01401, Pran.g_00097	Syat.g_00210
OG0000024	Pran.g_01420, Pran.g_01503	Syat.g_03394
OG0000025	Pran.g_01309, Pran.g_01863	Syat.g_00719
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syat.g_02306
OG0000027	Pran.g_00583	Syat.g_00850
OG0000028	Pran.g_01874	Syat.g_02126
OG0000030	Pran.g_01170	Syat.g_00307, Syat.g_00308
OG0000031	Pran.g_00753	Syat.g_03199, Syat.g_02243
OG0000033	Pran.g_00800, Pran.g_00263	Syat.g_02858
OG0000034	Pran.g_00866	Syat.g_01165, Syat.g_02902
OG0000035	Pran.g_00733	Syat.g_01227, Syat.g_01226
OG0000037	Pran.g_00324	Syat.g_00849, Syat.g_00187
OG0000038	Pran.g_01210	Syat.g_02688, Syat.g_02686
OG0000039	Pran.g_01492	Syat.g_01278
OG0000042	Pran.g_01167	Syat.g_00223, Syat.g_02222
OG0000044	Pran.g_00949	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Pran.g_01823	Syat.g_00935
OG0000048	Pran.g_01772, Pran.g_01820	Syat.g_02046
OG0000053	Pran.g_00713	Syat.g_01330
OG0000057	Pran.g_01480	Syat.g_00817
OG0000060	Pran.g_01399	Syat.g_01047
OG0000061	Pran.g_00060	Syat.g_03260
OG0000063	Pran.g_00391	Syat.g_02303
OG0000065	Pran.g_00326	Syat.g_01571
OG0000066	Pran.g_01639	Syat.g_03283
OG0000067	Pran.g_01343	Syat.g_00479
OG0000068	Pran.g_00841	Syat.g_00085, Syat.g_01295
OG0000070	Pran.g_01727	Syat.g_01032, Syat.g_01040
OG0000072	Pran.g_00261	Syat.g_02856, Syat.g_01597
OG0000073	Pran.g_01679	Syat.g_03201
OG0000075	Pran.g_01137	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Pran.g_01160	Syat.g_02206
OG0000078	Pran.g_00194	Syat.g_00184
OG0000079	Pran.g_01940	Syat.g_01879
OG0000080	Pran.g_01806	Syat.g_02420
OG0000081	Pran.g_01647	Syat.g_00980
OG0000082	Pran.g_01593	Syat.g_00035
OG0000085	Pran.g_00963	Syat.g_03113
OG0000086	Pran.g_00344	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Pran.g_00295	Syat.g_02912
OG0000088	Pran.g_00266	Syat.g_02862
OG0000089	Pran.g_01839	Syat.g_02953
OG0000090	Pran.g_01645	Syat.g_03270
OG0000091	Pran.g_01536	Syat.g_00939, Syat.g_00862
OG0000092	Pran.g_00434	Syat.g_00825
OG0000094	Pran.g_00549	Syat.g_00698, Syat.g_01034
OG0000097	Pran.g_00019	Syat.g_00907, Syat.g_00535
OG0000098	Pran.g_00855	Syat.g_03281
OG0000099	Pran.g_00806	Syat.g_02130
OG0000100	Pran.g_00659	Syat.g_00517
OG0000101	Pran.g_01105	Syat.g_01661
OG0000102	Pran.g_01165	Syat.g_00974
OG0000103	Pran.g_01244	Syat.g_02399
OG0000104	Pran.g_01253	Syat.g_02385
OG0000105	Pran.g_01920	Syat.g_02052
OG0000106	Pran.g_01824	Syat.g_00957
OG0000107	Pran.g_01808	Syat.g_01862
OG0000108	Pran.g_01698	Syat.g_03170
OG0000109	Pran.g_01684	Syat.g_03187
OG0000110	Pran.g_01603	Syat.g_00049
OG0000111	Pran.g_01479	Syat.g_00816
OG0000112	Pran.g_01378	Syat.g_00593
OG0000113	Pran.g_01321	Syat.g_00509
OG0000114	Pran.g_00429	Syat.g_00426
OG0000115	Pran.g_00123	Syat.g_01328
OG0000116	Pran.g_00070	Syat.g_02641
OG0000117	Pran.g_01466	Syat.g_00224
OG0000118	Pran.g_00864	Syat.g_01168
OG0000119	Pran.g_00845	Syat.g_00309
OG0000120	Pran.g_00752	Syat.g_02132
OG0000121	Pran.g_00731	Syat.g_01223
OG0000123	Pran.g_01112	Syat.g_01653
OG0000124	Pran.g_01176	Syat.g_02231
OG0000125	Pran.g_01212	Syat.g_02684
OG0000126	Pran.g_01252	Syat.g_00976
OG0000128	Pran.g_01268	Syat.g_02331
OG0000129	Pran.g_00381	Syat.g_02693, Syat.g_02694
OG0000130	Pran.g_00363	Syat.g_01469
OG0000131	Pran.g_00288	Syat.g_02898
OG0000132	Pran.g_00268	Syat.g_02864
OG0000133	Pran.g_01872	Syat.g_00588
OG0000134	Pran.g_01838	Syat.g_02956
OG0000135	Pran.g_01812	Syat.g_02501
OG0000136	Pran.g_01739	Syat.g_01292
OG0000137	Pran.g_01703	Syat.g_01371
OG0000138	Pran.g_01683	Syat.g_03188
OG0000140	Pran.g_01640	Syat.g_03280
OG0000141	Pran.g_01571	Syat.g_03398
OG0000142	Pran.g_01543	Syat.g_00117
OG0000143	Pran.g_01539	Syat.g_00130
OG0000144	Pran.g_01526	Syat.g_00369
OG0000145	Pran.g_01400	Syat.g_03202
OG0000146	Pran.g_01377	Syat.g_00594
OG0000147	Pran.g_01376	Syat.g_00595
OG0000148	Pran.g_01327	Syat.g_00503
OG0000149	Pran.g_01297	Syat.g_00747
OG0000150	Pran.g_01289	Syat.g_03399
OG0000151	Pran.g_00439	Syat.g_00801, Syat.g_00440
OG0000152	Pran.g_00487	Syat.g_00578
OG0000153	Pran.g_00506	Syat.g_00542
OG0000154	Pran.g_00542	Syat.g_00708
OG0000155	Pran.g_00040	Syat.g_00287
OG0000156	Pran.g_00887	Syat.g_03228
OG0000157	Pran.g_00886	Syat.g_02012, Syat.g_03227
