Orthogroup	Pran	Syan
OG0000004	Pran.g_01483	Syan.g_00183
OG0000004	Pran.g_00200	Syan.g_00989
OG0000005	Pran.g_00983	Syan.g_01423
OG0000005	Pran.g_00657	Syan.g_01378
OG0000006	Pran.g_01951	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Pran.g_01681	Syan.g_02743
OG0000007	Pran.g_00970	Syan.g_01400
OG0000009	Pran.g_00615, Pran.g_00328	Syan.g_02972
OG0000010	Pran.g_00175, Pran.g_01704	Syan.g_02847
OG0000012	Pran.g_01555	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Pran.g_01867	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Pran.g_01888	Syan.g_01987
OG0000017	Pran.g_01580	Syan.g_01006
OG0000018	Pran.g_00078, Pran.g_01316	Syan.g_02816
OG0000019	Pran.g_01943, Pran.g_01363	Syan.g_02088
OG0000021	Pran.g_01829	Syan.g_01001
OG0000022	Pran.g_01401, Pran.g_00097	Syan.g_00089
OG0000023	Pran.g_01834	Syan.g_00404
OG0000025	Pran.g_01309, Pran.g_01863	Syan.g_00374
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syan.g_01743
OG0000027	Pran.g_00583	Syan.g_02678
OG0000028	Pran.g_01874	Syan.g_01971
OG0000030	Pran.g_01170	Syan.g_01884, Syan.g_01883
OG0000033	Pran.g_00800, Pran.g_00263	Syan.g_03036
OG0000034	Pran.g_00866	Syan.g_01227, Syan.g_03003
OG0000035	Pran.g_00733	Syan.g_01276
OG0000037	Pran.g_00324	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Pran.g_01210	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Pran.g_01492	Syan.g_02771, Syan.g_00535
OG0000041	Pran.g_01016	Syan.g_01465
OG0000042	Pran.g_01167	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Pran.g_00949	Syan.g_01065
OG0000045	Pran.g_01823	Syan.g_00086, Syan.g_00151
OG0000048	Pran.g_01772, Pran.g_01820	Syan.g_02036
OG0000053	Pran.g_00713	Syan.g_02812
OG0000054	Pran.g_01572	Syan.g_02503
OG0000055	Pran.g_01362	Syan.g_00312
OG0000060	Pran.g_01399	Syan.g_00277
OG0000061	Pran.g_00060	Syan.g_02696
OG0000062	Pran.g_00655	Syan.g_00098
OG0000063	Pran.g_00391	Syan.g_01739
OG0000065	Pran.g_00326	Syan.g_02974
OG0000066	Pran.g_01639	Syan.g_01156
OG0000067	Pran.g_01343	Syan.g_00690
OG0000068	Pran.g_00841	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Pran.g_00614	Syan.g_00278
OG0000070	Pran.g_01727	Syan.g_00289
OG0000071	Pran.g_00938, Pran.g_00876	Syan.g_01213
OG0000072	Pran.g_00261	Syan.g_03038, Syan.g_02999
OG0000073	Pran.g_01679	Syan.g_02741
OG0000075	Pran.g_01137	Syan.g_00981, Syan.g_01937
OG0000076	Pran.g_01160	Syan.g_01896
OG0000079	Pran.g_01940	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Pran.g_01593	Syan.g_00952
OG0000085	Pran.g_00963	Syan.g_01387
OG0000086	Pran.g_00344	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Pran.g_00295	Syan.g_02268
OG0000088	Pran.g_00266	Syan.g_03031
OG0000089	Pran.g_01839	Syan.g_02316
OG0000090	Pran.g_01645	Syan.g_01166
OG0000091	Pran.g_01536	Syan.g_00235, Syan.g_00808
OG0000092	Pran.g_00434	Syan.g_02502
OG0000093	Pran.g_00455	Syan.g_02934
OG0000094	Pran.g_00549	Syan.g_00353, Syan.g_00065
OG0000097	Pran.g_00019	Syan.g_00160, Syan.g_00733
OG0000098	Pran.g_00855	Syan.g_00043
OG0000099	Pran.g_00806	Syan.g_01968
OG0000100	Pran.g_00659	Syan.g_00658
OG0000101	Pran.g_01105	Syan.g_02199
OG0000102	Pran.g_01165	Syan.g_01891
OG0000103	Pran.g_01244	Syan.g_01692
OG0000104	Pran.g_01253	Syan.g_01792
OG0000105	Pran.g_01920	Syan.g_02031
OG0000106	Pran.g_01824	Syan.g_00076
OG0000107	Pran.g_01808	Syan.g_02106
OG0000108	Pran.g_01698	Syan.g_02764
OG0000109	Pran.g_01684	Syan.g_02748
OG0000110	Pran.g_01603	Syan.g_00882
OG0000111	Pran.g_01479	Syan.g_00187
OG0000112	Pran.g_01378	Syan.g_00556, Syan.g_00252
OG0000113	Pran.g_01321	Syan.g_00664
OG0000114	Pran.g_00429	Syan.g_00741
OG0000115	Pran.g_00123	Syan.g_02810
OG0000116	Pran.g_00070	Syan.g_02710, Syan.g_00460
OG0000117	Pran.g_01466	Syan.g_02644
OG0000118	Pran.g_00864	Syan.g_01241, Syan.g_01237
OG0000119	Pran.g_00845	Syan.g_02672
OG0000120	Pran.g_00752	Syan.g_01966
OG0000121	Pran.g_00731	Syan.g_01273
OG0000123	Pran.g_01112	Syan.g_02190
OG0000124	Pran.g_01176	Syan.g_01873
OG0000125	Pran.g_01212	Syan.g_01573
OG0000126	Pran.g_01252	Syan.g_01705
OG0000128	Pran.g_01268	Syan.g_01768
OG0000129	Pran.g_00381	Syan.g_01563
OG0000130	Pran.g_00363	Syan.g_02906, Syan.g_02907
OG0000131	Pran.g_00288	Syan.g_03008
OG0000132	Pran.g_00268	Syan.g_03029
OG0000133	Pran.g_01872	Syan.g_00561
OG0000134	Pran.g_01838	Syan.g_02319
OG0000135	Pran.g_01812	Syan.g_01616
OG0000136	Pran.g_01739	Syan.g_01342
OG0000137	Pran.g_01703	Syan.g_02846
OG0000138	Pran.g_01683	Syan.g_02747
OG0000140	Pran.g_01640	Syan.g_00042
OG0000141	Pran.g_01571	Syan.g_01032
OG0000142	Pran.g_01543	Syan.g_00816
OG0000143	Pran.g_01539	Syan.g_00812
OG0000144	Pran.g_01526	Syan.g_00782
OG0000145	Pran.g_01400	Syan.g_02740
OG0000146	Pran.g_01377	Syan.g_00555, Syan.g_00253
OG0000147	Pran.g_01376	Syan.g_00254, Syan.g_00554
OG0000148	Pran.g_01327	Syan.g_00670
OG0000149	Pran.g_01297	Syan.g_00393
OG0000150	Pran.g_01289	Syan.g_01031
OG0000151	Pran.g_00439	Syan.g_00731
OG0000152	Pran.g_00487	Syan.g_00565
OG0000153	Pran.g_00506	Syan.g_00601
OG0000154	Pran.g_00542	Syan.g_00363
OG0000155	Pran.g_00040	Syan.g_02654
OG0000156	Pran.g_00887	Syan.g_02717
OG0000157	Pran.g_00886	Syan.g_02718
OG0000158	Pran.g_00822	Syan.g_01078, Syan.g_01926
OG0000159	Pran.g_00808	Syan.g_01120
OG0000160	Pran.g_00732	Syan.g_01274
OG0000161	Pran.g_00726	Syan.g_01268
OG0000162	Pran.g_00720	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Pran.g_00686	Syan.g_02405
OG0000164	Pran.g_00994	Syan.g_01440
OG0000165	Pran.g_01001	Syan.g_01448
OG0000166	Pran.g_01069, Pran.g_01068	Syan.g_02239
OG0000167	Pran.g_01135	Syan.g_01941
OG0000168	Pran.g_01144	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Pran.g_01154	Syan.g_01912
OG0000170	Pran.g_01156	Syan.g_01901
OG0000171	Pran.g_01175	Syan.g_01875
OG0000172	Pran.g_01184	Syan.g_01810
OG0000173	Pran.g_01199	Syan.g_01720
OG0000174	Pran.g_01226	Syan.g_01619
OG0000175	Pran.g_01236	Syan.g_01678, Syan.g_00258
OG0000176	Pran.g_01261	Syan.g_01801
OG0000177	Pran.g_01262	Syan.g_01775
OG0000178	Pran.g_01263	Syan.g_01774
OG0000179	Pran.g_00408	Syan.g_01759
OG0000180	Pran.g_00407	Syan.g_01758
OG0000181	Pran.g_00406	Syan.g_01757
OG0000182	Pran.g_00405	Syan.g_01756
OG0000183	Pran.g_00401	Syan.g_01752
OG0000184	Pran.g_00379	Syan.g_01549
OG0000185	Pran.g_00376	Syan.g_01540
OG0000186	Pran.g_00368	Syan.g_02902
OG0000187	Pran.g_00367	Syan.g_02904
OG0000188	Pran.g_00350	Syan.g_02926
OG0000189	Pran.g_00337	Syan.g_02966
OG0000190	Pran.g_00336	Syan.g_00971
OG0000191	Pran.g_00316	Syan.g_02300
OG0000192	Pran.g_00312	Syan.g_02294
OG0000193	Pran.g_00287	Syan.g_03009
OG0000194	Pran.g_00283	Syan.g_03012
OG0000195	Pran.g_00281	Syan.g_03014
OG0000196	Pran.g_00271	Syan.g_03026
OG0000197	Pran.g_00270	Syan.g_03027
OG0000198	Pran.g_00269	Syan.g_03028
OG0000199	Pran.g_00262	Syan.g_03037
OG0000200	Pran.g_00248	Syan.g_03055
OG0000201	Pran.g_00240	Syan.g_03074
OG0000202	Pran.g_00239	Syan.g_03075
OG0000203	Pran.g_00238	Syan.g_03076
OG0000204	Pran.g_00237	Syan.g_03077
OG0000205	Pran.g_00230	Syan.g_03087
OG0000206	Pran.g_00225	Syan.g_03095
OG0000207	Pran.g_00223	Syan.g_03100
OG0000208	Pran.g_00222	Syan.g_03101
OG0000209	Pran.g_00213	Syan.g_01521
OG0000210	Pran.g_00212	Syan.g_01522
OG0000211	Pran.g_00199	Syan.g_02416
OG0000212	Pran.g_00193	Syan.g_01508, Syan.g_02438
OG0000213	Pran.g_01935	Syan.g_02059
OG0000214	Pran.g_01926	Syan.g_02040
OG0000215	Pran.g_01902	Syan.g_02010
OG0000216	Pran.g_01900	Syan.g_02006
OG0000217	Pran.g_01897	Syan.g_02001
OG0000218	Pran.g_01895	Syan.g_01999
OG0000219	Pran.g_01894	Syan.g_01998
OG0000220	Pran.g_01893	Syan.g_01997
OG0000221	Pran.g_01892	Syan.g_01994
OG0000222	Pran.g_01884	Syan.g_01981
OG0000223	Pran.g_01871	Syan.g_00228
OG0000224	Pran.g_01869	Syan.g_01959
OG0000225	Pran.g_01849	Syan.g_02997
OG0000226	Pran.g_01845	Syan.g_02990
OG0000227	Pran.g_01843	Syan.g_02988
OG0000228	Pran.g_01840	Syan.g_02315
OG0000229	Pran.g_01744	Syan.g_02396
OG0000230	Pran.g_01742	Syan.g_02398
OG0000231	Pran.g_01728	Syan.g_01333
OG0000232	Pran.g_01720	Syan.g_02801
OG0000233	Pran.g_01715	Syan.g_02876
OG0000234	Pran.g_01702	Syan.g_02844
OG0000235	Pran.g_01699	Syan.g_02765
OG0000236	Pran.g_01685	Syan.g_02749
OG0000237	Pran.g_01672	Syan.g_02731
OG0000238	Pran.g_01666	Syan.g_02726
OG0000239	Pran.g_01653	Syan.g_01187
OG0000240	Pran.g_01652	Syan.g_01186
