Orthogroup	Pran	Prbf
OG0000000	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbf.g_00776
OG0000002	Pran.g_01500	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Pran.g_01483	Prbf.g_01264
OG0000004	Pran.g_00200	Prbf.g_01570
OG0000005	Pran.g_00657	Prbf.g_00240
OG0000006	Pran.g_01951	Prbf.g_01580
OG0000007	Pran.g_01681	Prbf.g_01780
OG0000007	Pran.g_00970	Prbf.g_00693
OG0000009	Pran.g_00615	Prbf.g_00252
OG0000010	Pran.g_01704	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Pran.g_01555	Prbf.g_00272, Prbf.g_01905
OG0000013	Pran.g_01867	Prbf.g_01665
OG0000014	Pran.g_01888	Prbf.g_01647
OG0000015	Pran.g_01394	Prbf.g_00754, Prbf.g_00708
OG0000016	Pran.g_00620	Prbf.g_00860
OG0000017	Pran.g_01580	Prbf.g_01880
OG0000018	Pran.g_00078	Prbf.g_00896
OG0000018	Pran.g_01316	Prbf.g_01217
OG0000019	Pran.g_01943	Prbf.g_01588
OG0000019	Pran.g_01363	Prbf.g_00894
OG0000020	Pran.g_00117	Prbf.g_00264
OG0000020	Pran.g_01804	Prbf.g_00811
OG0000021	Pran.g_01829	Prbf.g_00265
OG0000022	Pran.g_01401	Prbf.g_00248
OG0000023	Pran.g_01834	Prbf.g_00287
OG0000024	Pran.g_01420	Prbf.g_01052
OG0000024	Pran.g_01503	Prbf.g_01288
OG0000025	Pran.g_01309, Pran.g_01863	Prbf.g_01209
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Prbf.g_01354
OG0000027	Pran.g_00583	Prbf.g_00817
OG0000029	Pran.g_01410	Prbf.g_00804, Prbf.g_00762
OG0000030	Pran.g_01170	Prbf.g_00484
OG0000031	Pran.g_00753	Prbf.g_00116
OG0000033	Pran.g_00800	Prbf.g_00123
OG0000033	Pran.g_00263	Prbf.g_01503
OG0000034	Pran.g_00866	Prbf.g_00015
OG0000037	Pran.g_00324	Prbf.g_01437
OG0000038	Pran.g_01210	Prbf.g_00445
OG0000039	Pran.g_01492	Prbf.g_01276
OG0000041	Pran.g_01016	Prbf.g_00646
OG0000042	Pran.g_01167	Prbf.g_00487
OG0000043	Pran.g_00179	Prbf.g_00897
OG0000045	Pran.g_01823	Prbf.g_00874
OG0000048	Pran.g_01772, Pran.g_01820	Prbf.g_01611
OG0000050	Pran.g_01789, Pran.g_00936, Pran.g_00946	Prbf.g_00845
OG0000052	Pran.g_00777	Prbf.g_00135
OG0000053	Pran.g_00713	Prbf.g_00748, Prbf.g_00178
OG0000054	Pran.g_01572	Prbf.g_01889
OG0000055	Pran.g_01362	Prbf.g_00869
OG0000057	Pran.g_01480	Prbf.g_01261
OG0000058	Pran.g_00807	Prbf.g_00117
OG0000059	Pran.g_01056	Prbf.g_00606
OG0000061	Pran.g_00060	Prbf.g_00918
OG0000062	Pran.g_00655	Prbf.g_00242
OG0000063	Pran.g_00391	Prbf.g_00808
OG0000065	Pran.g_00326	Prbf.g_01435
OG0000066	Pran.g_01639	Prbf.g_01820, Prbf.g_00781
OG0000067	Pran.g_01343	Prbf.g_01245
OG0000068	Pran.g_00841	Prbf.g_00095
OG0000069	Pran.g_00614	Prbf.g_01738
OG0000070	Pran.g_01727	Prbf.g_01734
OG0000071	Pran.g_00938, Pran.g_00876	Prbf.g_00026
OG0000072	Pran.g_00261	Prbf.g_01505
OG0000073	Pran.g_01679	Prbf.g_01783
OG0000074	Pran.g_01496	Prbf.g_01281
OG0000075	Pran.g_01137	Prbf.g_00522
OG0000076	Pran.g_01160	Prbf.g_00496
OG0000077	Pran.g_00354	Prbf.g_01405
OG0000078	Pran.g_00194	Prbf.g_01578
