Orthogroup	Pran	Syal
OG0000000	Pran.g_00582, Pran.g_01423, Pran.g_00931, Pran.g_00601, Pran.g_00579, Pran.g_00001, Pran.g_00602, Pran.g_00593, Pran.g_00580, Pran.g_00894	Syal.g_01111, Syal.g_01832
OG0000001	Pran.g_01395	Syal.g_02193
OG0000004	Pran.g_01483	Syal.g_01809
OG0000004	Pran.g_00200	Syal.g_02718, Syal.g_00691
OG0000005	Pran.g_00983	Syal.g_00606
OG0000005	Pran.g_00657	Syal.g_00565
OG0000006	Pran.g_01951	Syal.g_00674
OG0000007	Pran.g_01681	Syal.g_02918
OG0000007	Pran.g_00970	Syal.g_00587
OG0000009	Pran.g_00615	Syal.g_02089
OG0000009	Pran.g_00328	Syal.g_00818
OG0000010	Pran.g_00175, Pran.g_01704	Syal.g_00464
OG0000012	Pran.g_01555	Syal.g_02535, Syal.g_01639
OG0000013	Pran.g_01867	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Pran.g_01888	Syal.g_01305
OG0000014	Pran.g_00755, Pran.g_00754	Syal.g_01393
OG0000017	Pran.g_01580	Syal.g_02752
OG0000018	Pran.g_00078, Pran.g_01316	Syal.g_00410
OG0000019	Pran.g_01943, Pran.g_01363	Syal.g_01209
OG0000022	Pran.g_01401, Pran.g_00097	Syal.g_02587
OG0000023	Pran.g_01834	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Pran.g_01420, Pran.g_01503	Syal.g_02597
OG0000025	Pran.g_01309, Pran.g_01863	Syal.g_02459
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syal.g_00132
OG0000027	Pran.g_00583	Syal.g_02543
OG0000028	Pran.g_01874	Syal.g_01319
OG0000029	Pran.g_01410	Syal.g_03014
OG0000030	Pran.g_01170	Syal.g_01511, Syal.g_01512
OG0000033	Pran.g_00263	Syal.g_00912
OG0000034	Pran.g_00866	Syal.g_00881, Syal.g_01586
OG0000035	Pran.g_00733	Syal.g_00370
OG0000037	Pran.g_00324	Syal.g_00824
OG0000038	Pran.g_01210	Syal.g_01071, Syal.g_01073
OG0000039	Pran.g_01492	Syal.g_01097
OG0000040	Pran.g_00923	Syal.g_01187
OG0000041	Pran.g_01016	Syal.g_00649
OG0000042	Pran.g_01167	Syal.g_01705, Syal.g_01508
OG0000043	Pran.g_00179	Syal.g_02183
OG0000044	Pran.g_00949	Syal.g_01853
OG0000047	Pran.g_01864	Syal.g_01568
OG0000048	Pran.g_01772, Pran.g_01820	Syal.g_01250
OG0000051	Pran.g_00898	Syal.g_01550
OG0000052	Pran.g_00777	Syal.g_01338
OG0000053	Pran.g_00713	Syal.g_00406
OG0000054	Pran.g_01572	Syal.g_02739
OG0000055	Pran.g_01362	Syal.g_01845
OG0000057	Pran.g_01480	Syal.g_01812
OG0000058	Pran.g_00807	Syal.g_01326
OG0000059	Pran.g_01056	Syal.g_00225
OG0000060	Pran.g_01399	Syal.g_02214
OG0000061	Pran.g_00060	Syal.g_01653
OG0000062	Pran.g_00655	Syal.g_02113
OG0000063	Pran.g_00391	Syal.g_00136
OG0000065	Pran.g_00326	Syal.g_00820, Syal.g_02528
OG0000066	Pran.g_01639	Syal.g_02828
OG0000067	Pran.g_01343	Syal.g_02414
OG0000068	Pran.g_00841	Syal.g_02888
OG0000070	Pran.g_01727	Syal.g_00509
OG0000071	Pran.g_00938, Pran.g_00876	Syal.g_01601
OG0000072	Pran.g_00261	Syal.g_00914
OG0000073	Pran.g_01679	Syal.g_02920
OG0000075	Pran.g_01137	Syal.g_01350
OG0000076	Pran.g_01160	Syal.g_01459
OG0000077	Pran.g_00354	Syal.g_00763
OG0000078	Pran.g_00194	Syal.g_00680
OG0000079	Pran.g_01940	Syal.g_01213
OG0000080	Pran.g_01806, Pran.g_00796, Pran.g_00794	Syal.g_01394
OG0000081	Pran.g_01647	Syal.g_02555
OG0000082	Pran.g_01593	Syal.g_02769
OG0000084	Pran.g_00737	Syal.g_00023
OG0000085	Pran.g_00963	Syal.g_00575
OG0000086	Pran.g_00344	Syal.g_00784
OG0000087	Pran.g_00295	Syal.g_00871
OG0000088	Pran.g_00266	Syal.g_00908
OG0000089	Pran.g_01839	Syal.g_00555
OG0000090	Pran.g_01645	Syal.g_02838
OG0000091	Pran.g_01536	Syal.g_02628
OG0000092	Pran.g_00434	Syal.g_00470
OG0000094	Pran.g_00549	Syal.g_01907
OG0000097	Pran.g_00019	Syal.g_01735, Syal.g_01553
OG0000098	Pran.g_00855	Syal.g_02196
OG0000099	Pran.g_00806	Syal.g_01323
OG0000100	Pran.g_00659	Syal.g_02448
OG0000101	Pran.g_01105	Syal.g_00275
OG0000102	Pran.g_01165	Syal.g_01488
OG0000103	Pran.g_01244	Syal.g_01897, Syal.g_00077
OG0000104	Pran.g_01253	Syal.g_00092
OG0000105	Pran.g_01920	Syal.g_01255
OG0000106	Pran.g_01824	Syal.g_02577
OG0000107	Pran.g_01808	Syal.g_00194
OG0000108	Pran.g_01698	Syal.g_02897
OG0000109	Pran.g_01684	Syal.g_02913
OG0000110	Pran.g_01603	Syal.g_02782
OG0000111	Pran.g_01479	Syal.g_01813
OG0000112	Pran.g_01378	Syal.g_02000
OG0000113	Pran.g_01321	Syal.g_02443
OG0000114	Pran.g_00429	Syal.g_02286
OG0000115	Pran.g_00123	Syal.g_00404
OG0000116	Pran.g_00070	Syal.g_01630
