Orthogroup	Pran	Syai
OG0000001	Pran.g_01395	Syai.g_01716
OG0000002	Pran.g_01500	Syai.g_01728
OG0000004	Pran.g_01483	Syai.g_01994
OG0000004	Pran.g_00200	Syai.g_01062, Syai.g_00530
OG0000005	Pran.g_00983	Syai.g_02393
OG0000005	Pran.g_00657	Syai.g_02356
OG0000006	Pran.g_01951	Syai.g_00317, Syai.g_00547
OG0000007	Pran.g_01681	Syai.g_00657
OG0000007	Pran.g_00970	Syai.g_02378
OG0000009	Pran.g_00615	Syai.g_01626
OG0000009	Pran.g_00328	Syai.g_02541
OG0000010	Pran.g_00175, Pran.g_01704	Syai.g_00864
OG0000011	Pran.g_00925	Syai.g_01894, Syai.g_00582
OG0000012	Pran.g_01555	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Pran.g_01867	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Pran.g_01888	Syai.g_00220
OG0000015	Pran.g_01394	Syai.g_01246, Syai.g_01245
OG0000016	Pran.g_00620	Syai.g_01632
OG0000017	Pran.g_01580	Syai.g_00801
OG0000018	Pran.g_00078, Pran.g_01316	Syai.g_00915
OG0000019	Pran.g_01943, Pran.g_01363	Syai.g_00304
OG0000020	Pran.g_00117, Pran.g_01804	Syai.g_00476
OG0000022	Pran.g_01401, Pran.g_00097	Syai.g_01159
OG0000023	Pran.g_01834	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Pran.g_01420, Pran.g_01503	Syai.g_01951
OG0000025	Pran.g_01309, Pran.g_01863	Syai.g_02044
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syai.g_00038
OG0000027	Pran.g_00583	Syai.g_01128, Syai.g_01654
OG0000028	Pran.g_01874	Syai.g_00205
OG0000029	Pran.g_01410	Syai.g_01035, Syai.g_01584
OG0000030	Pran.g_01170	Syai.g_00096, Syai.g_00095
OG0000033	Pran.g_00263	Syai.g_02634
OG0000034	Pran.g_00866	Syai.g_02192, Syai.g_02604
OG0000035	Pran.g_00733	Syai.g_00955
OG0000037	Pran.g_00324	Syai.g_02544, Syai.g_02815
OG0000038	Pran.g_01210	Syai.g_02780
OG0000039	Pran.g_01492	Syai.g_02034
OG0000041	Pran.g_01016	Syai.g_02265
OG0000042	Pran.g_01167	Syai.g_00099
OG0000044	Pran.g_00949	Syai.g_00833
OG0000045	Pran.g_01823	Syai.g_02432
OG0000047	Pran.g_01864	Syai.g_00462
OG0000048	Pran.g_01772, Pran.g_01820	Syai.g_00272
OG0000050	Pran.g_01789, Pran.g_00936, Pran.g_00946	Syai.g_01893
OG0000051	Pran.g_00898	Syai.g_01773
OG0000052	Pran.g_00777	Syai.g_00176
OG0000053	Pran.g_00713	Syai.g_00930
OG0000054	Pran.g_01572	Syai.g_01040
OG0000055	Pran.g_01362	Syai.g_02029
OG0000057	Pran.g_01480	Syai.g_01997
OG0000058	Pran.g_00807	Syai.g_00195
OG0000059	Pran.g_01056	Syai.g_00351
OG0000060	Pran.g_01399	Syai.g_01758
OG0000061	Pran.g_00060	Syai.g_02144
OG0000063	Pran.g_00391	Syai.g_00042
OG0000066	Pran.g_01639	Syai.g_01709, Syai.g_00719
OG0000067	Pran.g_01343	Syai.g_01321
OG0000068	Pran.g_00841	Syai.g_00628
OG0000070	Pran.g_01727	Syai.g_02196
OG0000071	Pran.g_00938, Pran.g_00876	Syai.g_02179
OG0000072	Pran.g_00261	Syai.g_02636
OG0000073	Pran.g_01679	Syai.g_00659
OG0000075	Pran.g_01137	Syai.g_00161
OG0000076	Pran.g_01160	Syai.g_00111
OG0000077	Pran.g_00354	Syai.g_02486
OG0000078	Pran.g_00194	Syai.g_00543
OG0000079	Pran.g_01940	Syai.g_00300
OG0000081	Pran.g_01647	Syai.g_00553
OG0000082	Pran.g_01593	Syai.g_00781
OG0000084	Pran.g_00737	Syai.g_00958
OG0000085	Pran.g_00963	Syai.g_02365
OG0000086	Pran.g_00344	Syai.g_02507
OG0000087	Pran.g_00295	Syai.g_02592
OG0000088	Pran.g_00266	Syai.g_02630
OG0000089	Pran.g_01839	Syai.g_00517
OG0000090	Pran.g_01645	Syai.g_00707
OG0000091	Pran.g_01536	Syai.g_01112
OG0000092	Pran.g_00434	Syai.g_01358
OG0000094	Pran.g_00549	Syai.g_01424
OG0000097	Pran.g_00019	Syai.g_01787
OG0000098	Pran.g_00855	Syai.g_01718
OG0000099	Pran.g_00806	Syai.g_00199
OG0000100	Pran.g_00659	Syai.g_01372
OG0000101	Pran.g_01105	Syai.g_00404
OG0000102	Pran.g_01165	Syai.g_00106
OG0000103	Pran.g_01244	Syai.g_02912
OG0000104	Pran.g_01253	Syai.g_02929
OG0000105	Pran.g_01920	Syai.g_00267
OG0000106	Pran.g_01824	Syai.g_01601
OG0000107	Pran.g_01808	Syai.g_00319
OG0000108	Pran.g_01698	Syai.g_00638
OG0000109	Pran.g_01684	Syai.g_00653
OG0000110	Pran.g_01603	Syai.g_00766
OG0000111	Pran.g_01479	Syai.g_00884
OG0000112	Pran.g_01378	Syai.g_01512
OG0000113	Pran.g_01321	Syai.g_01367
OG0000114	Pran.g_00429	Syai.g_01261
OG0000115	Pran.g_00123	Syai.g_00932
OG0000116	Pran.g_00070	Syai.g_02156
OG0000117	Pran.g_01466	Syai.g_01756
OG0000118	Pran.g_00864	Syai.g_00818
OG0000119	Pran.g_00845	Syai.g_02127
OG0000120	Pran.g_00752	Syai.g_00198
OG0000121	Pran.g_00731	Syai.g_00951
OG0000122	Pran.g_00693	Syai.g_01143
OG0000123	Pran.g_01112	Syai.g_00411
OG0000124	Pran.g_01176	Syai.g_00089
OG0000125	Pran.g_01212	Syai.g_02782
OG0000126	Pran.g_01252	Syai.g_02927
OG0000128	Pran.g_01268	Syai.g_00012
OG0000129	Pran.g_00381	Syai.g_02771
OG0000130	Pran.g_00363	Syai.g_02474
OG0000131	Pran.g_00288	Syai.g_02608
OG0000132	Pran.g_00268	Syai.g_02628
OG0000133	Pran.g_01872	Syai.g_01507
OG0000134	Pran.g_01838	Syai.g_00520
OG0000135	Pran.g_01812	Syai.g_02826
OG0000136	Pran.g_01739	Syai.g_02217
OG0000137	Pran.g_01703	Syai.g_00865
OG0000138	Pran.g_01683	Syai.g_00654
OG0000139	Pran.g_01641	Syai.g_00714
OG0000140	Pran.g_01640	Syai.g_00716
OG0000141	Pran.g_01571	Syai.g_01041
OG0000142	Pran.g_01543	Syai.g_01104
OG0000143	Pran.g_01539	Syai.g_01108
OG0000144	Pran.g_01526	Syai.g_01608
OG0000145	Pran.g_01400	Syai.g_00660
OG0000146	Pran.g_01377	Syai.g_01513
OG0000147	Pran.g_01376	Syai.g_01514
OG0000148	Pran.g_01327	Syai.g_01361
OG0000149	Pran.g_01297	Syai.g_02059
OG0000150	Pran.g_01289	Syai.g_00717
OG0000151	Pran.g_00439	Syai.g_01280
OG0000152	Pran.g_00487	Syai.g_01503
OG0000153	Pran.g_00506	Syai.g_01461
OG0000154	Pran.g_00542	Syai.g_01434
OG0000155	Pran.g_00040	Syai.g_02109
OG0000156	Pran.g_00887	Syai.g_02162
OG0000157	Pran.g_00886	Syai.g_02163
OG0000158	Pran.g_00822	Syai.g_00135
OG0000160	Pran.g_00732	Syai.g_00952
OG0000161	Pran.g_00726	Syai.g_00946
OG0000162	Pran.g_00720	Syai.g_00939
OG0000163	Pran.g_00686	Syai.g_02300
OG0000164	Pran.g_00994	Syai.g_02411
OG0000165	Pran.g_01001	Syai.g_02244
OG0000166	Pran.g_01069, Pran.g_01068	Syai.g_00364
OG0000167	Pran.g_01135	Syai.g_00164
OG0000168	Pran.g_01144	Syai.g_00134
OG0000169	Pran.g_01154	Syai.g_00123
OG0000170	Pran.g_01156	Syai.g_00116
OG0000171	Pran.g_01175	Syai.g_00090
OG0000172	Pran.g_01184	Syai.g_00083
OG0000173	Pran.g_01199	Syai.g_00064
OG0000174	Pran.g_01226	Syai.g_02828
OG0000175	Pran.g_01236	Syai.g_02901
OG0000176	Pran.g_01261	Syai.g_00004
OG0000177	Pran.g_01262	Syai.g_00005
OG0000178	Pran.g_01263	Syai.g_00006
OG0000179	Pran.g_00408	Syai.g_00023
OG0000180	Pran.g_00407	Syai.g_00024
OG0000181	Pran.g_00406	Syai.g_00025
OG0000182	Pran.g_00405	Syai.g_00026
OG0000183	Pran.g_00401	Syai.g_00030
OG0000184	Pran.g_00379	Syai.g_02756
OG0000185	Pran.g_00376	Syai.g_02734
OG0000186	Pran.g_00368	Syai.g_02469
OG0000187	Pran.g_00367	Syai.g_02471
OG0000188	Pran.g_00350	Syai.g_02494
OG0000189	Pran.g_00337	Syai.g_02530
OG0000190	Pran.g_00336	Syai.g_02532
OG0000191	Pran.g_00316	Syai.g_02562
OG0000192	Pran.g_00312	Syai.g_02569
OG0000193	Pran.g_00287	Syai.g_02609
OG0000194	Pran.g_00283	Syai.g_02612
OG0000195	Pran.g_00281	Syai.g_02614
OG0000196	Pran.g_00271	Syai.g_02625
OG0000197	Pran.g_00270	Syai.g_02626
OG0000198	Pran.g_00269	Syai.g_02627
OG0000199	Pran.g_00262	Syai.g_02635
OG0000200	Pran.g_00248	Syai.g_02651
OG0000202	Pran.g_00239	Syai.g_02668
OG0000203	Pran.g_00238	Syai.g_02669
OG0000204	Pran.g_00237	Syai.g_02670
OG0000205	Pran.g_00230	Syai.g_02677
OG0000206	Pran.g_00225	Syai.g_02684
OG0000207	Pran.g_00223	Syai.g_02686
OG0000208	Pran.g_00222	Syai.g_02687
OG0000209	Pran.g_00213	Syai.g_02699
OG0000210	Pran.g_00212	Syai.g_02700
OG0000212	Pran.g_00193	Syai.g_00544
OG0000213	Pran.g_01935	Syai.g_00292
OG0000214	Pran.g_01926	Syai.g_00276
OG0000215	Pran.g_01902	Syai.g_00245
OG0000216	Pran.g_01900	Syai.g_00241
OG0000217	Pran.g_01897	Syai.g_00237
OG0000218	Pran.g_01895	Syai.g_00235
OG0000219	Pran.g_01894	Syai.g_00234
OG0000220	Pran.g_01893	Syai.g_00233
OG0000221	Pran.g_01892	Syai.g_00227
OG0000222	Pran.g_01884	Syai.g_00215
OG0000223	Pran.g_01871	Syai.g_00194
OG0000224	Pran.g_01869	Syai.g_00186
OG0000225	Pran.g_01849	Syai.g_00502
OG0000226	Pran.g_01845	Syai.g_00506
OG0000227	Pran.g_01843	Syai.g_00508
OG0000228	Pran.g_01840	Syai.g_00516
OG0000229	Pran.g_01744	Syai.g_02228
OG0000230	Pran.g_01742	Syai.g_02226
OG0000231	Pran.g_01728	Syai.g_02208
OG0000232	Pran.g_01720	Syai.g_00846
OG0000233	Pran.g_01715	Syai.g_00855
OG0000234	Pran.g_01702	Syai.g_00866
OG0000235	Pran.g_01699	Syai.g_00637
OG0000236	Pran.g_01685	Syai.g_00652
OG0000237	Pran.g_01672	Syai.g_00669
OG0000238	Pran.g_01666	Syai.g_00674
OG0000239	Pran.g_01653	Syai.g_00691
OG0000240	Pran.g_01652	Syai.g_00692
OG0000241	Pran.g_01648	Syai.g_01089, Syai.g_01085
OG0000242	Pran.g_01646	Syai.g_00705
OG0000243	Pran.g_01635	Syai.g_00726
OG0000244	Pran.g_01632	Syai.g_00731
OG0000245	Pran.g_01630	Syai.g_00733
OG0000246	Pran.g_01626	Syai.g_00737
OG0000247	Pran.g_01616	Syai.g_00748
OG0000248	Pran.g_01613	Syai.g_00751
OG0000249	Pran.g_01611	Syai.g_00753
OG0000250	Pran.g_01606	Syai.g_00762
OG0000251	Pran.g_01587	Syai.g_00789
OG0000252	Pran.g_01584	Syai.g_00797
OG0000253	Pran.g_01583	Syai.g_00798
