Orthogroup	Pran	Syak
OG0000001	Pran.g_01395	Syak.g_00342
OG0000004	Pran.g_01483	Syak.g_01219, Syak.g_00720
OG0000004	Pran.g_00200	Syak.g_00003, Syak.g_02297
OG0000005	Pran.g_00983	Syak.g_02401
OG0000005	Pran.g_00657	Syak.g_00885, Syak.g_02436
OG0000006	Pran.g_01951	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Pran.g_01681	Syak.g_02595
OG0000007	Pran.g_00970	Syak.g_02416
OG0000009	Pran.g_00328	Syak.g_02194
OG0000010	Pran.g_00175, Pran.g_01704	Syak.g_01119
OG0000012	Pran.g_01555	Syak.g_00010
OG0000013	Pran.g_01867	Syak.g_01275, Syak.g_01270
OG0000014	Pran.g_01888	Syak.g_01505
OG0000014	Pran.g_00755, Pran.g_00754	Syak.g_01582
OG0000015	Pran.g_01394	Syak.g_00358
OG0000017	Pran.g_01580	Syak.g_02730
OG0000018	Pran.g_00078, Pran.g_01316	Syak.g_01072
OG0000019	Pran.g_01943, Pran.g_01363	Syak.g_01413
OG0000021	Pran.g_01829	Syak.g_00566
OG0000022	Pran.g_01401, Pran.g_00097	Syak.g_00088
OG0000023	Pran.g_01834	Syak.g_00316, Syak.g_00223
OG0000025	Pran.g_01309, Pran.g_01863	Syak.g_00610
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syak.g_01757
OG0000027	Pran.g_00583	Syak.g_00127
OG0000028	Pran.g_01874	Syak.g_01522
OG0000029	Pran.g_01410	Syak.g_00169, Syak.g_00178
OG0000030	Pran.g_01170	Syak.g_01684, Syak.g_01685
OG0000031	Pran.g_00753	Syak.g_01630
OG0000033	Pran.g_00800, Pran.g_00263	Syak.g_02101
OG0000034	Pran.g_00866	Syak.g_00950, Syak.g_02133
OG0000035	Pran.g_00733	Syak.g_01041
OG0000037	Pran.g_00324	Syak.g_02188
OG0000038	Pran.g_01210	Syak.g_01938, Syak.g_01936
OG0000039	Pran.g_01492	Syak.g_00772, Syak.g_01918
OG0000041	Pran.g_01016	Syak.g_02354
OG0000042	Pran.g_01167	Syak.g_00843, Syak.g_01681
OG0000043	Pran.g_00179	Syak.g_00335
OG0000044	Pran.g_00949	Syak.g_00153
OG0000045	Pran.g_01823	Syak.g_00228
OG0000047	Pran.g_01864	Syak.g_01147
OG0000048	Pran.g_01772, Pran.g_01820	Syak.g_01446
OG0000050	Pran.g_01789, Pran.g_00936, Pran.g_00946	Syak.g_00106
OG0000052	Pran.g_00777	Syak.g_01549
OG0000053	Pran.g_00713	Syak.g_01068
OG0000054	Pran.g_01572	Syak.g_02744
OG0000055	Pran.g_01362	Syak.g_00766
OG0000057	Pran.g_01480	Syak.g_00724
OG0000058	Pran.g_00807	Syak.g_01530
OG0000059	Pran.g_01056	Syak.g_01355
OG0000060	Pran.g_01399	Syak.g_00844
OG0000061	Pran.g_00060	Syak.g_00898
OG0000063	Pran.g_00391	Syak.g_01752
OG0000065	Pran.g_00326	Syak.g_02192, Syak.g_00282
OG0000066	Pran.g_01639	Syak.g_02653
OG0000067	Pran.g_01343	Syak.g_00434
OG0000068	Pran.g_00841	Syak.g_02565
OG0000070	Pran.g_01727	Syak.g_01174
OG0000071	Pran.g_00938, Pran.g_00876	Syak.g_00936
OG0000072	Pran.g_00261	Syak.g_02099
OG0000073	Pran.g_01679	Syak.g_02597
OG0000075	Pran.g_01137	Syak.g_01564
OG0000076	Pran.g_01160	Syak.g_01650
OG0000077	Pran.g_00354	Syak.g_02243
OG0000078	Pran.g_00194	Syak.g_02310
OG0000079	Pran.g_01940	Syak.g_01417
OG0000081	Pran.g_01647	Syak.g_00115
OG0000082	Pran.g_01593	Syak.g_02711
OG0000084	Pran.g_00737	Syak.g_01036
OG0000085	Pran.g_00963	Syak.g_02427
OG0000086	Pran.g_00344	Syak.g_02219
OG0000087	Pran.g_00295	Syak.g_02141
OG0000088	Pran.g_00266	Syak.g_02106
OG0000089	Pran.g_01839	Syak.g_01215
OG0000090	Pran.g_01645	Syak.g_02640
OG0000091	Pran.g_01536	Syak.g_00043
OG0000092	Pran.g_00434	Syak.g_01126
OG0000094	Pran.g_00549	Syak.g_00656
OG0000097	Pran.g_00019	Syak.g_00816
OG0000098	Pran.g_00855	Syak.g_00345
OG0000099	Pran.g_00806	Syak.g_01527
OG0000100	Pran.g_00659	Syak.g_00622
OG0000101	Pran.g_01105	Syak.g_01305
OG0000102	Pran.g_01165	Syak.g_01661
OG0000103	Pran.g_01244	Syak.g_01812
OG0000104	Pran.g_01253	Syak.g_01799
OG0000105	Pran.g_01920	Syak.g_01451
OG0000106	Pran.g_01824	Syak.g_00096
OG0000107	Pran.g_01808	Syak.g_01392
OG0000108	Pran.g_01698	Syak.g_02574
OG0000109	Pran.g_01684	Syak.g_01061
OG0000110	Pran.g_01603	Syak.g_02698
OG0000111	Pran.g_01479	Syak.g_00725
OG0000112	Pran.g_01378	Syak.g_00512
OG0000113	Pran.g_01321	Syak.g_00461
OG0000114	Pran.g_00429	Syak.g_00373
OG0000115	Pran.g_00123	Syak.g_01066
OG0000116	Pran.g_00070	Syak.g_00911
OG0000117	Pran.g_01466	Syak.g_00846
OG0000118	Pran.g_00864	Syak.g_00954
OG0000119	Pran.g_00845	Syak.g_00917
OG0000120	Pran.g_00752	Syak.g_01526
OG0000121	Pran.g_00731	Syak.g_01044
OG0000122	Pran.g_00693	Syak.g_00081
OG0000123	Pran.g_01112	Syak.g_01299
OG0000124	Pran.g_01176	Syak.g_01692
OG0000125	Pran.g_01212	Syak.g_01934
OG0000126	Pran.g_01252	Syak.g_01801
OG0000128	Pran.g_01268	Syak.g_01782
OG0000129	Pran.g_00381	Syak.g_01947
OG0000130	Pran.g_00363	Syak.g_02255
OG0000131	Pran.g_00288	Syak.g_02128
OG0000132	Pran.g_00268	Syak.g_02108
OG0000133	Pran.g_01872	Syak.g_00507
OG0000134	Pran.g_01838	Syak.g_01212
OG0000135	Pran.g_01812	Syak.g_01897
OG0000136	Pran.g_01739	Syak.g_01186
OG0000137	Pran.g_01703	Syak.g_01118
OG0000138	Pran.g_01683	Syak.g_02591
OG0000139	Pran.g_01641	Syak.g_02646
OG0000140	Pran.g_01640	Syak.g_02650
OG0000141	Pran.g_01571	Syak.g_02746
OG0000142	Pran.g_01543	Syak.g_00035
OG0000143	Pran.g_01539	Syak.g_00039
OG0000144	Pran.g_01526	Syak.g_00260
OG0000145	Pran.g_01400	Syak.g_02598
OG0000146	Pran.g_01377	Syak.g_00514
OG0000147	Pran.g_01376	Syak.g_00515
OG0000148	Pran.g_01327	Syak.g_00455
OG0000149	Pran.g_01297	Syak.g_00596
OG0000150	Pran.g_01289	Syak.g_02747
OG0000151	Pran.g_00439	Syak.g_00387
OG0000152	Pran.g_00487	Syak.g_00503
OG0000153	Pran.g_00506	Syak.g_00470
OG0000154	Pran.g_00542	Syak.g_00645
OG0000155	Pran.g_00040	Syak.g_00855
OG0000156	Pran.g_00887	Syak.g_00919
OG0000157	Pran.g_00886	Syak.g_00920
OG0000158	Pran.g_00822	Syak.g_01624
OG0000160	Pran.g_00732	Syak.g_01043
OG0000161	Pran.g_00726	Syak.g_01050
OG0000162	Pran.g_00720	Syak.g_01058
OG0000163	Pran.g_00686	Syak.g_02478
OG0000164	Pran.g_00994	Syak.g_02384
OG0000165	Pran.g_01001	Syak.g_02374
OG0000166	Pran.g_01069, Pran.g_01068	Syak.g_01345
OG0000167	Pran.g_01135	Syak.g_01561
OG0000168	Pran.g_01144	Syak.g_01625
OG0000169	Pran.g_01154	Syak.g_01637
OG0000170	Pran.g_01156	Syak.g_01644
OG0000171	Pran.g_01175	Syak.g_01691
OG0000172	Pran.g_01184	Syak.g_01713
OG0000173	Pran.g_01199	Syak.g_01733
OG0000174	Pran.g_01226	Syak.g_01895
OG0000175	Pran.g_01236	Syak.g_01827
OG0000176	Pran.g_01261	Syak.g_01790
OG0000177	Pran.g_01262	Syak.g_01789
OG0000178	Pran.g_01263	Syak.g_01788
OG0000179	Pran.g_00408	Syak.g_01773
OG0000180	Pran.g_00407	Syak.g_01772
OG0000181	Pran.g_00406	Syak.g_01771
OG0000182	Pran.g_00405	Syak.g_01770
OG0000183	Pran.g_00401	Syak.g_01766
OG0000184	Pran.g_00379	Syak.g_01955
OG0000185	Pran.g_00376	Syak.g_01971
OG0000186	Pran.g_00368	Syak.g_02258
OG0000187	Pran.g_00367	Syak.g_02257
OG0000188	Pran.g_00350	Syak.g_02235
OG0000189	Pran.g_00337	Syak.g_02203
OG0000190	Pran.g_00336	Syak.g_01575
OG0000191	Pran.g_00316	Syak.g_02171
OG0000192	Pran.g_00312	Syak.g_02165
OG0000193	Pran.g_00287	Syak.g_02127
OG0000194	Pran.g_00283	Syak.g_02124
OG0000195	Pran.g_00281	Syak.g_02122
OG0000196	Pran.g_00271	Syak.g_02111
OG0000197	Pran.g_00270	Syak.g_02110
OG0000198	Pran.g_00269	Syak.g_02109
OG0000199	Pran.g_00262	Syak.g_02100
OG0000200	Pran.g_00248	Syak.g_02083
OG0000201	Pran.g_00240	Syak.g_02068
OG0000202	Pran.g_00239	Syak.g_02067
OG0000203	Pran.g_00238	Syak.g_02066
OG0000204	Pran.g_00237	Syak.g_02065
OG0000205	Pran.g_00230	Syak.g_02058
OG0000206	Pran.g_00225	Syak.g_02038
OG0000207	Pran.g_00223	Syak.g_02025
OG0000208	Pran.g_00222	Syak.g_02024
OG0000209	Pran.g_00213	Syak.g_01995
OG0000210	Pran.g_00212	Syak.g_01994
OG0000211	Pran.g_00199	Syak.g_02017
OG0000212	Pran.g_00193	Syak.g_02311
OG0000213	Pran.g_01935	Syak.g_01425
OG0000214	Pran.g_01926	Syak.g_01442
OG0000215	Pran.g_01902	Syak.g_01474
OG0000216	Pran.g_01900	Syak.g_01478
OG0000217	Pran.g_01897	Syak.g_01482
OG0000218	Pran.g_01895	Syak.g_01484
OG0000219	Pran.g_01894	Syak.g_01485
OG0000220	Pran.g_01893	Syak.g_01486
OG0000221	Pran.g_01892	Syak.g_01498
OG0000222	Pran.g_01884	Syak.g_01512
OG0000223	Pran.g_01871	Syak.g_01531
OG0000224	Pran.g_01869	Syak.g_01532
OG0000225	Pran.g_01849	Syak.g_01230
OG0000226	Pran.g_01845	Syak.g_01226
OG0000227	Pran.g_01843	Syak.g_01224
OG0000228	Pran.g_01840	Syak.g_01216
OG0000229	Pran.g_01744	Syak.g_01191
OG0000230	Pran.g_01742	Syak.g_01189
OG0000231	Pran.g_01728	Syak.g_01176
OG0000232	Pran.g_01720	Syak.g_01156
OG0000233	Pran.g_01715	Syak.g_01145
OG0000234	Pran.g_01702	Syak.g_01116
OG0000235	Pran.g_01699	Syak.g_02573
OG0000236	Pran.g_01685	Syak.g_02589
OG0000237	Pran.g_01672	Syak.g_02607
OG0000238	Pran.g_01666	Syak.g_02612
OG0000239	Pran.g_01653	Syak.g_02628
OG0000240	Pran.g_01652	Syak.g_02629
OG0000241	Pran.g_01648	Syak.g_00027
OG0000242	Pran.g_01646	Syak.g_02638
OG0000243	Pran.g_01635	Syak.g_02658
OG0000244	Pran.g_01632	Syak.g_02665
OG0000245	Pran.g_01630	Syak.g_02667
OG0000246	Pran.g_01626	Syak.g_02671
OG0000247	Pran.g_01616	Syak.g_02681
OG0000248	Pran.g_01613	Syak.g_02684
OG0000249	Pran.g_01611	Syak.g_02686
OG0000250	Pran.g_01606	Syak.g_02694
OG0000251	Pran.g_01587	Syak.g_02722
OG0000252	Pran.g_01584	Syak.g_02725
OG0000253	Pran.g_01583	Syak.g_02727
OG0000254	Pran.g_01567	Syak.g_02752
OG0000255	Pran.g_01561	Syak.g_02772
OG0000256	Pran.g_01551	Syak.g_00020
OG0000257	Pran.g_01548	Syak.g_00026
OG0000258	Pran.g_01535	Syak.g_00044
OG0000259	Pran.g_01518	Syak.g_00334
OG0000260	Pran.g_01515	Syak.g_00338
OG0000261	Pran.g_01513	Syak.g_00348
OG0000262	Pran.g_01509	Syak.g_00353
OG0000263	Pran.g_01497	Syak.g_00828
OG0000264	Pran.g_01487	Syak.g_00698
OG0000265	Pran.g_01460	Syak.g_00211
OG0000266	Pran.g_01450	Syak.g_00778
OG0000267	Pran.g_01439	Syak.g_00555
OG0000268	Pran.g_01438	Syak.g_00554
OG0000269	Pran.g_01348	Syak.g_00429
OG0000270	Pran.g_01345	Syak.g_00432
OG0000271	Pran.g_01337	Syak.g_00440
OG0000272	Pran.g_01336	Syak.g_00441
OG0000274	Pran.g_01312	Syak.g_00615
OG0000275	Pran.g_01310	Syak.g_00611
OG0000276	Pran.g_01305	Syak.g_00604
OG0000277	Pran.g_01304	Syak.g_00603
OG0000278	Pran.g_01301	Syak.g_00600
OG0000279	Pran.g_01294	Syak.g_00592
OG0000280	Pran.g_01293	Syak.g_00582
OG0000281	Pran.g_01287	Syak.g_00339
OG0000282	Pran.g_00431	Syak.g_00375
OG0000283	Pran.g_00464	Syak.g_00541
OG0000284	Pran.g_00469	Syak.g_00536
OG0000285	Pran.g_00474	Syak.g_00523
OG0000286	Pran.g_00486	Syak.g_00504
OG0000287	Pran.g_00503	Syak.g_00477
OG0000288	Pran.g_00541	Syak.g_00644
OG0000289	Pran.g_00552	Syak.g_00659
OG0000290	Pran.g_00565	Syak.g_00738
OG0000291	Pran.g_00567	Syak.g_00737
OG0000292	Pran.g_00135	Syak.g_01802
OG0000293	Pran.g_00069	Syak.g_00910
OG0000294	Pran.g_00068	Syak.g_00909
OG0000295	Pran.g_00048	Syak.g_00863
OG0000296	Pran.g_00046	Syak.g_00861
OG0000297	Pran.g_00038	Syak.g_00848
OG0000298	Pran.g_00037	Syak.g_00847
OG0000299	Pran.g_00020	Syak.g_00820
OG0000300	Pran.g_00017	Syak.g_00813
OG0000301	Pran.g_00016	Syak.g_00812
OG0000302	Pran.g_00014	Syak.g_00811
OG0000303	Pran.g_00007	Syak.g_00674
OG0000304	Pran.g_00003	Syak.g_00680
OG0000305	Pran.g_00848	Syak.g_00732
OG0000306	Pran.g_00846	Syak.g_00094
OG0000307	Pran.g_00832	Syak.g_02556
OG0000308	Pran.g_00831	Syak.g_02554
OG0000309	Pran.g_00827	Syak.g_02549
OG0000310	Pran.g_00748	Syak.g_00994
OG0000311	Pran.g_00746	Syak.g_00999
OG0000312	Pran.g_00743	Syak.g_01028
OG0000313	Pran.g_00729	Syak.g_01046
OG0000314	Pran.g_00706	Syak.g_01079
OG0000315	Pran.g_00696	Syak.g_01090
OG0000316	Pran.g_00676	Syak.g_02462
OG0000317	Pran.g_00968	Syak.g_02419
OG0000318	Pran.g_00971	Syak.g_02415
OG0000319	Pran.g_00984	Syak.g_02399
OG0000320	Pran.g_00986	Syak.g_02397
OG0000321	Pran.g_00987	Syak.g_02396
OG0000322	Pran.g_00988	Syak.g_02395
OG0000323	Pran.g_00997	Syak.g_02380
OG0000324	Pran.g_01023	Syak.g_02347
OG0000325	Pran.g_01033	Syak.g_01391
OG0000326	Pran.g_01039	Syak.g_01384
OG0000327	Pran.g_01063	Syak.g_01350
OG0000328	Pran.g_01064	Syak.g_01349
OG0000329	Pran.g_01082	Syak.g_01331
OG0000330	Pran.g_01083	Syak.g_01330
OG0000331	Pran.g_01084	Syak.g_01329
OG0000332	Pran.g_01098	Syak.g_01314
OG0000333	Pran.g_01100	Syak.g_01311
OG0000334	Pran.g_01108	Syak.g_01302
OG0000335	Pran.g_01113	Syak.g_01298
OG0000336	Pran.g_01117	Syak.g_01294
OG0000337	Pran.g_01133	Syak.g_01555
OG0000338	Pran.g_01134	Syak.g_01558
OG0000339	Pran.g_01138	Syak.g_01566
OG0000340	Pran.g_01145	Syak.g_01626
OG0000341	Pran.g_01147	Syak.g_01628
OG0000342	Pran.g_01148	Syak.g_01629
OG0000343	Pran.g_01149	Syak.g_01631
OG0000344	Pran.g_01152	Syak.g_01635
OG0000345	Pran.g_01157	Syak.g_01645
OG0000346	Pran.g_01161	Syak.g_01651
OG0000347	Pran.g_01177	Syak.g_01694
OG0000348	Pran.g_01187	Syak.g_01717
OG0000349	Pran.g_01203	Syak.g_01740
OG0000350	Pran.g_01222	Syak.g_01377
OG0000351	Pran.g_01239	Syak.g_01823
OG0000352	Pran.g_01240	Syak.g_01822
OG0000353	Pran.g_01256	Syak.g_01796
OG0000355	Pran.g_01258	Syak.g_01793
OG0000356	Pran.g_01259	Syak.g_01792
OG0000357	Pran.g_01260	Syak.g_01791
OG0000358	Pran.g_01264	Syak.g_01787
OG0000359	Pran.g_01265	Syak.g_01785
OG0000360	Pran.g_01266	Syak.g_01784
OG0000361	Pran.g_01267	Syak.g_01783
OG0000362	Pran.g_01269	Syak.g_01781
OG0000363	Pran.g_00410	Syak.g_01779
OG0000364	Pran.g_00409	Syak.g_01778
OG0000365	Pran.g_00404	Syak.g_01769
OG0000366	Pran.g_00403	Syak.g_01768
OG0000367	Pran.g_00402	Syak.g_01767
OG0000368	Pran.g_00400	Syak.g_01765
OG0000369	Pran.g_00399	Syak.g_01764
OG0000370	Pran.g_00398	Syak.g_01763
OG0000371	Pran.g_00392	Syak.g_01753
OG0000372	Pran.g_00389	Syak.g_01748
OG0000373	Pran.g_00388	Syak.g_01747
OG0000374	Pran.g_00387	Syak.g_01746
OG0000375	Pran.g_00385	Syak.g_01744
OG0000376	Pran.g_00383	Syak.g_01742
OG0000377	Pran.g_00380	Syak.g_01948
OG0000378	Pran.g_00378	Syak.g_01968
OG0000379	Pran.g_00375	Syak.g_01972
OG0000380	Pran.g_00366	Syak.g_02256
OG0000381	Pran.g_00362	Syak.g_02254
OG0000382	Pran.g_00351	Syak.g_02236
OG0000383	Pran.g_00349	Syak.g_02229
OG0000384	Pran.g_00348	Syak.g_02228
OG0000385	Pran.g_00347	Syak.g_02227
OG0000386	Pran.g_00346	Syak.g_02226
OG0000387	Pran.g_00334	Syak.g_02200
OG0000388	Pran.g_00331	Syak.g_02196
OG0000389	Pran.g_00327	Syak.g_02345, Syak.g_02193
OG0000390	Pran.g_00320	Syak.g_02177
OG0000391	Pran.g_00317	Syak.g_02172
OG0000392	Pran.g_00313	Syak.g_02166
OG0000393	Pran.g_00311	Syak.g_02163
OG0000394	Pran.g_00310	Syak.g_02162
OG0000395	Pran.g_00309	Syak.g_02161
OG0000396	Pran.g_00307	Syak.g_02158
OG0000397	Pran.g_00305	Syak.g_02156
OG0000398	Pran.g_00303	Syak.g_02151
OG0000399	Pran.g_00302	Syak.g_02150
OG0000400	Pran.g_00301	Syak.g_02149
OG0000401	Pran.g_00300	Syak.g_02148
OG0000402	Pran.g_00298	Syak.g_02146
OG0000403	Pran.g_00297	Syak.g_02145
OG0000404	Pran.g_00296	Syak.g_02143
OG0000405	Pran.g_00292	Syak.g_02131
OG0000406	Pran.g_00286	Syak.g_02126
OG0000407	Pran.g_00285	Syak.g_02125
OG0000408	Pran.g_00282	Syak.g_02123
OG0000409	Pran.g_00280	Syak.g_02121
OG0000410	Pran.g_00279	Syak.g_02120
OG0000411	Pran.g_00278	Syak.g_02119
OG0000412	Pran.g_00277	Syak.g_02118
OG0000413	Pran.g_00276	Syak.g_02116
OG0000415	Pran.g_00274	Syak.g_02114
OG0000416	Pran.g_00273	Syak.g_02113
OG0000417	Pran.g_00272	Syak.g_02112
OG0000418	Pran.g_00267	Syak.g_02107
OG0000419	Pran.g_00265	Syak.g_02105
OG0000420	Pran.g_00264	Syak.g_02103
OG0000421	Pran.g_00259	Syak.g_02097
OG0000422	Pran.g_00258	Syak.g_02096
OG0000423	Pran.g_00257	Syak.g_02095
OG0000424	Pran.g_00256	Syak.g_02094
OG0000425	Pran.g_00255	Syak.g_02093
OG0000426	Pran.g_00254	Syak.g_02092
OG0000427	Pran.g_00253	Syak.g_02091
OG0000428	Pran.g_00251	Syak.g_02088
OG0000429	Pran.g_00250	Syak.g_02086
OG0000430	Pran.g_00249	Syak.g_02084
OG0000431	Pran.g_00247	Syak.g_02081
OG0000432	Pran.g_00244	Syak.g_02075
OG0000433	Pran.g_00243	Syak.g_02073
OG0000434	Pran.g_00242	Syak.g_02072
OG0000435	Pran.g_00241	Syak.g_02071
OG0000436	Pran.g_00236	Syak.g_02064
OG0000437	Pran.g_00235	Syak.g_02063
OG0000438	Pran.g_00234	Syak.g_02062
OG0000439	Pran.g_00232	Syak.g_02060
OG0000440	Pran.g_00231	Syak.g_02059
OG0000441	Pran.g_00228	Syak.g_02053
OG0000442	Pran.g_00227	Syak.g_02043
OG0000443	Pran.g_00226	Syak.g_02041
OG0000444	Pran.g_00221	Syak.g_02022
OG0000445	Pran.g_00220	Syak.g_02015
OG0000446	Pran.g_00219	Syak.g_02013
OG0000447	Pran.g_00218	Syak.g_02006
OG0000448	Pran.g_00217	Syak.g_02005
OG0000449	Pran.g_00216	Syak.g_02004
OG0000450	Pran.g_00215	Syak.g_01998
OG0000451	Pran.g_00214	Syak.g_01997
OG0000452	Pran.g_00211	Syak.g_01993
OG0000453	Pran.g_00210	Syak.g_01992
OG0000454	Pran.g_00209	Syak.g_01991
OG0000455	Pran.g_00208	Syak.g_01990
OG0000456	Pran.g_00207	Syak.g_01989
OG0000457	Pran.g_00206	Syak.g_01987
OG0000458	Pran.g_00205	Syak.g_01986
OG0000459	Pran.g_00204	Syak.g_01985
OG0000460	Pran.g_00197	Syak.g_02303
OG0000461	Pran.g_01950	Syak.g_01402
OG0000462	Pran.g_01948	Syak.g_01405
OG0000463	Pran.g_01947	Syak.g_01406
OG0000464	Pran.g_01946	Syak.g_01407
OG0000465	Pran.g_01945	Syak.g_01409
OG0000466	Pran.g_01942	Syak.g_01414
OG0000467	Pran.g_01941	Syak.g_01416
OG0000468	Pran.g_01939	Syak.g_01421
OG0000469	Pran.g_01931	Syak.g_01436
OG0000470	Pran.g_01929	Syak.g_01438
OG0000471	Pran.g_01928	Syak.g_01439
OG0000472	Pran.g_01927	Syak.g_01441
OG0000473	Pran.g_01925	Syak.g_01443
OG0000474	Pran.g_01924	Syak.g_01444
OG0000475	Pran.g_01923	Syak.g_01445
OG0000476	Pran.g_01922	Syak.g_01447
OG0000477	Pran.g_01919	Syak.g_01453
OG0000478	Pran.g_01918	Syak.g_01454
OG0000479	Pran.g_01917	Syak.g_01455
OG0000480	Pran.g_01912	Syak.g_01462
OG0000481	Pran.g_01910	Syak.g_01464
OG0000482	Pran.g_01909	Syak.g_01465
OG0000483	Pran.g_01906	Syak.g_01469
OG0000484	Pran.g_01905	Syak.g_01470
OG0000485	Pran.g_01904	Syak.g_01472
OG0000486	Pran.g_01903	Syak.g_01473
OG0000487	Pran.g_01899	Syak.g_01479
OG0000488	Pran.g_01896	Syak.g_01483
OG0000489	Pran.g_01891	Syak.g_01499
OG0000490	Pran.g_01886	Syak.g_01507
OG0000491	Pran.g_01885	Syak.g_01511
OG0000492	Pran.g_01883	Syak.g_01513
OG0000493	Pran.g_01882	Syak.g_01514
OG0000494	Pran.g_01881	Syak.g_01515
OG0000495	Pran.g_01880	Syak.g_01516
OG0000496	Pran.g_01879	Syak.g_01517
OG0000497	Pran.g_01878	Syak.g_01518
OG0000498	Pran.g_01877	Syak.g_01519
OG0000499	Pran.g_01876	Syak.g_01520
OG0000500	Pran.g_01875	Syak.g_01521
OG0000501	Pran.g_01873	Syak.g_01524
OG0000502	Pran.g_01870	Syak.g_01538
OG0000503	Pran.g_01860	Syak.g_01246
OG0000504	Pran.g_01859	Syak.g_01244
OG0000505	Pran.g_01858	Syak.g_01243
OG0000506	Pran.g_01857	Syak.g_01241
OG0000507	Pran.g_01854	Syak.g_01235
OG0000508	Pran.g_01850	Syak.g_01231
OG0000509	Pran.g_01848	Syak.g_01229
OG0000510	Pran.g_01847	Syak.g_01228
OG0000511	Pran.g_01846	Syak.g_01227
OG0000512	Pran.g_01844	Syak.g_01225
OG0000513	Pran.g_01837	Syak.g_01211
OG0000514	Pran.g_01749	Syak.g_01204
OG0000515	Pran.g_01748	Syak.g_01203
OG0000516	Pran.g_01747	Syak.g_01199
OG0000517	Pran.g_01745	Syak.g_01192
OG0000518	Pran.g_01734	Syak.g_01180
OG0000519	Pran.g_01733	Syak.g_01179
OG0000520	Pran.g_01729	Syak.g_01178
OG0000521	Pran.g_01724	Syak.g_01167
OG0000522	Pran.g_01723	Syak.g_01163
OG0000523	Pran.g_01722	Syak.g_01162
OG0000524	Pran.g_01717	Syak.g_01149
OG0000525	Pran.g_01714	Syak.g_01130
OG0000526	Pran.g_01713	Syak.g_01127
OG0000527	Pran.g_01705	Syak.g_01120
OG0000528	Pran.g_01700	Syak.g_02570
OG0000529	Pran.g_01697	Syak.g_02575
OG0000530	Pran.g_01694	Syak.g_02578
OG0000531	Pran.g_01693	Syak.g_02579
OG0000532	Pran.g_01691	Syak.g_02582
OG0000533	Pran.g_01690	Syak.g_02584
OG0000534	Pran.g_01689	Syak.g_02585
