Orthogroup	Syas	Pray
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Pray.g_01844
OG0000004	Syas.g_00176	Pray.g_01068
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Pray.g_00713
OG0000005	Syas.g_02665	Pray.g_01546
OG0000005	Syas.g_02704	Pray.g_01646
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Pray.g_00722
OG0000007	Syas.g_01232	Pray.g_00988, Pray.g_00987
OG0000007	Syas.g_02681	Pray.g_01559
OG0000008	Syas.g_00886	Pray.g_01931
OG0000009	Syas.g_01450	Pray.g_00184
OG0000010	Syas.g_01334	Pray.g_00592
OG0000012	Syas.g_00111, Syas.g_00827	Pray.g_01140
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Pray.g_00805
OG0000014	Syas.g_01816	Pray.g_00784
OG0000015	Syas.g_02007, Syas.g_00968	Pray.g_00309
OG0000016	Syas.g_02048	Pray.g_01475
OG0000017	Syas.g_00849, Syas.g_00856	Pray.g_01165
OG0000018	Syas.g_01290	Pray.g_00083
OG0000019	Syas.g_01696	Pray.g_00730, Pray.g_00328
OG0000022	Syas.g_02758	Pray.g_00101
OG0000025	Syas.g_00231	Pray.g_00809, Pray.g_00383
OG0000026	Syas.g_02070	Pray.g_01493, Pray.g_00599
OG0000027	Syas.g_01480	Pray.g_00960, Pray.g_01887
OG0000028	Syas.g_01793	Pray.g_01935, Pray.g_00798
OG0000030	Syas.g_01644, Syas.g_01645	Pray.g_01374
OG0000031	Syas.g_01827	Pray.g_01806
OG0000034	Syas.g_02371, Syas.g_02838	Pray.g_01860
OG0000035	Syas.g_02814, Syas.g_02818	Pray.g_01722
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Pray.g_00180
OG0000038	Syas.g_01885, Syas.g_01887	Pray.g_01415
OG0000039	Syas.g_02795	Pray.g_01077
OG0000040	Syas.g_02028	Pray.g_01585
OG0000040	Syas.g_01972	Pray.g_00084
OG0000042	Syas.g_01121, Syas.g_02147	Pray.g_01371
OG0000044	Syas.g_00894, Syas.g_02453	Pray.g_00002
OG0000048	Syas.g_01734	Pray.g_00852
OG0000051	Syas.g_01445	Pray.g_01894
OG0000053	Syas.g_01287	Pray.g_01702
OG0000054	Syas.g_00961, Syas.g_00957	Pray.g_01157
OG0000055	Syas.g_00203	Pray.g_00329
OG0000057	Syas.g_01055, Syas.g_01038	Pray.g_01065
