Orthogroup	Syas	Syan
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syan.g_02266
OG0000003	Syas.g_01418	Syan.g_00157
OG0000004	Syas.g_00176	Syan.g_00183
OG0000004	Syas.g_00174, Syas.g_00311	Syan.g_00989
OG0000005	Syas.g_02665	Syan.g_01423
OG0000005	Syas.g_02704	Syan.g_01378
OG0000006	Syas.g_00942	Syan.g_00057
OG0000006	Syas.g_01684, Syas.g_02565	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Syas.g_01232	Syan.g_02743
OG0000007	Syas.g_02681	Syan.g_01400
OG0000008	Syas.g_00886	Syan.g_00640, Syan.g_02532
OG0000008	Syas.g_00887	Syan.g_00641, Syan.g_02531
OG0000009	Syas.g_01450	Syan.g_02972
OG0000010	Syas.g_01334	Syan.g_02847
OG0000012	Syas.g_00111	Syan.g_00008
OG0000012	Syas.g_00827	Syan.g_00942
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Syan.g_02156, Syan.g_02159
OG0000014	Syas.g_01816	Syan.g_01987
OG0000015	Syas.g_02007	Syan.g_01691
OG0000015	Syas.g_00968	Syan.g_00248
OG0000016	Syas.g_02048	Syan.g_01766
OG0000016	Syas.g_01086	Syan.g_02598
OG0000016	Syas.g_01050	Syan.g_00440
OG0000017	Syas.g_00849	Syan.g_01006
OG0000017	Syas.g_00856	Syan.g_01013
OG0000018	Syas.g_01290	Syan.g_02816
OG0000019	Syas.g_01696	Syan.g_02088
OG0000022	Syas.g_02758	Syan.g_00089
OG0000025	Syas.g_00231	Syan.g_00374
OG0000026	Syas.g_02070	Syan.g_01743
OG0000028	Syas.g_01793	Syan.g_01971
OG0000030	Syas.g_01644	Syan.g_01884
OG0000030	Syas.g_01645	Syan.g_01883
OG0000031	Syas.g_01827	Syan.g_01967
OG0000033	Syas.g_02328	Syan.g_03036
OG0000034	Syas.g_02371, Syas.g_02838	Syan.g_01227, Syan.g_03003
OG0000035	Syas.g_02818	Syan.g_01276
OG0000037	Syas.g_01479	Syan.g_02978
OG0000037	Syas.g_00147, Syas.g_01928	Syan.g_00917
OG0000038	Syas.g_01885	Syan.g_01569
OG0000038	Syas.g_01887	Syan.g_01571
OG0000039	Syas.g_02795	Syan.g_00535
OG0000040	Syas.g_01972	Syan.g_01651
OG0000041	Syas.g_00996	Syan.g_00302
OG0000042	Syas.g_01121	Syan.g_00991, Syan.g_02643
OG0000042	Syas.g_02147	Syan.g_01888
OG0000044	Syas.g_00894, Syas.g_02453	Syan.g_00431, Syan.g_00435
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syan.g_02157, Syan.g_02160
OG0000048	Syas.g_01734	Syan.g_02036
OG0000053	Syas.g_01287	Syan.g_02812
OG0000054	Syas.g_00961	Syan.g_02503
OG0000054	Syas.g_00957	Syan.g_00506
OG0000055	Syas.g_00203	Syan.g_00312
OG0000057	Syas.g_01055	Syan.g_00643, Syan.g_02514
OG0000057	Syas.g_01038	Syan.g_00186
OG0000058	Syas.g_01151	Syan.g_01128, Syan.g_01124
OG0000059	Syas.g_01639	Syan.g_02255
OG0000060	Syas.g_01343, Syas.g_01002	Syan.g_02856
OG0000060	Syas.g_01680	Syan.g_02250
OG0000060	Syas.g_00975	Syan.g_00277
OG0000061	Syas.g_01184	Syan.g_02696
OG0000062	Syas.g_00070	Syan.g_00098
OG0000062	Syas.g_02702	Syan.g_01380
OG0000063	Syas.g_02074	Syan.g_01739
OG0000064	Syas.g_02423	Syan.g_02518
OG0000065	Syas.g_02420	Syan.g_02974
OG0000066	Syas.g_00094	Syan.g_01156
OG0000067	Syas.g_00596	Syan.g_00690
OG0000068	Syas.g_00969	Syan.g_00845
OG0000068	Syas.g_01261	Syan.g_00257
OG0000069	Syas.g_00876	Syan.g_00459
OG0000070	Syas.g_00173	Syan.g_00289
OG0000071	Syas.g_02854	Syan.g_01213
OG0000072	Syas.g_02326	Syan.g_03038
