Orthogroup	Syas	Prag
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prag.g_01374
OG0000004	Syas.g_00176	Prag.g_00673
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prag.g_00225
OG0000005	Syas.g_02665	Prag.g_01682
OG0000005	Syas.g_02704	Prag.g_01566
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prag.g_00234, Prag.g_01231
OG0000007	Syas.g_01232	Prag.g_00476
OG0000007	Syas.g_02681	Prag.g_01669
OG0000008	Syas.g_00886	Prag.g_01655
OG0000008	Syas.g_00887	Prag.g_01656
OG0000009	Syas.g_01450	Prag.g_00098
OG0000010	Syas.g_01334	Prag.g_01043
OG0000012	Syas.g_00111, Syas.g_00827	Prag.g_00601
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prag.g_00318
OG0000014	Syas.g_01816	Prag.g_00297
OG0000015	Syas.g_02007, Syas.g_00968	Prag.g_00765
OG0000016	Syas.g_02048	Prag.g_00013
OG0000017	Syas.g_00849, Syas.g_00856	Prag.g_00576
OG0000018	Syas.g_01290	Prag.g_01134
OG0000019	Syas.g_01696	Prag.g_00242, Prag.g_00786
OG0000022	Syas.g_02758	Prag.g_01116
OG0000025	Syas.g_00231	Prag.g_00322, Prag.g_00839
OG0000026	Syas.g_02070	Prag.g_00031, Prag.g_01050
OG0000027	Syas.g_01480	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syas.g_01793	Prag.g_01270, Prag.g_00311
OG0000030	Syas.g_01644, Syas.g_01645	Prag.g_01871
OG0000034	Syas.g_02371, Syas.g_02838	Prag.g_01365
OG0000035	Syas.g_02814, Syas.g_02818	Prag.g_01490, Prag.g_01488
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prag.g_00102
OG0000038	Syas.g_01885, Syas.g_01887	Prag.g_01911
OG0000039	Syas.g_02795	Prag.g_00664
OG0000040	Syas.g_02028	Prag.g_01630
OG0000040	Syas.g_01972	Prag.g_01133
OG0000041	Syas.g_00996, Syas.g_02585	Prag.g_01716
OG0000042	Syas.g_01121, Syas.g_02147	Prag.g_01868
OG0000048	Syas.g_01734	Prag.g_01658, Prag.g_00368
OG0000051	Syas.g_01445	Prag.g_01645, Prag.g_01329
OG0000053	Syas.g_01287	Prag.g_01510
OG0000054	Syas.g_00961, Syas.g_00957	Prag.g_00584
OG0000055	Syas.g_00203	Prag.g_00787
OG0000057	Syas.g_01055, Syas.g_01038	Prag.g_00676
OG0000059	Syas.g_01639	Prag.g_01755
OG0000060	Syas.g_01343, Syas.g_01002, Syas.g_01680, Syas.g_00975	Prag.g_00760
OG0000061	Syas.g_01184	Prag.g_01153
OG0000062	Syas.g_02702	Prag.g_01568
OG0000063	Syas.g_02074	Prag.g_00033
OG0000065	Syas.g_02420	Prag.g_00100
OG0000066	Syas.g_00094	Prag.g_00518
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prag.g_00806
OG0000068	Syas.g_00969, Syas.g_01261	Prag.g_01389
OG0000069	Syas.g_00779, Syas.g_00876	Prag.g_01601
