Orthogroup	Syas	Prbd
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbd.g_01779
OG0000004	Syas.g_00176	Prbd.g_00549
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbd.g_01007
OG0000005	Syas.g_02665	Prbd.g_01512
OG0000005	Syas.g_02704	Prbd.g_01612
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prbd.g_00998
OG0000007	Syas.g_01232	Prbd.g_00745
OG0000007	Syas.g_02681	Prbd.g_01525
OG0000009	Syas.g_01450	Prbd.g_01139
OG0000010	Syas.g_01334	Prbd.g_00348
OG0000012	Syas.g_00111, Syas.g_00827	Prbd.g_00621
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbd.g_00912
OG0000014	Syas.g_01816	Prbd.g_00933
OG0000015	Syas.g_02007, Syas.g_00968	Prbd.g_00065, Prbd.g_00826
OG0000016	Syas.g_02048	Prbd.g_01224
OG0000017	Syas.g_00849, Syas.g_00856	Prbd.g_00646
OG0000018	Syas.g_01290	Prbd.g_00449
OG0000019	Syas.g_01696	Prbd.g_00990, Prbd.g_00082
OG0000022	Syas.g_02758	Prbd.g_00423
OG0000025	Syas.g_00231	Prbd.g_00908, Prbd.g_00137
OG0000026	Syas.g_02070	Prbd.g_01206, Prbd.g_00355
OG0000027	Syas.g_01480	Prbd.g_00772, Prbd.g_01832
OG0000028	Syas.g_01793	Prbd.g_01864, Prbd.g_00919
OG0000030	Syas.g_01644, Syas.g_01645	Prbd.g_01325
OG0000034	Syas.g_02371, Syas.g_02838	Prbd.g_01791
OG0000035	Syas.g_02814, Syas.g_02818	Prbd.g_01689
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbd.g_01135
OG0000038	Syas.g_01885, Syas.g_01887	Prbd.g_01283
OG0000039	Syas.g_02795	Prbd.g_00558
OG0000040	Syas.g_02028	Prbd.g_01550
OG0000040	Syas.g_01972	Prbd.g_00448
OG0000041	Syas.g_00996, Syas.g_02585	Prbd.g_01478
OG0000042	Syas.g_01121, Syas.g_02147	Prbd.g_01328
OG0000048	Syas.g_01734	Prbd.g_00439, Prbd.g_00864
OG0000051	Syas.g_01445	Prbd.g_01544
OG0000053	Syas.g_01287	Prbd.g_01669
OG0000054	Syas.g_00961, Syas.g_00957	Prbd.g_00638
OG0000055	Syas.g_00203	Prbd.g_00083
OG0000057	Syas.g_01055, Syas.g_01038	Prbd.g_00546
OG0000059	Syas.g_01639	Prbd.g_01439
OG0000060	Syas.g_01343, Syas.g_01002, Syas.g_01680, Syas.g_00975	Prbd.g_00824
OG0000061	Syas.g_01184	Prbd.g_00468
OG0000062	Syas.g_02702	Prbd.g_01610
OG0000063	Syas.g_02074	Prbd.g_01204
OG0000065	Syas.g_02420	Prbd.g_01137
OG0000066	Syas.g_00094	Prbd.g_00703
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prbd.g_00102
OG0000068	Syas.g_00969, Syas.g_01261	Prbd.g_01764
OG0000069	Syas.g_00779, Syas.g_00876	Prbd.g_01575
OG0000070	Syas.g_00173	Prbd.g_00792
OG0000071	Syas.g_02854	Prbd.g_01801
OG0000072	Syas.g_02326, Syas.g_01524	Prbd.g_01069
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Prbd.g_00743
OG0000075	Syas.g_01921, Syas.g_02194	Prbd.g_01359
OG0000076	Syas.g_02156	Prbd.g_01335
OG0000077	Syas.g_02510	Prbd.g_01166
OG0000078	Syas.g_02561, Syas.g_02308	Prbd.g_01000
OG0000079	Syas.g_01699	Prbd.g_00987
OG0000081	Syas.g_00391	Prbd.g_00711
OG0000082	Syas.g_00837	Prbd.g_00658
OG0000085	Syas.g_02695	Prbd.g_01532
OG0000086	Syas.g_02470	Prbd.g_01156
OG0000087	Syas.g_02374	Prbd.g_01104, Prbd.g_01103
OG0000089	Syas.g_01512	Prbd.g_00883
OG0000090	Syas.g_00062	Prbd.g_00709
OG0000091	Syas.g_00907, Syas.g_00146	Prbd.g_00602
OG0000092	Syas.g_00900, Syas.g_00877	Prbd.g_01193
OG0000094	Syas.g_00208, Syas.g_01716	Prbd.g_00321
OG0000095	Syas.g_01021	Prbd.g_00340
OG0000097	Syas.g_00114, Syas.g_01443	Prbd.g_00509
OG0000098	Syas.g_00091	Prbd.g_01782
OG0000099	Syas.g_01826	Prbd.g_01734
OG0000100	Syas.g_00567	Prbd.g_01614
OG0000101	Syas.g_01589	Prbd.g_01391
OG0000102	Syas.g_02152, Syas.g_01395	Prbd.g_01330
OG0000103	Syas.g_02009	Prbd.g_01250
OG0000104	Syas.g_02027, Syas.g_02026	Prbd.g_01241
OG0000105	Syas.g_01739	Prbd.g_00965
OG0000106	Syas.g_01451	Prbd.g_00868
OG0000107	Syas.g_01669	Prbd.g_00852
OG0000108	Syas.g_01253	Prbd.g_00762
OG0000109	Syas.g_01236	Prbd.g_00748
OG0000110	Syas.g_00359, Syas.g_00818	Prbd.g_00668
OG0000111	Syas.g_01037	Prbd.g_00545
OG0000112	Syas.g_00452	Prbd.g_00066
OG0000113	Syas.g_00571	Prbd.g_00124
OG0000114	Syas.g_00252, Syas.g_00674	Prbd.g_00206
OG0000115	Syas.g_02548, Syas.g_01285	Prbd.g_00401
OG0000116	Syas.g_01198, Syas.g_00317	Prbd.g_00458
OG0000117	Syas.g_01122	Prbd.g_01895
OG0000118	Syas.g_02835	Prbd.g_01789
OG0000120	Syas.g_01828	Prbd.g_01737
OG0000121	Syas.g_02821	Prbd.g_01687
OG0000122	Syas.g_00393	Prbd.g_01649
OG0000123	Syas.g_01582	Prbd.g_01384
OG0000124	Syas.g_02137	Prbd.g_01318
OG0000125	Syas.g_01889	Prbd.g_01281
OG0000126	Syas.g_01992	Prbd.g_01242
OG0000128	Syas.g_02046	Prbd.g_01226
OG0000129	Syas.g_01880	Prbd.g_01194
OG0000130	Syas.g_02522	Prbd.g_01175
OG0000131	Syas.g_02367	Prbd.g_01095
OG0000132	Syas.g_02334	Prbd.g_01076
OG0000133	Syas.g_00457	Prbd.g_00917
OG0000134	Syas.g_01509	Prbd.g_00882
OG0000135	Syas.g_01938	Prbd.g_00855
OG0000136	Syas.g_02740	Prbd.g_01722, Prbd.g_00801
OG0000137	Syas.g_01333	Prbd.g_00767
OG0000138	Syas.g_01235	Prbd.g_00747
OG0000139	Syas.g_00069	Prbd.g_00705
OG0000140	Syas.g_00090	Prbd.g_00704
OG0000141	Syas.g_00875	Prbd.g_00637
OG0000142	Syas.g_00746	Prbd.g_00609
OG0000143	Syas.g_00742	Prbd.g_00605
OG0000144	Syas.g_00718	Prbd.g_00592
OG0000145	Syas.g_00948	Prbd.g_00062
OG0000146	Syas.g_00451	Prbd.g_00067
OG0000147	Syas.g_00450	Prbd.g_00068
OG0000148	Syas.g_00577	Prbd.g_00118
OG0000149	Syas.g_00282	Prbd.g_00149
OG0000150	Syas.g_00874	Prbd.g_00157
OG0000151	Syas.g_00148, Syas.g_00659	Prbd.g_00216
OG0000152	Syas.g_00461	Prbd.g_00264
OG0000153	Syas.g_00543	Prbd.g_00283
OG0000154	Syas.g_00219	Prbd.g_00314
OG0000155	Syas.g_01131	Prbd.g_00488
OG0000156	Syas.g_01206	Prbd.g_01812
OG0000157	Syas.g_01207	Prbd.g_01811
OG0000158	Syas.g_02185	Prbd.g_01736
OG0000160	Syas.g_02820	Prbd.g_01688
OG0000161	Syas.g_02826	Prbd.g_01682
OG0000162	Syas.g_02751	Prbd.g_01676
OG0000163	Syas.g_01488	Prbd.g_01642
OG0000164	Syas.g_02648	Prbd.g_01501
OG0000165	Syas.g_02609	Prbd.g_01494
OG0000166	Syas.g_01629	Prbd.g_01427
OG0000167	Syas.g_01449	Prbd.g_01361
OG0000168	Syas.g_02184	Prbd.g_01351
OG0000169	Syas.g_02170	Prbd.g_01341
OG0000170	Syas.g_02161	Prbd.g_01339
OG0000171	Syas.g_02139	Prbd.g_01319
OG0000172	Syas.g_02110	Prbd.g_01310
OG0000173	Syas.g_02092	Prbd.g_01295
OG0000174	Syas.g_01940	Prbd.g_01268
OG0000175	Syas.g_01994	Prbd.g_01258
OG0000176	Syas.g_02038	Prbd.g_01233
OG0000177	Syas.g_02039	Prbd.g_01232
OG0000178	Syas.g_02040	Prbd.g_01231
OG0000179	Syas.g_02054	Prbd.g_01221
OG0000180	Syas.g_02055	Prbd.g_01220
OG0000181	Syas.g_02056	Prbd.g_01219
OG0000182	Syas.g_02057	Prbd.g_01218
OG0000183	Syas.g_02061	Prbd.g_01214
OG0000184	Syas.g_01872	Prbd.g_01191
OG0000185	Syas.g_01861	Prbd.g_01188
OG0000186	Syas.g_02525	Prbd.g_01180
OG0000187	Syas.g_02524	Prbd.g_01179
OG0000188	Syas.g_02502	Prbd.g_01162
OG0000189	Syas.g_02432	Prbd.g_01148
OG0000190	Syas.g_00133	Prbd.g_01147
OG0000191	Syas.g_02400	Prbd.g_01126
OG0000192	Syas.g_02395	Prbd.g_01122
OG0000193	Syas.g_02366	Prbd.g_01094
OG0000194	Syas.g_02363	Prbd.g_01091
OG0000195	Syas.g_02360	Prbd.g_01089
OG0000196	Syas.g_02337	Prbd.g_01079
OG0000197	Syas.g_02336	Prbd.g_01078
OG0000198	Syas.g_02335	Prbd.g_01077
OG0000199	Syas.g_02327	Prbd.g_01070
OG0000200	Syas.g_02298	Prbd.g_01056
OG0000201	Syas.g_02279	Prbd.g_01048
OG0000202	Syas.g_02278	Prbd.g_01047
OG0000203	Syas.g_02277	Prbd.g_01046
OG0000204	Syas.g_02276	Prbd.g_01045
OG0000205	Syas.g_02267	Prbd.g_01038
OG0000206	Syas.g_02240	Prbd.g_01033
OG0000207	Syas.g_02237	Prbd.g_01031
OG0000208	Syas.g_02236	Prbd.g_01030
