Orthogroup	Syas	Syak
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syak.g_02138
OG0000004	Syas.g_00176	Syak.g_01219, Syak.g_00720
OG0000004	Syas.g_00174, Syas.g_00311	Syak.g_00003
OG0000004	Syas.g_00072	Syak.g_02297
OG0000005	Syas.g_02665	Syak.g_02401
OG0000005	Syas.g_02704	Syak.g_02436
OG0000006	Syas.g_01684, Syas.g_02565	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Syas.g_01232	Syak.g_02595
OG0000007	Syas.g_02681	Syak.g_02416
OG0000008	Syas.g_00886	Syak.g_00267
OG0000008	Syas.g_00887	Syak.g_00692
OG0000009	Syas.g_01450	Syak.g_02194
OG0000010	Syas.g_01334	Syak.g_01119
OG0000014	Syas.g_01816	Syak.g_01505
OG0000015	Syas.g_02007	Syak.g_01813
OG0000015	Syas.g_00968	Syak.g_00107
OG0000016	Syas.g_02048	Syak.g_01780
OG0000016	Syas.g_01086	Syak.g_00818
OG0000017	Syas.g_00856	Syak.g_02738
OG0000018	Syas.g_01290	Syak.g_01072
OG0000019	Syas.g_01696	Syak.g_01413
OG0000022	Syas.g_02758	Syak.g_00088
OG0000025	Syas.g_00231	Syak.g_00610
OG0000026	Syas.g_02070	Syak.g_01757
OG0000027	Syas.g_01480	Syak.g_00127
OG0000028	Syas.g_01793	Syak.g_01522
OG0000030	Syas.g_01644	Syak.g_01684
OG0000030	Syas.g_01645	Syak.g_01685
OG0000031	Syas.g_01827	Syak.g_01630
OG0000033	Syas.g_02328	Syak.g_02101
OG0000034	Syas.g_02371, Syas.g_02838	Syak.g_00950, Syak.g_02133
OG0000035	Syas.g_02814, Syas.g_02818	Syak.g_01040
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Syak.g_02188
OG0000038	Syas.g_01885	Syak.g_01938
OG0000038	Syas.g_01887	Syak.g_01936
OG0000040	Syas.g_01972	Syak.g_01852
OG0000041	Syas.g_00996	Syak.g_00752
OG0000042	Syas.g_01121, Syas.g_02147	Syak.g_00843, Syak.g_01681
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syak.g_01276
OG0000048	Syas.g_01734	Syak.g_01446
OG0000053	Syas.g_01287	Syak.g_01068
OG0000054	Syas.g_00961, Syas.g_00957	Syak.g_02744, Syak.g_02321
OG0000055	Syas.g_00203	Syak.g_00766
OG0000057	Syas.g_01055	Syak.g_01676
OG0000059	Syas.g_01639	Syak.g_01355
OG0000060	Syas.g_00975	Syak.g_00844
OG0000061	Syas.g_01184	Syak.g_00898
OG0000062	Syas.g_02702	Syak.g_02434
OG0000063	Syas.g_02074	Syak.g_01752
OG0000064	Syas.g_02423	Syak.g_00254
OG0000064	Syas.g_00946	Syak.g_00164
OG0000065	Syas.g_02420	Syak.g_02192
OG0000066	Syas.g_00094	Syak.g_02653
OG0000068	Syas.g_00969, Syas.g_01261	Syak.g_02565
OG0000070	Syas.g_00173	Syak.g_01174
OG0000071	Syas.g_02854	Syak.g_02322
OG0000072	Syas.g_02326	Syak.g_02099
OG0000073	Syas.g_01230	Syak.g_02597
OG0000075	Syas.g_01921, Syas.g_02194	Syak.g_01564
OG0000076	Syas.g_02156	Syak.g_01650
OG0000077	Syas.g_02510	Syak.g_02243
OG0000078	Syas.g_02561	Syak.g_02310
OG0000079	Syas.g_01699	Syak.g_01417
OG0000080	Syas.g_02616	Syak.g_01612
OG0000081	Syas.g_00391	Syak.g_00115
OG0000082	Syas.g_00837	Syak.g_02711
OG0000085	Syas.g_02695	Syak.g_02427
