Orthogroup	Syas	Prbe
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbe.g_00400
OG0000004	Syas.g_00176	Prbe.g_01203
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbe.g_01784
OG0000005	Syas.g_02704	Prbe.g_00228
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prbe.g_01794
OG0000007	Syas.g_01232	Prbe.g_00636
OG0000007	Syas.g_02681	Prbe.g_00985
OG0000008	Syas.g_00886	Prbe.g_00036
OG0000008	Syas.g_00887	Prbe.g_00037
OG0000010	Syas.g_01334	Prbe.g_00096, Prbe.g_01411
OG0000012	Syas.g_00111, Syas.g_00827	Prbe.g_00196
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbe.g_01879
OG0000014	Syas.g_01816	Prbe.g_01861
OG0000015	Syas.g_02007, Syas.g_00968	Prbe.g_01046, Prbe.g_01000
OG0000016	Syas.g_01086, Syas.g_01050	Prbe.g_01607
OG0000017	Syas.g_00856	Prbe.g_00529
OG0000018	Syas.g_01290	Prbe.g_01571
OG0000019	Syas.g_01696	Prbe.g_01802, Prbe.g_01573
OG0000025	Syas.g_00231	Prbe.g_01258
OG0000026	Syas.g_02070	Prbe.g_00132
OG0000027	Syas.g_01480	Prbe.g_00012, Prbe.g_01121
OG0000028	Syas.g_01793	Prbe.g_00034
OG0000030	Syas.g_01644, Syas.g_01645	Prbe.g_00763
OG0000031	Syas.g_01827	Prbe.g_00352
OG0000033	Syas.g_02328	Prbe.g_00345
OG0000034	Syas.g_02371, Syas.g_02838	Prbe.g_00882
OG0000035	Syas.g_02814, Syas.g_02818	Prbe.g_00311
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbe.g_01651
OG0000038	Syas.g_01885, Syas.g_01887	Prbe.g_01156
OG0000039	Syas.g_02795	Prbe.g_00461
OG0000041	Syas.g_00996, Syas.g_02585	Prbe.g_00938
OG0000042	Syas.g_01121, Syas.g_02147	Prbe.g_00766
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbe.g_01880
OG0000048	Syas.g_01734	Prbe.g_00906
OG0000051	Syas.g_01445	Prbe.g_00720
