Orthogroup	Syas	Pral
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Pral.g_01236
OG0000004	Syas.g_00176	Pral.g_01743
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Pral.g_00809
OG0000005	Syas.g_02704	Pral.g_01075
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Pral.g_00797
OG0000007	Syas.g_01232	Pral.g_00593
OG0000007	Syas.g_02681	Pral.g_00107
OG0000008	Syas.g_00886	Pral.g_00020
OG0000008	Syas.g_00887	Pral.g_00021
OG0000010	Syas.g_01334	Pral.g_01832, Pral.g_01848
OG0000012	Syas.g_00111, Syas.g_00827	Pral.g_00015
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Pral.g_00712
OG0000014	Syas.g_01816	Pral.g_00732
OG0000015	Syas.g_02007, Syas.g_00968	Pral.g_01813
OG0000017	Syas.g_00856	Pral.g_00484
OG0000018	Syas.g_01290	Pral.g_01346
OG0000019	Syas.g_01696	Pral.g_00790, Pral.g_01344
OG0000025	Syas.g_00231	Pral.g_01523
OG0000026	Syas.g_02070	Pral.g_01012
OG0000027	Syas.g_01480	Pral.g_01036, Pral.g_00039
OG0000028	Syas.g_01793	Pral.g_00053, Pral.g_00719
OG0000030	Syas.g_01644, Syas.g_01645	Pral.g_00316
OG0000034	Syas.g_02371, Syas.g_02838	Pral.g_01271
OG0000035	Syas.g_02814, Syas.g_02818	Pral.g_01161, Pral.g_01165
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Pral.g_00938
OG0000038	Syas.g_01885, Syas.g_01887	Pral.g_00356
OG0000039	Syas.g_02795	Pral.g_01755
OG0000041	Syas.g_00996, Syas.g_02585	Pral.g_00155
OG0000042	Syas.g_01121, Syas.g_02147	Pral.g_00313
OG0000044	Syas.g_00894, Syas.g_02453	Pral.g_01888
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Pral.g_00711
OG0000048	Syas.g_01734	Pral.g_00768
OG0000051	Syas.g_01445	Pral.g_00095
OG0000053	Syas.g_01287	Pral.g_01139, Pral.g_00066
OG0000054	Syas.g_00961, Syas.g_00957	Pral.g_00482
OG0000055	Syas.g_00203	Pral.g_00082
OG0000057	Syas.g_01055, Syas.g_01038	Pral.g_01740
OG0000059	Syas.g_01639	Pral.g_00195
OG0000061	Syas.g_01184	Pral.g_01367
OG0000062	Syas.g_02702	Pral.g_01073
OG0000063	Syas.g_02074	Pral.g_00435
OG0000064	Syas.g_02423, Syas.g_00946	Pral.g_00980
OG0000065	Syas.g_02420	Pral.g_00940
OG0000066	Syas.g_00094	Pral.g_00551
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Pral.g_01488
OG0000068	Syas.g_00969, Syas.g_01261	Pral.g_01222
OG0000069	Syas.g_00779, Syas.g_00876	Pral.g_01164, Pral.g_01114
OG0000070	Syas.g_00173	Pral.g_00643
OG0000071	Syas.g_02854	Pral.g_01281
OG0000072	Syas.g_02326, Syas.g_01524	Pral.g_00872
OG0000073	Syas.g_01230	Pral.g_00591
OG0000075	Syas.g_01921, Syas.g_02194	Pral.g_00279
OG0000076	Syas.g_02156	Pral.g_00305
OG0000077	Syas.g_02510	Pral.g_00969
OG0000078	Syas.g_02561	Pral.g_00800
OG0000079	Syas.g_01699	Pral.g_00787
OG0000081	Syas.g_00391	Pral.g_00559
OG0000082	Syas.g_00837	Pral.g_00057
OG0000085	Syas.g_02695	Pral.g_00099
OG0000086	Syas.g_02470	Pral.g_00959
OG0000087	Syas.g_02374	Pral.g_00906
OG0000089	Syas.g_01512	Pral.g_00676
OG0000090	Syas.g_00062	Pral.g_00557
OG0000091	Syas.g_00907, Syas.g_00146	Pral.g_01443
OG0000092	Syas.g_00900, Syas.g_00877	Pral.g_01244
OG0000094	Syas.g_00208, Syas.g_01716	Pral.g_01604
OG0000095	Syas.g_01021	Pral.g_01561
OG0000097	Syas.g_00114, Syas.g_01443	Pral.g_01416
OG0000098	Syas.g_00091	Pral.g_01239
OG0000099	Syas.g_01826	Pral.g_01201
OG0000100	Syas.g_00567	Pral.g_01078
OG0000101	Syas.g_01589	Pral.g_00243
OG0000102	Syas.g_02152, Syas.g_01395	Pral.g_00310
OG0000103	Syas.g_02009	Pral.g_00397
OG0000104	Syas.g_02027, Syas.g_02026	Pral.g_00406
OG0000105	Syas.g_01739	Pral.g_00765
OG0000106	Syas.g_01451	Pral.g_01859
OG0000107	Syas.g_01669	Pral.g_00171
OG0000108	Syas.g_01253	Pral.g_00611
OG0000109	Syas.g_01236	Pral.g_00596
OG0000110	Syas.g_00359, Syas.g_00818	Pral.g_00513
OG0000111	Syas.g_01037	Pral.g_01739
OG0000112	Syas.g_00452	Pral.g_01635
OG0000113	Syas.g_00571	Pral.g_01511
OG0000114	Syas.g_00252, Syas.g_00674	Pral.g_01799
OG0000115	Syas.g_02548, Syas.g_01285	Pral.g_01141
OG0000116	Syas.g_01198, Syas.g_00317	Pral.g_01356
OG0000117	Syas.g_01122	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000118	Syas.g_02835	Pral.g_01269
OG0000120	Syas.g_01828	Pral.g_00702
OG0000121	Syas.g_02821	Pral.g_01159
OG0000122	Syas.g_00393	Pral.g_01116
OG0000123	Syas.g_01582	Pral.g_00250
OG0000124	Syas.g_02137	Pral.g_00322
OG0000125	Syas.g_01889	Pral.g_00358
OG0000126	Syas.g_01992	Pral.g_00405
OG0000128	Syas.g_02046	Pral.g_00421
OG0000129	Syas.g_01880	Pral.g_01000
OG0000130	Syas.g_02522	Pral.g_00978
OG0000131	Syas.g_02367	Pral.g_00900
OG0000132	Syas.g_02334	Pral.g_00880
OG0000133	Syas.g_00457	Pral.g_00717
OG0000134	Syas.g_01509	Pral.g_00674
OG0000135	Syas.g_01938	Pral.g_01034
OG0000136	Syas.g_02740	Pral.g_00653
OG0000137	Syas.g_01333	Pral.g_00617
OG0000138	Syas.g_01235	Pral.g_00595
OG0000139	Syas.g_00069	Pral.g_00553
OG0000140	Syas.g_00090	Pral.g_00552
OG0000141	Syas.g_00875	Pral.g_00481
OG0000142	Syas.g_00746	Pral.g_01436
OG0000143	Syas.g_00742	Pral.g_01440
OG0000144	Syas.g_00718	Pral.g_01453
OG0000145	Syas.g_00948	Pral.g_01037
OG0000146	Syas.g_00451	Pral.g_01636
OG0000147	Syas.g_00450	Pral.g_01637
OG0000148	Syas.g_00577	Pral.g_01505
OG0000149	Syas.g_00282	Pral.g_01535
OG0000150	Syas.g_00874	Pral.g_01545
OG0000151	Syas.g_00148, Syas.g_00659	Pral.g_01789
OG0000152	Syas.g_00461	Pral.g_01627
OG0000153	Syas.g_00543	Pral.g_01578
OG0000154	Syas.g_00219	Pral.g_01595
OG0000155	Syas.g_01131	Pral.g_01390
OG0000156	Syas.g_01206	Pral.g_01292
OG0000157	Syas.g_01207	Pral.g_01291
OG0000158	Syas.g_02185	Pral.g_00287
OG0000159	Syas.g_01155	Pral.g_01263
OG0000160	Syas.g_02820	Pral.g_01160
OG0000161	Syas.g_02826	Pral.g_01154
OG0000162	Syas.g_02751	Pral.g_01148
OG0000163	Syas.g_01488	Pral.g_01106
OG0000164	Syas.g_02648	Pral.g_00131
OG0000165	Syas.g_02609	Pral.g_00138
OG0000166	Syas.g_01629	Pral.g_00206
OG0000167	Syas.g_01449	Pral.g_00277
OG0000168	Syas.g_02184	Pral.g_00288
OG0000169	Syas.g_02170	Pral.g_00298
OG0000170	Syas.g_02161	Pral.g_00301
OG0000171	Syas.g_02139	Pral.g_00321
OG0000172	Syas.g_02110	Pral.g_00328
OG0000173	Syas.g_02092	Pral.g_00343
OG0000174	Syas.g_01940	Pral.g_00375
OG0000175	Syas.g_01994	Pral.g_00387
OG0000176	Syas.g_02038	Pral.g_00414
