Orthogroup	Syas	Praq
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Praq.g_00160
OG0000004	Syas.g_00176	Praq.g_00824
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Praq.g_01770
OG0000005	Syas.g_02665	Praq.g_00484
OG0000005	Syas.g_02704	Praq.g_00370
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Praq.g_01761
OG0000007	Syas.g_01232	Praq.g_01105
OG0000007	Syas.g_02681	Praq.g_00497
OG0000008	Syas.g_00886	Praq.g_00071
OG0000009	Syas.g_01450	Praq.g_01898
OG0000010	Syas.g_01334	Praq.g_00552, Praq.g_01626
OG0000012	Syas.g_00111, Syas.g_00827	Praq.g_00979
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Praq.g_01675
OG0000014	Syas.g_01816	Praq.g_01696
OG0000015	Syas.g_02007, Syas.g_00968	Praq.g_00065
OG0000017	Syas.g_00849, Syas.g_00856	Praq.g_01004
OG0000018	Syas.g_01290	Praq.g_01314
OG0000019	Syas.g_01696	Praq.g_01753, Praq.g_00649
OG0000022	Syas.g_02758	Praq.g_01296
OG0000025	Syas.g_00231	Praq.g_01671, Praq.g_01432
OG0000026	Syas.g_02070	Praq.g_01234, Praq.g_01633
OG0000027	Syas.g_01480	Praq.g_00521
OG0000028	Syas.g_01793	Praq.g_00103, Praq.g_01682
OG0000030	Syas.g_01644, Syas.g_01645	Praq.g_00772
OG0000031	Syas.g_01827	Praq.g_00209
OG0000034	Syas.g_02371, Syas.g_02838	Praq.g_00143
OG0000035	Syas.g_02814, Syas.g_02818	Praq.g_00294
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Praq.g_01894
OG0000038	Syas.g_01885, Syas.g_01887	Praq.g_00716
OG0000039	Syas.g_02795	Praq.g_00815
OG0000040	Syas.g_02028	Praq.g_01955
OG0000040	Syas.g_01972	Praq.g_01313
OG0000041	Syas.g_00996, Syas.g_02585	Praq.g_00451
OG0000042	Syas.g_01121, Syas.g_02147	Praq.g_00770
OG0000044	Syas.g_00894, Syas.g_02453	Praq.g_00058
OG0000048	Syas.g_01734	Praq.g_01169
OG0000053	Syas.g_01287	Praq.g_01246, Praq.g_00314
OG0000054	Syas.g_00961, Syas.g_00957	Praq.g_00996
OG0000055	Syas.g_00203	Praq.g_00650
OG0000057	Syas.g_01055, Syas.g_01038	Praq.g_00827
OG0000058	Syas.g_01151	Praq.g_00271
OG0000059	Syas.g_01639	Praq.g_00927
OG0000061	Syas.g_01184	Praq.g_01333
OG0000062	Syas.g_02702	Praq.g_00372
OG0000063	Syas.g_02074	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000065	Syas.g_02420	Praq.g_01896
OG0000066	Syas.g_00094	Praq.g_01063
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Praq.g_00670
OG0000068	Syas.g_00969, Syas.g_01261	Praq.g_00175
OG0000069	Syas.g_00779, Syas.g_00876	Praq.g_00056, Praq.g_00018
OG0000070	Syas.g_00173	Praq.g_01107
OG0000071	Syas.g_02854	Praq.g_00133
OG0000072	Syas.g_02326, Syas.g_01524	Praq.g_01831
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Praq.g_01103
OG0000075	Syas.g_01921, Syas.g_02194	Praq.g_00739
OG0000076	Syas.g_02156	Praq.g_01243, Praq.g_00763
OG0000077	Syas.g_02510	Praq.g_01925
OG0000078	Syas.g_02561, Syas.g_02308	Praq.g_01763
OG0000081	Syas.g_00391	Praq.g_01071
OG0000082	Syas.g_00837	Praq.g_01018
OG0000086	Syas.g_02470	Praq.g_01915
OG0000087	Syas.g_02374	Praq.g_01864
OG0000089	Syas.g_01512	Praq.g_01188
OG0000090	Syas.g_00062	Praq.g_01069
OG0000091	Syas.g_00907, Syas.g_00146	Praq.g_00960
OG0000092	Syas.g_00900, Syas.g_00877	Praq.g_00725
OG0000094	Syas.g_00208, Syas.g_01716	Praq.g_01600
OG0000095	Syas.g_01021	Praq.g_01619
OG0000097	Syas.g_00114, Syas.g_01443	Praq.g_01374
OG0000098	Syas.g_00091	Praq.g_00157
OG0000099	Syas.g_01826	Praq.g_00216
OG0000100	Syas.g_00567	Praq.g_00368
OG0000101	Syas.g_01589	Praq.g_00879
OG0000102	Syas.g_02152, Syas.g_01395	Praq.g_00768
OG0000103	Syas.g_02009	Praq.g_00414
OG0000104	Syas.g_02027, Syas.g_02026	Praq.g_00422
OG0000105	Syas.g_01739	Praq.g_01729
OG0000106	Syas.g_01451	Praq.g_01173
OG0000107	Syas.g_01669	Praq.g_01158
OG0000108	Syas.g_01253	Praq.g_00531
OG0000109	Syas.g_01236	Praq.g_00545
OG0000110	Syas.g_00359, Syas.g_00818	Praq.g_01028
OG0000111	Syas.g_01037	Praq.g_00828
OG0000112	Syas.g_00452	Praq.g_00638
OG0000113	Syas.g_00571	Praq.g_01420
OG0000114	Syas.g_00252, Syas.g_00674	Praq.g_01490
OG0000115	Syas.g_02548, Syas.g_01285	Praq.g_01278
OG0000116	Syas.g_01198, Syas.g_00317	Praq.g_01323
OG0000117	Syas.g_01122	Praq.g_00084
OG0000118	Syas.g_02835	Praq.g_00145
OG0000120	Syas.g_01828	Praq.g_00208
OG0000121	Syas.g_02821	Praq.g_00296
OG0000122	Syas.g_00393	Praq.g_00334
OG0000123	Syas.g_01582	Praq.g_00873
OG0000124	Syas.g_02137	Praq.g_00682
OG0000125	Syas.g_01889	Praq.g_00718
OG0000126	Syas.g_01992	Praq.g_00421
OG0000128	Syas.g_02046	Praq.g_00437
