Orthogroup	Syas	Prar
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prar.g_00926
OG0000004	Syas.g_00176	Prar.g_01525
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prar.g_00095
OG0000005	Syas.g_02665	Prar.g_01130
OG0000005	Syas.g_02704	Prar.g_00771
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prar.g_00086
OG0000007	Syas.g_01232	Prar.g_01328
OG0000007	Syas.g_02681	Prar.g_01143
OG0000008	Syas.g_00886	Prar.g_01185
OG0000009	Syas.g_01450	Prar.g_00223
OG0000010	Syas.g_01334	Prar.g_01567, Prar.g_01912
OG0000012	Syas.g_00111, Syas.g_00827	Prar.g_01453
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prar.g_00260
OG0000014	Syas.g_01816	Prar.g_00281
OG0000015	Syas.g_02007, Syas.g_00968	Prar.g_01179
OG0000016	Syas.g_02048	Prar.g_00025
OG0000017	Syas.g_00849, Syas.g_00856	Prar.g_01428
OG0000018	Syas.g_01290	Prar.g_01282
OG0000019	Syas.g_01696	Prar.g_00078, Prar.g_01663
OG0000022	Syas.g_02758	Prar.g_01300
OG0000025	Syas.g_00231	Prar.g_00256, Prar.g_01718
OG0000026	Syas.g_02070	Prar.g_00007, Prar.g_01919
OG0000027	Syas.g_01480	Prar.g_00520
OG0000028	Syas.g_01793	Prar.g_00985, Prar.g_00267
OG0000030	Syas.g_01644, Syas.g_01645	Prar.g_00662
OG0000031	Syas.g_01827	Prar.g_00879
OG0000034	Syas.g_02371, Syas.g_02838	Prar.g_00945
OG0000035	Syas.g_02814, Syas.g_02818	Prar.g_00339
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prar.g_00219
OG0000038	Syas.g_01885, Syas.g_01887	Prar.g_00702
OG0000039	Syas.g_02795	Prar.g_01516
OG0000040	Syas.g_02028	Prar.g_00715
OG0000040	Syas.g_01972	Prar.g_01283
OG0000041	Syas.g_00996, Syas.g_02585	Prar.g_00602
