Orthogroup	Syas	Prbn
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbn.g_01213
OG0000004	Syas.g_00176	Prbn.g_01565
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbn.g_00318
OG0000005	Syas.g_02704	Prbn.g_00899
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prbn.g_00308
OG0000007	Syas.g_01232	Prbn.g_00617
OG0000007	Syas.g_02681	Prbn.g_01745
OG0000008	Syas.g_00886	Prbn.g_01645
OG0000008	Syas.g_00887	Prbn.g_01646
OG0000010	Syas.g_01334	Prbn.g_01939, Prbn.g_01357
OG0000012	Syas.g_00111, Syas.g_00827	Prbn.g_00867
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbn.g_00092
OG0000014	Syas.g_01816	Prbn.g_00074
OG0000015	Syas.g_02007, Syas.g_00968	Prbn.g_01684, Prbn.g_01730
OG0000016	Syas.g_01086, Syas.g_01050	Prbn.g_01131
OG0000017	Syas.g_00856	Prbn.g_00510
OG0000018	Syas.g_01290	Prbn.g_01167
OG0000019	Syas.g_01696	Prbn.g_00015, Prbn.g_01165
OG0000025	Syas.g_00231	Prbn.g_01510
OG0000026	Syas.g_02070	Prbn.g_00750
OG0000027	Syas.g_01480	Prbn.g_00139, Prbn.g_01664
OG0000028	Syas.g_01793	Prbn.g_01644
OG0000030	Syas.g_01644, Syas.g_01645	Prbn.g_00985
OG0000031	Syas.g_01827	Prbn.g_00171
OG0000033	Syas.g_02328	Prbn.g_00178
OG0000034	Syas.g_02371, Syas.g_02838	Prbn.g_01073
OG0000035	Syas.g_02814, Syas.g_02818	Prbn.g_00212
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbn.g_01310
OG0000038	Syas.g_01885, Syas.g_01887	Prbn.g_00946
OG0000039	Syas.g_02795	Prbn.g_01577
OG0000041	Syas.g_00996, Syas.g_02585	Prbn.g_01793
OG0000042	Syas.g_01121, Syas.g_02147	Prbn.g_00988
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbn.g_00093
OG0000048	Syas.g_01734	Prbn.g_01097
OG0000051	Syas.g_01445	Prbn.g_00809
OG0000053	Syas.g_01287	Prbn.g_00233, Prbn.g_01690
OG0000054	Syas.g_00961, Syas.g_00957	Prbn.g_00508
OG0000055	Syas.g_00203	Prbn.g_01719
OG0000057	Syas.g_01055, Syas.g_01038	Prbn.g_01562
OG0000058	Syas.g_01151	Prbn.g_00172
OG0000059	Syas.g_01639	Prbn.g_01833
OG0000061	Syas.g_01184	Prbn.g_01189
OG0000062	Syas.g_02702	Prbn.g_00897
OG0000063	Syas.g_02074	Prbn.g_00130
OG0000064	Syas.g_02423, Syas.g_00946	Prbn.g_00710
OG0000065	Syas.g_02420	Prbn.g_01312
OG0000066	Syas.g_00094	Prbn.g_00577, Prbn.g_01657
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prbn.g_01546
OG0000068	Syas.g_00969, Syas.g_01261	Prbn.g_01240
OG0000069	Syas.g_00779, Syas.g_00876	Prbn.g_00659
OG0000070	Syas.g_00173	Prbn.g_00663
OG0000071	Syas.g_02854	Prbn.g_01084
OG0000072	Syas.g_02326, Syas.g_01524	Prbn.g_00383
OG0000073	Syas.g_01230	Prbn.g_00614
OG0000075	Syas.g_01921, Syas.g_02194	Prbn.g_01917
OG0000076	Syas.g_02156	Prbn.g_00996
OG0000077	Syas.g_02510	Prbn.g_01342
OG0000078	Syas.g_02561	Prbn.g_00310
OG0000079	Syas.g_01699	Prbn.g_00018
OG0000080	Syas.g_02616, Syas.g_02149	Prbn.g_00184, Prbn.g_00186
OG0000081	Syas.g_00391	Prbn.g_00585
OG0000082	Syas.g_00837	Prbn.g_00530, Prbn.g_01734
OG0000085	Syas.g_02695	Prbn.g_00144, Prbn.g_01737
OG0000086	Syas.g_02470	Prbn.g_01333
OG0000087	Syas.g_02374	Prbn.g_01278
OG0000089	Syas.g_01512	Prbn.g_00696
OG0000090	Syas.g_00062	Prbn.g_00583
OG0000091	Syas.g_00907, Syas.g_00146	Prbn.g_00434
OG0000094	Syas.g_00208, Syas.g_01716	Prbn.g_01369
OG0000095	Syas.g_01021	Prbn.g_01471
OG0000097	Syas.g_00114, Syas.g_01443	Prbn.g_00408
OG0000098	Syas.g_00091	Prbn.g_01216
OG0000099	Syas.g_01826	Prbn.g_00173
OG0000100	Syas.g_00567	Prbn.g_00903
