Orthogroup	Syas	Prba
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prba.g_00211
OG0000004	Syas.g_00176	Prba.g_01622
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prba.g_00451
OG0000005	Syas.g_02665	Prba.g_00607
OG0000005	Syas.g_02704	Prba.g_00312
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prba.g_00460
OG0000007	Syas.g_01232	Prba.g_00964
OG0000007	Syas.g_02681	Prba.g_00226
OG0000008	Syas.g_00886	Prba.g_01131
OG0000009	Syas.g_01450	Prba.g_01893
OG0000010	Syas.g_01334	Prba.g_01256
OG0000012	Syas.g_00111, Syas.g_00827	Prba.g_01694
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prba.g_00543
OG0000014	Syas.g_01816	Prba.g_00522
OG0000015	Syas.g_02007, Syas.g_00968	Prba.g_01538
OG0000016	Syas.g_02048	Prba.g_01806
OG0000017	Syas.g_00849, Syas.g_00856	Prba.g_01719
OG0000018	Syas.g_01290	Prba.g_00083
OG0000019	Syas.g_01696	Prba.g_00468, Prba.g_01519
OG0000022	Syas.g_02758	Prba.g_00101
OG0000025	Syas.g_00231	Prba.g_00547, Prba.g_01464
OG0000026	Syas.g_02070	Prba.g_01824, Prba.g_01249
OG0000027	Syas.g_01480	Prba.g_00991, Prba.g_01175
OG0000028	Syas.g_01793	Prba.g_01126, Prba.g_00536
OG0000030	Syas.g_01644, Syas.g_01645	Prba.g_00778
OG0000031	Syas.g_01827	Prba.g_00173
OG0000034	Syas.g_02371, Syas.g_02838	Prba.g_01202
OG0000035	Syas.g_02814, Syas.g_02818	Prba.g_00713
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prba.g_01897
OG0000038	Syas.g_01885, Syas.g_01887	Prba.g_00819
OG0000039	Syas.g_02795	Prba.g_01631
OG0000040	Syas.g_02028	Prba.g_00251
OG0000040	Syas.g_01972	Prba.g_00084
OG0000042	Syas.g_01121, Syas.g_02147	Prba.g_00775
OG0000044	Syas.g_00894, Syas.g_02453	Prba.g_00002
OG0000048	Syas.g_01734	Prba.g_00868
OG0000051	Syas.g_01445	Prba.g_01168
OG0000053	Syas.g_01287	Prba.g_00693
OG0000054	Syas.g_00961, Syas.g_00957	Prba.g_01711
OG0000055	Syas.g_00203	Prba.g_01518
OG0000057	Syas.g_01055, Syas.g_01038	Prba.g_01619
OG0000058	Syas.g_01151	Prba.g_00153
OG0000059	Syas.g_01639	Prba.g_00381
OG0000061	Syas.g_01184	Prba.g_00064
OG0000062	Syas.g_02702	Prba.g_00310
