Orthogroup	Syas	Prab
OG0000004	Syas.g_00176	Prab.g_00700
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prab.g_00223
OG0000005	Syas.g_02665	Prab.g_01682
OG0000005	Syas.g_02704	Prab.g_01542
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prab.g_00231
OG0000007	Syas.g_01232	Prab.g_00501
OG0000007	Syas.g_02681	Prab.g_01669
OG0000009	Syas.g_01450	Prab.g_00096
OG0000010	Syas.g_01334	Prab.g_01104
OG0000012	Syas.g_00111, Syas.g_00827	Prab.g_00627
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prab.g_00315
OG0000014	Syas.g_01816	Prab.g_00294
OG0000015	Syas.g_02007, Syas.g_00968	Prab.g_00789
OG0000016	Syas.g_02048	Prab.g_00013
OG0000017	Syas.g_00849, Syas.g_00856	Prab.g_00602
OG0000018	Syas.g_01290	Prab.g_01201
OG0000019	Syas.g_01696	Prab.g_00239, Prab.g_00820
OG0000022	Syas.g_02758	Prab.g_01182
OG0000025	Syas.g_00231	Prab.g_00319, Prab.g_00874
OG0000026	Syas.g_02070	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syas.g_01480	Prab.g_00914, Prab.g_01616
OG0000028	Syas.g_01793	Prab.g_00308
OG0000030	Syas.g_01644, Syas.g_01645	Prab.g_01867
OG0000031	Syas.g_01827	Prab.g_01446
OG0000033	Syas.g_02328	Prab.g_01400
OG0000034	Syas.g_02371, Syas.g_02838	Prab.g_01336
OG0000035	Syas.g_02814, Syas.g_02818	Prab.g_01466
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prab.g_00100
OG0000038	Syas.g_01885, Syas.g_01887	Prab.g_01908
OG0000039	Syas.g_02795	Prab.g_00691
OG0000040	Syas.g_02028	Prab.g_01623
OG0000040	Syas.g_01972	Prab.g_01200
OG0000041	Syas.g_00996, Syas.g_02585	Prab.g_01715
OG0000042	Syas.g_01121, Syas.g_02147	Prab.g_01864
OG0000044	Syas.g_00894, Syas.g_02453	Prab.g_01648
