Orthogroup	Syas	Syai
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syai.g_00891, Syai.g_02595
OG0000004	Syas.g_00176	Syai.g_01994
OG0000004	Syas.g_00174, Syas.g_00311	Syai.g_01062
OG0000004	Syas.g_00072	Syai.g_00530
OG0000005	Syas.g_02665	Syai.g_02393
OG0000005	Syas.g_02704	Syai.g_02356
OG0000006	Syas.g_01684, Syas.g_02565	Syai.g_00317, Syai.g_00547
OG0000007	Syas.g_01232	Syai.g_00657
OG0000007	Syas.g_02681	Syai.g_02378
OG0000008	Syas.g_00886	Syai.g_01956
OG0000008	Syas.g_00887	Syai.g_01955
OG0000009	Syas.g_01450	Syai.g_02541
OG0000010	Syas.g_01334	Syai.g_00864
OG0000012	Syas.g_00111, Syas.g_00827	Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000014	Syas.g_01816	Syai.g_00220
OG0000016	Syas.g_02048	Syai.g_00014
OG0000016	Syas.g_01086	Syai.g_01785
OG0000017	Syas.g_00856	Syai.g_00808
OG0000018	Syas.g_01290	Syai.g_00915
OG0000019	Syas.g_01696	Syai.g_00304
OG0000022	Syas.g_02758	Syai.g_01159
OG0000025	Syas.g_00231	Syai.g_02044
OG0000026	Syas.g_02070	Syai.g_00038
OG0000027	Syas.g_01480	Syai.g_01128, Syai.g_01654
OG0000028	Syas.g_01793	Syai.g_00205
OG0000030	Syas.g_01644	Syai.g_00096
OG0000030	Syas.g_01645	Syai.g_00095
OG0000031	Syas.g_01827	Syai.g_00197
OG0000033	Syas.g_02328	Syai.g_02634
OG0000034	Syas.g_02371, Syas.g_02838	Syai.g_02192, Syai.g_02604
OG0000035	Syas.g_02814, Syas.g_02818	Syai.g_00955
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Syai.g_02815
OG0000038	Syas.g_01885	Syai.g_02780
OG0000040	Syas.g_01972	Syai.g_02876
OG0000042	Syas.g_01121, Syas.g_02147	Syai.g_00099
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syai.g_00435
OG0000048	Syas.g_01734	Syai.g_00272
OG0000051	Syas.g_01445	Syai.g_01773
OG0000053	Syas.g_01287	Syai.g_00930
OG0000059	Syas.g_01639	Syai.g_00351
OG0000060	Syas.g_00975	Syai.g_01758
OG0000061	Syas.g_01184	Syai.g_02144
OG0000062	Syas.g_02702	Syai.g_02358
OG0000063	Syas.g_02074	Syai.g_00042
OG0000064	Syas.g_02423	Syai.g_02844
OG0000064	Syas.g_00946	Syai.g_01163, Syai.g_01668
OG0000066	Syas.g_00094	Syai.g_01709, Syai.g_00719
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Syai.g_01321
OG0000068	Syas.g_00969, Syas.g_01261	Syai.g_00628
OG0000070	Syas.g_00173	Syai.g_02196
OG0000072	Syas.g_02326	Syai.g_02636
OG0000073	Syas.g_01230	Syai.g_00659
OG0000075	Syas.g_01921, Syas.g_02194	Syai.g_00161
OG0000076	Syas.g_02156	Syai.g_00111
OG0000077	Syas.g_02510	Syai.g_02486
OG0000078	Syas.g_02561	Syai.g_00543
OG0000079	Syas.g_01699	Syai.g_00300
OG0000081	Syas.g_00391	Syai.g_00553, Syai.g_02292
OG0000082	Syas.g_00837	Syai.g_00781
OG0000085	Syas.g_02695	Syai.g_02365
OG0000086	Syas.g_02470	Syai.g_02507
OG0000087	Syas.g_02374	Syai.g_02592
OG0000089	Syas.g_01512	Syai.g_00517
OG0000090	Syas.g_00062	Syai.g_00707
OG0000091	Syas.g_00907, Syas.g_00146	Syai.g_01112
OG0000092	Syas.g_00900, Syas.g_00877	Syai.g_01358
OG0000094	Syas.g_00208	Syai.g_01424
OG0000095	Syas.g_01021	Syai.g_02007
OG0000097	Syas.g_00114, Syas.g_01443	Syai.g_01787
OG0000098	Syas.g_00091	Syai.g_01718
OG0000099	Syas.g_01826	Syai.g_00199
OG0000100	Syas.g_00567	Syai.g_01372
OG0000102	Syas.g_02152, Syas.g_01395	Syai.g_00106
OG0000104	Syas.g_02027, Syas.g_02026	Syai.g_02929
OG0000105	Syas.g_01739	Syai.g_00267
OG0000106	Syas.g_01451	Syai.g_01601
OG0000107	Syas.g_01669	Syai.g_00319
OG0000108	Syas.g_01253	Syai.g_00638
OG0000110	Syas.g_00359, Syas.g_00818	Syai.g_00766
OG0000111	Syas.g_01037	Syai.g_01998
OG0000112	Syas.g_00452	Syai.g_01512
OG0000113	Syas.g_00571	Syai.g_01367
OG0000114	Syas.g_00252, Syas.g_00674	Syai.g_01261
OG0000115	Syas.g_02548, Syas.g_01285	Syai.g_00932
OG0000116	Syas.g_01198, Syas.g_00317	Syai.g_02156
OG0000117	Syas.g_01122	Syai.g_01756
OG0000118	Syas.g_02835	Syai.g_00818
OG0000120	Syas.g_01828	Syai.g_00198
OG0000121	Syas.g_02821	Syai.g_00951
OG0000122	Syas.g_00393	Syai.g_01143
OG0000123	Syas.g_01582	Syai.g_00411
OG0000124	Syas.g_02137	Syai.g_00089
OG0000125	Syas.g_01889	Syai.g_02782
OG0000126	Syas.g_01992	Syai.g_02927
OG0000127	Syas.g_02540	Syai.g_02459
OG0000128	Syas.g_02046	Syai.g_00012
OG0000129	Syas.g_01880	Syai.g_02771
OG0000130	Syas.g_02522	Syai.g_02474
OG0000131	Syas.g_02367	Syai.g_02608
OG0000132	Syas.g_02334	Syai.g_02628
OG0000133	Syas.g_00457	Syai.g_01507
OG0000134	Syas.g_01509	Syai.g_00520
OG0000135	Syas.g_01938	Syai.g_02826
OG0000136	Syas.g_02740	Syai.g_02217
OG0000137	Syas.g_01333	Syai.g_00865
OG0000138	Syas.g_01235	Syai.g_00654
OG0000139	Syas.g_00069	Syai.g_00714
OG0000140	Syas.g_00090	Syai.g_00716
OG0000141	Syas.g_00875	Syai.g_01041
OG0000142	Syas.g_00746	Syai.g_01104
OG0000143	Syas.g_00742	Syai.g_01108
OG0000144	Syas.g_00718	Syai.g_01608
OG0000145	Syas.g_00948	Syai.g_00660
OG0000146	Syas.g_00451	Syai.g_01513
OG0000147	Syas.g_00450	Syai.g_01514
OG0000148	Syas.g_00577	Syai.g_01361
OG0000149	Syas.g_00282	Syai.g_02059
OG0000150	Syas.g_00874	Syai.g_00717
OG0000151	Syas.g_00148, Syas.g_00659	Syai.g_01280
OG0000152	Syas.g_00461	Syai.g_01503
OG0000153	Syas.g_00543	Syai.g_01461
OG0000154	Syas.g_00219	Syai.g_01434
OG0000155	Syas.g_01131	Syai.g_02109
OG0000156	Syas.g_01206	Syai.g_02162
OG0000157	Syas.g_01207	Syai.g_02163
OG0000158	Syas.g_02185	Syai.g_00135
OG0000160	Syas.g_02820	Syai.g_00952
OG0000161	Syas.g_02826	Syai.g_00946
OG0000162	Syas.g_02751	Syai.g_00939
OG0000163	Syas.g_01488	Syai.g_02300
OG0000165	Syas.g_02609	Syai.g_02244
OG0000166	Syas.g_01629	Syai.g_00364
OG0000167	Syas.g_01449	Syai.g_00164
OG0000168	Syas.g_02184	Syai.g_00134
OG0000169	Syas.g_02170	Syai.g_00123
OG0000170	Syas.g_02161	Syai.g_00116
OG0000171	Syas.g_02139	Syai.g_00090
OG0000172	Syas.g_02110	Syai.g_00083
OG0000173	Syas.g_02092	Syai.g_00064
OG0000174	Syas.g_01940	Syai.g_02828
OG0000175	Syas.g_01994	Syai.g_02901
