Orthogroup	Syas	Syal
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syal.g_00874, Syal.g_01184
OG0000003	Syas.g_01418	Syal.g_00009
OG0000004	Syas.g_00176	Syal.g_01809
OG0000004	Syas.g_00174, Syas.g_00311	Syal.g_02718
OG0000004	Syas.g_00072	Syal.g_00691
OG0000005	Syas.g_02665	Syal.g_00606
OG0000005	Syas.g_02704	Syal.g_00565
OG0000006	Syas.g_01684, Syas.g_02565	Syal.g_00674
OG0000007	Syas.g_01232	Syal.g_02918
OG0000007	Syas.g_02681	Syal.g_00587
OG0000008	Syas.g_00886	Syal.g_02512
OG0000008	Syas.g_00887	Syal.g_01783
OG0000009	Syas.g_01450	Syal.g_00818
OG0000010	Syas.g_01334	Syal.g_00464
OG0000012	Syas.g_00111, Syas.g_00827	Syal.g_02535, Syal.g_01639
OG0000014	Syas.g_01816	Syal.g_01305
OG0000015	Syas.g_02007	Syal.g_02210, Syal.g_01183
OG0000016	Syas.g_02048	Syal.g_00111
OG0000016	Syas.g_01086	Syal.g_01734
OG0000017	Syas.g_00856	Syal.g_02745
OG0000018	Syas.g_01290	Syal.g_00410
OG0000019	Syas.g_01696	Syal.g_01209
OG0000022	Syas.g_02758	Syal.g_02587
OG0000025	Syas.g_00231	Syal.g_02459
OG0000026	Syas.g_02070	Syal.g_00132
OG0000027	Syas.g_01480	Syal.g_02543
OG0000028	Syas.g_01793	Syal.g_01319
OG0000030	Syas.g_01644	Syal.g_01511
OG0000030	Syas.g_01645	Syal.g_01512
OG0000031	Syas.g_01827	Syal.g_01404, Syal.g_01432
OG0000033	Syas.g_02328	Syal.g_00912
OG0000034	Syas.g_02371, Syas.g_02838	Syal.g_00881, Syal.g_01586
OG0000035	Syas.g_02814, Syas.g_02818	Syal.g_00020
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Syal.g_00601
OG0000038	Syas.g_01885	Syal.g_01071
OG0000038	Syas.g_01887	Syal.g_01073
OG0000040	Syas.g_02028	Syal.g_01187
OG0000040	Syas.g_01972	Syal.g_01149
OG0000041	Syas.g_00996	Syal.g_00649
OG0000042	Syas.g_01121, Syas.g_02147	Syal.g_01705, Syal.g_01508
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syal.g_00309
OG0000048	Syas.g_01734	Syal.g_01250
OG0000051	Syas.g_01445	Syal.g_01550, Syal.g_03018
OG0000053	Syas.g_01287	Syal.g_00406
OG0000054	Syas.g_00961, Syas.g_00957	Syal.g_02739, Syal.g_02098
OG0000057	Syas.g_01055, Syas.g_01038	Syal.g_01812
OG0000059	Syas.g_01639	Syal.g_00225
OG0000060	Syas.g_00975	Syal.g_02214
OG0000061	Syas.g_01184	Syal.g_01653
OG0000062	Syas.g_00070	Syal.g_02113
OG0000062	Syas.g_02702	Syal.g_00567
OG0000063	Syas.g_02074	Syal.g_00136
OG0000064	Syas.g_02423	Syal.g_02544
OG0000064	Syas.g_00946	Syal.g_01681
OG0000065	Syas.g_02420	Syal.g_00820
OG0000066	Syas.g_00094	Syal.g_02828
OG0000068	Syas.g_00969, Syas.g_01261	Syal.g_02888
OG0000070	Syas.g_00173	Syal.g_00509
OG0000071	Syas.g_02854	Syal.g_02099
OG0000072	Syas.g_02326	Syal.g_00914
OG0000073	Syas.g_01230	Syal.g_02920
OG0000075	Syas.g_01921, Syas.g_02194	Syal.g_01350
OG0000076	Syas.g_02156	Syal.g_01459
OG0000077	Syas.g_02510	Syal.g_00506
OG0000078	Syas.g_02561	Syal.g_00680
OG0000079	Syas.g_01699	Syal.g_01213
OG0000080	Syas.g_02616, Syas.g_02149	Syal.g_01394
OG0000081	Syas.g_00391	Syal.g_02555
OG0000082	Syas.g_00837	Syal.g_02769
OG0000085	Syas.g_02695	Syal.g_00575
OG0000086	Syas.g_02470	Syal.g_00784
OG0000087	Syas.g_02374	Syal.g_00871
OG0000089	Syas.g_01512	Syal.g_00555
OG0000090	Syas.g_00062	Syal.g_02838
OG0000091	Syas.g_00907, Syas.g_00146	Syal.g_02628
OG0000092	Syas.g_00900, Syas.g_00877	Syal.g_00470
OG0000094	Syas.g_00208	Syal.g_01907
OG0000095	Syas.g_01021	Syal.g_01823
OG0000097	Syas.g_01443	Syal.g_01553
OG0000098	Syas.g_00091	Syal.g_02196
OG0000099	Syas.g_01826	Syal.g_01323
OG0000100	Syas.g_00567	Syal.g_02448
OG0000102	Syas.g_02152, Syas.g_01395	Syal.g_01488
OG0000103	Syas.g_02009	Syal.g_01897
OG0000104	Syas.g_02027, Syas.g_02026	Syal.g_00092
OG0000105	Syas.g_01739	Syal.g_01255
OG0000106	Syas.g_01451	Syal.g_02577
OG0000107	Syas.g_01669	Syal.g_00194
OG0000108	Syas.g_01253	Syal.g_02897
OG0000109	Syas.g_01236	Syal.g_02913
OG0000110	Syas.g_00359, Syas.g_00818	Syal.g_02782
OG0000111	Syas.g_01037	Syal.g_01813
OG0000112	Syas.g_00452	Syal.g_02000
OG0000113	Syas.g_00571	Syal.g_02443
OG0000114	Syas.g_00252, Syas.g_00674	Syal.g_02286
OG0000115	Syas.g_02548, Syas.g_01285	Syal.g_00404
OG0000116	Syas.g_01198, Syas.g_00317	Syal.g_01630
OG0000117	Syas.g_01122	Syal.g_01704
OG0000118	Syas.g_02835	Syal.g_01583
OG0000120	Syas.g_01828	Syal.g_01324
OG0000121	Syas.g_02821	Syal.g_00374
OG0000122	Syas.g_00393	Syal.g_02602
OG0000123	Syas.g_01582	Syal.g_00283
OG0000124	Syas.g_02137	Syal.g_01519
OG0000125	Syas.g_01889	Syal.g_01075
OG0000126	Syas.g_01992	Syal.g_00090
OG0000127	Syas.g_02540	Syal.g_00720
OG0000128	Syas.g_02046	Syal.g_00109
OG0000129	Syas.g_01880	Syal.g_01062
OG0000130	Syas.g_02522	Syal.g_00751
OG0000131	Syas.g_02367	Syal.g_00886
OG0000132	Syas.g_02334	Syal.g_00906
OG0000133	Syas.g_00457	Syal.g_01995
OG0000134	Syas.g_01509	Syal.g_00552
OG0000135	Syas.g_01938	Syal.g_01119
OG0000136	Syas.g_02740	Syal.g_00520
OG0000137	Syas.g_01333	Syal.g_00463
OG0000138	Syas.g_01235	Syal.g_02914
OG0000139	Syas.g_00069	Syal.g_02832
OG0000140	Syas.g_00090	Syal.g_02830
OG0000141	Syas.g_00875	Syal.g_02738
OG0000142	Syas.g_00746	Syal.g_02636
OG0000143	Syas.g_00742	Syal.g_02632
OG0000144	Syas.g_00718	Syal.g_02515
OG0000145	Syas.g_00948	Syal.g_02921
OG0000146	Syas.g_00451	Syal.g_02001
OG0000147	Syas.g_00450	Syal.g_02002
OG0000148	Syas.g_00577	Syal.g_02437
OG0000149	Syas.g_00282	Syal.g_02475
OG0000150	Syas.g_00874	Syal.g_02737
OG0000151	Syas.g_00148, Syas.g_00659	Syal.g_02263
OG0000152	Syas.g_00461	Syal.g_01991
OG0000153	Syas.g_00543	Syal.g_01958
OG0000154	Syas.g_00219	Syal.g_01918
OG0000155	Syas.g_01131	Syal.g_01695
OG0000156	Syas.g_01206	Syal.g_01620
OG0000157	Syas.g_01207	Syal.g_01619
OG0000158	Syas.g_02185	Syal.g_01431
OG0000159	Syas.g_01155	Syal.g_01400
OG0000160	Syas.g_02820	Syal.g_00372
OG0000161	Syas.g_02826	Syal.g_00384
OG0000162	Syas.g_02751	Syal.g_00396
OG0000163	Syas.g_01488	Syal.g_02971
OG0000164	Syas.g_02648	Syal.g_00623
OG0000165	Syas.g_02609	Syal.g_00632
OG0000166	Syas.g_01629	Syal.g_00236
OG0000167	Syas.g_01449	Syal.g_01347
OG0000168	Syas.g_02184	Syal.g_01433
OG0000169	Syas.g_02170	Syal.g_01447
