Orthogroup	Syas	Syag
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syag.g_01943
OG0000003	Syas.g_01418	Syag.g_01246, Syag.g_01565, Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561
OG0000003	Syas.g_00054	Syag.g_01261, Syag.g_00931, Syag.g_01260
OG0000004	Syas.g_00176	Syag.g_00988
OG0000004	Syas.g_00174, Syas.g_00311	Syag.g_00370
OG0000004	Syas.g_00072	Syag.g_01790
OG0000005	Syas.g_02665	Syag.g_01708
OG0000005	Syas.g_02704	Syag.g_01667
OG0000006	Syas.g_01684, Syas.g_02565	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Syas.g_01232	Syag.g_01507
OG0000007	Syas.g_02681	Syag.g_01687
OG0000008	Syas.g_00886	Syag.g_00496
OG0000008	Syas.g_00887	Syag.g_01017
OG0000009	Syas.g_01450	Syag.g_01883
OG0000010	Syas.g_01334	Syag.g_01355
OG0000012	Syas.g_00111, Syas.g_00827	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000014	Syas.g_01816	Syag.g_02559
OG0000015	Syas.g_02007	Syag.g_02252
OG0000016	Syas.g_02048	Syag.g_02286
OG0000016	Syas.g_01086	Syag.g_01066
OG0000017	Syas.g_00856	Syag.g_00344
OG0000018	Syas.g_01290	Syag.g_01387
OG0000019	Syas.g_01696	Syag.g_02663
OG0000022	Syas.g_02758	Syag.g_00458
OG0000025	Syas.g_00231	Syag.g_00718
OG0000026	Syas.g_02070	Syag.g_02309
OG0000027	Syas.g_01480	Syag.g_00950, Syag.g_00165
OG0000028	Syas.g_01793	Syag.g_02540
OG0000030	Syas.g_01644	Syag.g_02375
OG0000030	Syas.g_01645	Syag.g_02374
OG0000031	Syas.g_01827	Syag.g_02510
OG0000033	Syas.g_02328	Syag.g_01978, Syag.g_02481
OG0000034	Syas.g_02371, Syas.g_02838	Syag.g_01225, Syag.g_01947
OG0000038	Syas.g_01885	Syag.g_02130
OG0000038	Syas.g_01887	Syag.g_02132
OG0000039	Syas.g_02795	Syag.g_01325
OG0000040	Syas.g_01972	Syag.g_02215
OG0000042	Syas.g_01121, Syas.g_02147	Syag.g_01094, Syag.g_02378
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syag.g_02805
OG0000048	Syas.g_01734	Syag.g_02611
OG0000051	Syas.g_01445	Syag.g_01026, Syag.g_00214
OG0000053	Syas.g_01287	Syag.g_01391
OG0000054	Syas.g_00961, Syas.g_00957	Syag.g_00350
OG0000055	Syas.g_00203	Syag.g_01799
OG0000057	Syas.g_01055, Syas.g_01038	Syag.g_00985
OG0000059	Syas.g_01639	Syag.g_02721
OG0000060	Syas.g_01680	Syag.g_02045
OG0000060	Syas.g_00975	Syag.g_01095
OG0000061	Syas.g_01184	Syag.g_01141
OG0000062	Syas.g_02702	Syag.g_01669
OG0000063	Syas.g_02074	Syag.g_02313
OG0000064	Syas.g_02423	Syag.g_00487
OG0000064	Syas.g_00946	Syag.g_01589
OG0000065	Syas.g_02420	Syag.g_01885
OG0000066	Syas.g_00094	Syag.g_01443
OG0000068	Syas.g_00969, Syas.g_01261	Syag.g_01537
OG0000070	Syas.g_00173	Syag.g_00049
OG0000072	Syas.g_02326	Syag.g_01980
OG0000072	Syas.g_01524	Syag.g_02859
OG0000073	Syas.g_01230	Syag.g_01505
