Orthogroup	Syas	Prbj
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbj.g_01549, Prbj.g_02662
OG0000003	Syas.g_00054	Prbj.g_00170, Prbj.g_01574
OG0000004	Syas.g_00176	Prbj.g_00754
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbj.g_01777
OG0000005	Syas.g_02704	Prbj.g_00883
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prbj.g_02699
OG0000007	Syas.g_01232	Prbj.g_01610
OG0000007	Syas.g_02681	Prbj.g_00857
OG0000008	Syas.g_00886	Prbj.g_00929
OG0000008	Syas.g_00887	Prbj.g_00928
OG0000009	Syas.g_01450	Prbj.g_01300, Prbj.g_00618
OG0000010	Syas.g_01334	Prbj.g_00129
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbj.g_00359
OG0000014	Syas.g_01816	Prbj.g_01442
OG0000015	Syas.g_02007, Syas.g_00968	Prbj.g_02502
OG0000017	Syas.g_00856	Prbj.g_01761
OG0000018	Syas.g_01290	Prbj.g_00641
OG0000019	Syas.g_01696	Prbj.g_01349
OG0000022	Syas.g_02758	Prbj.g_00050
OG0000025	Syas.g_00231	Prbj.g_02475
OG0000026	Syas.g_02070	Prbj.g_01204
OG0000028	Syas.g_01793	Prbj.g_01457
OG0000030	Syas.g_01644	Prbj.g_01288
OG0000030	Syas.g_01645	Prbj.g_01287
OG0000031	Syas.g_01827	Prbj.g_01522, Prbj.g_01527
OG0000033	Syas.g_02328	Prbj.g_00518
OG0000034	Syas.g_02371, Syas.g_02838	Prbj.g_01740
OG0000035	Syas.g_02814, Syas.g_02818	Prbj.g_01056
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbj.g_00624
OG0000038	Syas.g_01885	Prbj.g_01959
OG0000038	Syas.g_01887	Prbj.g_01961
OG0000039	Syas.g_02795	Prbj.g_00429
OG0000041	Syas.g_00996	Prbj.g_00450
OG0000042	Syas.g_01121, Syas.g_02147	Prbj.g_01808, Prbj.g_00001
OG0000044	Syas.g_00894, Syas.g_02453	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbj.g_00358
OG0000048	Syas.g_01734	Prbj.g_01393
OG0000051	Syas.g_01445	Prbj.g_00705, Prbj.g_02362
OG0000053	Syas.g_01287	Prbj.g_00638
OG0000054	Syas.g_00961, Syas.g_00957	Prbj.g_01758
OG0000057	Syas.g_01055, Syas.g_01038	Prbj.g_00758
OG0000059	Syas.g_01639	Prbj.g_01029
OG0000060	Syas.g_01680	Prbj.g_01132
OG0000061	Syas.g_01184	Prbj.g_00971
OG0000062	Syas.g_02702	Prbj.g_00881
OG0000063	Syas.g_02074	Prbj.g_01208
OG0000065	Syas.g_02420	Prbj.g_00620
OG0000066	Syas.g_00094	Prbj.g_02141
OG0000068	Syas.g_00969, Syas.g_01261	Prbj.g_01639
OG0000070	Syas.g_00173	Prbj.g_00118
OG0000071	Syas.g_02854	Prbj.g_01728
OG0000072	Syas.g_02326, Syas.g_01524	Prbj.g_00516
OG0000073	Syas.g_01230	Prbj.g_01608
OG0000075	Syas.g_01921, Syas.g_02194	Prbj.g_01502
OG0000076	Syas.g_02156	Prbj.g_01598
OG0000077	Syas.g_02510	Prbj.g_01900
OG0000078	Syas.g_02561	Prbj.g_02614
OG0000079	Syas.g_01699	Prbj.g_01353
OG0000081	Syas.g_00391	Prbj.g_00799
OG0000082	Syas.g_00837	Prbj.g_01789
OG0000085	Syas.g_02695	Prbj.g_00869
OG0000086	Syas.g_02470	Prbj.g_00589
OG0000087	Syas.g_02374	Prbj.g_01547
OG0000089	Syas.g_01512	Prbj.g_00064
OG0000090	Syas.g_00062	Prbj.g_02127
OG0000091	Syas.g_00907, Syas.g_00146	Prbj.g_02581
OG0000094	Syas.g_00208, Syas.g_01716	Prbj.g_01985
OG0000095	Syas.g_01021	Prbj.g_01838
OG0000098	Syas.g_00091	Prbj.g_00669
OG0000099	Syas.g_01826	Prbj.g_01464
OG0000100	Syas.g_00567	Prbj.g_00185, Prbj.g_02442
OG0000101	Syas.g_01589	Prbj.g_00415
OG0000102	Syas.g_02152, Syas.g_01395	Prbj.g_01819
OG0000103	Syas.g_02009	Prbj.g_02055
OG0000104	Syas.g_02027, Syas.g_02026	Prbj.g_02069
OG0000105	Syas.g_01739	Prbj.g_01397
OG0000106	Syas.g_01451	Prbj.g_00875
OG0000107	Syas.g_01669	Prbj.g_02659
OG0000108	Syas.g_01253	Prbj.g_01630
OG0000109	Syas.g_01236	Prbj.g_01614
OG0000110	Syas.g_00359, Syas.g_00818	Prbj.g_01801
OG0000111	Syas.g_01037	Prbj.g_00759
OG0000112	Syas.g_00452	Prbj.g_02276
OG0000113	Syas.g_00571	Prbj.g_02437
OG0000114	Syas.g_00252, Syas.g_00674	Prbj.g_02340
OG0000115	Syas.g_02548, Syas.g_01285	Prbj.g_00634
OG0000116	Syas.g_01198, Syas.g_00317	Prbj.g_00956
OG0000117	Syas.g_01122	Prbj.g_01915
OG0000118	Syas.g_02835	Prbj.g_01742
OG0000120	Syas.g_01828	Prbj.g_01465
OG0000121	Syas.g_02821	Prbj.g_01064, Prbj.g_01058
OG0000122	Syas.g_00393	Prbj.g_02627
OG0000123	Syas.g_01582	Prbj.g_00406
OG0000124	Syas.g_02137	Prbj.g_01281
OG0000125	Syas.g_01889	Prbj.g_01963
OG0000126	Syas.g_01992	Prbj.g_02067
OG0000128	Syas.g_02046	Prbj.g_02085
OG0000129	Syas.g_01880	Prbj.g_01951
OG0000130	Syas.g_02522	Prbj.g_00564
OG0000131	Syas.g_02367	Prbj.g_00543
OG0000132	Syas.g_02334	Prbj.g_00523
OG0000133	Syas.g_00457	Prbj.g_01460
OG0000134	Syas.g_01509	Prbj.g_00067
OG0000135	Syas.g_01938	Prbj.g_02004
OG0000136	Syas.g_02740	Prbj.g_00105
OG0000137	Syas.g_01333	Prbj.g_00128
OG0000138	Syas.g_01235	Prbj.g_01613
OG0000139	Syas.g_00069	Prbj.g_02133
OG0000140	Syas.g_00090	Prbj.g_02139
OG0000141	Syas.g_00875	Prbj.g_01757
OG0000142	Syas.g_00746	Prbj.g_02573
OG0000143	Syas.g_00742	Prbj.g_02577
