locus_tag	ftype	length_bp	gene	EC_number	COG	product
Syag.g_00001	gene	243				
Syag.g_00001	CDS	243				hypothetical protein
Syag.g_00002	gene	756	mtnC			
Syag.g_00002	CDS	756	mtnC	3.1.3.77		Enolase-phosphatase E1
Syag.g_00003	gene	489	mtnB			
Syag.g_00003	CDS	489	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
Syag.g_00004	gene	861	mutM			
Syag.g_00004	CDS	861	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
Syag.g_00005	gene	210	psaE			
Syag.g_00005	CDS	210	psaE			Photosystem I reaction center subunit IV
Syag.g_00006	gene	1086				
Syag.g_00006	CDS	1086				hypothetical protein
Syag.g_00007	gene	1485	recQ			
Syag.g_00007	CDS	1485	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
Syag.g_00008	gene	1113				
Syag.g_00008	CDS	1113				hypothetical protein
Syag.g_00009	gene	1419	aldH1			
Syag.g_00009	CDS	1419	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
Syag.g_00010	gene	1692	treS			
Syag.g_00010	CDS	1692	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
Syag.g_00011	gene	1575	glpD			
Syag.g_00011	CDS	1575	glpD	1.1.5.3		Aerobic glycerol-3-phosphate dehydrogenase
Syag.g_00012	gene	1518	glpK			
Syag.g_00012	CDS	1518	glpK	2.7.1.30		Glycerol kinase
Syag.g_00013	gene	870				
Syag.g_00013	CDS	870				hypothetical protein
Syag.g_00014	gene	2055				
Syag.g_00014	CDS	2055				hypothetical protein
Syag.g_00015	gene	567				
Syag.g_00015	CDS	567				hypothetical protein
Syag.g_00016	gene	73				
Syag.g_00016	tRNA	73				tRNA-Thr(ggt)
Syag.g_00017	gene	82				
Syag.g_00017	tRNA	82				tRNA-Tyr(gta)
Syag.g_00018	gene	453	aroQ			
Syag.g_00018	CDS	453	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
Syag.g_00019	gene	663				
Syag.g_00019	CDS	663				hypothetical protein
Syag.g_00020	gene	903				
Syag.g_00020	CDS	903				hypothetical protein
Syag.g_00021	gene	228				
Syag.g_00021	CDS	228				hypothetical protein
Syag.g_00022	gene	1149				
Syag.g_00022	CDS	1149				hypothetical protein
Syag.g_00023	gene	234				
Syag.g_00023	CDS	234				hypothetical protein
Syag.g_00024	gene	546	mtnD			
Syag.g_00024	CDS	546	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
Syag.g_00025	gene	717	cobIJ			
Syag.g_00025	CDS	717	cobIJ		COG1010	Cobalamin biosynthesis protein CobIJ
Syag.g_00026	gene	642				
Syag.g_00026	CDS	642				hypothetical protein
Syag.g_00027	gene	2013	bcsA			
Syag.g_00027	CDS	2013	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
Syag.g_00028	gene	1020	dusB			
Syag.g_00028	CDS	1020	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
Syag.g_00029	gene	582				
Syag.g_00029	CDS	582				hypothetical protein
Syag.g_00030	gene	465				
Syag.g_00030	CDS	465				hypothetical protein
Syag.g_00031	gene	384	ldtB			
Syag.g_00031	CDS	384	ldtB	2.3.2.-	COG1376	L,D-transpeptidase 2
Syag.g_00032	gene	1368	der_1			
Syag.g_00032	CDS	1368	der_1		COG1160	GTPase Der
Syag.g_00033	gene	915	ecfT			
Syag.g_00033	CDS	915	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
Syag.g_00034	gene	267				
Syag.g_00034	CDS	267				hypothetical protein
Syag.g_00035	gene	675				
Syag.g_00035	CDS	675			COG0325	Pyridoxal phosphate homeostasis protein
Syag.g_00036	gene	582	sepF			
Syag.g_00036	CDS	582	sepF		COG1799	Cell division protein SepF
Syag.g_00037	gene	783	proC			
Syag.g_00037	CDS	783	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
Syag.g_00038	gene	1215	epsD			
Syag.g_00038	CDS	1215	epsD	2.4.-.-		Putative glycosyltransferase EpsD
Syag.g_00039	gene	1422				
Syag.g_00039	CDS	1422				hypothetical protein
Syag.g_00040	gene	807	recO			
Syag.g_00040	CDS	807	recO			DNA repair protein RecO
Syag.g_00041	gene	714	deoC2			
Syag.g_00041	CDS	714	deoC2	4.1.2.4		Deoxyribose-phosphate aldolase 2
Syag.g_00042	gene	588	hpf			
Syag.g_00042	CDS	588	hpf		COG1544	Ribosome hibernation promotion factor
Syag.g_00043	gene	687				
