Orthogroup	Prbk	Prba
OG0000000	Prbk.g_02574	Prba.g_00203
OG0000000	Prbk.g_01649	Prba.g_01639
OG0000002	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630	Prba.g_00211
OG0000003	Prbk.g_00166	Prba.g_01172
OG0000004	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355	Prba.g_01570, Prba.g_01563, Prba.g_01171
OG0000006	Prbk.g_00907	Prba.g_00226
OG0000007	Prbk.g_01819	Prba.g_01131
OG0000007	Prbk.g_01820	Prba.g_01645
OG0000009	Prbk.g_01004	Prba.g_01519, Prba.g_00468
OG0000011	Prbk.g_02565	Prba.g_00913
OG0000011	Prbk.g_01202	Prba.g_00546
OG0000012	Prbk.g_01150, Prbk.g_01142	Prba.g_01719
OG0000013	Prbk.g_02558	Prba.g_01538
OG0000016	Prbk.g_01746, Prbk.g_01786	Prba.g_00200
OG0000018	Prbk.g_02695	Prba.g_00460
OG0000019	Prbk.g_01137	Prba.g_00245
OG0000020	Prbk.g_00405	Prba.g_00868
OG0000024	Prbk.g_00454	Prba.g_00522
OG0000026	Prbk.g_01613	Prba.g_01826
OG0000028	Prbk.g_00259	Prba.g_00713
OG0000031	Prbk.g_01709	Prba.g_01168
OG0000032	Prbk.g_00534, Prbk.g_00539	Prba.g_00173
OG0000036	Prbk.g_01122	Prba.g_01731
OG0000037	Prbk.g_02610	Prba.g_01694
OG0000038	Prbk.g_01667, Prbk.g_00212	Prba.g_01543
OG0000039	Prbk.g_01836, Prbk.g_00773	Prba.g_00622
OG0000040	Prbk.g_02448	Prba.g_00854
OG0000042	Prbk.g_01835, Prbk.g_00619	Prba.g_01594
OG0000043	Prbk.g_01644, Prbk.g_01642	Prba.g_01514
OG0000045	Prbk.g_00479	Prba.g_00153
OG0000046	Prbk.g_00919	Prba.g_00233
OG0000047	Prbk.g_00237	Prba.g_00768
OG0000048	Prbk.g_00140, Prbk.g_01495	Prba.g_00775
OG0000050	Prbk.g_01617	Prba.g_01824
OG0000051	Prbk.g_00764	Prba.g_01945
OG0000052	Prbk.g_00925	Prba.g_00864
OG0000053	Prbk.g_01094	Prba.g_00922
OG0000054	Prbk.g_01468	Prba.g_01548
OG0000055	Prbk.g_02493	Prba.g_01477
OG0000056	Prbk.g_00694	Prba.g_00727
OG0000058	Prbk.g_02113	Prba.g_00986
OG0000059	Prbk.g_01765	Prba.g_01619
OG0000062	Prbk.g_02195	Prba.g_00097
OG0000063	Prbk.g_01496	Prba.g_01135
OG0000065	Prbk.g_01183	Prba.g_01192
OG0000066	Prbk.g_00477	Prba.g_00175
