Orthogroup	Prbk	Prab
OG0000000	Prbk.g_01649	Prab.g_00683
OG0000001	Prbk.g_00167	Prab.g_01606
OG0000001	Prbk.g_00165	Prab.g_00918, Prab.g_01620
OG0000003	Prbk.g_00166	Prab.g_01308
OG0000004	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355	Prab.g_00921, Prab.g_00747, Prab.g_01307
OG0000006	Prbk.g_00907	Prab.g_01669
OG0000007	Prbk.g_01820	Prab.g_00677
OG0000009	Prbk.g_01004	Prab.g_00820, Prab.g_00239
OG0000011	Prbk.g_01202	Prab.g_00318
OG0000012	Prbk.g_01150, Prbk.g_01142	Prab.g_00602
OG0000013	Prbk.g_02558	Prab.g_00789
OG0000016	Prbk.g_01746, Prbk.g_01786	Prab.g_01356
OG0000017	Prbk.g_01230	Prab.g_01486
OG0000018	Prbk.g_02695	Prab.g_00231
OG0000019	Prbk.g_01137	Prab.g_00354
OG0000020	Prbk.g_00405	Prab.g_00411, Prab.g_00363
OG0000024	Prbk.g_00454	Prab.g_00294
OG0000026	Prbk.g_01613	Prab.g_00033
OG0000028	Prbk.g_00259	Prab.g_01466
OG0000031	Prbk.g_01709	Prab.g_01304, Prab.g_01643
OG0000036	Prbk.g_01122	Prab.g_00589
OG0000037	Prbk.g_02610	Prab.g_00627
OG0000038	Prbk.g_01667, Prbk.g_00212	Prab.g_00782
OG0000039	Prbk.g_01836, Prbk.g_00773	Prab.g_00157
OG0000040	Prbk.g_02448	Prab.g_00348
OG0000042	Prbk.g_01835, Prbk.g_00619	Prab.g_00723
OG0000043	Prbk.g_01644, Prbk.g_01642	Prab.g_00825
OG0000044	Prbk.g_01019	Prab.g_01219
OG0000045	Prbk.g_00479	Prab.g_01393
OG0000046	Prbk.g_00919	Prab.g_01662
OG0000047	Prbk.g_00237	Prab.g_01857
OG0000048	Prbk.g_00140, Prbk.g_01495	Prab.g_01864
OG0000050	Prbk.g_01617	Prab.g_01629
OG0000051	Prbk.g_00764	Prab.g_00148
OG0000052	Prbk.g_00925	Prab.g_00359
OG0000053	Prbk.g_01094	Prab.g_00543
OG0000054	Prbk.g_01468	Prab.g_00775, Prab.g_00803
OG0000055	Prbk.g_02493	Prab.g_00862
OG0000056	Prbk.g_00694	Prab.g_01634
OG0000058	Prbk.g_02113	Prab.g_00479
OG0000059	Prbk.g_01765	Prab.g_00703
OG0000062	Prbk.g_02195	Prab.g_01186
OG0000063	Prbk.g_01496	Prab.g_00717
OG0000065	Prbk.g_01183	Prab.g_01637, Prab.g_01326
OG0000066	Prbk.g_00477	Prab.g_01447
