Orthogroup	Prbk	Prap
OG0000000	Prbk.g_02574	Prap.g_00720, Prap.g_00715
OG0000000	Prbk.g_01649	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224
OG0000002	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630	Prap.g_01925
OG0000003	Prbk.g_00166	Prap.g_00494
OG0000004	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355	Prap.g_00535
OG0000006	Prbk.g_00907	Prap.g_01779
OG0000007	Prbk.g_01819	Prap.g_01888
OG0000007	Prbk.g_01820	Prap.g_01887
OG0000009	Prbk.g_01004	Prap.g_00480, Prap.g_01462
OG0000011	Prbk.g_02565	Prap.g_01343
OG0000012	Prbk.g_01142	Prap.g_01163
OG0000013	Prbk.g_02558	Prap.g_01840, Prap.g_01794
OG0000016	Prbk.g_01746	Prap.g_00510
OG0000016	Prbk.g_01786	Prap.g_00218
OG0000017	Prbk.g_01230	Prap.g_00142, Prap.g_01834
OG0000018	Prbk.g_02695	Prap.g_01470
OG0000019	Prbk.g_01137	Prap.g_00797
OG0000020	Prbk.g_00405	Prap.g_00548, Prap.g_01439
OG0000024	Prbk.g_00454	Prap.g_01403
OG0000026	Prbk.g_01613	Prap.g_01903
OG0000028	Prbk.g_00259	Prap.g_00121
OG0000031	Prbk.g_01709	Prap.g_00611
OG0000034	Prbk.g_00499	Prap.g_00897
OG0000036	Prbk.g_01122	Prap.g_01183
OG0000037	Prbk.g_02610	Prap.g_00236, Prap.g_01145
OG0000038	Prbk.g_01667, Prbk.g_00212	Prap.g_00212
OG0000039	Prbk.g_01836, Prbk.g_00773	Prap.g_01004
OG0000040	Prbk.g_02448	Prap.g_00029
OG0000042	Prbk.g_01835, Prbk.g_00619	Prap.g_00791
OG0000043	Prbk.g_01644, Prbk.g_01642	Prap.g_00691
OG0000044	Prbk.g_01019	Prap.g_00456
OG0000045	Prbk.g_00479	Prap.g_00081
OG0000046	Prbk.g_00919	Prap.g_01787, Prap.g_01917
OG0000047	Prbk.g_00237	Prap.g_01580
OG0000048	Prbk.g_00140, Prbk.g_01495	Prap.g_01572
OG0000050	Prbk.g_01617	Prap.g_00923
OG0000051	Prbk.g_00764	Prap.g_01013
OG0000052	Prbk.g_00925	Prap.g_00591
OG0000053	Prbk.g_01094	Prap.g_01230, Prap.g_01867
OG0000054	Prbk.g_01468	Prap.g_01128
OG0000055	Prbk.g_02493	Prap.g_00760
OG0000056	Prbk.g_00694	Prap.g_00512
OG0000058	Prbk.g_02113	Prap.g_01292
OG0000059	Prbk.g_01765	Prap.g_00799
OG0000062	Prbk.g_02195	Prap.g_01883
OG0000063	Prbk.g_01496	Prap.g_00429
OG0000065	Prbk.g_01183	Prap.g_00561
OG0000066	Prbk.g_00477	Prap.g_00079
OG0000068	Prbk.g_00796, Prbk.g_00944	Prap.g_01642
OG0000069	Prbk.g_01209	Prap.g_00160
OG0000071	Prbk.g_02290	Prap.g_00043
OG0000072	Prbk.g_00472	Prap.g_01389
OG0000073	Prbk.g_00709	Prap.g_00356
OG0000074	Prbk.g_01815	Prap.g_00809
OG0000075	Prbk.g_02475	Prap.g_00776
OG0000076	Prbk.g_00056	Prap.g_00708
OG0000078	Prbk.g_00476	Prap.g_00082
OG0000079	Prbk.g_00931	Prap.g_00206
OG0000080	Prbk.g_02012	Prap.g_00618
OG0000081	Prbk.g_00512	Prap.g_01608
OG0000082	Prbk.g_02204	Prap.g_00623
OG0000083	Prbk.g_02281	Prap.g_00051
OG0000084	Prbk.g_02284	Prap.g_00048
OG0000085	Prbk.g_01626	Prap.g_00932
OG0000087	Prbk.g_02126	Prap.g_00903
OG0000088	Prbk.g_00191	Prap.g_01061
OG0000089	Prbk.g_00206	Prap.g_01052
OG0000090	Prbk.g_00559	Prap.g_01035
OG0000091	Prbk.g_00776	Prap.g_01001
OG0000092	Prbk.g_00777	Prap.g_01000
OG0000093	Prbk.g_01280	Prap.g_00986
OG0000094	Prbk.g_01251	Prap.g_00967
OG0000095	Prbk.g_00632	Prap.g_00962
OG0000096	Prbk.g_01001	Prap.g_01460
OG0000097	Prbk.g_00409	Prap.g_01436
OG0000098	Prbk.g_00422	Prap.g_01425
OG0000099	Prbk.g_00434	Prap.g_01415
OG0000100	Prbk.g_00438	Prap.g_01412
OG0000101	Prbk.g_00361	Prap.g_01347
OG0000102	Prbk.g_02209	Prap.g_00543
OG0000103	Prbk.g_02114	Prap.g_01291
OG0000104	Prbk.g_02061	Prap.g_01287
OG0000105	Prbk.g_01862	Prap.g_01267
OG0000106	Prbk.g_01078	Prap.g_01237
OG0000107	Prbk.g_01080	Prap.g_01236
OG0000108	Prbk.g_02684	Prap.g_01226
OG0000109	Prbk.g_01890	Prap.g_01217
OG0000110	Prbk.g_01871	Prap.g_01200
OG0000111	Prbk.g_00740	Prap.g_00375
OG0000112	Prbk.g_00739	Prap.g_00374
OG0000113	Prbk.g_02370	Prap.g_00324
OG0000114	Prbk.g_02466	Prap.g_00785
OG0000115	Prbk.g_02324	Prap.g_00257
OG0000116	Prbk.g_02316	Prap.g_00261
OG0000117	Prbk.g_00059	Prap.g_00705
OG0000118	Prbk.g_02271	Prap.g_00501
OG0000119	Prbk.g_02197	Prap.g_01880
OG0000120	Prbk.g_00144	Prap.g_00450
OG0000121	Prbk.g_00138	Prap.g_00427
OG0000122	Prbk.g_00185	Prap.g_00407
OG0000123	Prbk.g_00121	Prap.g_01135
OG0000124	Prbk.g_00066	Prap.g_00217
OG0000125	Prbk.g_01169	Prap.g_00574
OG0000126	Prbk.g_02052	Prap.g_00059
OG0000127	Prbk.g_00243	Prap.g_00109
OG0000128	Prbk.g_00260	Prap.g_00122
OG0000129	Prbk.g_01212	Prap.g_00158
OG0000130	Prbk.g_00913	Prap.g_01782
OG0000131	Prbk.g_01417	Prap.g_01742
OG0000132	Prbk.g_01414	Prap.g_01739
OG0000133	Prbk.g_00987	Prap.g_01685
OG0000134	Prbk.g_00950	Prap.g_01648, Prap.g_01649
OG0000135	Prbk.g_00948	Prap.g_01646
OG0000136	Prbk.g_00528	Prap.g_01596
OG0000137	Prbk.g_01540	Prap.g_01562
OG0000138	Prbk.g_02168	Prap.g_01528
OG0000139	Prbk.g_02252	Prap.g_01497
OG0000140	Prbk.g_02279	Prap.g_00053
OG0000141	Prbk.g_02280	Prap.g_00052
OG0000142	Prbk.g_02282	Prap.g_00050
OG0000143	Prbk.g_02283	Prap.g_00049
OG0000144	Prbk.g_02285	Prap.g_00047
OG0000145	Prbk.g_02287	Prap.g_00046
OG0000146	Prbk.g_02288	Prap.g_00045
OG0000147	Prbk.g_02289	Prap.g_00044
OG0000148	Prbk.g_02291	Prap.g_00042
OG0000149	Prbk.g_01639	Prap.g_00941
OG0000150	Prbk.g_01638	Prap.g_00940
OG0000151	Prbk.g_01633	Prap.g_00939
OG0000152	Prbk.g_01632	Prap.g_00938
OG0000153	Prbk.g_01631	Prap.g_00937
OG0000154	Prbk.g_01630	Prap.g_00936
OG0000155	Prbk.g_01629	Prap.g_00935
OG0000156	Prbk.g_01628	Prap.g_00934
OG0000157	Prbk.g_01627	Prap.g_00933
OG0000158	Prbk.g_01625	Prap.g_00931
OG0000159	Prbk.g_01624	Prap.g_00930
OG0000160	Prbk.g_01623	Prap.g_00929
OG0000161	Prbk.g_01622	Prap.g_00928
OG0000162	Prbk.g_01621	Prap.g_00927
OG0000163	Prbk.g_01619	Prap.g_00925
OG0000164	Prbk.g_01614	Prap.g_00922
OG0000165	Prbk.g_01609	Prap.g_00919
OG0000166	Prbk.g_01608	Prap.g_00918
OG0000167	Prbk.g_01607	Prap.g_00917
OG0000168	Prbk.g_01606	Prap.g_00915
OG0000169	Prbk.g_01604	Prap.g_00913
OG0000170	Prbk.g_02158	Prap.g_00911
OG0000171	Prbk.g_02156	Prap.g_00910
OG0000172	Prbk.g_02155	Prap.g_00909
OG0000173	Prbk.g_02148	Prap.g_00906
OG0000174	Prbk.g_02141	Prap.g_00905
OG0000175	Prbk.g_02133	Prap.g_00904
OG0000176	Prbk.g_02125	Prap.g_00902
OG0000177	Prbk.g_02124	Prap.g_00901
OG0000178	Prbk.g_02123	Prap.g_00899
OG0000179	Prbk.g_01326	Prap.g_00887
OG0000180	Prbk.g_01324	Prap.g_00886
OG0000181	Prbk.g_01323	Prap.g_00885
OG0000182	Prbk.g_01320	Prap.g_00881
OG0000183	Prbk.g_01319	Prap.g_00880
OG0000184	Prbk.g_01315	Prap.g_00877
OG0000185	Prbk.g_01309	Prap.g_01100
OG0000186	Prbk.g_01308	Prap.g_01099
OG0000187	Prbk.g_01665	Prap.g_00025
OG0000188	Prbk.g_01307	Prap.g_01098
OG0000189	Prbk.g_01304	Prap.g_01097
OG0000190	Prbk.g_01303	Prap.g_01096
OG0000191	Prbk.g_01302	Prap.g_01095
OG0000192	Prbk.g_01301	Prap.g_01094
OG0000193	Prbk.g_01300	Prap.g_01093
OG0000194	Prbk.g_01299	Prap.g_01092
OG0000195	Prbk.g_01295	Prap.g_01090
OG0000196	Prbk.g_01294	Prap.g_01089
OG0000197	Prbk.g_00035	Prap.g_01088
OG0000198	Prbk.g_00031	Prap.g_01087
OG0000199	Prbk.g_00026	Prap.g_01084
OG0000200	Prbk.g_00025	Prap.g_01083
OG0000201	Prbk.g_00024	Prap.g_01082
OG0000202	Prbk.g_00022	Prap.g_01080
OG0000203	Prbk.g_00021	Prap.g_01079
OG0000204	Prbk.g_00020	Prap.g_01078
OG0000205	Prbk.g_00018	Prap.g_01076
OG0000206	Prbk.g_00017	Prap.g_01075
OG0000207	Prbk.g_00016	Prap.g_01074
OG0000208	Prbk.g_00015	Prap.g_01073
OG0000209	Prbk.g_00014	Prap.g_01072
OG0000210	Prbk.g_00012	Prap.g_01071
OG0000211	Prbk.g_00011	Prap.g_01069
OG0000212	Prbk.g_00010	Prap.g_01068
OG0000213	Prbk.g_00007	Prap.g_01067
OG0000214	Prbk.g_00001	Prap.g_01063
OG0000215	Prbk.g_00190	Prap.g_01062
OG0000216	Prbk.g_00192	Prap.g_01060
OG0000217	Prbk.g_00194	Prap.g_01059
OG0000218	Prbk.g_00196	Prap.g_01058
OG0000219	Prbk.g_00197	Prap.g_01057
OG0000220	Prbk.g_00202	Prap.g_01054
OG0000221	Prbk.g_00207	Prap.g_01051
OG0000222	Prbk.g_00208	Prap.g_01050
OG0000223	Prbk.g_00209	Prap.g_01049
OG0000224	Prbk.g_00542	Prap.g_01047
OG0000225	Prbk.g_00544	Prap.g_01045
OG0000226	Prbk.g_00547	Prap.g_01043
OG0000227	Prbk.g_00549	Prap.g_01042
OG0000228	Prbk.g_00550	Prap.g_01041
OG0000229	Prbk.g_00551	Prap.g_01040
OG0000230	Prbk.g_00552	Prap.g_01039
OG0000231	Prbk.g_00554	Prap.g_00319
OG0000232	Prbk.g_00555	Prap.g_01037
OG0000233	Prbk.g_00560	Prap.g_01034
OG0000234	Prbk.g_00749	Prap.g_01032
OG0000235	Prbk.g_00751	Prap.g_01026
OG0000236	Prbk.g_00752	Prap.g_01025
OG0000237	Prbk.g_00753	Prap.g_01024
OG0000238	Prbk.g_00754	Prap.g_01023
OG0000239	Prbk.g_00755	Prap.g_01022
OG0000240	Prbk.g_00757	Prap.g_01020
OG0000241	Prbk.g_00758	Prap.g_01019
OG0000242	Prbk.g_00759	Prap.g_01018
OG0000243	Prbk.g_00760	Prap.g_01017
OG0000244	Prbk.g_00761	Prap.g_01016
OG0000245	Prbk.g_00763	Prap.g_01014
OG0000246	Prbk.g_00765	Prap.g_01012
OG0000247	Prbk.g_00766	Prap.g_01011
OG0000248	Prbk.g_00767	Prap.g_01010
OG0000249	Prbk.g_00768	Prap.g_01009
OG0000250	Prbk.g_00769	Prap.g_01008
OG0000251	Prbk.g_00770	Prap.g_01007
OG0000252	Prbk.g_00771	Prap.g_01006
OG0000253	Prbk.g_00772	Prap.g_01005
OG0000254	Prbk.g_00774	Prap.g_01003
OG0000255	Prbk.g_00775	Prap.g_01002
OG0000256	Prbk.g_00778	Prap.g_00999
OG0000257	Prbk.g_00779	Prap.g_00997
OG0000258	Prbk.g_00780	Prap.g_00996
OG0000259	Prbk.g_00781	Prap.g_00995
OG0000260	Prbk.g_00782	Prap.g_00994
OG0000261	Prbk.g_00783	Prap.g_00993
OG0000262	Prbk.g_00784	Prap.g_00992
OG0000263	Prbk.g_00785	Prap.g_00991
OG0000264	Prbk.g_02425	Prap.g_00989
OG0000265	Prbk.g_01283	Prap.g_00988
OG0000266	Prbk.g_01281	Prap.g_00987
OG0000267	Prbk.g_01277	Prap.g_00985
OG0000268	Prbk.g_01275	Prap.g_00983
OG0000269	Prbk.g_01272	Prap.g_00982
OG0000270	Prbk.g_01270	Prap.g_00981
OG0000271	Prbk.g_01267	Prap.g_00980
OG0000272	Prbk.g_01266	Prap.g_00979
OG0000273	Prbk.g_01263	Prap.g_00978
OG0000274	Prbk.g_01261	Prap.g_00977
OG0000275	Prbk.g_01260	Prap.g_00976
OG0000276	Prbk.g_01259	Prap.g_00975
OG0000277	Prbk.g_01258	Prap.g_00974
OG0000278	Prbk.g_01257	Prap.g_00973
OG0000279	Prbk.g_01256	Prap.g_00972
OG0000280	Prbk.g_01255	Prap.g_00971
OG0000281	Prbk.g_01253	Prap.g_00969
OG0000282	Prbk.g_01252	Prap.g_00968
OG0000283	Prbk.g_01245	Prap.g_00965
OG0000284	Prbk.g_01244	Prap.g_00964
OG0000285	Prbk.g_00631	Prap.g_00963
OG0000286	Prbk.g_00633	Prap.g_00961
OG0000287	Prbk.g_00686	Prap.g_00959
OG0000288	Prbk.g_00685	Prap.g_00958
OG0000289	Prbk.g_00683	Prap.g_00957
OG0000290	Prbk.g_00682	Prap.g_00956
OG0000291	Prbk.g_00680	Prap.g_00955
OG0000292	Prbk.g_00670	Prap.g_00954
OG0000293	Prbk.g_00669	Prap.g_00953
OG0000294	Prbk.g_00668	Prap.g_00952
OG0000295	Prbk.g_00662	Prap.g_00951
OG0000296	Prbk.g_00661	Prap.g_00950
OG0000297	Prbk.g_00658	Prap.g_00949
OG0000298	Prbk.g_00657	Prap.g_00948
OG0000299	Prbk.g_00656	Prap.g_00947
OG0000300	Prbk.g_00655	Prap.g_00946
OG0000301	Prbk.g_00654	Prap.g_00945
OG0000302	Prbk.g_00653	Prap.g_00944
OG0000303	Prbk.g_00652	Prap.g_00943
OG0000304	Prbk.g_00650	Prap.g_01487
OG0000305	Prbk.g_00649	Prap.g_01486
OG0000306	Prbk.g_00648	Prap.g_01485
OG0000307	Prbk.g_01364	Prap.g_01483
OG0000308	Prbk.g_01136	Prap.g_01482
OG0000309	Prbk.g_01135	Prap.g_01481
OG0000310	Prbk.g_01134	Prap.g_01480
OG0000311	Prbk.g_01368	Prap.g_01479
OG0000312	Prbk.g_01369	Prap.g_01477
OG0000313	Prbk.g_01521	Prap.g_01476
OG0000314	Prbk.g_01515	Prap.g_01472
OG0000315	Prbk.g_01514	Prap.g_01471
OG0000316	Prbk.g_01900	Prap.g_01469
OG0000317	Prbk.g_01012	Prap.g_01467
OG0000318	Prbk.g_01011	Prap.g_01466
OG0000319	Prbk.g_01010	Prap.g_01465
OG0000320	Prbk.g_01008	Prap.g_01464
OG0000321	Prbk.g_01003	Prap.g_01461
OG0000322	Prbk.g_00371	Prap.g_01457
OG0000323	Prbk.g_00372	Prap.g_01456
OG0000324	Prbk.g_00374	Prap.g_01453
OG0000325	Prbk.g_00376	Prap.g_01452
OG0000326	Prbk.g_00378	Prap.g_01451
OG0000327	Prbk.g_00384	Prap.g_01449
OG0000328	Prbk.g_01365	Prap.g_01448
OG0000329	Prbk.g_00397	Prap.g_01447
OG0000330	Prbk.g_00398	Prap.g_01446
OG0000331	Prbk.g_00400	Prap.g_01444
OG0000332	Prbk.g_00401	Prap.g_01443
OG0000333	Prbk.g_00402	Prap.g_01442
OG0000334	Prbk.g_00403	Prap.g_01441
OG0000335	Prbk.g_00404	Prap.g_01440
OG0000336	Prbk.g_00406	Prap.g_01438
OG0000337	Prbk.g_00411	Prap.g_01435
OG0000338	Prbk.g_00412	Prap.g_01434
OG0000339	Prbk.g_00413	Prap.g_01433
OG0000340	Prbk.g_00415	Prap.g_01432
OG0000341	Prbk.g_00420	Prap.g_01428
OG0000342	Prbk.g_00421	Prap.g_01427
OG0000343	Prbk.g_00423	Prap.g_01424
OG0000344	Prbk.g_00425	Prap.g_01423
OG0000345	Prbk.g_00426	Prap.g_01422
OG0000346	Prbk.g_00427	Prap.g_01421
OG0000347	Prbk.g_00428	Prap.g_01420
OG0000348	Prbk.g_00429	Prap.g_01418
OG0000349	Prbk.g_00430	Prap.g_01417
OG0000350	Prbk.g_00431	Prap.g_01416
OG0000351	Prbk.g_00435	Prap.g_01414
OG0000352	Prbk.g_00439	Prap.g_01411
OG0000353	Prbk.g_00442	Prap.g_01410
OG0000354	Prbk.g_00443	Prap.g_01409
OG0000355	Prbk.g_00444	Prap.g_01408
OG0000356	Prbk.g_00449	Prap.g_01407
OG0000357	Prbk.g_00450	Prap.g_01406
OG0000358	Prbk.g_00451	Prap.g_01405
OG0000359	Prbk.g_00453	Prap.g_01404
OG0000360	Prbk.g_00456	Prap.g_01402
OG0000361	Prbk.g_00457	Prap.g_01401
OG0000362	Prbk.g_00458	Prap.g_01400
OG0000363	Prbk.g_00460	Prap.g_01399
OG0000364	Prbk.g_00461	Prap.g_01398
OG0000365	Prbk.g_00462	Prap.g_01397
OG0000366	Prbk.g_00463	Prap.g_01396
OG0000367	Prbk.g_00464	Prap.g_01395
OG0000368	Prbk.g_00465	Prap.g_01394
OG0000369	Prbk.g_00466	Prap.g_01393
OG0000370	Prbk.g_00467	Prap.g_01392
OG0000371	Prbk.g_00468	Prap.g_01391
OG0000372	Prbk.g_00471	Prap.g_01390
OG0000373	Prbk.g_00481	Prap.g_01388
OG0000374	Prbk.g_00483	Prap.g_01387
OG0000375	Prbk.g_00492	Prap.g_01386
OG0000376	Prbk.g_00853	Prap.g_01385
OG0000377	Prbk.g_00860	Prap.g_01379
OG0000378	Prbk.g_00861	Prap.g_01378
OG0000379	Prbk.g_00871	Prap.g_01372
OG0000380	Prbk.g_00873	Prap.g_01370
OG0000381	Prbk.g_00874	Prap.g_01369
OG0000382	Prbk.g_00876	Prap.g_01368
OG0000383	Prbk.g_00881	Prap.g_01365
OG0000384	Prbk.g_00882	Prap.g_01364
OG0000385	Prbk.g_00888	Prap.g_01361
OG0000386	Prbk.g_00889	Prap.g_01360
OG0000387	Prbk.g_00890	Prap.g_01359
OG0000388	Prbk.g_00891	Prap.g_01358
OG0000389	Prbk.g_00892	Prap.g_01357
OG0000390	Prbk.g_00893	Prap.g_01356
OG0000391	Prbk.g_00894	Prap.g_01355
OG0000392	Prbk.g_00895	Prap.g_01354
OG0000393	Prbk.g_00365	Prap.g_01350
OG0000394	Prbk.g_00364	Prap.g_01349
OG0000395	Prbk.g_00360	Prap.g_01346
OG0000396	Prbk.g_02556	Prap.g_00728
OG0000397	Prbk.g_01321	Prap.g_00500
OG0000398	Prbk.g_00924	Prap.g_01827
OG0000399	Prbk.g_01693	Prap.g_00495
OG0000400	Prbk.g_01902	Prap.g_01714
OG0000401	Prbk.g_00352	Prap.g_01335
OG0000402	Prbk.g_00351	Prap.g_01334
OG0000403	Prbk.g_00339	Prap.g_01333
OG0000404	Prbk.g_00329	Prap.g_01331
OG0000405	Prbk.g_00328	Prap.g_01330
OG0000406	Prbk.g_00326	Prap.g_01328
OG0000407	Prbk.g_00325	Prap.g_01327
OG0000408	Prbk.g_00324	Prap.g_01326
OG0000409	Prbk.g_00323	Prap.g_01325
OG0000410	Prbk.g_00321	Prap.g_01324
OG0000411	Prbk.g_00320	Prap.g_01323
OG0000412	Prbk.g_00319	Prap.g_01322
OG0000413	Prbk.g_00318	Prap.g_01321
OG0000414	Prbk.g_00317	Prap.g_01320
OG0000415	Prbk.g_00316	Prap.g_01319
OG0000416	Prbk.g_00315	Prap.g_01318
OG0000417	Prbk.g_00311	Prap.g_01317
OG0000418	Prbk.g_00310	Prap.g_01316
OG0000419	Prbk.g_00309	Prap.g_01315
OG0000420	Prbk.g_00308	Prap.g_01314
OG0000421	Prbk.g_00301	Prap.g_01310
OG0000422	Prbk.g_00299	Prap.g_01308
OG0000423	Prbk.g_00298	Prap.g_01307
OG0000424	Prbk.g_00295	Prap.g_01306
OG0000425	Prbk.g_02088	Prap.g_01302
OG0000426	Prbk.g_02089	Prap.g_01301
