Orthogroup	Prbk	Prah
OG0000000	Prbk.g_02574	Prah.g_00562
OG0000000	Prbk.g_01649	Prah.g_01226
OG0000001	Prbk.g_00167	Prah.g_01346
OG0000001	Prbk.g_00165	Prah.g_01348
OG0000002	Prbk.g_01196	Prah.g_00324
OG0000002	Prbk.g_00561, Prbk.g_02701	Prah.g_02270
OG0000002	Prbk.g_00170, Prbk.g_00630	Prah.g_00896
OG0000003	Prbk.g_00166	Prah.g_01347
OG0000004	Prbk.g_01701	Prah.g_01175
OG0000004	Prbk.g_00304, Prbk.g_00355	Prah.g_00215
OG0000006	Prbk.g_00907	Prah.g_01676
OG0000007	Prbk.g_01819	Prah.g_00970
OG0000007	Prbk.g_01820	Prah.g_00969
OG0000009	Prbk.g_01004	Prah.g_02086
OG0000011	Prbk.g_02565	Prah.g_00321, Prah.g_00322
OG0000011	Prbk.g_01202	Prah.g_00353
OG0000012	Prbk.g_01150	Prah.g_01397
OG0000013	Prbk.g_02558	Prah.g_01155, Prah.g_00576
OG0000016	Prbk.g_01746	Prah.g_01007
OG0000016	Prbk.g_01786	Prah.g_01048
OG0000017	Prbk.g_01230	Prah.g_00381
OG0000018	Prbk.g_02695	Prah.g_00475, Prah.g_01767
OG0000019	Prbk.g_01137	Prah.g_01410
OG0000020	Prbk.g_00405	Prah.g_02122
OG0000024	Prbk.g_00454	Prah.g_02171
OG0000026	Prbk.g_01613	Prah.g_00042
OG0000028	Prbk.g_00259	Prah.g_00408
OG0000031	Prbk.g_01709	Prah.g_01166
OG0000032	Prbk.g_00534, Prbk.g_00539	Prah.g_02248
OG0000034	Prbk.g_00499	Prah.g_02219
OG0000036	Prbk.g_01122	Prah.g_01427
OG0000037	Prbk.g_02610	Prah.g_00524
OG0000038	Prbk.g_01667	Prah.g_01209
OG0000038	Prbk.g_00212	Prah.g_00170
OG0000039	Prbk.g_01836	Prah.g_00957
OG0000039	Prbk.g_00773	Prah.g_02304
OG0000040	Prbk.g_02448	Prah.g_00688
OG0000042	Prbk.g_01835	Prah.g_00958
OG0000042	Prbk.g_00619	Prah.g_00887
OG0000043	Prbk.g_01644	Prah.g_01231
OG0000043	Prbk.g_01642	Prah.g_01233
OG0000044	Prbk.g_01019	Prah.g_01322
OG0000045	Prbk.g_00479	Prah.g_02195
OG0000046	Prbk.g_00919	Prah.g_01666
OG0000047	Prbk.g_00237	Prah.g_00150
OG0000048	Prbk.g_00140	Prah.g_01256
OG0000048	Prbk.g_01495	Prah.g_00135
OG0000049	Prbk.g_00789	Prah.g_02367
