Orthogroup	Prao	Prap
OG0000000	Prao.g_01246	Prap.g_00720, Prap.g_00715
OG0000000	Prao.g_00116	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224
OG0000002	Prao.g_01254	Prap.g_01925
OG0000002	Prao.g_01852, Prao.g_01529	Prap.g_00653
OG0000003	Prao.g_01296	Prap.g_00494
OG0000004	Prao.g_00673, Prao.g_00679, Prao.g_01301	Prap.g_00535
OG0000006	Prao.g_00603	Prap.g_01270
OG0000006	Prao.g_01552	Prap.g_01779
OG0000009	Prao.g_00720	Prap.g_00480
OG0000009	Prao.g_00387	Prap.g_01462
OG0000010	Prao.g_01142, Prao.g_01316	Prap.g_00010
OG0000012	Prao.g_00036	Prap.g_01170, Prap.g_01163
OG0000014	Prao.g_00576, Prao.g_01293	Prap.g_01912, Prap.g_01860
OG0000015	Prao.g_00515	Prap.g_01851, Prap.g_01818
OG0000016	Prao.g_01243	Prap.g_00510, Prap.g_00218
OG0000018	Prao.g_00379	Prap.g_01470
OG0000019	Prao.g_01346	Prap.g_00797
OG0000020	Prao.g_00509	Prap.g_00548, Prap.g_01439
OG0000021	Prao.g_00722	Prap.g_01797
OG0000023	Prao.g_01342	Prap.g_00216
OG0000025	Prao.g_01012	Prap.g_00667
OG0000028	Prao.g_01397	Prap.g_00121
OG0000029	Prao.g_01508	Prap.g_01312
OG0000032	Prao.g_01364, Prao.g_01355	Prap.g_00080
OG0000033	Prao.g_00160	Prap.g_00514
OG0000034	Prao.g_01358	Prap.g_00099
OG0000035	Prao.g_00831	Prap.g_00017
OG0000036	Prao.g_00024	Prap.g_01790, Prap.g_01183
OG0000037	Prao.g_00062	Prap.g_00236, Prap.g_01145
OG0000038	Prao.g_00699	Prap.g_00212
OG0000039	Prao.g_00304	Prap.g_01004
OG0000040	Prao.g_00494	Prap.g_00029
OG0000042	Prao.g_00648	Prap.g_00791
OG0000043	Prao.g_00725	Prap.g_00691
OG0000045	Prao.g_01191	Prap.g_00081
OG0000046	Prao.g_01545	Prap.g_01787, Prap.g_01917
OG0000047	Prao.g_01743	Prap.g_01580
OG0000048	Prao.g_01750	Prap.g_01572
OG0000051	Prao.g_00295	Prap.g_01013
OG0000052	Prao.g_00505	Prap.g_00591
OG0000054	Prao.g_00693	Prap.g_01128
OG0000055	Prao.g_00763	Prap.g_00760
OG0000056	Prao.g_01135	Prap.g_00512
OG0000057	Prao.g_00375, Prao.g_01537	Prap.g_01475
OG0000058	Prao.g_00581	Prap.g_01292
OG0000059	Prao.g_00136	Prap.g_00799
OG0000062	Prao.g_01122	Prap.g_01883
OG0000063	Prao.g_01332	Prap.g_00429
OG0000065	Prao.g_01276	Prap.g_00561
OG0000066	Prao.g_01215	Prap.g_00079
OG0000068	Prao.g_01687	Prap.g_01642
OG0000069	Prao.g_01201	Prap.g_00160
OG0000071	Prao.g_00158	Prap.g_00043
