Orthogroup	Prao	Prbi
OG0000000	Prao.g_01246	Prbi.g_01432
OG0000000	Prao.g_00116	Prbi.g_00681
OG0000001	Prao.g_01029	Prbi.g_01268
OG0000001	Prao.g_01029	Prbi.g_01708
OG0000001	Prao.g_01297	Prbi.g_01370
OG0000002	Prao.g_01254	Prbi.g_01424
OG0000002	Prao.g_01852	Prbi.g_01270
OG0000003	Prao.g_01518	Prbi.g_01710
OG0000003	Prao.g_01296	Prbi.g_01371
OG0000004	Prao.g_00673	Prbi.g_00775
OG0000004	Prao.g_00679	Prbi.g_00782
OG0000005	Prao.g_01515	Prbi.g_01709
OG0000006	Prao.g_00603	Prbi.g_00500
OG0000006	Prao.g_01552	Prbi.g_01787
OG0000007	Prao.g_00111	Prbi.g_00675
OG0000008	Prao.g_00517	Prbi.g_00408
OG0000008	Prao.g_01333	Prbi.g_01331
OG0000009	Prao.g_00720	Prbi.g_00827
OG0000009	Prao.g_00387	Prbi.g_00273
OG0000010	Prao.g_01142	Prbi.g_01156
OG0000010	Prao.g_01316	Prbi.g_01352
OG0000011	Prao.g_00466	Prbi.g_00354
OG0000012	Prao.g_00036	Prbi.g_00600
OG0000013	Prao.g_00703	Prbi.g_00810
OG0000014	Prao.g_00576	Prbi.g_00472
OG0000014	Prao.g_01293	Prbi.g_01374
OG0000015	Prao.g_00515	Prbi.g_00406
OG0000016	Prao.g_01243	Prbi.g_01435
OG0000017	Prao.g_01417	Prbi.g_01611
OG0000018	Prao.g_00379	Prbi.g_00265
OG0000019	Prao.g_00500	Prbi.g_00389
OG0000019	Prao.g_01346	Prbi.g_01742
OG0000020	Prao.g_00509	Prbi.g_00398
OG0000021	Prao.g_00722	Prbi.g_00829
OG0000022	Prao.g_01294	Prbi.g_01373
OG0000023	Prao.g_01342	Prbi.g_01338
OG0000024	Prao.g_01213	Prbi.g_00330
OG0000025	Prao.g_01012	Prbi.g_01122
OG0000026	Prao.g_00179	Prbi.g_00033
OG0000027	Prao.g_00675	Prbi.g_00778
OG0000027	Prao.g_01483	Prbi.g_01677
OG0000028	Prao.g_01397	Prbi.g_01589, Prbi.g_01591
OG0000029	Prao.g_01508	Prbi.g_01702
OG0000031	Prao.g_01304	Prbi.g_01364
OG0000032	Prao.g_01355	Prbi.g_01467
OG0000033	Prao.g_00160	Prbi.g_00013
OG0000034	Prao.g_01358	Prbi.g_01478
OG0000035	Prao.g_00831	Prbi.g_00936
OG0000036	Prao.g_00024	Prbi.g_00587
OG0000037	Prao.g_00062	Prbi.g_00625
OG0000038	Prao.g_00699	Prbi.g_00805
OG0000039	Prao.g_00304	Prbi.g_00190
OG0000040	Prao.g_00494	Prbi.g_00384
OG0000042	Prao.g_00648	Prbi.g_00745
OG0000043	Prao.g_00725	Prbi.g_00832
OG0000044	Prao.g_01089	Prbi.g_01207
OG0000045	Prao.g_01191	Prbi.g_01461
OG0000046	Prao.g_01545	Prbi.g_01780
OG0000047	Prao.g_01743	Prbi.g_01994
OG0000048	Prao.g_01750	Prbi.g_02001
OG0000051	Prao.g_00295	Prbi.g_00181
OG0000052	Prao.g_00505	Prbi.g_00394
OG0000054	Prao.g_00693	Prbi.g_00799
OG0000055	Prao.g_00763	Prbi.g_00869
OG0000056	Prao.g_01135	Prbi.g_01163
OG0000057	Prao.g_01537	Prbi.g_01748
OG0000058	Prao.g_00581	Prbi.g_00478
OG0000059	Prao.g_00136	Prbi.g_00702
