Orthogroup	Prao	Pray
OG0000000	Prao.g_01246	Pray.g_01836
OG0000000	Prao.g_00116	Pray.g_01085
OG0000001	Prao.g_01029	Pray.g_00003
OG0000001	Prao.g_01029	Pray.g_01604
OG0000002	Prao.g_01254	Pray.g_01844
OG0000002	Prao.g_01852	Pray.g_00247, Pray.g_00246
OG0000003	Prao.g_01518	Pray.g_01602
OG0000003	Prao.g_01296	Pray.g_01890
OG0000004	Prao.g_00673	Pray.g_00277
OG0000004	Prao.g_00679	Pray.g_00284
OG0000004	Prao.g_01301	Pray.g_01891
OG0000005	Prao.g_01515	Pray.g_01603
OG0000006	Prao.g_00603	Pray.g_00988, Pray.g_00987
OG0000006	Prao.g_01552	Pray.g_01559
OG0000007	Prao.g_00111	Pray.g_01091
OG0000008	Prao.g_00517	Pray.g_00862
OG0000008	Prao.g_01333	Pray.g_00885
OG0000009	Prao.g_00720	Pray.g_00328
OG0000009	Prao.g_00387	Pray.g_00730
OG0000010	Prao.g_01142	Pray.g_00117
OG0000010	Prao.g_01316	Pray.g_01905
OG0000011	Prao.g_00466	Pray.g_00808
OG0000012	Prao.g_00036	Pray.g_01165
OG0000013	Prao.g_00703	Pray.g_00309
OG0000014	Prao.g_00576	Pray.g_00960
OG0000014	Prao.g_01293	Pray.g_01887
OG0000015	Prao.g_00515	Pray.g_00860
OG0000016	Prao.g_01243	Pray.g_01833
OG0000017	Prao.g_01417	Pray.g_01702
OG0000018	Prao.g_00379	Pray.g_00722
OG0000019	Prao.g_00500	Pray.g_00842
OG0000019	Prao.g_01346	Pray.g_01578
OG0000020	Prao.g_00509	Pray.g_00852
OG0000021	Prao.g_00722	Pray.g_00330
OG0000022	Prao.g_01294	Pray.g_01888
OG0000023	Prao.g_01342	Pray.g_01920
OG0000024	Prao.g_01213	Pray.g_00784
OG0000025	Prao.g_01012	Pray.g_00619, Pray.g_00883
OG0000026	Prao.g_00179	Pray.g_01495
OG0000027	Prao.g_00675	Pray.g_00280
OG0000027	Prao.g_01483	Pray.g_01635
OG0000028	Prao.g_01397	Pray.g_01722
OG0000029	Prao.g_01508	Pray.g_01609
OG0000030	Prao.g_00015	Pray.g_00245, Pray.g_01501
OG0000031	Prao.g_01304	Pray.g_01894
OG0000032	Prao.g_01364, Prao.g_01355	Pray.g_01806
OG0000033	Prao.g_00160	Pray.g_01475
OG0000034	Prao.g_01358	Pray.g_01793
OG0000035	Prao.g_00831	Pray.g_00438
OG0000035	Prao.g_01015	Pray.g_00622
OG0000036	Prao.g_00024	Pray.g_01177
OG0000037	Prao.g_00062	Pray.g_01140
OG0000038	Prao.g_00699	Pray.g_00304
OG0000039	Prao.g_00304	Pray.g_00647
OG0000040	Prao.g_00494	Pray.g_00838
OG0000041	Prao.g_00532	Pray.g_00910
OG0000042	Prao.g_00648	Pray.g_01040
OG0000043	Prao.g_00725	Pray.g_00333
OG0000044	Prao.g_01089	Pray.g_00064
OG0000045	Prao.g_01191	Pray.g_01786
OG0000046	Prao.g_01545	Pray.g_01566
OG0000047	Prao.g_01743	Pray.g_01364
OG0000048	Prao.g_01750	Pray.g_01371
OG0000050	Prao.g_00177	Pray.g_01493
OG0000051	Prao.g_00295	Pray.g_00638
OG0000052	Prao.g_00505	Pray.g_00848
OG0000054	Prao.g_00693	Pray.g_00299
OG0000055	Prao.g_00763	Pray.g_00370
OG0000056	Prao.g_01135	Pray.g_00110
OG0000057	Prao.g_00375	Pray.g_00718
OG0000058	Prao.g_00581	Pray.g_00965
OG0000059	Prao.g_00136	Pray.g_01065
OG0000060	Prao.g_00677	Pray.g_00282
OG0000061	Prao.g_00922	Pray.g_00531
OG0000062	Prao.g_01122	Pray.g_00097
OG0000063	Prao.g_01332	Pray.g_01927
OG0000064	Prao.g_01327	Pray.g_01917
OG0000065	Prao.g_01276	Pray.g_01870
OG0000066	Prao.g_01215	Pray.g_01808
OG0000068	Prao.g_01687	Pray.g_01306
OG0000069	Prao.g_01362, Prao.g_01201	Pray.g_01782
OG0000071	Prao.g_00158	Pray.g_01473
OG0000072	Prao.g_00458	Pray.g_00800
OG0000073	Prao.g_00108	Pray.g_01094
OG0000074	Prao.g_00129	Pray.g_01072
OG0000075	Prao.g_00748	Pray.g_00355
OG0000076	Prao.g_00974	Pray.g_00584
OG0000078	Prao.g_01214	Pray.g_01788
OG0000079	Prao.g_01474	Pray.g_01644
OG0000080	Prao.g_01522	Pray.g_01595
OG0000081	Prao.g_01717	Pray.g_01337
OG0000082	Prao.g_01806	Pray.g_01427
OG0000083	Prao.g_01844	Pray.g_01464
OG0000084	Prao.g_01847	Pray.g_01468
OG0000085	Prao.g_00170	Pray.g_01485
OG0000086	Prao.g_00185	Pray.g_00244, Pray.g_00907
OG0000087	Prao.g_00195	Pray.g_00234
OG0000088	Prao.g_00251	Pray.g_00176
OG0000089	Prao.g_00260	Pray.g_00168
OG0000090	Prao.g_00277	Pray.g_00150
OG0000091	Prao.g_00307	Pray.g_00650
OG0000092	Prao.g_00308	Pray.g_00651
OG0000093	Prao.g_00322	Pray.g_00665
OG0000094	Prao.g_00340	Pray.g_00683
OG0000095	Prao.g_00345	Pray.g_00688
OG0000096	Prao.g_00389	Pray.g_00732
OG0000097	Prao.g_01378	Pray.g_00753
OG0000098	Prao.g_00421	Pray.g_00763
OG0000099	Prao.g_00431	Pray.g_00772
OG0000100	Prao.g_00434	Pray.g_00775
OG0000101	Prao.g_00491	Pray.g_00835
OG0000102	Prao.g_00516	Pray.g_00861
OG0000103	Prao.g_00582	Pray.g_00966
OG0000104	Prao.g_00586	Pray.g_00970
OG0000105	Prao.g_00605	Pray.g_00990
OG0000106	Prao.g_01859	Pray.g_01023
OG0000107	Prao.g_01858	Pray.g_01024, Pray.g_01228
OG0000108	Prao.g_01162	Pray.g_01218
OG0000109	Prao.g_01171	Pray.g_01209
OG0000110	Prao.g_01187	Pray.g_01193
OG0000111	Prao.g_00090	Pray.g_01112
OG0000112	Prao.g_00091	Pray.g_01111
OG0000113	Prao.g_00670	Pray.g_00275
OG0000114	Prao.g_00739	Pray.g_00346
OG0000115	Prao.g_00902	Pray.g_00511
OG0000116	Prao.g_00906	Pray.g_00515
OG0000117	Prao.g_00971	Pray.g_00581
OG0000118	Prao.g_01025	Pray.g_00632
OG0000119	Prao.g_01119	Pray.g_00094
OG0000120	Prao.g_01083	Pray.g_00057
OG0000121	Prao.g_01064	Pray.g_00038
OG0000122	Prao.g_01045	Pray.g_00019
OG0000123	Prao.g_01032	Pray.g_00006
OG0000124	Prao.g_00014	Pray.g_00250
OG0000125	Prao.g_01264	Pray.g_01858
OG0000126	Prao.g_01239	Pray.g_01829
OG0000127	Prao.g_01384	Pray.g_01735
OG0000128	Prao.g_01398	Pray.g_01721
OG0000129	Prao.g_01433	Pray.g_01685
OG0000130	Prao.g_01550	Pray.g_01561
OG0000131	Prao.g_01588	Pray.g_01523
OG0000132	Prao.g_01591	Pray.g_01520
OG0000133	Prao.g_01646	Pray.g_01265
OG0000134	Prao.g_01682	Pray.g_01301
OG0000135	Prao.g_01684	Pray.g_01303
OG0000136	Prao.g_01728	Pray.g_01348
OG0000137	Prao.g_01760	Pray.g_01381
OG0000138	Prao.g_01796	Pray.g_01417
OG0000139	Prao.g_01823	Pray.g_01444
OG0000140	Prao.g_01842	Pray.g_01462
OG0000141	Prao.g_01843	Pray.g_01463
OG0000142	Prao.g_01845	Pray.g_01465
OG0000143	Prao.g_01846	Pray.g_01467
OG0000144	Prao.g_01848	Pray.g_01469
OG0000145	Prao.g_01849	Pray.g_01470
OG0000146	Prao.g_01850	Pray.g_01471
OG0000147	Prao.g_00157	Pray.g_01472
OG0000148	Prao.g_00159	Pray.g_01474
OG0000149	Prao.g_00161	Pray.g_01476
OG0000150	Prao.g_00162	Pray.g_01477
OG0000151	Prao.g_00163	Pray.g_01478
OG0000152	Prao.g_00164	Pray.g_01479
OG0000153	Prao.g_00165	Pray.g_01480
OG0000154	Prao.g_00166	Pray.g_01481
OG0000155	Prao.g_00167	Pray.g_01482
OG0000156	Prao.g_00168	Pray.g_01483
OG0000157	Prao.g_00169	Pray.g_01484
OG0000158	Prao.g_00171	Pray.g_01486
OG0000159	Prao.g_00172	Pray.g_01487
OG0000160	Prao.g_00173	Pray.g_01488
OG0000161	Prao.g_00174	Pray.g_01489
OG0000162	Prao.g_00175	Pray.g_01490
OG0000163	Prao.g_00176	Pray.g_01491
OG0000164	Prao.g_00178	Pray.g_01494
OG0000165	Prao.g_00181	Pray.g_01497
OG0000166	Prao.g_00182	Pray.g_01498
OG0000167	Prao.g_00183	Pray.g_01499
OG0000168	Prao.g_00186	Pray.g_00243
OG0000169	Prao.g_00188	Pray.g_00241
OG0000170	Prao.g_00189	Pray.g_00240
OG0000171	Prao.g_00190	Pray.g_00239
OG0000172	Prao.g_00191	Pray.g_00238
OG0000173	Prao.g_00192	Pray.g_00237
OG0000174	Prao.g_00193	Pray.g_00236
OG0000175	Prao.g_00194	Pray.g_00235
OG0000176	Prao.g_00196	Pray.g_00233
OG0000177	Prao.g_00197	Pray.g_00232
OG0000178	Prao.g_00198	Pray.g_00231
OG0000179	Prao.g_00203	Pray.g_00225
OG0000180	Prao.g_00204	Pray.g_00224
OG0000181	Prao.g_00205	Pray.g_00223
OG0000182	Prao.g_00208	Pray.g_00220
OG0000183	Prao.g_00209	Pray.g_00219
OG0000184	Prao.g_00212	Pray.g_00216
OG0000185	Prao.g_00216	Pray.g_00212
OG0000186	Prao.g_00217	Pray.g_00211
OG0000187	Prao.g_00218	Pray.g_00210
OG0000188	Prao.g_00219	Pray.g_00209
OG0000189	Prao.g_00220	Pray.g_00208
OG0000190	Prao.g_00221	Pray.g_00207
OG0000191	Prao.g_00222	Pray.g_00206
OG0000192	Prao.g_00223	Pray.g_00205
OG0000193	Prao.g_00224	Pray.g_00204
OG0000194	Prao.g_00225	Pray.g_00203
OG0000195	Prao.g_00227	Pray.g_00201
OG0000196	Prao.g_00228	Pray.g_00200
OG0000197	Prao.g_00229	Pray.g_00199
OG0000198	Prao.g_00230	Pray.g_00198
OG0000199	Prao.g_00233	Pray.g_00195
OG0000200	Prao.g_00234	Pray.g_00194
OG0000201	Prao.g_00235	Pray.g_00193
OG0000202	Prao.g_00236	Pray.g_00192
OG0000203	Prao.g_00237	Pray.g_00191
OG0000204	Prao.g_00238	Pray.g_00190
OG0000205	Prao.g_00239	Pray.g_00189
