Orthogroup	Praj	Prad
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prad.g_00352
OG0000000	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730	Prad.g_01982
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prad.g_00392
OG0000000	Praj.g_01307, Praj.g_01359, Praj.g_01732, Praj.g_01100, Praj.g_01080	Prad.g_01297
OG0000000	Praj.g_00087	Prad.g_00393, Prad.g_01435
OG0000000	Praj.g_01267	Prad.g_00372, Prad.g_00349
OG0000001	Praj.g_01549	Prad.g_00609
OG0000001	Praj.g_01112	Prad.g_01434, Prad.g_01994
OG0000002	Praj.g_00832	Prad.g_00601
OG0000002	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Prad.g_01252
OG0000004	Praj.g_01396	Prad.g_01269
OG0000004	Praj.g_00271	Prad.g_01759
OG0000005	Praj.g_01349	Prad.g_00928
OG0000005	Praj.g_01712	Prad.g_00438
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prad.g_01750
OG0000007	Praj.g_00489	Prad.g_00132
OG0000007	Praj.g_01768	Prad.g_00941
OG0000010	Praj.g_00466	Prad.g_00033
OG0000010	Praj.g_01026	Prad.g_01304, Prad.g_01011
OG0000011	Praj.g_01187	Prad.g_00339
OG0000011	Praj.g_01158	Prad.g_01212
OG0000012	Praj.g_01066	Prad.g_01412
OG0000013	Praj.g_00362	Prad.g_01664
OG0000014	Praj.g_00341	Prad.g_01685
OG0000015	Praj.g_01113	Prad.g_01108
OG0000016	Praj.g_00013	Prad.g_01973
OG0000017	Praj.g_00585, Praj.g_00592	Prad.g_01387
OG0000018	Praj.g_00798	Prad.g_01173
OG0000018	Praj.g_01482	Prad.g_01515
OG0000019	Praj.g_00747	Prad.g_01125
OG0000020	Praj.g_01139	Prad.g_01299
OG0000021	Praj.g_01859, Praj.g_00084	Prad.g_01981, Prad.g_00745
OG0000022	Praj.g_01216	Prad.g_01993
OG0000022	Praj.g_01189	Prad.g_01105
OG0000023	Praj.g_01365, Praj.g_01329	Prad.g_00751
OG0000024	Praj.g_01134	Prad.g_01088
OG0000024	Praj.g_00666	Prad.g_01249
OG0000025	Praj.g_00805	Prad.g_01660
OG0000026	Praj.g_00031	Prad.g_01955, Prad.g_01004
OG0000027	Praj.g_01331	Prad.g_01298, Prad.g_00353
OG0000028	Praj.g_01571	Prad.g_01204
OG0000029	Praj.g_01745	Prad.g_01096
OG0000032	Praj.g_01669	Prad.g_00572
OG0000033	Praj.g_00209	Prad.g_01822
OG0000034	Praj.g_01538	Prad.g_00618
OG0000035	Praj.g_01632	Prad.g_00515
OG0000037	Praj.g_00147	Prad.g_01884
OG0000038	Praj.g_02089	Prad.g_01582
OG0000039	Praj.g_00679	Prad.g_01260
OG0000040	Praj.g_01735	Prad.g_00369
OG0000041	Praj.g_01813	Prad.g_00894
