Orthogroup	Praj	Syah
OG0000001	Praj.g_01549	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710
OG0000002	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Syah.g_01829
OG0000004	Praj.g_01396	Syah.g_02017
OG0000004	Praj.g_00271	Syah.g_01967, Syah.g_00901
OG0000005	Praj.g_01349	Syah.g_02403
OG0000005	Praj.g_01712	Syah.g_02363
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Praj.g_00489	Syah.g_01016
OG0000007	Praj.g_01768	Syah.g_02384
OG0000008	Praj.g_01829	Syah.g_01994
OG0000008	Praj.g_01830	Syah.g_01993
OG0000010	Praj.g_01026	Syah.g_01220
OG0000011	Praj.g_01158	Syah.g_01991
OG0000013	Praj.g_00362	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Praj.g_00341	Syah.g_00127
OG0000014	Praj.g_01609	Syah.g_00323
OG0000015	Praj.g_01113	Syah.g_01511, Syah.g_01510
OG0000016	Praj.g_00013	Syah.g_00359
OG0000016	Praj.g_01865	Syah.g_01402, Syah.g_01859
OG0000018	Praj.g_01482	Syah.g_01264
OG0000019	Praj.g_00747	Syah.g_00669
OG0000022	Praj.g_01216	Syah.g_01881
OG0000023	Praj.g_01365, Praj.g_01329	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Praj.g_01134, Praj.g_00666	Syah.g_01990
OG0000025	Praj.g_00805	Syah.g_02082
OG0000026	Praj.g_00031	Syah.g_00340
OG0000027	Praj.g_01331	Syah.g_01541
OG0000028	Praj.g_01571	Syah.g_00141
OG0000029	Praj.g_01745	Syah.g_01292
OG0000030	Praj.g_02024	Syah.g_00264, Syah.g_00265
OG0000031	Praj.g_00371	Syah.g_00146, Syah.g_00226, Syah.g_00322
OG0000032	Praj.g_01669	Syah.g_01246
OG0000033	Praj.g_00209	Syah.g_00078, Syah.g_00211
OG0000034	Praj.g_01538	Syah.g_00048, Syah.g_02213
OG0000035	Praj.g_01632	Syah.g_01293
OG0000037	Praj.g_00147	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Praj.g_02089	Syah.g_00508, Syah.g_00506
OG0000039	Praj.g_00679	Syah.g_02074
OG0000040	Praj.g_01844, Praj.g_01735	Syah.g_01908
OG0000041	Praj.g_01813	Syah.g_02271, Syah.g_02039
