Orthogroup	Praj	Praw
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Praj.g_00087	Praw.g_01779, Praw.g_00294, Praw.g_00454, Praw.g_00496
OG0000000	Praj.g_01267	Praw.g_00472
OG0000001	Praj.g_01828	Praw.g_00500
OG0000001	Praj.g_01549	Praw.g_01000
OG0000001	Praj.g_01112	Praw.g_01739, Praw.g_01951
OG0000002	Praj.g_00832	Praw.g_01009
OG0000002	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Praw.g_01844
OG0000004	Praj.g_01396	Praw.g_01827
OG0000004	Praj.g_00271	Praw.g_01203
OG0000005	Praj.g_01349	Praw.g_00528
OG0000005	Praj.g_01712	Praw.g_00413
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Praw.g_01950
OG0000007	Praj.g_00489	Praw.g_00651
OG0000007	Praj.g_01768	Praw.g_00515
OG0000008	Praj.g_01829	Praw.g_00501
OG0000008	Praj.g_01830	Praw.g_00502
OG0000010	Praj.g_00466	Praw.g_00673
OG0000010	Praj.g_01026	Praw.g_01460
OG0000011	Praj.g_01187	Praw.g_00952
OG0000012	Praj.g_01066	Praw.g_00159
OG0000013	Praj.g_00362	Praw.g_00807
OG0000014	Praj.g_00341	Praw.g_00828
OG0000015	Praj.g_01113	Praw.g_01738
OG0000016	Praj.g_01865	Praw.g_01415, Praw.g_00484
OG0000017	Praj.g_00585, Praj.g_00592	Praw.g_01944
OG0000018	Praj.g_00798	Praw.g_01670
OG0000018	Praj.g_01482	Praw.g_00215
OG0000019	Praj.g_00747	Praw.g_01717
OG0000020	Praj.g_01139	Praw.g_00483
OG0000021	Praj.g_01859, Praj.g_00084	Praw.g_00479, Praw.g_00767
OG0000022	Praj.g_01216	Praw.g_00197
OG0000022	Praj.g_01189	Praw.g_01746
OG0000023	Praj.g_01365, Praj.g_01329	Praw.g_00772
OG0000024	Praj.g_01134	Praw.g_01763
OG0000024	Praj.g_00666	Praw.g_01847
OG0000025	Praj.g_00805	Praw.g_00803
OG0000026	Praj.g_00031	Praw.g_01397, Praw.g_01453
OG0000027	Praj.g_01331	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Praj.g_01571	Praw.g_00334
OG0000029	Praj.g_01745	Praw.g_01755
OG0000030	Praj.g_02024	Praw.g_00029
OG0000031	Praj.g_00371	Praw.g_01073
OG0000033	Praj.g_00209	Praw.g_01266
OG0000034	Praj.g_01538	Praw.g_00991
OG0000035	Praj.g_01632	Praw.g_01081, Praw.g_01083
OG0000037	Praj.g_00147	Praw.g_01326
OG0000038	Praj.g_02089	Praw.g_01182
OG0000039	Praj.g_00679	Praw.g_01836
OG0000040	Praj.g_01735	Praw.g_00476
OG0000041	Praj.g_01813	Praw.g_00562
OG0000042	Praj.g_02020	Praw.g_00032
OG0000047	Praj.g_00370	Praw.g_00804
OG0000048	Praj.g_00308	Praw.g_00504, Praw.g_00758
OG0000050	Praj.g_00099	Praw.g_01432
OG0000051	Praj.g_01347	Praw.g_00491
OG0000053	Praj.g_01651	Praw.g_00357
OG0000054	Praj.g_00594	Praw.g_00142
OG0000055	Praj.g_00733, Praj.g_01842	Praw.g_01716
OG0000057	Praj.g_01313, Praj.g_00691	Praw.g_01824
OG0000059	Praj.g_01892	Praw.g_01894
OG0000060	Praj.g_01108	Praw.g_01743
OG0000061	Praj.g_01461	Praw.g_00234
OG0000062	Praj.g_01714	Praw.g_00415
OG0000063	Praj.g_01867	Praw.g_01395
OG0000065	Praj.g_00145	Praw.g_01328
OG0000066	Praj.g_00530	Praw.g_00609
OG0000067	Praj.g_00769	Praw.g_01697
OG0000068	Praj.g_01575	Praw.g_01016
OG0000069	Praj.g_01276, Praj.g_01675	Praw.g_00448
OG0000070	Praj.g_00444	Praw.g_00697
OG0000071	Praj.g_01528	Praw.g_00981
OG0000072	Praj.g_00211	Praw.g_01264
OG0000073	Praj.g_00491	Praw.g_00649
OG0000074	Praj.g_00674, Praj.g_00870, Praj.g_01060	Praw.g_01840
OG0000075	Praj.g_01987	Praw.g_00064
OG0000076	Praj.g_02012	Praw.g_00039
OG0000077	Praj.g_00116	Praw.g_01356
OG0000078	Praj.g_00280	Praw.g_01196
OG0000081	Praj.g_00522	Praw.g_00617
OG0000082	Praj.g_01827	Praw.g_01932
OG0000083	Praj.g_01121, Praj.g_00411	Praw.g_01769, Praw.g_00958, Praw.g_01775
OG0000084	Praj.g_01628	Praw.g_01087
OG0000085	Praj.g_01762	Praw.g_00508
OG0000086	Praj.g_00126	Praw.g_01346
OG0000087	Praj.g_00179	Praw.g_01296
OG0000088	Praj.g_00206	Praw.g_01269
OG0000089	Praj.g_00403	Praw.g_00776
OG0000090	Praj.g_00524	Praw.g_00615
OG0000091	Praj.g_00630	Praw.g_01880
OG0000093	Praj.g_00754	Praw.g_01571
OG0000094	Praj.g_00846	Praw.g_01486
OG0000095	Praj.g_01024	Praw.g_01467
OG0000096	Praj.g_01249	Praw.g_00482, Praw.g_00184, Praw.g_00945
OG0000097	Praj.g_01416	Praw.g_00275
OG0000098	Praj.g_01546	Praw.g_00997
OG0000099	Praj.g_00372	Praw.g_01051
OG0000100	Praj.g_01709	Praw.g_00411
OG0000101	Praj.g_01952	Praw.g_00096
OG0000102	Praj.g_02017	Praw.g_00034
OG0000103	Praj.g_02135	Praw.g_01148
OG0000104	Praj.g_02145	Praw.g_01140
OG0000105	Praj.g_00310	Praw.g_00860
OG0000106	Praj.g_01156, Praj.g_01282	Praw.g_00762
OG0000107	Praj.g_01869	Praw.g_00748
OG0000108	Praj.g_00473	Praw.g_00667
OG0000109	Praj.g_00486	Praw.g_00654
OG0000110	Praj.g_00565	Praw.g_01922
OG0000111	Praj.g_00692	Praw.g_01823
OG0000112	Praj.g_00938	Praw.g_01732
OG0000113	Praj.g_00793, Praj.g_01176	Praw.g_01675
OG0000114	Praj.g_00887	Praw.g_01597
OG0000115	Praj.g_01725	Praw.g_00178
OG0000116	Praj.g_01471	Praw.g_00224
OG0000117	Praj.g_01355	Praw.g_00926
OG0000118	Praj.g_01540	Praw.g_00993
OG0000119	Praj.g_01568	Praw.g_01012
OG0000120	Praj.g_00664	Praw.g_01050
OG0000121	Praj.g_01634	Praw.g_01078
OG0000122	Praj.g_01673	Praw.g_00377
OG0000123	Praj.g_01959	Praw.g_00089
OG0000124	Praj.g_02031	Praw.g_00023
OG0000125	Praj.g_02091	Praw.g_01180
OG0000126	Praj.g_02144	Praw.g_01141
OG0000128	Praj.g_00011	Praw.g_01125
OG0000129	Praj.g_00048	Praw.g_01384
OG0000130	Praj.g_00107	Praw.g_01365
OG0000131	Praj.g_00185	Praw.g_01290
