Orthogroup	Praj	Syar
OG0000001	Praj.g_01549	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Praj.g_01396	Syar.g_02051
OG0000004	Praj.g_00271	Syar.g_02225, Syar.g_00842
OG0000005	Praj.g_01349	Syar.g_02952
OG0000005	Praj.g_01712	Syar.g_02909
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Praj.g_00489	Syar.g_01491
OG0000007	Praj.g_01768	Syar.g_02929
OG0000008	Praj.g_01829	Syar.g_02097
OG0000008	Praj.g_01830	Syar.g_02098
OG0000010	Praj.g_01026	Syar.g_01272
OG0000012	Praj.g_01066	Syar.g_00690, Syar.g_02860
OG0000013	Praj.g_00362	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Praj.g_00341	Syar.g_00825
OG0000014	Praj.g_01609	Syar.g_02736
OG0000015	Praj.g_01113	Syar.g_00451, Syar.g_00180
OG0000016	Praj.g_00013, Praj.g_01865	Syar.g_02859
OG0000017	Praj.g_00592	Syar.g_02188
OG0000018	Praj.g_01482	Syar.g_01409
OG0000019	Praj.g_00747	Syar.g_00163
OG0000022	Praj.g_01216	Syar.g_00835
OG0000025	Praj.g_00805	Syar.g_01811
OG0000026	Praj.g_00031	Syar.g_00505
OG0000027	Praj.g_01331	Syar.g_02055, Syar.g_02835
OG0000028	Praj.g_01571	Syar.g_00718
OG0000031	Praj.g_00371	Syar.g_00714
OG0000032	Praj.g_01669	Syar.g_01390
OG0000033	Praj.g_00209	Syar.g_00105
OG0000034	Praj.g_01538	Syar.g_00074, Syar.g_02790
OG0000035	Praj.g_01632	Syar.g_02809
OG0000037	Praj.g_00147	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Praj.g_02089	Syar.g_00334, Syar.g_00336
OG0000039	Praj.g_00679	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Praj.g_01844, Praj.g_01735	Syar.g_02831
OG0000041	Praj.g_01813	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Praj.g_02020	Syar.g_00595, Syar.g_01970
OG0000045	Praj.g_01303, Praj.g_01049	Syar.g_02592
OG0000046	Praj.g_00363	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Praj.g_00308	Syar.g_00213
OG0000051	Praj.g_01339, Praj.g_01347	Syar.g_01597
OG0000052	Praj.g_00095	Syar.g_00281
OG0000053	Praj.g_01651	Syar.g_01413
OG0000054	Praj.g_00594	Syar.g_02265
OG0000055	Praj.g_01842	Syar.g_01386
OG0000057	Praj.g_01313, Praj.g_00691	Syar.g_01941, Syar.g_00006
OG0000058	Praj.g_00839	Syar.g_00648
OG0000059	Praj.g_01892	Syar.g_01024
OG0000060	Praj.g_01108	Syar.g_01260, Syar.g_00178
OG0000061	Praj.g_01461	Syar.g_01539
OG0000062	Praj.g_01714	Syar.g_02911
OG0000063	Praj.g_01867	Syar.g_00509
OG0000065	Praj.g_00145	Syar.g_03119
OG0000066	Praj.g_00530	Syar.g_03187, Syar.g_02228
OG0000067	Praj.g_00769	Syar.g_02639
OG0000068	Praj.g_01575	Syar.g_02329, Syar.g_01461
OG0000069	Praj.g_01276, Praj.g_01675	Syar.g_01716
OG0000070	Praj.g_00444	Syar.g_02223, Syar.g_03150
OG0000071	Praj.g_01528	Syar.g_02777
OG0000072	Praj.g_00211	Syar.g_00107, Syar.g_01140
OG0000073	Praj.g_00491	Syar.g_01493
OG0000075	Praj.g_01987	Syar.g_03065, Syar.g_00659
OG0000076	Praj.g_02012	Syar.g_00608
OG0000077	Praj.g_00116	Syar.g_03051
OG0000078	Praj.g_00280	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000079	Praj.g_00291	Syar.g_00166
OG0000081	Praj.g_00522	Syar.g_01898
OG0000082	Praj.g_01827	Syar.g_02202
OG0000085	Praj.g_01762	Syar.g_02919
OG0000086	Praj.g_00126	Syar.g_03085
OG0000087	Praj.g_00179	Syar.g_03192, Syar.g_00068
OG0000088	Praj.g_00206	Syar.g_00101
OG0000089	Praj.g_00403	Syar.g_01162
OG0000090	Praj.g_00524	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Praj.g_00630	Syar.g_01891, Syar.g_02426
OG0000092	Praj.g_00892	Syar.g_01960
OG0000093	Praj.g_00754	Syar.g_02623
OG0000094	Praj.g_00846	Syar.g_01789
OG0000095	Praj.g_01024	Syar.g_01932
OG0000097	Praj.g_01416	Syar.g_01706, Syar.g_00364
OG0000098	Praj.g_01546	Syar.g_02343
OG0000099	Praj.g_00372	Syar.g_00715
OG0000100	Praj.g_01709	Syar.g_02477
OG0000101	Praj.g_01952	Syar.g_01073, Syar.g_03154
OG0000102	Praj.g_02017	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Praj.g_02135	Syar.g_00014, Syar.g_00452
OG0000104	Praj.g_02145	Syar.g_00466
OG0000105	Praj.g_00310	Syar.g_00218
OG0000106	Praj.g_01156, Praj.g_01282	Syar.g_01748
OG0000107	Praj.g_01869	Syar.g_03290, Syar.g_00149
