Orthogroup	Prbf	Syap
OG0000004	Prbf.g_01570	Syap.g_01987
OG0000005	Prbf.g_00240	Syap.g_01218
OG0000007	Prbf.g_01780	Syap.g_00275
OG0000007	Prbf.g_00693	Syap.g_00621
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Syap.g_02757
OG0000013	Prbf.g_01665	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbf.g_01647	Syap.g_01675
OG0000016	Prbf.g_00860	Syap.g_00404
OG0000017	Prbf.g_01880	Syap.g_00449
OG0000018	Prbf.g_00896, Prbf.g_01217	Syap.g_02010
OG0000019	Prbf.g_01588, Prbf.g_00894	Syap.g_01586
OG0000025	Prbf.g_01209	Syap.g_01846
OG0000027	Prbf.g_00774, Prbf.g_00817	Syap.g_01440
OG0000028	Prbf.g_00794	Syap.g_01658
OG0000030	Prbf.g_00484	Syap.g_00787, Syap.g_00788
OG0000031	Prbf.g_00116	Syap.g_00722
OG0000033	Prbf.g_00123, Prbf.g_01503	Syap.g_01198
OG0000034	Prbf.g_00015	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbf.g_00157	Syap.g_02465
OG0000037	Prbf.g_01437	Syap.g_02492
OG0000038	Prbf.g_00445	Syap.g_00139
OG0000039	Prbf.g_01276	Syap.g_01749, Syap.g_01748
OG0000042	Prbf.g_00487	Syap.g_01891, Syap.g_01120
OG0000043	Prbf.g_00897	Syap.g_01998
OG0000045	Prbf.g_00874	Syap.g_02525
OG0000046	Prbf.g_01666	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prbf.g_00039, Prbf.g_01611	Syap.g_02340
OG0000051	Prbf.g_00340	Syap.g_01574
OG0000053	Prbf.g_00748, Prbf.g_00178	Syap.g_02006
OG0000054	Prbf.g_01889	Syap.g_00678
OG0000059	Prbf.g_00606	Syap.g_01082, Syap.g_02478
OG0000061	Prbf.g_00918	Syap.g_00228
OG0000062	Prbf.g_00242	Syap.g_01220, Syap.g_01365
OG0000063	Prbf.g_00808	Syap.g_01796
OG0000066	Prbf.g_01820, Prbf.g_00781	Syap.g_01972
OG0000067	Prbf.g_01245	Syap.g_00194
OG0000068	Prbf.g_00095	Syap.g_00108, Syap.g_00144
OG0000070	Prbf.g_01734	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prbf.g_01505	Syap.g_00555
OG0000073	Prbf.g_01783	Syap.g_00273
OG0000075	Prbf.g_00522	Syap.g_01064, Syap.g_00664
OG0000076	Prbf.g_00496	Syap.g_01111
OG0000079	Prbf.g_01591	Syap.g_01589
OG0000085	Prbf.g_00701, Prbf.g_00822	Syap.g_00611
OG0000087	Prbf.g_01469	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prbf.g_01500	Syap.g_01202
OG0000089	Prbf.g_01701	Syap.g_00115, Syap.g_02042
OG0000090	Prbf.g_01814	Syap.g_01451
OG0000091	Prbf.g_00990	Syap.g_01861
OG0000095	Prbf.g_01170	Syap.g_01556
OG0000098	Prbf.g_00071	Syap.g_01975
OG0000099	Prbf.g_00118	Syap.g_01385
OG0000101	Prbf.g_00558	Syap.g_00472
OG0000102	Prbf.g_00491	Syap.g_01116
OG0000103	Prbf.g_00406	Syap.g_02607, Syap.g_02608
OG0000104	Prbf.g_00397	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prbf.g_01614	Syap.g_01369, Syap.g_01368
OG0000107	Prbf.g_00629	Syap.g_02496
OG0000108	Prbf.g_01763	Syap.g_00733, Syap.g_02255
OG0000109	Prbf.g_01777	Syap.g_00279, Syap.g_02237
OG0000110	Prbf.g_01856	Syap.g_01313
OG0000111	Prbf.g_01260	Syap.g_01566, Syap.g_01568
OG0000112	Prbf.g_01929	Syap.g_02023
OG0000113	Prbf.g_01222	Syap.g_02714
OG0000114	Prbf.g_01320	Syap.g_01255
OG0000115	Prbf.g_00062	Syap.g_02004
OG0000116	Prbf.g_00907	Syap.g_00241
OG0000117	Prbf.g_00945	Syap.g_01889
OG0000118	Prbf.g_00013	Syap.g_02286
OG0000120	Prbf.g_00115	Syap.g_02075
OG0000121	Prbf.g_00159	Syap.g_02471
OG0000123	Prbf.g_00551	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prbf.g_00478	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prbf.g_00443	Syap.g_01046, Syap.g_01047
OG0000126	Prbf.g_00398	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Prbf.g_00382	Syap.g_00069
OG0000129	Prbf.g_01367	Syap.g_00130, Syap.g_00129
OG0000130	Prbf.g_01396	Syap.g_01688, Syap.g_01689
OG0000131	Prbf.g_01478	Syap.g_02189
OG0000132	Prbf.g_01498	Syap.g_01205
OG0000133	Prbf.g_01661	Syap.g_02017
OG0000134	Prbf.g_01703	Syap.g_02047
OG0000135	Prbf.g_00044	Syap.g_02090
OG0000136	Prbf.g_01725	Syap.g_00089
OG0000137	Prbf.g_01758	Syap.g_02756
OG0000138	Prbf.g_01778	Syap.g_00278
OG0000139	Prbf.g_01818	Syap.g_00410
OG0000140	Prbf.g_01819	Syap.g_01976
OG0000141	Prbf.g_01890	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prbf.g_00982	Syap.g_00895, Syap.g_00894
OG0000143	Prbf.g_00986	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prbf.g_01000	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prbf.g_00042	Syap.g_01860, Syap.g_01859
OG0000146	Prbf.g_01928	Syap.g_02024
OG0000147	Prbf.g_01927	Syap.g_02025
OG0000148	Prbf.g_01228	Syap.g_02720
OG0000149	Prbf.g_01196	Syap.g_00824
OG0000150	Prbf.g_01186	Syap.g_01540
OG0000151	Prbf.g_01310	Syap.g_00142
OG0000152	Prbf.g_01117	Syap.g_02012
OG0000153	Prbf.g_01098	Syap.g_02682
OG0000154	Prbf.g_01078	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prbf.g_00939	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prbf.g_00037	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prbf.g_00036	Syap.g_00249, Syap.g_00286
OG0000158	Prbf.g_00514	Syap.g_01075
OG0000159	Prbf.g_01387	Syap.g_00852
OG0000160	Prbf.g_00158	Syap.g_02470, Syap.g_02469
OG0000161	Prbf.g_00164	Syap.g_02476
OG0000162	Prbf.g_00170	Syap.g_02531
OG0000164	Prbf.g_00669	Syap.g_01391, Syap.g_01392
OG0000165	Prbf.g_00662	Syap.g_01381, Syap.g_01382
OG0000166	Prbf.g_00595	Syap.g_00512, Syap.g_01238
OG0000167	Prbf.g_00524	Syap.g_02080
OG0000168	Prbf.g_00513	Syap.g_01076
OG0000169	Prbf.g_00503	Syap.g_01049, Syap.g_01093
OG0000170	Prbf.g_00500	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prbf.g_00479	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prbf.g_00472	Syap.g_01143, Syap.g_00635
OG0000173	Prbf.g_00457	Syap.g_00982, Syap.g_00983
OG0000174	Prbf.g_00428	Syap.g_02092
OG0000175	Prbf.g_00415	Syap.g_02654
OG0000176	Prbf.g_00389	Syap.g_00059
OG0000177	Prbf.g_00388	Syap.g_00061, Syap.g_00060
OG0000178	Prbf.g_00387	Syap.g_00062
OG0000179	Prbf.g_01338	Syap.g_00077, Syap.g_02638
OG0000180	Prbf.g_01339	Syap.g_00078, Syap.g_02640
OG0000181	Prbf.g_01340	Syap.g_00079, Syap.g_02641
OG0000182	Prbf.g_01341	Syap.g_00080, Syap.g_02642
OG0000183	Prbf.g_01345	Syap.g_00084
OG0000184	Prbf.g_01371	Syap.g_01337
OG0000185	Prbf.g_01374	Syap.g_01322
OG0000186	Prbf.g_01390	Syap.g_01684
OG0000187	Prbf.g_01391	Syap.g_01686
OG0000188	Prbf.g_01408	Syap.g_02547
OG0000191	Prbf.g_01447	Syap.g_02233
OG0000192	Prbf.g_01452	Syap.g_02224
OG0000193	Prbf.g_01479	Syap.g_02187, Syap.g_02188
OG0000194	Prbf.g_01482	Syap.g_02183
OG0000195	Prbf.g_01484	Syap.g_02180
OG0000196	Prbf.g_01495	Syap.g_01208, Syap.g_02167
OG0000197	Prbf.g_01496	Syap.g_01207, Syap.g_02166
OG0000198	Prbf.g_01497	Syap.g_01206
OG0000199	Prbf.g_01504	Syap.g_01197
OG0000200	Prbf.g_01518	Syap.g_01181
OG0000201	Prbf.g_01527	Syap.g_02265
OG0000202	Prbf.g_01528	Syap.g_02264
OG0000203	Prbf.g_01529	Syap.g_01601
OG0000204	Prbf.g_01530	Syap.g_01602
OG0000205	Prbf.g_01537	Syap.g_01616
OG0000206	Prbf.g_01542	Syap.g_01628
OG0000207	Prbf.g_01545	Syap.g_01426, Syap.g_00424
OG0000208	Prbf.g_01546	Syap.g_00426, Syap.g_01425
OG0000209	Prbf.g_01555	Syap.g_01906
OG0000210	Prbf.g_01556	Syap.g_01905
OG0000211	Prbf.g_01571	Syap.g_01160
OG0000212	Prbf.g_01579	Syap.g_02664
OG0000213	Prbf.g_01597	Syap.g_00107, Syap.g_01599
OG0000214	Prbf.g_01607	Syap.g_02344, Syap.g_02345
OG0000215	Prbf.g_01634	Syap.g_01347, Syap.g_01629
OG0000216	Prbf.g_01635	Syap.g_01634
OG0000217	Prbf.g_01638	Syap.g_01638
OG0000218	Prbf.g_01640	Syap.g_01641, Syap.g_01640
OG0000219	Prbf.g_01641	Syap.g_01642, Syap.g_01643
OG0000220	Prbf.g_01642	Syap.g_01645
OG0000221	Prbf.g_01643	Syap.g_01646
OG0000222	Prbf.g_01650	Syap.g_01669
OG0000223	Prbf.g_01662	Syap.g_02072, Syap.g_02073
OG0000224	Prbf.g_01664	Syap.g_02064
OG0000225	Prbf.g_01690	Syap.g_00553, Syap.g_00552
OG0000226	Prbf.g_01694	Syap.g_02029, Syap.g_02144
OG0000227	Prbf.g_01696	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prbf.g_01700	Syap.g_00116, Syap.g_02041
OG0000229	Prbf.g_01720	Syap.g_02059
OG0000230	Prbf.g_01722	Syap.g_02061
OG0000231	Prbf.g_01733	Syap.g_02533
OG0000232	Prbf.g_01744	Syap.g_02510, Syap.g_02511
OG0000233	Prbf.g_01750	Syap.g_02133
OG0000234	Prbf.g_01759	Syap.g_02755
OG0000235	Prbf.g_01762	Syap.g_00732, Syap.g_02258
OG0000236	Prbf.g_01776	Syap.g_02238
OG0000237	Prbf.g_01789	Syap.g_00262, Syap.g_00263
OG0000238	Prbf.g_01795	Syap.g_00257, Syap.g_00258
OG0000239	Prbf.g_01806	Syap.g_02744
OG0000240	Prbf.g_01807	Syap.g_02742
OG0000241	Prbf.g_01811	Syap.g_00888
OG0000242	Prbf.g_01813	Syap.g_01455
OG0000243	Prbf.g_01824	Syap.g_01938
OG0000244	Prbf.g_01827	Syap.g_01146, Syap.g_01145
OG0000245	Prbf.g_01829	Syap.g_01148
OG0000246	Prbf.g_01833	Syap.g_00308
OG0000247	Prbf.g_01843	Syap.g_00288, Syap.g_00293
OG0000248	Prbf.g_01846	Syap.g_00290
OG0000249	Prbf.g_01848	Syap.g_01296, Syap.g_01295
OG0000250	Prbf.g_01853	Syap.g_01306
OG0000251	Prbf.g_01873	Syap.g_00442
OG0000252	Prbf.g_01876	Syap.g_01857
OG0000253	Prbf.g_01877	Syap.g_00443
OG0000254	Prbf.g_01894	Syap.g_01527, Syap.g_01528
OG0000256	Prbf.g_01910	Syap.g_01287
OG0000257	Prbf.g_00977	Syap.g_00886
OG0000258	Prbf.g_00991	Syap.g_00907
OG0000260	Prbf.g_01011	Syap.g_01970
