Orthogroup	Prbf	Prav
OG0000000	Prbf.g_00776	Prav.g_01695, Prav.g_00973
OG0000002	Prbf.g_01182, Prbf.g_01177	Prav.g_01466
OG0000002	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Prav.g_01276
OG0000004	Prbf.g_01264	Prav.g_01293
OG0000004	Prbf.g_01570	Prav.g_00806
OG0000005	Prbf.g_00240	Prav.g_01654
OG0000006	Prbf.g_01580	Prav.g_02001
OG0000007	Prbf.g_01780	Prav.g_01095
OG0000007	Prbf.g_00693	Prav.g_01761
OG0000008	Prbf.g_00793	Prav.g_01749
OG0000008	Prbf.g_00792	Prav.g_01750
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Prav.g_01072
OG0000012	Prbf.g_00272, Prbf.g_01905	Prav.g_01221
OG0000013	Prbf.g_01665	Prav.g_01973
OG0000014	Prbf.g_01647	Prav.g_01952
OG0000015	Prbf.g_00754, Prbf.g_00708	Prav.g_00363, Prav.g_00961
OG0000016	Prbf.g_00860	Prav.g_01385
OG0000017	Prbf.g_01880	Prav.g_01194
OG0000018	Prbf.g_00896	Prav.g_00046
OG0000018	Prbf.g_01217	Prav.g_00424
OG0000019	Prbf.g_01588	Prav.g_01896
OG0000019	Prbf.g_00894	Prav.g_00375
OG0000020	Prbf.g_00264	Prav.g_00014
OG0000020	Prbf.g_00811	Prav.g_01386
OG0000021	Prbf.g_00265	Prav.g_00984
OG0000022	Prbf.g_00248	Prav.g_00360
OG0000023	Prbf.g_00287	Prav.g_00979
OG0000024	Prbf.g_01052	Prav.g_00343
OG0000024	Prbf.g_01288	Prav.g_01273
OG0000025	Prbf.g_01209	Prav.g_00431, Prav.g_01977
OG0000026	Prbf.g_01354	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Prbf.g_00817	Prav.g_01068, Prav.g_01416
OG0000028	Prbf.g_00794	Prav.g_01885
OG0000029	Prbf.g_00804, Prbf.g_00762	Prav.g_00350
OG0000030	Prbf.g_00484	Prav.g_00699
OG0000033	Prbf.g_01503	Prav.g_00869
OG0000034	Prbf.g_00015	Prav.g_01448
OG0000037	Prbf.g_01437	Prav.g_00174
OG0000038	Prbf.g_00445	Prav.g_00739
OG0000039	Prbf.g_01276	Prav.g_01284
OG0000041	Prbf.g_00646	Prav.g_01808
OG0000042	Prbf.g_00487	Prav.g_00696
OG0000043	Prbf.g_00897	Prav.g_00467
OG0000045	Prbf.g_00874	Prav.g_00990
OG0000048	Prbf.g_01611	Prav.g_00993
OG0000050	Prbf.g_00845	Prav.g_01013
OG0000052	Prbf.g_00135	Prav.g_01533
OG0000053	Prbf.g_00748, Prbf.g_00178	Prav.g_01598
OG0000054	Prbf.g_01889	Prav.g_01202
OG0000055	Prbf.g_00869	Prav.g_00376
OG0000057	Prbf.g_01261	Prav.g_01296
OG0000058	Prbf.g_00117	Prav.g_01512
OG0000059	Prbf.g_00606	Prav.g_00292
OG0000061	Prbf.g_00918	Prav.g_00065
OG0000062	Prbf.g_00242	Prav.g_01551, Prav.g_01338, Prav.g_01656
OG0000063	Prbf.g_00808	Prav.g_00101
OG0000065	Prbf.g_01435	Prav.g_00172
OG0000066	Prbf.g_01820, Prbf.g_00781	Prav.g_01137
OG0000067	Prbf.g_01245	Prav.g_00397
OG0000068	Prbf.g_00095	Prav.g_01473
OG0000069	Prbf.g_01738	Prav.g_01881, Prav.g_01689
OG0000070	Prbf.g_01734	Prav.g_01049
OG0000071	Prbf.g_00026	Prav.g_01438
OG0000072	Prbf.g_01505	Prav.g_00867
OG0000073	Prbf.g_01783	Prav.g_01097
OG0000074	Prbf.g_01281	Prav.g_01280
OG0000075	Prbf.g_00522	Prav.g_00665
OG0000076	Prbf.g_00496	Prav.g_00689
OG0000077	Prbf.g_01405	Prav.g_00143
OG0000078	Prbf.g_01578	Prav.g_00799
OG0000079	Prbf.g_01591	Prav.g_01899
OG0000081	Prbf.g_01812	Prav.g_01129
OG0000082	Prbf.g_01867, Prbf.g_00704	Prav.g_01182
OG0000084	Prbf.g_00154	Prav.g_01574
OG0000085	Prbf.g_00701, Prbf.g_00822	Prav.g_01754
OG0000086	Prbf.g_01414	Prav.g_00153
OG0000087	Prbf.g_01469	Prav.g_00204
OG0000088	Prbf.g_01500	Prav.g_00872
OG0000089	Prbf.g_01701	Prav.g_00975
OG0000090	Prbf.g_01814	Prav.g_01131
OG0000091	Prbf.g_00990	Prav.g_01240
OG0000092	Prbf.g_01315	Prav.g_00504
OG0000093	Prbf.g_01019	Prav.g_01497, Prav.g_00525
OG0000094	Prbf.g_01068	Prav.g_00914
OG0000095	Prbf.g_01170	Prav.g_00933
OG0000096	Prbf.g_00306	Prav.g_01732, Prav.g_01400
OG0000097	Prbf.g_00964	Prav.g_01840
OG0000098	Prbf.g_00071	Prav.g_01455
OG0000099	Prbf.g_00118	Prav.g_01514
OG0000100	Prbf.g_00236	Prav.g_01652
OG0000101	Prbf.g_00558	Prav.g_00632
OG0000102	Prbf.g_00491	Prav.g_00694
OG0000103	Prbf.g_00406	Prav.g_00773
OG0000104	Prbf.g_00397	Prav.g_00782
OG0000105	Prbf.g_01614	Prav.g_01920
OG0000106	Prbf.g_00320	Prav.g_00989
OG0000107	Prbf.g_00629	Prav.g_01001
OG0000108	Prbf.g_01763	Prav.g_01078
OG0000109	Prbf.g_01777	Prav.g_01092
OG0000110	Prbf.g_01856	Prav.g_01172
OG0000111	Prbf.g_01260	Prav.g_01297
OG0000112	Prbf.g_01929	Prav.g_00364
OG0000113	Prbf.g_01222	Prav.g_00419
OG0000114	Prbf.g_01320	Prav.g_00499
OG0000115	Prbf.g_00062	Prav.g_00010
OG0000116	Prbf.g_00907	Prav.g_00055
