Orthogroup	Prbf	Syat
OG0000001	Prbf.g_00068, Prbf.g_00831	Syat.g_02910, Syat.g_02911
OG0000005	Prbf.g_00240	Syat.g_03105
OG0000006	Prbf.g_01580	Syat.g_01439, Syat.g_01865
OG0000007	Prbf.g_01780	Syat.g_03191
OG0000007	Prbf.g_00693	Syat.g_03124
OG0000008	Prbf.g_00793	Syat.g_02626
OG0000008	Prbf.g_00792	Syat.g_02627
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Syat.g_01372
OG0000013	Prbf.g_01665	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbf.g_01647	Syat.g_02104
OG0000016	Prbf.g_00860	Syat.g_00909, Syat.g_00222, Syat.g_00832
OG0000017	Prbf.g_01880	Syat.g_00015
OG0000018	Prbf.g_00896, Prbf.g_01217	Syat.g_01334
OG0000019	Prbf.g_01588, Prbf.g_00894	Syat.g_01876
OG0000021	Prbf.g_00265	Syat.g_00964
OG0000022	Prbf.g_00248	Syat.g_00210
OG0000024	Prbf.g_01052, Prbf.g_01288	Syat.g_03394
OG0000025	Prbf.g_01209	Syat.g_00719
OG0000026	Prbf.g_01354	Syat.g_02306
OG0000027	Prbf.g_00774, Prbf.g_00817	Syat.g_00850
OG0000028	Prbf.g_00794	Syat.g_02126
OG0000030	Prbf.g_00484	Syat.g_00307, Syat.g_00308
OG0000031	Prbf.g_00116	Syat.g_03199, Syat.g_02243
OG0000032	Prbf.g_00196	Syat.g_01354
OG0000033	Prbf.g_00123, Prbf.g_01503	Syat.g_02858
OG0000034	Prbf.g_00015	Syat.g_01165, Syat.g_02902
OG0000035	Prbf.g_00157	Syat.g_01227, Syat.g_01226
OG0000037	Prbf.g_01437	Syat.g_00849, Syat.g_00187
OG0000038	Prbf.g_00445	Syat.g_02688, Syat.g_02686
OG0000039	Prbf.g_01276	Syat.g_01278
OG0000042	Prbf.g_00487	Syat.g_00223, Syat.g_02222
OG0000045	Prbf.g_00874	Syat.g_00935
OG0000046	Prbf.g_01666	Syat.g_01626, Syat.g_01026
OG0000048	Prbf.g_00039, Prbf.g_01611	Syat.g_02046
OG0000052	Prbf.g_01380	Syat.g_02140
OG0000053	Prbf.g_00748, Prbf.g_00178	Syat.g_01330
OG0000055	Prbf.g_00719	Syat.g_00693
OG0000057	Prbf.g_01261	Syat.g_00817
OG0000058	Prbf.g_00117	Syat.g_01189
OG0000061	Prbf.g_00918	Syat.g_03260
OG0000062	Prbf.g_00242	Syat.g_03107
OG0000063	Prbf.g_00808	Syat.g_02303
OG0000064	Prbf.g_01394	Syat.g_01568
OG0000065	Prbf.g_01435	Syat.g_01571
OG0000066	Prbf.g_01820, Prbf.g_00781	Syat.g_03283
