Orthogroup	Prbf	Syaa
OG0000004	Prbf.g_01264	Syaa.g_00892
OG0000004	Prbf.g_01570	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbf.g_00240	Syaa.g_00573
OG0000006	Prbf.g_01580	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbf.g_01780	Syaa.g_02032
OG0000007	Prbf.g_00693	Syaa.g_00551
OG0000008	Prbf.g_00793	Syaa.g_00918
OG0000008	Prbf.g_00792	Syaa.g_00919
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Syaa.g_01843
OG0000012	Prbf.g_01905	Syaa.g_01660
OG0000013	Prbf.g_01665	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prbf.g_01647	Syaa.g_00222
OG0000015	Prbf.g_00754, Prbf.g_00708	Syaa.g_01079, Syaa.g_01989
OG0000016	Prbf.g_00860	Syaa.g_00981, Syaa.g_01481
OG0000017	Prbf.g_01887	Syaa.g_01883
OG0000017	Prbf.g_01880	Syaa.g_01890
OG0000018	Prbf.g_00896, Prbf.g_01217	Syaa.g_01801
OG0000019	Prbf.g_01588, Prbf.g_00894	Syaa.g_00307
OG0000021	Prbf.g_01259	Syaa.g_02627
OG0000022	Prbf.g_00248	Syaa.g_01571
OG0000023	Prbf.g_00287	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbf.g_01052, Prbf.g_01288	Syaa.g_00922
OG0000025	Prbf.g_01209	Syaa.g_00839
OG0000026	Prbf.g_01354	Syaa.g_00038
OG0000027	Prbf.g_00774, Prbf.g_00817	Syaa.g_01605, Syaa.g_00854
OG0000028	Prbf.g_00794	Syaa.g_00205
OG0000029	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762	Syaa.g_01578
OG0000030	Prbf.g_00484	Syaa.g_00099, Syaa.g_00098
OG0000031	Prbf.g_00116	Syaa.g_00480
OG0000032	Prbf.g_00196	Syaa.g_01818
OG0000033	Prbf.g_00123	Syaa.g_00485
OG0000033	Prbf.g_01503	Syaa.g_02478
OG0000034	Prbf.g_00015	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbf.g_00157	Syaa.g_01773
OG0000037	Prbf.g_01437	Syaa.g_02384
OG0000038	Prbf.g_00445	Syaa.g_02596
OG0000039	Prbf.g_01276	Syaa.g_00846
OG0000041	Prbf.g_00646	Syaa.g_00660
OG0000042	Prbf.g_00487	Syaa.g_00103
OG0000045	Prbf.g_00874	Syaa.g_01560
OG0000046	Prbf.g_01666	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prbf.g_01707	Syaa.g_02189
OG0000048	Prbf.g_00039, Prbf.g_01611	Syaa.g_02719, Syaa.g_00275
OG0000050	Prbf.g_00845	Syaa.g_01591
OG0000052	Prbf.g_00135	Syaa.g_00174
OG0000053	Prbf.g_00748, Prbf.g_00178	Syaa.g_01797
OG0000054	Prbf.g_01889	Syaa.g_01691
OG0000055	Prbf.g_00869	Syaa.g_00852
OG0000055	Prbf.g_00719	Syaa.g_01564
OG0000057	Prbf.g_01261	Syaa.g_00889
OG0000058	Prbf.g_00117	Syaa.g_00193
OG0000059	Prbf.g_00606	Syaa.g_02315
OG0000061	Prbf.g_00918	Syaa.g_00770
OG0000062	Prbf.g_00242	Syaa.g_00571
OG0000063	Prbf.g_00808	Syaa.g_00042
OG0000064	Prbf.g_01394	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579
OG0000065	Prbf.g_01435	Syaa.g_02380
OG0000066	Prbf.g_01820, Prbf.g_00781	Syaa.g_01968
OG0000067	Prbf.g_01245	Syaa.g_01154
OG0000068	Prbf.g_00095	Syaa.g_02059
OG0000069	Prbf.g_01738	Syaa.g_01256
OG0000070	Prbf.g_01734	Syaa.g_00718
OG0000071	Prbf.g_00026	Syaa.g_00735
OG0000072	Prbf.g_01505	Syaa.g_02480
OG0000073	Prbf.g_01783	Syaa.g_02030
OG0000074	Prbf.g_00295, Prbf.g_00836, Prbf.g_01281	Syaa.g_00372
OG0000075	Prbf.g_00522	Syaa.g_00157
OG0000076	Prbf.g_00496	Syaa.g_00123
OG0000077	Prbf.g_01405	Syaa.g_00341
OG0000078	Prbf.g_01578	Syaa.g_02103
OG0000079	Prbf.g_01591	Syaa.g_00303
OG0000080	Prbf.g_00129, Prbf.g_00131	Syaa.g_00487
OG0000081	Prbf.g_01812	Syaa.g_02089
OG0000082	Prbf.g_01867, Prbf.g_00704	Syaa.g_01905
OG0000084	Prbf.g_00154	Syaa.g_01770
OG0000085	Prbf.g_00701, Prbf.g_00822	Syaa.g_00564
OG0000086	Prbf.g_01414	Syaa.g_00324
OG0000087	Prbf.g_01469	Syaa.g_02433
OG0000088	Prbf.g_01500	Syaa.g_02474
OG0000089	Prbf.g_01701	Syaa.g_02149
OG0000090	Prbf.g_01814	Syaa.g_01980
OG0000091	Prbf.g_00990	Syaa.g_01625
OG0000097	Prbf.g_00964	Syaa.g_00979
OG0000099	Prbf.g_00118	Syaa.g_00202
OG0000100	Prbf.g_00236	Syaa.g_01201
OG0000101	Prbf.g_00558	Syaa.g_02249
OG0000102	Prbf.g_00491	Syaa.g_00118
OG0000103	Prbf.g_00406	Syaa.g_02740
OG0000104	Prbf.g_00397	Syaa.g_02754
OG0000105	Prbf.g_01614	Syaa.g_00270
OG0000106	Prbf.g_00320	Syaa.g_01439
OG0000107	Prbf.g_00629	Syaa.g_02351
OG0000108	Prbf.g_01763	Syaa.g_02051
OG0000109	Prbf.g_01777	Syaa.g_02036
OG0000110	Prbf.g_01856	Syaa.g_01918
OG0000111	Prbf.g_01260	Syaa.g_00888
OG0000112	Prbf.g_01929	Syaa.g_01366
OG0000113	Prbf.g_01222	Syaa.g_01196
OG0000114	Prbf.g_01320	Syaa.g_01094
OG0000115	Prbf.g_00062	Syaa.g_01795
OG0000116	Prbf.g_00907	Syaa.g_00757
OG0000117	Prbf.g_00945	Syaa.g_01009
OG0000118	Prbf.g_00013	Syaa.g_01874
OG0000119	Prbf.g_00864, Prbf.g_00254	Syaa.g_00785
OG0000120	Prbf.g_00115	Syaa.g_00201
OG0000121	Prbf.g_00159	Syaa.g_01777
OG0000122	Prbf.g_00055, Prbf.g_00200	Syaa.g_01598
OG0000123	Prbf.g_00551	Syaa.g_02242
OG0000124	Prbf.g_00478	Syaa.g_00092
OG0000125	Prbf.g_00443	Syaa.g_02598
OG0000126	Prbf.g_00398	Syaa.g_02752
OG0000128	Prbf.g_00382	Syaa.g_00012
OG0000129	Prbf.g_01367	Syaa.g_02586
OG0000130	Prbf.g_01396	Syaa.g_00354
OG0000131	Prbf.g_01478	Syaa.g_02448
OG0000132	Prbf.g_01498	Syaa.g_02472
OG0000133	Prbf.g_01661	Syaa.g_01361
OG0000134	Prbf.g_01703	Syaa.g_02146
OG0000135	Prbf.g_00044	Syaa.g_02649
OG0000136	Prbf.g_01725	Syaa.g_00708
OG0000137	Prbf.g_01758	Syaa.g_01842
OG0000138	Prbf.g_01778	Syaa.g_02035
OG0000139	Prbf.g_01818	Syaa.g_01974
OG0000140	Prbf.g_01819	Syaa.g_01971
OG0000141	Prbf.g_01890	Syaa.g_01689
OG0000142	Prbf.g_00982	Syaa.g_01633
OG0000143	Prbf.g_00986	Syaa.g_01629
OG0000144	Prbf.g_01000	Syaa.g_01446
OG0000145	Prbf.g_00042	Syaa.g_02029
OG0000146	Prbf.g_01928	Syaa.g_01367
OG0000147	Prbf.g_01927	Syaa.g_01368
OG0000148	Prbf.g_01228	Syaa.g_01190
OG0000149	Prbf.g_01196	Syaa.g_00826
OG0000150	Prbf.g_01186	Syaa.g_01688
OG0000151	Prbf.g_01310	Syaa.g_01107
OG0000152	Prbf.g_01117	Syaa.g_01357
OG0000153	Prbf.g_01098	Syaa.g_01324
OG0000154	Prbf.g_01078	Syaa.g_01298
OG0000155	Prbf.g_00939	Syaa.g_00804
OG0000156	Prbf.g_00037	Syaa.g_00751
OG0000157	Prbf.g_00036	Syaa.g_00750
OG0000158	Prbf.g_00514	Syaa.g_00148
OG0000160	Prbf.g_00158	Syaa.g_01776
OG0000161	Prbf.g_00164	Syaa.g_01782
OG0000162	Prbf.g_00170	Syaa.g_01788
OG0000163	Prbf.g_00209	Syaa.g_00624
OG0000164	Prbf.g_00669	Syaa.g_00507
OG0000165	Prbf.g_00662	Syaa.g_00681
OG0000166	Prbf.g_00595	Syaa.g_02289
OG0000167	Prbf.g_00524	Syaa.g_00160
OG0000168	Prbf.g_00513	Syaa.g_00145
OG0000169	Prbf.g_00503	Syaa.g_00134
OG0000170	Prbf.g_00500	Syaa.g_00128
OG0000171	Prbf.g_00479	Syaa.g_00093
OG0000172	Prbf.g_00472	Syaa.g_00079
OG0000173	Prbf.g_00457	Syaa.g_00060
OG0000174	Prbf.g_00428	Syaa.g_02651
OG0000175	Prbf.g_00415	Syaa.g_02726
OG0000176	Prbf.g_00389	Syaa.g_00004
OG0000177	Prbf.g_00388	Syaa.g_00005
OG0000178	Prbf.g_00387	Syaa.g_00006
OG0000179	Prbf.g_01338	Syaa.g_00023
OG0000180	Prbf.g_01339	Syaa.g_00024
OG0000181	Prbf.g_01340	Syaa.g_00025
OG0000182	Prbf.g_01341	Syaa.g_00026
OG0000183	Prbf.g_01345	Syaa.g_00030
OG0000184	Prbf.g_01371	Syaa.g_02578
OG0000185	Prbf.g_01374	Syaa.g_02575
OG0000186	Prbf.g_01390	Syaa.g_00359
OG0000187	Prbf.g_01391	Syaa.g_00358
OG0000188	Prbf.g_01408	Syaa.g_00334
OG0000189	Prbf.g_01422	Syaa.g_02367
OG0000190	Prbf.g_01424	Syaa.g_02369
OG0000191	Prbf.g_01447	Syaa.g_02404
OG0000192	Prbf.g_01452	Syaa.g_02410
OG0000193	Prbf.g_01479	Syaa.g_02449
OG0000194	Prbf.g_01482	Syaa.g_02452
OG0000195	Prbf.g_01484	Syaa.g_02459
OG0000196	Prbf.g_01495	Syaa.g_02469
OG0000197	Prbf.g_01496	Syaa.g_02470
OG0000198	Prbf.g_01497	Syaa.g_02471
OG0000199	Prbf.g_01504	Syaa.g_02479
OG0000200	Prbf.g_01518	Syaa.g_02496
OG0000201	Prbf.g_01527	Syaa.g_02521
OG0000202	Prbf.g_01528	Syaa.g_02522
OG0000203	Prbf.g_01529	Syaa.g_02523
OG0000204	Prbf.g_01530	Syaa.g_02524
OG0000205	Prbf.g_01537	Syaa.g_02531
OG0000206	Prbf.g_01542	Syaa.g_02538
OG0000207	Prbf.g_01545	Syaa.g_02540
OG0000208	Prbf.g_01546	Syaa.g_02541
OG0000209	Prbf.g_01555	Syaa.g_02556
OG0000210	Prbf.g_01556	Syaa.g_02557
OG0000211	Prbf.g_01571	Syaa.g_02113
OG0000212	Prbf.g_01579	Syaa.g_02102
OG0000213	Prbf.g_01597	Syaa.g_00295
OG0000214	Prbf.g_01607	Syaa.g_00279
OG0000215	Prbf.g_01634	Syaa.g_00248
OG0000216	Prbf.g_01635	Syaa.g_00244
OG0000217	Prbf.g_01638	Syaa.g_00240
OG0000218	Prbf.g_01640	Syaa.g_00238
OG0000219	Prbf.g_01641	Syaa.g_00237
OG0000220	Prbf.g_01642	Syaa.g_00236
OG0000221	Prbf.g_01643	Syaa.g_00229
OG0000222	Prbf.g_01650	Syaa.g_00215
OG0000223	Prbf.g_01662	Syaa.g_00192
