Orthogroup	Prbf	Syai
OG0000001	Prbf.g_00068, Prbf.g_00831	Syai.g_01716
OG0000002	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Syai.g_01728
OG0000004	Prbf.g_01264	Syai.g_01994
OG0000004	Prbf.g_01570	Syai.g_01062, Syai.g_00530
OG0000005	Prbf.g_00240	Syai.g_02356
OG0000006	Prbf.g_01580	Syai.g_00317, Syai.g_00547
OG0000007	Prbf.g_01780	Syai.g_00657
OG0000007	Prbf.g_00693	Syai.g_02378
OG0000008	Prbf.g_00793	Syai.g_01956
OG0000008	Prbf.g_00792	Syai.g_01955
OG0000009	Prbf.g_00252	Syai.g_01626
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Syai.g_00864
OG0000012	Prbf.g_01905	Syai.g_01068
OG0000013	Prbf.g_01665	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prbf.g_01647	Syai.g_00220
OG0000015	Prbf.g_00754, Prbf.g_00708	Syai.g_01246, Syai.g_01245
OG0000016	Prbf.g_00860	Syai.g_01785, Syai.g_01632
OG0000017	Prbf.g_01887	Syai.g_00808
OG0000017	Prbf.g_01880	Syai.g_00801
OG0000018	Prbf.g_00896, Prbf.g_01217	Syai.g_00915
OG0000019	Prbf.g_01588, Prbf.g_00894	Syai.g_00304
OG0000020	Prbf.g_00264, Prbf.g_00811	Syai.g_00476
OG0000021	Prbf.g_01259	Syai.g_00556
OG0000022	Prbf.g_00248	Syai.g_01159
OG0000023	Prbf.g_00287	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbf.g_01052, Prbf.g_01288	Syai.g_01951
OG0000025	Prbf.g_01209	Syai.g_02044
OG0000026	Prbf.g_01354	Syai.g_00038
OG0000027	Prbf.g_00774, Prbf.g_00817	Syai.g_01128, Syai.g_01654
OG0000028	Prbf.g_00794	Syai.g_00205
OG0000029	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762	Syai.g_01035, Syai.g_01584
OG0000030	Prbf.g_00484	Syai.g_00096, Syai.g_00095
OG0000032	Prbf.g_00196	Syai.g_00895
OG0000033	Prbf.g_01503	Syai.g_02634
OG0000034	Prbf.g_00015	Syai.g_02192, Syai.g_02604
OG0000035	Prbf.g_00157	Syai.g_00955
OG0000037	Prbf.g_01437	Syai.g_02544, Syai.g_02815
OG0000038	Prbf.g_00445	Syai.g_02780
OG0000039	Prbf.g_01276	Syai.g_02034
OG0000041	Prbf.g_00646	Syai.g_02265
OG0000042	Prbf.g_00487	Syai.g_00099
OG0000045	Prbf.g_00874	Syai.g_02432
OG0000046	Prbf.g_01666	Syai.g_00435, Syai.g_00443, Syai.g_00449
OG0000047	Prbf.g_01707	Syai.g_00462
OG0000048	Prbf.g_00039, Prbf.g_01611	Syai.g_00272
OG0000052	Prbf.g_00135	Syai.g_00176
OG0000053	Prbf.g_00748, Prbf.g_00178	Syai.g_00930
OG0000054	Prbf.g_01889	Syai.g_01040
OG0000055	Prbf.g_00869	Syai.g_02029
OG0000057	Prbf.g_01261	Syai.g_01997
OG0000058	Prbf.g_00117	Syai.g_00195
OG0000059	Prbf.g_00606	Syai.g_00351
