Orthogroup	Prbf	Syag
OG0000001	Prbf.g_00068, Prbf.g_00831	Syag.g_00575
OG0000004	Prbf.g_01264	Syag.g_00988
OG0000004	Prbf.g_01570	Syag.g_00370, Syag.g_01790
OG0000005	Prbf.g_00240	Syag.g_01667
OG0000006	Prbf.g_01580	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbf.g_01780	Syag.g_01507
OG0000007	Prbf.g_00693	Syag.g_01687
OG0000008	Prbf.g_00793	Syag.g_00496
OG0000008	Prbf.g_00792	Syag.g_01017
OG0000009	Prbf.g_00252	Syag.g_00220, Syag.g_00231
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Syag.g_01355
OG0000011	Prbf.g_00347	Syag.g_01299
OG0000012	Prbf.g_01905	Syag.g_00377
OG0000013	Prbf.g_01665	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prbf.g_01647	Syag.g_02559
OG0000015	Prbf.g_00754, Prbf.g_00708	Syag.g_00596
OG0000016	Prbf.g_00860	Syag.g_01066
OG0000017	Prbf.g_01887	Syag.g_00344
OG0000017	Prbf.g_01880	Syag.g_00336
OG0000018	Prbf.g_00896, Prbf.g_01217	Syag.g_01387
OG0000019	Prbf.g_01588, Prbf.g_00894	Syag.g_02663
OG0000020	Prbf.g_00264, Prbf.g_00811	Syag.g_00085
OG0000021	Prbf.g_01259	Syag.g_00229
OG0000022	Prbf.g_00248	Syag.g_00458
OG0000023	Prbf.g_00287	Syag.g_00261, Syag.g_00234
OG0000024	Prbf.g_01052, Prbf.g_01288	Syag.g_00455
OG0000025	Prbf.g_01209	Syag.g_00718
OG0000026	Prbf.g_01354	Syag.g_02309
OG0000027	Prbf.g_00774, Prbf.g_00817	Syag.g_00950, Syag.g_00165
OG0000028	Prbf.g_00794	Syag.g_02540
OG0000029	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762	Syag.g_00195
OG0000030	Prbf.g_00484	Syag.g_02375, Syag.g_02374
OG0000031	Prbf.g_00116	Syag.g_02486
OG0000032	Prbf.g_00196	Syag.g_01366
OG0000033	Prbf.g_00123	Syag.g_02481
OG0000033	Prbf.g_01503	Syag.g_01978
OG0000034	Prbf.g_00015	Syag.g_01225, Syag.g_01947
OG0000035	Prbf.g_00157	Syag.g_01420
OG0000037	Prbf.g_01437	Syag.g_00173
OG0000038	Prbf.g_00445	Syag.g_02130, Syag.g_02132
OG0000039	Prbf.g_01276	Syag.g_01325, Syag.g_02155
OG0000041	Prbf.g_00646	Syag.g_01750
OG0000042	Prbf.g_00487	Syag.g_01094, Syag.g_02378
OG0000043	Prbf.g_00897	Syag.g_00564
OG0000045	Prbf.g_00874	Syag.g_00223
OG0000046	Prbf.g_01666	Syag.g_02805, Syag.g_02812, Syag.g_02819
OG0000047	Prbf.g_01707	Syag.g_00768
OG0000048	Prbf.g_00039, Prbf.g_01611	Syag.g_02611
OG0000052	Prbf.g_00135	Syag.g_02451
OG0000053	Prbf.g_00748, Prbf.g_00178	Syag.g_01391
OG0000054	Prbf.g_01889	Syag.g_00350
OG0000055	Prbf.g_00869	Syag.g_00946
OG0000055	Prbf.g_00719	Syag.g_01799
OG0000057	Prbf.g_01261	Syag.g_00985
OG0000058	Prbf.g_00117	Syag.g_02477
OG0000059	Prbf.g_00606	Syag.g_02721
OG0000061	Prbf.g_00918	Syag.g_01141
OG0000062	Prbf.g_00242	Syag.g_01669
OG0000063	Prbf.g_00808	Syag.g_02313
OG0000064	Prbf.g_01394	Syag.g_00487, Syag.g_01589, Syag.g_00076
OG0000065	Prbf.g_01435	Syag.g_00182, Syag.g_01885
OG0000066	Prbf.g_01820, Prbf.g_00781	Syag.g_01443
OG0000067	Prbf.g_01245	Syag.g_00667
OG0000068	Prbf.g_00095	Syag.g_01537
OG0000070	Prbf.g_01734	Syag.g_00049
OG0000071	Prbf.g_00026	Syag.g_01192
OG0000072	Prbf.g_01505	Syag.g_01980, Syag.g_02859
OG0000073	Prbf.g_01783	Syag.g_01505
OG0000075	Prbf.g_00522	Syag.g_02434
OG0000076	Prbf.g_00496	Syag.g_02393
OG0000077	Prbf.g_01405	Syag.g_01831
OG0000078	Prbf.g_01578	Syag.g_01778
OG0000079	Prbf.g_01591	Syag.g_02659, Syag.g_02652
OG0000082	Prbf.g_01867, Prbf.g_00704	Syag.g_00318
OG0000084	Prbf.g_00154	Syag.g_01425
OG0000085	Prbf.g_00701, Prbf.g_00822	Syag.g_01676
OG0000086	Prbf.g_01414	Syag.g_01853
OG0000087	Prbf.g_01469	Syag.g_01939
OG0000088	Prbf.g_01500	Syag.g_01974
OG0000089	Prbf.g_01701	Syag.g_00005
OG0000090	Prbf.g_01814	Syag.g_01454
OG0000091	Prbf.g_00990	Syag.g_00418
OG0000092	Prbf.g_01315	Syag.g_00242
OG0000097	Prbf.g_00964	Syag.g_01065
OG0000098	Prbf.g_00071	Syag.g_00578
OG0000099	Prbf.g_00118	Syag.g_02536
OG0000100	Prbf.g_00236	Syag.g_00704
OG0000101	Prbf.g_00558	Syag.g_02773
OG0000102	Prbf.g_00491	Syag.g_02387
OG0000103	Prbf.g_00406	Syag.g_02253
OG0000104	Prbf.g_00397	Syag.g_02268
OG0000105	Prbf.g_01614	Syag.g_02606
OG0000106	Prbf.g_00320	Syag.g_00462
OG0000108	Prbf.g_01763	Syag.g_01528
OG0000109	Prbf.g_01777	Syag.g_01512
OG0000110	Prbf.g_01856	Syag.g_00303
OG0000111	Prbf.g_01260	Syag.g_00984
OG0000112	Prbf.g_01929	Syag.g_00801
OG0000113	Prbf.g_01222	Syag.g_00699
OG0000114	Prbf.g_01320	Syag.g_00609
OG0000115	Prbf.g_00062	Syag.g_01397
OG0000116	Prbf.g_00907	Syag.g_01156
OG0000117	Prbf.g_00945	Syag.g_01097
OG0000118	Prbf.g_00013	Syag.g_01232
OG0000120	Prbf.g_00115	Syag.g_02535
OG0000121	Prbf.g_00159	Syag.g_01414
OG0000122	Prbf.g_00055, Prbf.g_00200	Syag.g_00446
OG0000123	Prbf.g_00551	Syag.g_02781
OG0000124	Prbf.g_00478	Syag.g_02367
OG0000125	Prbf.g_00443	Syag.g_02136, Syag.g_02134
OG0000126	Prbf.g_00398	Syag.g_02266
OG0000128	Prbf.g_00382	Syag.g_02284
OG0000129	Prbf.g_01367	Syag.g_02121
OG0000130	Prbf.g_01396	Syag.g_01819
OG0000131	Prbf.g_01478	Syag.g_01951
OG0000132	Prbf.g_01498	Syag.g_01972
OG0000133	Prbf.g_01661	Syag.g_00806
OG0000134	Prbf.g_01703	Syag.g_00008
OG0000135	Prbf.g_00044	Syag.g_02171
OG0000136	Prbf.g_01725	Syag.g_00038
OG0000137	Prbf.g_01758	Syag.g_01356
OG0000138	Prbf.g_01778	Syag.g_01511
OG0000139	Prbf.g_01818	Syag.g_01448
OG0000140	Prbf.g_01819	Syag.g_01446
OG0000141	Prbf.g_01890	Syag.g_00351
OG0000142	Prbf.g_00982	Syag.g_00410
OG0000143	Prbf.g_00986	Syag.g_00414
OG0000144	Prbf.g_01000	Syag.g_00493
OG0000145	Prbf.g_00042	Syag.g_01504
OG0000146	Prbf.g_01928	Syag.g_00800
OG0000147	Prbf.g_01927	Syag.g_00799
OG0000148	Prbf.g_01228	Syag.g_00693
OG0000149	Prbf.g_01196	Syag.g_00731
OG0000150	Prbf.g_01186	Syag.g_00352
OG0000151	Prbf.g_01310	Syag.g_00623
OG0000152	Prbf.g_01117	Syag.g_00810
OG0000153	Prbf.g_01098	Syag.g_00845
OG0000154	Prbf.g_01078	Syag.g_00870
OG0000155	Prbf.g_00939	Syag.g_01107
OG0000156	Prbf.g_00037	Syag.g_01166
OG0000157	Prbf.g_00036	Syag.g_01167
OG0000158	Prbf.g_00514	Syag.g_02422
OG0000160	Prbf.g_00158	Syag.g_01415
OG0000161	Prbf.g_00164	Syag.g_01409
OG0000162	Prbf.g_00170	Syag.g_01402
OG0000163	Prbf.g_00209	Syag.g_01618
OG0000164	Prbf.g_00669	Syag.g_01725
OG0000165	Prbf.g_00662	Syag.g_01733
OG0000166	Prbf.g_00595	Syag.g_02733
OG0000167	Prbf.g_00524	Syag.g_02437
OG0000168	Prbf.g_00513	Syag.g_02417
OG0000169	Prbf.g_00503	Syag.g_02405
OG0000170	Prbf.g_00500	Syag.g_02398
OG0000171	Prbf.g_00479	Syag.g_02368
OG0000172	Prbf.g_00472	Syag.g_02360
OG0000173	Prbf.g_00457	Syag.g_02337
OG0000174	Prbf.g_00428	Syag.g_02175
OG0000175	Prbf.g_00415	Syag.g_02240
OG0000176	Prbf.g_00389	Syag.g_02276
OG0000177	Prbf.g_00388	Syag.g_02277
OG0000178	Prbf.g_00387	Syag.g_02278
OG0000179	Prbf.g_01338	Syag.g_02293
OG0000180	Prbf.g_01339	Syag.g_02294
OG0000181	Prbf.g_01340	Syag.g_02295
OG0000182	Prbf.g_01341	Syag.g_02296
OG0000183	Prbf.g_01345	Syag.g_02300
OG0000184	Prbf.g_01371	Syag.g_02110
OG0000185	Prbf.g_01374	Syag.g_02092
OG0000186	Prbf.g_01390	Syag.g_01815
OG0000187	Prbf.g_01391	Syag.g_01816
OG0000188	Prbf.g_01408	Syag.g_01839
OG0000189	Prbf.g_01422	Syag.g_01872
OG0000190	Prbf.g_01424	Syag.g_01874
OG0000191	Prbf.g_01447	Syag.g_01909
OG0000192	Prbf.g_01452	Syag.g_01915
OG0000193	Prbf.g_01479	Syag.g_01952
OG0000194	Prbf.g_01482	Syag.g_01955
OG0000195	Prbf.g_01484	Syag.g_01957
OG0000196	Prbf.g_01495	Syag.g_01968
OG0000197	Prbf.g_01496	Syag.g_01969
OG0000198	Prbf.g_01497	Syag.g_00108, Syag.g_01971
OG0000199	Prbf.g_01504	Syag.g_01979
OG0000200	Prbf.g_01518	Syag.g_01996
OG0000201	Prbf.g_01527	Syag.g_02019
OG0000202	Prbf.g_01528	Syag.g_02024
OG0000203	Prbf.g_01529	Syag.g_02025
OG0000204	Prbf.g_01530	Syag.g_02020, Syag.g_02026
OG0000205	Prbf.g_01537	Syag.g_02035
OG0000206	Prbf.g_01542	Syag.g_02047
OG0000207	Prbf.g_01545	Syag.g_02051
OG0000208	Prbf.g_01546	Syag.g_02052
OG0000209	Prbf.g_01555	Syag.g_02069
OG0000210	Prbf.g_01556	Syag.g_02070
OG0000211	Prbf.g_01571	Syag.g_01788
OG0000212	Prbf.g_01579	Syag.g_01777
OG0000213	Prbf.g_01597	Syag.g_02632
OG0000214	Prbf.g_01607	Syag.g_02615
OG0000215	Prbf.g_01634	Syag.g_02584
OG0000216	Prbf.g_01635	Syag.g_02580
OG0000217	Prbf.g_01638	Syag.g_02576
OG0000218	Prbf.g_01640	Syag.g_02574
OG0000219	Prbf.g_01641	Syag.g_02573
OG0000220	Prbf.g_01642	Syag.g_02572
OG0000221	Prbf.g_01643	Syag.g_02566
OG0000222	Prbf.g_01650	Syag.g_02550
OG0000223	Prbf.g_01662	Syag.g_02475
OG0000224	Prbf.g_01664	Syag.g_02471
OG0000225	Prbf.g_01690	Syag.g_02861
OG0000226	Prbf.g_01694	Syag.g_02865
OG0000227	Prbf.g_01696	Syag.g_02867
OG0000228	Prbf.g_01700	Syag.g_00004
