Orthogroup	Prbf	Prai
OG0000000	Prbf.g_00776	Prai.g_01612, Prai.g_01592
OG0000002	Prbf.g_01182, Prbf.g_01177	Prai.g_01363
OG0000002	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Prai.g_00707
OG0000004	Prbf.g_01264	Prai.g_00724
OG0000004	Prbf.g_01570	Prai.g_00243
OG0000005	Prbf.g_00240	Prai.g_01538
OG0000006	Prbf.g_01580	Prai.g_00252, Prai.g_00254
OG0000007	Prbf.g_01780	Prai.g_00527
OG0000007	Prbf.g_00693	Prai.g_01638
OG0000008	Prbf.g_00793, Prbf.g_00792	Prai.g_00701
OG0000009	Prbf.g_00252	Prai.g_01578
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Prai.g_00504
OG0000011	Prbf.g_00347	Prai.g_01599
OG0000012	Prbf.g_00272, Prbf.g_01905	Prai.g_00652
OG0000013	Prbf.g_01665	Prai.g_00340
OG0000014	Prbf.g_01647	Prai.g_00319
OG0000015	Prbf.g_00754, Prbf.g_00708	Prai.g_01243
OG0000016	Prbf.g_00860	Prai.g_01573
OG0000017	Prbf.g_01880	Prai.g_00626
OG0000018	Prbf.g_00896	Prai.g_01153
OG0000018	Prbf.g_01217	Prai.g_00820
OG0000019	Prbf.g_01588	Prai.g_00262
OG0000019	Prbf.g_00894	Prai.g_00867
OG0000020	Prbf.g_00264	Prai.g_01125
OG0000020	Prbf.g_00811	Prai.g_00400
OG0000021	Prbf.g_00265	Prai.g_00378
OG0000022	Prbf.g_00248	Prai.g_00885
OG0000023	Prbf.g_00287	Prai.g_00373
OG0000024	Prbf.g_01052	Prai.g_00899
OG0000024	Prbf.g_01288	Prai.g_00704
OG0000025	Prbf.g_01209	Prai.g_00812, Prai.g_00344
OG0000026	Prbf.g_01354	Prai.g_00031, Prai.g_01074
OG0000027	Prbf.g_00817	Prai.g_00904
OG0000028	Prbf.g_00794	Prai.g_01297
OG0000029	Prbf.g_00804, Prbf.g_00762	Prai.g_00890
OG0000030	Prbf.g_00484	Prai.g_01848
OG0000031	Prbf.g_00116	Prai.g_01444
OG0000033	Prbf.g_01503	Prai.g_00180
OG0000034	Prbf.g_00015	Prai.g_01345
OG0000037	Prbf.g_01437	Prai.g_00109
OG0000038	Prbf.g_00445	Prai.g_01890
OG0000039	Prbf.g_01276	Prai.g_00715
OG0000041	Prbf.g_00646	Prai.g_01684
OG0000042	Prbf.g_00487	Prai.g_01845
OG0000043	Prbf.g_00897	Prai.g_01064
OG0000045	Prbf.g_00874	Prai.g_00384
OG0000047	Prbf.g_01707	Prai.g_00424
OG0000048	Prbf.g_01611	Prai.g_00387
OG0000052	Prbf.g_00135	Prai.g_00154
OG0000053	Prbf.g_00748, Prbf.g_00178	Prai.g_01483
OG0000054	Prbf.g_01889	Prai.g_00634
OG0000055	Prbf.g_00869	Prai.g_00866
OG0000057	Prbf.g_01261	Prai.g_00727
OG0000058	Prbf.g_00117	Prai.g_01859
OG0000059	Prbf.g_00606	Prai.g_01725, Prai.g_01425
OG0000061	Prbf.g_00918	Prai.g_01171
OG0000062	Prbf.g_00242	Prai.g_01540
OG0000063	Prbf.g_00808	Prai.g_00033, Prai.g_01261
OG0000065	Prbf.g_01435	Prai.g_00107
OG0000066	Prbf.g_01820, Prbf.g_00781	Prai.g_00567
OG0000067	Prbf.g_01245	Prai.g_00848
OG0000068	Prbf.g_00095	Prai.g_01370
OG0000069	Prbf.g_01738	Prai.g_01579
OG0000070	Prbf.g_01734	Prai.g_00481
OG0000071	Prbf.g_00026	Prai.g_01335
OG0000072	Prbf.g_01505	Prai.g_00182
OG0000073	Prbf.g_01783	Prai.g_00529
OG0000074	Prbf.g_01281	Prai.g_00711
OG0000075	Prbf.g_00522	Prai.g_01814
OG0000076	Prbf.g_00496	Prai.g_01838
OG0000077	Prbf.g_01405	Prai.g_00078
OG0000078	Prbf.g_01578	Prai.g_00250
OG0000079	Prbf.g_01591	Prai.g_00265
OG0000081	Prbf.g_01812	Prai.g_00559
OG0000082	Prbf.g_01867, Prbf.g_00704	Prai.g_00613
OG0000084	Prbf.g_00154	Prai.g_01459
OG0000085	Prbf.g_00701, Prbf.g_00822	Prai.g_01631
OG0000086	Prbf.g_01414	Prai.g_00088
OG0000087	Prbf.g_01469	Prai.g_00139
OG0000088	Prbf.g_01500	Prai.g_00177
OG0000089	Prbf.g_01701	Prai.g_00368
OG0000090	Prbf.g_01814	Prai.g_00561
OG0000091	Prbf.g_00990	Prai.g_00671
OG0000092	Prbf.g_01315	Prai.g_01041
