Orthogroup	Prbf	Syal
OG0000000	Prbf.g_00880, Prbf.g_00776, Prbf.g_00775, Prbf.g_00881, Prbf.g_00760	Syal.g_01111, Syal.g_01832
OG0000001	Prbf.g_00068, Prbf.g_00831	Syal.g_02193
OG0000004	Prbf.g_01264	Syal.g_01809
OG0000004	Prbf.g_01570	Syal.g_02718, Syal.g_00691
OG0000005	Prbf.g_00240	Syal.g_00565
OG0000006	Prbf.g_01580	Syal.g_00674
OG0000007	Prbf.g_01780	Syal.g_02918
OG0000007	Prbf.g_00693	Syal.g_00587
OG0000008	Prbf.g_00793	Syal.g_02512
OG0000008	Prbf.g_00792	Syal.g_01783
OG0000009	Prbf.g_00252	Syal.g_02089
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Syal.g_00464
OG0000011	Prbf.g_00347	Syal.g_00702
OG0000013	Prbf.g_01665	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prbf.g_01647	Syal.g_01305
OG0000016	Prbf.g_00860	Syal.g_01734
OG0000017	Prbf.g_01887	Syal.g_02745
OG0000017	Prbf.g_01880	Syal.g_02752
OG0000018	Prbf.g_00896, Prbf.g_01217	Syal.g_00410
OG0000019	Prbf.g_01588, Prbf.g_00894	Syal.g_01209
OG0000022	Prbf.g_00248	Syal.g_02587
OG0000023	Prbf.g_00287	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbf.g_01052, Prbf.g_01288	Syal.g_02597
OG0000025	Prbf.g_01209	Syal.g_02459
OG0000026	Prbf.g_01354	Syal.g_00132
OG0000027	Prbf.g_00774, Prbf.g_00817	Syal.g_02543
OG0000028	Prbf.g_00794	Syal.g_01319
OG0000029	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762	Syal.g_03014
OG0000030	Prbf.g_00484	Syal.g_01511, Syal.g_01512
OG0000032	Prbf.g_00196	Syal.g_00428
OG0000033	Prbf.g_01503	Syal.g_00912
OG0000034	Prbf.g_00015	Syal.g_00881, Syal.g_01586
OG0000035	Prbf.g_00157	Syal.g_00370
OG0000037	Prbf.g_01437	Syal.g_00824
OG0000038	Prbf.g_00445	Syal.g_01071, Syal.g_01073
OG0000039	Prbf.g_01276	Syal.g_01097
OG0000041	Prbf.g_00646	Syal.g_00649
OG0000042	Prbf.g_00487	Syal.g_01705, Syal.g_01508
OG0000043	Prbf.g_00897	Syal.g_02183
OG0000046	Prbf.g_01666	Syal.g_00309, Syal.g_00316, Syal.g_00321
OG0000047	Prbf.g_01707	Syal.g_01568
OG0000048	Prbf.g_00039, Prbf.g_01611	Syal.g_01250
OG0000052	Prbf.g_00135	Syal.g_01338
OG0000053	Prbf.g_00748, Prbf.g_00178	Syal.g_00406
OG0000054	Prbf.g_01889	Syal.g_02739
OG0000055	Prbf.g_00869	Syal.g_01845
OG0000057	Prbf.g_01261	Syal.g_01812
OG0000058	Prbf.g_00117	Syal.g_01326
OG0000059	Prbf.g_00606	Syal.g_00225
OG0000061	Prbf.g_00918	Syal.g_01653
OG0000062	Prbf.g_00242	Syal.g_00567, Syal.g_02113
OG0000063	Prbf.g_00808	Syal.g_00136
OG0000064	Prbf.g_01394	Syal.g_01115, Syal.g_02544, Syal.g_01681, Syal.g_01545
OG0000065	Prbf.g_01435	Syal.g_00820, Syal.g_02528
OG0000066	Prbf.g_01820, Prbf.g_00781	Syal.g_02828
OG0000067	Prbf.g_01245	Syal.g_02414
OG0000068	Prbf.g_00095	Syal.g_02888
OG0000070	Prbf.g_01734	Syal.g_00509
OG0000071	Prbf.g_00026	Syal.g_01601
OG0000072	Prbf.g_01505	Syal.g_00914
OG0000073	Prbf.g_01783	Syal.g_02920
OG0000075	Prbf.g_00522	Syal.g_01350
OG0000076	Prbf.g_00496	Syal.g_01459
OG0000077	Prbf.g_01405	Syal.g_00763
OG0000078	Prbf.g_01578	Syal.g_00680
OG0000079	Prbf.g_01591	Syal.g_01213
OG0000080	Prbf.g_00129, Prbf.g_00131	Syal.g_01394
OG0000081	Prbf.g_01812	Syal.g_02555
OG0000082	Prbf.g_01867, Prbf.g_00704	Syal.g_02769
OG0000084	Prbf.g_00154	Syal.g_00023
OG0000085	Prbf.g_00701, Prbf.g_00822	Syal.g_00575
OG0000086	Prbf.g_01414	Syal.g_00784
OG0000087	Prbf.g_01469	Syal.g_00871
OG0000088	Prbf.g_01500	Syal.g_00908
OG0000089	Prbf.g_01701	Syal.g_00555
OG0000090	Prbf.g_01814	Syal.g_02838
OG0000091	Prbf.g_00990	Syal.g_02628
OG0000092	Prbf.g_01315	Syal.g_00470
OG0000097	Prbf.g_00964	Syal.g_01735, Syal.g_01553
OG0000098	Prbf.g_00071	Syal.g_02196
OG0000099	Prbf.g_00118	Syal.g_01323
OG0000100	Prbf.g_00236	Syal.g_02448
OG0000101	Prbf.g_00558	Syal.g_00275
OG0000102	Prbf.g_00491	Syal.g_01488
OG0000103	Prbf.g_00406	Syal.g_01897, Syal.g_00077
OG0000104	Prbf.g_00397	Syal.g_00092
OG0000105	Prbf.g_01614	Syal.g_01255
OG0000106	Prbf.g_00320	Syal.g_02577
OG0000107	Prbf.g_00629	Syal.g_00194
OG0000108	Prbf.g_01763	Syal.g_02897
OG0000109	Prbf.g_01777	Syal.g_02913
OG0000110	Prbf.g_01856	Syal.g_02782
OG0000111	Prbf.g_01260	Syal.g_01813
OG0000112	Prbf.g_01929	Syal.g_02000
OG0000113	Prbf.g_01222	Syal.g_02443
OG0000114	Prbf.g_01320	Syal.g_02286
OG0000115	Prbf.g_00062	Syal.g_00404
OG0000116	Prbf.g_00907	Syal.g_01630
OG0000117	Prbf.g_00945	Syal.g_01704
OG0000118	Prbf.g_00013	Syal.g_01583
OG0000119	Prbf.g_00864, Prbf.g_00254	Syal.g_02056
OG0000120	Prbf.g_00115	Syal.g_01324
OG0000121	Prbf.g_00159	Syal.g_00374
OG0000122	Prbf.g_00055, Prbf.g_00200	Syal.g_02602
OG0000123	Prbf.g_00551	Syal.g_00283
OG0000124	Prbf.g_00478	Syal.g_01519
OG0000125	Prbf.g_00443	Syal.g_01075
OG0000126	Prbf.g_00398	Syal.g_00090
OG0000128	Prbf.g_00382	Syal.g_00109
OG0000129	Prbf.g_01367	Syal.g_01062
OG0000130	Prbf.g_01396	Syal.g_00751
OG0000131	Prbf.g_01478	Syal.g_00886
OG0000132	Prbf.g_01498	Syal.g_00906
OG0000133	Prbf.g_01661	Syal.g_01995
OG0000134	Prbf.g_01703	Syal.g_00552
OG0000135	Prbf.g_00044	Syal.g_01119
OG0000136	Prbf.g_01725	Syal.g_00520
OG0000137	Prbf.g_01758	Syal.g_00463
OG0000138	Prbf.g_01778	Syal.g_02914
OG0000139	Prbf.g_01818	Syal.g_02832
OG0000140	Prbf.g_01819	Syal.g_02830
OG0000141	Prbf.g_01890	Syal.g_02738
OG0000142	Prbf.g_00982	Syal.g_02636
OG0000143	Prbf.g_00986	Syal.g_02632
OG0000144	Prbf.g_01000	Syal.g_02515
OG0000145	Prbf.g_00042	Syal.g_02921
OG0000146	Prbf.g_01928	Syal.g_02001
OG0000147	Prbf.g_01927	Syal.g_02002
OG0000148	Prbf.g_01228	Syal.g_02437
OG0000149	Prbf.g_01196	Syal.g_02475
OG0000150	Prbf.g_01186	Syal.g_02737
OG0000151	Prbf.g_01310	Syal.g_02263
OG0000152	Prbf.g_01117	Syal.g_01991
OG0000153	Prbf.g_01098	Syal.g_01958
OG0000154	Prbf.g_01078	Syal.g_01918
OG0000155	Prbf.g_00939	Syal.g_01695
OG0000156	Prbf.g_00037	Syal.g_01620
OG0000157	Prbf.g_00036	Syal.g_01619
OG0000158	Prbf.g_00514	Syal.g_01431
OG0000160	Prbf.g_00158	Syal.g_00372
OG0000161	Prbf.g_00164	Syal.g_00384
OG0000162	Prbf.g_00170	Syal.g_00396
OG0000163	Prbf.g_00209	Syal.g_02971
OG0000164	Prbf.g_00669	Syal.g_00623
OG0000165	Prbf.g_00662	Syal.g_00632
OG0000166	Prbf.g_00595	Syal.g_00236
OG0000167	Prbf.g_00524	Syal.g_01347
OG0000168	Prbf.g_00513	Syal.g_01433
OG0000169	Prbf.g_00503	Syal.g_01447
OG0000170	Prbf.g_00500	Syal.g_01454
OG0000171	Prbf.g_00479	Syal.g_01518
OG0000172	Prbf.g_00472	Syal.g_00174, Syal.g_00173
OG0000173	Prbf.g_00457	Syal.g_00155
OG0000174	Prbf.g_00428	Syal.g_01121
OG0000175	Prbf.g_00415	Syal.g_01172
OG0000176	Prbf.g_00389	Syal.g_00101
OG0000177	Prbf.g_00388	Syal.g_00102
OG0000178	Prbf.g_00387	Syal.g_00103
OG0000179	Prbf.g_01338	Syal.g_00118
OG0000180	Prbf.g_01339	Syal.g_00119
OG0000181	Prbf.g_01340	Syal.g_00120
OG0000182	Prbf.g_01341	Syal.g_00121
OG0000183	Prbf.g_01345	Syal.g_00125
OG0000184	Prbf.g_01371	Syal.g_01050
OG0000185	Prbf.g_01374	Syal.g_01025
OG0000186	Prbf.g_01390	Syal.g_02684, Syal.g_00747
OG0000187	Prbf.g_01391	Syal.g_02685, Syal.g_00748
OG0000188	Prbf.g_01408	Syal.g_00771
OG0000189	Prbf.g_01422	Syal.g_00807
OG0000190	Prbf.g_01424	Syal.g_01364
OG0000191	Prbf.g_01447	Syal.g_00841
OG0000192	Prbf.g_01452	Syal.g_00847
OG0000193	Prbf.g_01479	Syal.g_00887
OG0000194	Prbf.g_01482	Syal.g_00890
OG0000195	Prbf.g_01484	Syal.g_00892
OG0000196	Prbf.g_01495	Syal.g_00903
OG0000197	Prbf.g_01496	Syal.g_00904
OG0000198	Prbf.g_01497	Syal.g_00905
OG0000199	Prbf.g_01504	Syal.g_00913
OG0000200	Prbf.g_01518	Syal.g_00932
OG0000201	Prbf.g_01527	Syal.g_00949
OG0000202	Prbf.g_01528	Syal.g_00950
OG0000203	Prbf.g_01529	Syal.g_00951
OG0000204	Prbf.g_01530	Syal.g_00952
OG0000205	Prbf.g_01537	Syal.g_00959
OG0000206	Prbf.g_01542	Syal.g_00971
OG0000207	Prbf.g_01545	Syal.g_00974
OG0000208	Prbf.g_01546	Syal.g_00975
OG0000209	Prbf.g_01555	Syal.g_01000
OG0000210	Prbf.g_01556	Syal.g_01001
OG0000211	Prbf.g_01571	Syal.g_00688
OG0000212	Prbf.g_01579	Syal.g_00679
OG0000213	Prbf.g_01597	Syal.g_01229
OG0000214	Prbf.g_01607	Syal.g_01246
OG0000215	Prbf.g_01634	Syal.g_01277
OG0000216	Prbf.g_01635	Syal.g_01281
OG0000217	Prbf.g_01638	Syal.g_01285
OG0000218	Prbf.g_01640	Syal.g_01287
OG0000219	Prbf.g_01641	Syal.g_01288
OG0000220	Prbf.g_01642	Syal.g_01289
OG0000221	Prbf.g_01643	Syal.g_01297
OG0000222	Prbf.g_01650	Syal.g_01309
OG0000223	Prbf.g_01662	Syal.g_01327
OG0000224	Prbf.g_01664	Syal.g_01329
OG0000225	Prbf.g_01690	Syal.g_00363
OG0000226	Prbf.g_01694	Syal.g_00367
OG0000227	Prbf.g_01696	Syal.g_00369
OG0000228	Prbf.g_01700	Syal.g_00556
