Orthogroup	Prbn	Prbh
OG0000000	Prbn.g_01662	Prbh.g_01903
OG0000000	Prbn.g_01663	Prbh.g_01902
OG0000001	Prbn.g_01483	Prbh.g_01016
OG0000001	Prbn.g_01478	Prbh.g_01022
OG0000001	Prbn.g_01586	Prbh.g_00912
OG0000001	Prbn.g_00879	Prbh.g_00199
OG0000001	Prbn.g_01159	Prbh.g_01313
OG0000001	Prbn.g_01234	Prbh.g_00006
OG0000001	Prbn.g_01161	Prbh.g_01311
OG0000001	Prbn.g_01154	Prbh.g_01317
OG0000002	Prbn.g_01923	Prbh.g_00863
OG0000002	Prbn.g_01213	Prbh.g_00001
OG0000004	Prbn.g_01151	Prbh.g_01319
OG0000005	Prbn.g_01110	Prbh.g_01350
OG0000006	Prbn.g_01049	Prbh.g_01909, Prbh.g_01948
OG0000008	Prbn.g_00617	Prbh.g_00334
OG0000008	Prbn.g_01745	Prbh.g_01782
OG0000010	Prbn.g_01165	Prbh.g_01307
OG0000010	Prbn.g_00015	Prbh.g_00530
OG0000011	Prbn.g_01836	Prbh.g_01691
OG0000011	Prbn.g_01676, Prbn.g_00126	Prbh.g_01885
OG0000012	Prbn.g_00038	Prbh.g_00508
OG0000013	Prbn.g_00887	Prbh.g_00377
OG0000014	Prbn.g_00074	Prbh.g_00472
OG0000015	Prbn.g_00690	Prbh.g_00408
OG0000016	Prbn.g_01684	Prbh.g_01869
OG0000016	Prbn.g_01730	Prbh.g_00840
OG0000018	Prbn.g_00517	Prbh.g_00232
OG0000018	Prbn.g_00510	Prbh.g_00225
OG0000019	Prbn.g_01706, Prbn.g_01673	Prbh.g_00806
OG0000020	Prbn.g_01135	Prbh.g_01333
OG0000020	Prbn.g_00885	Prbh.g_00194
OG0000021	Prbn.g_00233	Prbh.g_00120
OG0000021	Prbn.g_01690	Prbh.g_01834
OG0000022	Prbn.g_00308	Prbh.g_00538
OG0000023	Prbn.g_01560	Prbh.g_00938
OG0000024	Prbn.g_00138	Prbh.g_00773
OG0000024	Prbn.g_01143	Prbh.g_01329
OG0000025	Prbn.g_01353	Prbh.g_01147
OG0000025	Prbn.g_01589	Prbh.g_00909
OG0000027	Prbn.g_01646	Prbh.g_01405
OG0000028	Prbn.g_01645	Prbh.g_01406
OG0000029	Prbn.g_01140	Prbh.g_01332
OG0000029	Prbn.g_01719	Prbh.g_01797
OG0000030	Prbn.g_01727	Prbh.g_00788
OG0000031	Prbn.g_00988	Prbh.g_01573
OG0000032	Prbn.g_00130	Prbh.g_01401
OG0000034	Prbn.g_00212	Prbh.g_00096, Prbh.g_00099
OG0000035	Prbn.g_00659	Prbh.g_00376
OG0000036	Prbn.g_00875	Prbh.g_00202
OG0000038	Prbn.g_00171	Prbh.g_00064
OG0000039	Prbn.g_01131	Prbh.g_01336
OG0000041	Prbn.g_00492	Prbh.g_01460
OG0000042	Prbn.g_00944	Prbh.g_01528
OG0000043	Prbn.g_01042	Prbh.g_00825
OG0000045	Prbn.g_01734	Prbh.g_01855
OG0000046	Prbn.g_00891	Prbh.g_00190
OG0000047	Prbn.g_01189	Prbh.g_01283
OG0000048	Prbn.g_00724	Prbh.g_00727
OG0000049	Prbn.g_00172	Prbh.g_00030
OG0000050	Prbn.g_01247	Prbh.g_00616
OG0000051	Prbn.g_01030	Prbh.g_00833
OG0000052	Prbn.g_01703, Prbn.g_01709	Prbh.g_01827
OG0000053	Prbn.g_01554	Prbh.g_00945
OG0000054	Prbn.g_00144	Prbh.g_01408
OG0000055	Prbn.g_00996	Prbh.g_01581
OG0000056	Prbn.g_00750	Prbh.g_00749
OG0000057	Prbn.g_01256	Prbh.g_00625
OG0000058	Prbn.g_00829	Prbh.g_00821
OG0000059	Prbn.g_01657	Prbh.g_01856
OG0000060	Prbn.g_01949	Prbh.g_01160
OG0000061	Prbn.g_00475	Prbh.g_01897
OG0000062	Prbn.g_01523	Prbh.g_00976
OG0000063	Prbn.g_01133	Prbh.g_01334
OG0000065	Prbn.g_00313	Prbh.g_00543
OG0000066	Prbn.g_00639	Prbh.g_00356
OG0000067	Prbn.g_01562	Prbh.g_00936
OG0000070	Prbn.g_01471	Prbh.g_01031
OG0000071	Prbn.g_00389	Prbh.g_01255
OG0000072	Prbn.g_01084	Prbh.g_01373
OG0000074	Prbn.g_00170	Prbh.g_00031
OG0000075	Prbn.g_01881	Prbh.g_01644
OG0000076	Prbn.g_00251	Prbh.g_00138
OG0000077	Prbn.g_00003	Prbh.g_01953
OG0000078	Prbn.g_00088	Prbh.g_00457
OG0000079	Prbn.g_01102	Prbh.g_01825
OG0000080	Prbn.g_00845	Prbh.g_01182
OG0000081	Prbn.g_01572	Prbh.g_00926
OG0000082	Prbn.g_01539	Prbh.g_00960
OG0000083	Prbn.g_01168	Prbh.g_01304
OG0000084	Prbn.g_01418	Prbh.g_01086
OG0000085	Prbn.g_01144	Prbh.g_01328
OG0000086	Prbn.g_01650	Prbh.g_01868
OG0000087	Prbn.g_01661	Prbh.g_01904
OG0000090	Prbn.g_00173	Prbh.g_00032
OG0000091	Prbn.g_00220	Prbh.g_00107
OG0000092	Prbn.g_00803	Prbh.g_01860
OG0000093	Prbn.g_01833	Prbh.g_01695
OG0000094	Prbn.g_01877	Prbh.g_01648
OG0000095	Prbn.g_01915	Prbh.g_01609
OG0000096	Prbn.g_00952	Prbh.g_01536
OG0000097	Prbn.g_00798	Prbh.g_01516
OG0000098	Prbn.g_00011	Prbh.g_01473
OG0000099	Prbn.g_00759	Prbh.g_00757
OG0000101	Prbn.g_00730	Prbh.g_00731
OG0000102	Prbn.g_01304	Prbh.g_00668
OG0000103	Prbn.g_01295	Prbh.g_00659
OG0000104	Prbn.g_01278	Prbh.g_00642
OG0000105	Prbn.g_01243, Prbn.g_00384	Prbh.g_00612
OG0000106	Prbn.g_00370	Prbh.g_00599
OG0000107	Prbn.g_00361	Prbh.g_00590
OG0000108	Prbn.g_00351	Prbh.g_00580
OG0000109	Prbn.g_00310	Prbh.g_00540
OG0000110	Prbn.g_00017	Prbh.g_00528
OG0000111	Prbn.g_00041	Prbh.g_00505
OG0000112	Prbn.g_00052	Prbh.g_00494
OG0000113	Prbn.g_00065	Prbh.g_00481
OG0000114	Prbn.g_00091	Prbh.g_00454
OG0000115	Prbn.g_00640	Prbh.g_00357
OG0000116	Prbn.g_00638	Prbh.g_00355
OG0000117	Prbn.g_00634	Prbh.g_00351
OG0000118	Prbn.g_00614	Prbh.g_00330
OG0000119	Prbn.g_00584	Prbh.g_00297
OG0000120	Prbn.g_00583	Prbh.g_00296
OG0000121	Prbn.g_00573	Prbh.g_00287
OG0000122	Prbn.g_00564	Prbh.g_00278
OG0000123	Prbn.g_00532	Prbh.g_00245
OG0000124	Prbn.g_00443	Prbh.g_01202
OG0000125	Prbn.g_00444	Prbh.g_01201
OG0000126	Prbn.g_00445	Prbh.g_01200
OG0000127	Prbn.g_01577	Prbh.g_00921
OG0000128	Prbn.g_01552	Prbh.g_00947
OG0000129	Prbn.g_01351	Prbh.g_01149
OG0000130	Prbn.g_01454	Prbh.g_01048
OG0000131	Prbn.g_01548	Prbh.g_00951
OG0000132	Prbn.g_01511	Prbh.g_00987
OG0000133	Prbn.g_01604	Prbh.g_00895
OG0000134	Prbn.g_00846	Prbh.g_01181
OG0000135	Prbn.g_01414	Prbh.g_01090
