Orthogroup	Prbn	Pras
OG0000000	Prbn.g_01662	Pras.g_00493, Pras.g_00470
OG0000000	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Pras.g_00469, Pras.g_00117
OG0000001	Prbn.g_01483, Prbn.g_01478	Pras.g_00243
OG0000001	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154	Pras.g_01554
OG0000002	Prbn.g_01923	Pras.g_00541, Pras.g_00118, Pras.g_00120
OG0000002	Prbn.g_01213	Pras.g_00235
OG0000004	Prbn.g_01151	Pras.g_00182, Pras.g_00471, Pras.g_00136
OG0000005	Prbn.g_01110	Pras.g_01638
OG0000006	Prbn.g_01049	Pras.g_00163, Pras.g_01654, Pras.g_00004
OG0000008	Prbn.g_00617	Pras.g_01375
OG0000008	Prbn.g_01745	Pras.g_00550
OG0000010	Prbn.g_01165	Pras.g_01681
OG0000010	Prbn.g_00015	Pras.g_01101
OG0000011	Prbn.g_01836	Pras.g_01228
OG0000011	Prbn.g_01676, Prbn.g_00126	Pras.g_01653
OG0000012	Prbn.g_00038	Pras.g_01985
OG0000013	Prbn.g_00887	Pras.g_00463, Pras.g_00956
OG0000015	Prbn.g_00690	Pras.g_01263
OG0000016	Prbn.g_01684, Prbn.g_01730	Pras.g_00127
OG0000017	Prbn.g_01664, Prbn.g_00139	Pras.g_00185, Pras.g_01348
OG0000018	Prbn.g_00517, Prbn.g_00510	Pras.g_01474
OG0000019	Prbn.g_01706, Prbn.g_01673	Pras.g_01235, Pras.g_00539
OG0000020	Prbn.g_01135, Prbn.g_00885	Pras.g_00246
OG0000021	Prbn.g_00233, Prbn.g_01690	Pras.g_00886
OG0000022	Prbn.g_00308	Pras.g_01093, Pras.g_00148
OG0000023	Prbn.g_01560	Pras.g_00507, Pras.g_01218
OG0000024	Prbn.g_00138, Prbn.g_01143	Pras.g_00175
OG0000025	Prbn.g_01353, Prbn.g_01589	Pras.g_01645
OG0000029	Prbn.g_01140, Prbn.g_01719	Pras.g_01682
OG0000030	Prbn.g_01727	Pras.g_01683
OG0000031	Prbn.g_00988	Pras.g_00750
OG0000034	Prbn.g_00212	Pras.g_00350
OG0000035	Prbn.g_00659	Pras.g_00464, Pras.g_00538
OG0000036	Prbn.g_00875	Pras.g_00001
OG0000041	Prbn.g_00492, Prbn.g_00867	Pras.g_01499
OG0000045	Prbn.g_01734, Prbn.g_00530	Pras.g_01462
OG0000046	Prbn.g_00891	Pras.g_01662
OG0000047	Prbn.g_01189	Pras.g_00056
OG0000048	Prbn.g_00724	Pras.g_00096
OG0000048	Prbn.g_00190	Pras.g_00285
OG0000049	Prbn.g_00172	Pras.g_00291, Pras.g_00290
OG0000050	Prbn.g_01247	Pras.g_01017
OG0000051	Prbn.g_01030	Pras.g_01213
OG0000052	Prbn.g_01703, Prbn.g_01709	Pras.g_01285
OG0000053	Prbn.g_01554	Pras.g_01606
OG0000054	Prbn.g_00144, Prbn.g_01737	Pras.g_00543
OG0000055	Prbn.g_00996	Pras.g_00883, Pras.g_00743
OG0000056	Prbn.g_00750	Pras.g_00873
OG0000057	Prbn.g_01256	Pras.g_01008
OG0000058	Prbn.g_00829	Pras.g_01223
OG0000059	Prbn.g_00577, Prbn.g_01657	Pras.g_01416
OG0000062	Prbn.g_01523	Pras.g_01723
OG0000065	Prbn.g_00313	Pras.g_01089
OG0000066	Prbn.g_00639	Pras.g_01353
OG0000067	Prbn.g_01562	Pras.g_01574
OG0000070	Prbn.g_01471	Pras.g_01934
OG0000071	Prbn.g_00389	Pras.g_00150
OG0000072	Prbn.g_01084	Pras.g_00209
OG0000073	Prbn.g_01705	Pras.g_00882
OG0000073	Prbn.g_00141	Pras.g_00227
OG0000074	Prbn.g_00170	Pras.g_00272, Pras.g_00273, Pras.g_00271, Pras.g_00330
OG0000075	Prbn.g_01881	Pras.g_00687
OG0000076	Prbn.g_00251	Pras.g_00326
OG0000077	Prbn.g_00002, Prbn.g_00003	Pras.g_00853
OG0000078	Prbn.g_00088	Pras.g_01174
OG0000079	Prbn.g_01102	Pras.g_01236
OG0000080	Prbn.g_00845	Pras.g_00327, Pras.g_01545
OG0000081	Prbn.g_01572	Pras.g_01567
OG0000082	Prbn.g_01539	Pras.g_01708
OG0000083	Prbn.g_01168	Pras.g_01772
OG0000084	Prbn.g_01418	Pras.g_01859
OG0000085	Prbn.g_01144	Pras.g_01982
OG0000086	Prbn.g_01650	Pras.g_00023
OG0000087	Prbn.g_01661	Pras.g_00494
OG0000090	Prbn.g_00173	Pras.g_00294
OG0000091	Prbn.g_00220	Pras.g_00358
OG0000092	Prbn.g_00803	Pras.g_00477
OG0000093	Prbn.g_01833	Pras.g_00637
OG0000094	Prbn.g_01877	Pras.g_00684
OG0000095	Prbn.g_01915	Pras.g_00717
OG0000096	Prbn.g_00952	Pras.g_00789
OG0000097	Prbn.g_00798	Pras.g_00131
OG0000098	Prbn.g_00011	Pras.g_00845
OG0000099	Prbn.g_00759	Pras.g_00865
OG0000101	Prbn.g_00730	Pras.g_00902
OG0000102	Prbn.g_01304	Pras.g_00964
OG0000103	Prbn.g_01295	Pras.g_00972
OG0000104	Prbn.g_01278	Pras.g_00990
OG0000105	Prbn.g_01243, Prbn.g_00384	Pras.g_01021
OG0000106	Prbn.g_00370	Pras.g_01035
OG0000107	Prbn.g_00361	Pras.g_01043
OG0000108	Prbn.g_00351	Pras.g_01053
OG0000109	Prbn.g_00310	Pras.g_01091
OG0000110	Prbn.g_00017	Pras.g_01103
OG0000111	Prbn.g_00041	Pras.g_01126
OG0000113	Prbn.g_00065	Pras.g_01148
OG0000114	Prbn.g_00091	Pras.g_01177
OG0000115	Prbn.g_00640	Pras.g_01352
OG0000116	Prbn.g_00638	Pras.g_01354
OG0000117	Prbn.g_00634	Pras.g_01358
OG0000118	Prbn.g_00614	Pras.g_01377
OG0000119	Prbn.g_00584	Pras.g_01409
OG0000120	Prbn.g_00583	Pras.g_01410
OG0000121	Prbn.g_00573	Pras.g_01420
OG0000122	Prbn.g_00564	Pras.g_01429
OG0000123	Prbn.g_00532	Pras.g_01461
OG0000124	Prbn.g_00443	Pras.g_01527
OG0000125	Prbn.g_00444	Pras.g_01528
OG0000126	Prbn.g_00445	Pras.g_01529
OG0000127	Prbn.g_01577	Pras.g_01562
OG0000128	Prbn.g_01552	Pras.g_01608, Pras.g_00302
OG0000129	Prbn.g_01351	Pras.g_01628
OG0000130	Prbn.g_01454	Pras.g_01686
OG0000131	Prbn.g_01548	Pras.g_01699
OG0000132	Prbn.g_01511	Pras.g_01734
OG0000133	Prbn.g_01604	Pras.g_01818
OG0000134	Prbn.g_00846	Pras.g_01827
OG0000135	Prbn.g_01414	Pras.g_01863
OG0000136	Prbn.g_01468	Pras.g_01931
OG0000137	Prbn.g_01653	Pras.g_00026
OG0000139	Prbn.g_01195	Pras.g_00062
OG0000140	Prbn.g_00482	Pras.g_00114
OG0000141	Prbn.g_00886	Pras.g_00122
OG0000142	Prbn.g_01071	Pras.g_00221, Pras.g_00222
OG0000143	Prbn.g_01240	Pras.g_00250
OG0000144	Prbn.g_00200	Pras.g_00337
OG0000145	Prbn.g_00213	Pras.g_00351
OG0000146	Prbn.g_00249	Pras.g_00388
OG0000147	Prbn.g_00898	Pras.g_00430
OG0000148	Prbn.g_00897	Pras.g_00431
OG0000149	Prbn.g_01742	Pras.g_00548
OG0000150	Prbn.g_01782	Pras.g_00586
OG0000151	Prbn.g_01785	Pras.g_00589
OG0000152	Prbn.g_01805	Pras.g_00609
OG0000153	Prbn.g_01839	Pras.g_00646
OG0000154	Prbn.g_01875	Pras.g_00682
OG0000155	Prbn.g_01894	Pras.g_00700
OG0000156	Prbn.g_01012	Pras.g_00728
OG0000157	Prbn.g_00978	Pras.g_00761
OG0000158	Prbn.g_00913	Pras.g_00824
OG0000160	Prbn.g_00301	Pras.g_00843
OG0000161	Prbn.g_00302	Pras.g_00844
OG0000162	Prbn.g_00010	Pras.g_00846
OG0000163	Prbn.g_00009	Pras.g_00847
OG0000164	Prbn.g_00008	Pras.g_00848
OG0000165	Prbn.g_00007	Pras.g_00849
OG0000166	Prbn.g_00006	Pras.g_00850
OG0000167	Prbn.g_00005	Pras.g_00851
OG0000168	Prbn.g_00004	Pras.g_00852
OG0000169	Prbn.g_00001	Pras.g_00854
OG0000170	Prbn.g_00768	Pras.g_00856
OG0000171	Prbn.g_00767	Pras.g_00857
OG0000172	Prbn.g_00766	Pras.g_00858
OG0000173	Prbn.g_00765	Pras.g_00859
OG0000174	Prbn.g_00764	Pras.g_00860
OG0000175	Prbn.g_00763	Pras.g_00861
OG0000176	Prbn.g_00762	Pras.g_00862
OG0000177	Prbn.g_00761	Pras.g_00863
OG0000178	Prbn.g_00760	Pras.g_00864
OG0000179	Prbn.g_00758	Pras.g_00866
OG0000180	Prbn.g_00757	Pras.g_00867
OG0000181	Prbn.g_00756	Pras.g_00868
OG0000182	Prbn.g_00755	Pras.g_00869
