Orthogroup	Prbn	Prax
OG0000000	Prbn.g_01662	Prax.g_01608, Prax.g_00496
OG0000000	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prax.g_00259, Prax.g_01609
OG0000001	Prbn.g_01483, Prbn.g_01478	Prax.g_01870
OG0000001	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154	Prax.g_00964
OG0000002	Prbn.g_01923	Prax.g_00522
OG0000002	Prbn.g_01213	Prax.g_01878
OG0000004	Prbn.g_01151	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000005	Prbn.g_01110	Prax.g_00437
OG0000006	Prbn.g_01049	Prax.g_01936, Prax.g_00500, Prax.g_00424, Prax.g_00141
OG0000008	Prbn.g_00617	Prax.g_00704
OG0000008	Prbn.g_01745	Prax.g_01559
OG0000010	Prbn.g_01165	Prax.g_00393
OG0000010	Prbn.g_00015	Prax.g_00926
OG0000011	Prbn.g_01836	Prax.g_00798
OG0000011	Prbn.g_01676, Prbn.g_00126	Prax.g_00425
OG0000012	Prbn.g_01097	Prax.g_00173
OG0000013	Prbn.g_00887	Prax.g_01617
OG0000016	Prbn.g_01684, Prbn.g_01730	Prax.g_00523
OG0000017	Prbn.g_01664, Prbn.g_00139	Prax.g_01916
OG0000018	Prbn.g_00517, Prbn.g_00510	Prax.g_00057
OG0000019	Prbn.g_01706, Prbn.g_01673	Prax.g_00793
OG0000020	Prbn.g_01135, Prbn.g_00885	Prax.g_01867
OG0000022	Prbn.g_00308	Prax.g_01972
OG0000023	Prbn.g_01560	Prax.g_01587, Prax.g_00808
OG0000024	Prbn.g_00138, Prbn.g_01143	Prax.g_01931
OG0000025	Prbn.g_01353, Prbn.g_01589	Prax.g_00432
OG0000029	Prbn.g_01140, Prbn.g_01719	Prax.g_00392
OG0000030	Prbn.g_01727	Prax.g_00391
OG0000031	Prbn.g_00988	Prax.g_01401
OG0000034	Prbn.g_00212	Prax.g_01733, Prax.g_01728
OG0000035	Prbn.g_00659	Prax.g_01616
OG0000036	Prbn.g_00875	Prax.g_00138
OG0000041	Prbn.g_00492, Prbn.g_00867	Prax.g_00082
OG0000045	Prbn.g_01734, Prbn.g_00530	Prax.g_00045
OG0000046	Prbn.g_00891	Prax.g_00415
OG0000047	Prbn.g_01189	Prax.g_00200
OG0000049	Prbn.g_00172	Prax.g_01823
OG0000050	Prbn.g_01247	Prax.g_01052
OG0000051	Prbn.g_01030	Prax.g_00813
OG0000053	Prbn.g_01554	Prax.g_00485
OG0000054	Prbn.g_00144, Prbn.g_01737	Prax.g_01566
OG0000055	Prbn.g_00996	Prax.g_01394
OG0000056	Prbn.g_00750	Prax.g_00282, Prax.g_00458
OG0000057	Prbn.g_01256	Prax.g_01061
OG0000058	Prbn.g_00829	Prax.g_00803
OG0000059	Prbn.g_00577, Prbn.g_01657	Prax.g_00662
OG0000060	Prbn.g_01949	Prax.g_00452
OG0000061	Prbn.g_00475	Prax.g_00457
OG0000062	Prbn.g_01523	Prax.g_00351
OG0000065	Prbn.g_00313	Prax.g_00981, Prax.g_01581
OG0000066	Prbn.g_00639	Prax.g_00727
OG0000067	Prbn.g_01562	Prax.g_00944
OG0000070	Prbn.g_01471	Prax.g_01204
OG0000071	Prbn.g_00389	Prax.g_01959
OG0000072	Prbn.g_01084	Prax.g_01899
OG0000074	Prbn.g_00170	Prax.g_01832
OG0000075	Prbn.g_01881	Prax.g_01338
OG0000077	Prbn.g_00002, Prbn.g_00003	Prax.g_01974
OG0000078	Prbn.g_00088	Prax.g_01783, Prax.g_00853, Prax.g_00852
OG0000079	Prbn.g_01102	Prax.g_00792
OG0000080	Prbn.g_00845	Prax.g_00973
OG0000081	Prbn.g_01572	Prax.g_00951
OG0000082	Prbn.g_01539	Prax.g_00366
