Orthogroup	Prbn	Prbf
OG0000000	Prbn.g_01662	Prbf.g_00776
OG0000000	Prbn.g_01678	Prbf.g_00760
OG0000000	Prbn.g_01663	Prbf.g_00881
OG0000001	Prbn.g_01483	Prbf.g_01182
OG0000001	Prbn.g_01478	Prbf.g_01177
OG0000001	Prbn.g_01586	Prbf.g_01285
OG0000001	Prbn.g_00879	Prbf.g_00260
OG0000001	Prbn.g_01159	Prbf.g_00888
OG0000001	Prbn.g_01234	Prbf.g_00089
OG0000001	Prbn.g_01161	Prbf.g_00890
OG0000001	Prbn.g_01154	Prbf.g_00883
OG0000002	Prbn.g_01923	Prbf.g_00831
OG0000002	Prbn.g_01213	Prbf.g_00068
OG0000004	Prbn.g_01151	Prbf.g_00880
OG0000005	Prbn.g_01110	Prbf.g_00052
OG0000006	Prbn.g_01049	Prbf.g_00306
OG0000008	Prbn.g_00617	Prbf.g_01780
OG0000008	Prbn.g_01745	Prbf.g_00693
OG0000010	Prbn.g_01165	Prbf.g_00894
OG0000010	Prbn.g_00015	Prbf.g_01588
OG0000011	Prbn.g_01836	Prbf.g_00603
OG0000011	Prbn.g_01676	Prbf.g_00762
OG0000011	Prbn.g_00126	Prbf.g_00804
OG0000012	Prbn.g_00038	Prbf.g_01611
OG0000012	Prbn.g_01097	Prbf.g_00039
OG0000013	Prbn.g_00887	Prbf.g_00252
OG0000014	Prbn.g_00074	Prbf.g_01647
OG0000015	Prbn.g_00690	Prbf.g_01707
OG0000016	Prbn.g_01684	Prbf.g_00754
OG0000016	Prbn.g_01730	Prbf.g_00708
OG0000017	Prbn.g_01664	Prbf.g_00774
OG0000017	Prbn.g_00139	Prbf.g_00817
OG0000018	Prbn.g_00517	Prbf.g_01880
OG0000018	Prbn.g_00510	Prbf.g_01887
OG0000019	Prbn.g_01706	Prbf.g_00732
OG0000019	Prbn.g_01673	Prbf.g_00765
OG0000020	Prbn.g_01135	Prbf.g_00864
OG0000020	Prbn.g_00885	Prbf.g_00254
OG0000021	Prbn.g_00233	Prbf.g_00178
OG0000021	Prbn.g_01690	Prbf.g_00748
OG0000022	Prbn.g_00308	Prbf.g_01580
OG0000023	Prbn.g_01560	Prbf.g_01259
OG0000024	Prbn.g_00138	Prbf.g_00816
OG0000024	Prbn.g_01143	Prbf.g_00872
OG0000025	Prbn.g_01353	Prbf.g_01052
OG0000025	Prbn.g_01589	Prbf.g_01288
OG0000027	Prbn.g_01646	Prbf.g_00792
OG0000028	Prbn.g_01645	Prbf.g_00793
OG0000029	Prbn.g_01140	Prbf.g_00869
OG0000029	Prbn.g_01719	Prbf.g_00719
OG0000030	Prbn.g_01727	Prbf.g_00711
OG0000031	Prbn.g_00988	Prbf.g_00487
OG0000032	Prbn.g_00130	Prbf.g_00808
OG0000034	Prbn.g_00212	Prbf.g_00157
OG0000035	Prbn.g_00659	Prbf.g_01738
OG0000036	Prbn.g_00875	Prbf.g_00264
OG0000037	Prbn.g_00809	Prbf.g_00340
OG0000038	Prbn.g_00171	Prbf.g_00116
OG0000039	Prbn.g_01131	Prbf.g_00860
OG0000041	Prbn.g_00492	Prbf.g_01905
OG0000041	Prbn.g_00867	Prbf.g_00272
OG0000042	Prbn.g_00944	Prbf.g_00443
OG0000043	Prbn.g_01042	Prbf.g_00299
OG0000045	Prbn.g_01734	Prbf.g_00704
OG0000045	Prbn.g_00530	Prbf.g_01867
OG0000046	Prbn.g_00891	Prbf.g_00248
OG0000047	Prbn.g_01189	Prbf.g_00918
OG0000048	Prbn.g_00724	Prbf.g_01380
OG0000048	Prbn.g_00190	Prbf.g_00135
OG0000049	Prbn.g_00172	Prbf.g_00117
OG0000050	Prbn.g_01247	Prbf.g_01500
OG0000051	Prbn.g_01030	Prbf.g_00287
OG0000052	Prbn.g_01703	Prbf.g_00735
OG0000052	Prbn.g_01709	Prbf.g_00729
OG0000053	Prbn.g_01554	Prbf.g_01253
OG0000054	Prbn.g_00144	Prbf.g_00822
OG0000054	Prbn.g_01737	Prbf.g_00701
OG0000055	Prbn.g_00996	Prbf.g_00496
OG0000056	Prbn.g_00750	Prbf.g_01354
OG0000057	Prbn.g_01256	Prbf.g_01491
OG0000058	Prbn.g_00829	Prbf.g_00320
OG0000059	Prbn.g_00577	Prbf.g_01820
OG0000059	Prbn.g_01657	Prbf.g_00781
OG0000060	Prbn.g_01949	Prbf.g_01040
OG0000061	Prbn.g_00475	Prbf.g_01922
OG0000062	Prbn.g_01523	Prbf.g_01222
OG0000063	Prbn.g_01133	Prbf.g_00862
OG0000065	Prbn.g_00313	Prbf.g_01575
OG0000066	Prbn.g_00639	Prbf.g_01758
OG0000067	Prbn.g_01562	Prbf.g_01261
OG0000070	Prbn.g_01471	Prbf.g_01170
