Orthogroup	Pray	Prbi
OG0000000	Pray.g_01836	Prbi.g_01432
OG0000000	Pray.g_01085	Prbi.g_00681
OG0000001	Pray.g_01604	Prbi.g_01708, Prbi.g_01268
OG0000002	Pray.g_01844	Prbi.g_01424
OG0000002	Pray.g_00247, Pray.g_00246	Prbi.g_01270
OG0000003	Pray.g_01890	Prbi.g_01371
OG0000003	Pray.g_01602	Prbi.g_01710
OG0000004	Pray.g_00277	Prbi.g_00775
OG0000004	Pray.g_00284	Prbi.g_00782
OG0000005	Pray.g_01603	Prbi.g_01709
OG0000006	Pray.g_00987	Prbi.g_00500
OG0000006	Pray.g_01559	Prbi.g_01787
OG0000007	Pray.g_01931	Prbi.g_01536, Prbi.g_01764
OG0000007	Pray.g_01091	Prbi.g_00675
OG0000008	Pray.g_00862	Prbi.g_00408
OG0000008	Pray.g_00544	Prbi.g_01042
OG0000008	Pray.g_00885	Prbi.g_01331
OG0000009	Pray.g_00328	Prbi.g_00827
OG0000009	Pray.g_00730	Prbi.g_00273
OG0000010	Pray.g_00117	Prbi.g_01156
OG0000010	Pray.g_01905	Prbi.g_01352
OG0000011	Pray.g_00808	Prbi.g_00354
OG0000012	Pray.g_01165	Prbi.g_00600
OG0000013	Pray.g_00309	Prbi.g_01304
OG0000014	Pray.g_01887	Prbi.g_01374
OG0000014	Pray.g_00960	Prbi.g_00472
OG0000015	Pray.g_00860	Prbi.g_00406
OG0000016	Pray.g_01833	Prbi.g_01435
OG0000017	Pray.g_01702	Prbi.g_01611
OG0000018	Pray.g_00722	Prbi.g_00265
OG0000019	Pray.g_01578	Prbi.g_01742
OG0000019	Pray.g_00842	Prbi.g_00389
OG0000020	Pray.g_00852	Prbi.g_00398
OG0000021	Pray.g_00330	Prbi.g_00829
OG0000022	Pray.g_01888	Prbi.g_01373
OG0000023	Pray.g_01920	Prbi.g_01338
OG0000023	Pray.g_01610	Prbi.g_01701
OG0000024	Pray.g_00784	Prbi.g_00330
OG0000025	Pray.g_00619	Prbi.g_01122
OG0000026	Pray.g_01495	Prbi.g_00033
OG0000027	Pray.g_01635	Prbi.g_01677
OG0000027	Pray.g_00280	Prbi.g_00778
