Orthogroup	Pray	Praj
OG0000000	Pray.g_01836	Praj.g_00832
OG0000000	Pray.g_01085	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487
OG0000002	Pray.g_01844	Praj.g_01549
OG0000002	Pray.g_00247, Pray.g_00246	Praj.g_01861, Praj.g_00463, Praj.g_01112
OG0000003	Pray.g_01890, Pray.g_01602	Praj.g_01099, Praj.g_01204, Praj.g_01311, Praj.g_01274, Praj.g_00415, Praj.g_01737
OG0000004	Pray.g_00284	Praj.g_01222, Praj.g_00411, Praj.g_01121
OG0000005	Pray.g_01603, Pray.g_01576	Praj.g_01730, Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01202, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417
OG0000006	Pray.g_00988, Pray.g_00987	Praj.g_00489
OG0000006	Pray.g_01559	Praj.g_01768
OG0000007	Pray.g_01931	Praj.g_01829
OG0000009	Pray.g_00328	Praj.g_00747
OG0000010	Pray.g_00117, Pray.g_01905	Praj.g_01249
OG0000011	Pray.g_00897	Praj.g_00408
OG0000011	Pray.g_00808	Praj.g_00370
OG0000012	Pray.g_01165	Praj.g_00592, Praj.g_00585
OG0000013	Pray.g_00309	Praj.g_01113
OG0000014	Pray.g_01887, Pray.g_00960	Praj.g_01331
OG0000015	Pray.g_00860	Praj.g_01148
OG0000016	Pray.g_01833	Praj.g_01568
OG0000017	Pray.g_01702	Praj.g_01651
OG0000018	Pray.g_00722	Praj.g_01505, Praj.g_01281, Praj.g_00282
OG0000019	Pray.g_01578, Pray.g_00842	Praj.g_00084
OG0000021	Pray.g_00330	Praj.g_01335, Praj.g_00976, Praj.g_00975, Praj.g_01051, Praj.g_01316
OG0000022	Pray.g_01888	Praj.g_01076, Praj.g_01308, Praj.g_01201, Praj.g_01271, Praj.g_01356, Praj.g_00419
OG0000024	Pray.g_00784	Praj.g_00341, Praj.g_01609
OG0000025	Pray.g_00883	Praj.g_00099, Praj.g_01398
OG0000026	Pray.g_01495	Praj.g_01867
OG0000027	Pray.g_01635	Praj.g_01070, Praj.g_01084
OG0000028	Pray.g_01722	Praj.g_01632
OG0000029	Pray.g_01609	Praj.g_01276, Praj.g_01675
OG0000030	Pray.g_00245	Praj.g_01902
