Orthogroup	Pray	Prbd
OG0000000	Pray.g_01836	Prbd.g_01771
OG0000000	Pray.g_01085	Prbd.g_00566
OG0000001	Pray.g_01604	Prbd.g_00528
OG0000002	Pray.g_01844	Prbd.g_01779
OG0000002	Pray.g_00247, Pray.g_00246	Prbd.g_01930
OG0000003	Pray.g_01890	Prbd.g_01835
OG0000003	Pray.g_01602	Prbd.g_01567
OG0000004	Pray.g_00277	Prbd.g_00031
OG0000004	Pray.g_00284	Prbd.g_00038
OG0000004	Pray.g_01891	Prbd.g_01855
OG0000005	Pray.g_01603	Prbd.g_01568
OG0000005	Pray.g_01576	Prbd.g_01914
OG0000006	Pray.g_00987	Prbd.g_00745
OG0000006	Pray.g_01559	Prbd.g_01525
OG0000007	Pray.g_01091	Prbd.g_00572
OG0000008	Pray.g_00862	Prbd.g_00854
OG0000008	Pray.g_00544	Prbd.g_00297
OG0000008	Pray.g_00885	Prbd.g_01894
OG0000009	Pray.g_00328	Prbd.g_00082
OG0000009	Pray.g_00730	Prbd.g_00990
OG0000010	Pray.g_00117	Prbd.g_00409
OG0000010	Pray.g_01905	Prbd.g_01870
OG0000011	Pray.g_00808	Prbd.g_00909
OG0000012	Pray.g_01165	Prbd.g_00646
OG0000013	Pray.g_00309	Prbd.g_00826
OG0000014	Pray.g_01887	Prbd.g_01832
OG0000014	Pray.g_00960	Prbd.g_00772
OG0000015	Pray.g_00860	Prbd.g_00856
OG0000016	Pray.g_01833	Prbd.g_01768
OG0000017	Pray.g_01702	Prbd.g_01669
OG0000018	Pray.g_00722	Prbd.g_00998
OG0000019	Pray.g_01578	Prbd.g_01546
OG0000019	Pray.g_00842	Prbd.g_00874
OG0000020	Pray.g_00852	Prbd.g_00864
OG0000021	Pray.g_00330	Prbd.g_00084
OG0000022	Pray.g_01888	Prbd.g_01833
OG0000023	Pray.g_01920	Prbd.g_01887
OG0000023	Pray.g_01610	Prbd.g_01576
OG0000024	Pray.g_00784	Prbd.g_00933
OG0000025	Pray.g_00619	Prbd.g_00375
OG0000026	Pray.g_01495	Prbd.g_01204
OG0000027	Pray.g_01635	Prbd.g_01601
OG0000027	Pray.g_00280	Prbd.g_00034
OG0000028	Pray.g_01722	Prbd.g_01689
OG0000029	Pray.g_01609	Prbd.g_01575
OG0000033	Pray.g_01475	Prbd.g_01224
OG0000035	Pray.g_00622	Prbd.g_00379
OG0000035	Pray.g_00438	Prbd.g_00192
OG0000036	Pray.g_01177	Prbd.g_00658
OG0000037	Pray.g_01140	Prbd.g_00621
OG0000038	Pray.g_00304	Prbd.g_00061
OG0000039	Pray.g_00647	Prbd.g_01074
OG0000040	Pray.g_00838	Prbd.g_00879
OG0000041	Pray.g_00910	Prbd.g_00833
OG0000042	Pray.g_01040	Prbd.g_00007
OG0000043	Pray.g_00333	Prbd.g_00087
OG0000044	Pray.g_00064	Prbd.g_00468
OG0000045	Pray.g_01786	Prbd.g_01733
OG0000046	Pray.g_01566	Prbd.g_01532
OG0000047	Pray.g_01364	Prbd.g_01335
OG0000048	Pray.g_01371	Prbd.g_01328
OG0000050	Pray.g_01493	Prbd.g_01206
OG0000051	Pray.g_00638	Prbd.g_01083
OG0000052	Pray.g_00848	Prbd.g_00868
OG0000053	Pray.g_01222	Prbd.g_00703
OG0000054	Pray.g_00299	Prbd.g_00055
OG0000055	Pray.g_00370	Prbd.g_00124
OG0000057	Pray.g_00718	Prbd.g_01002
OG0000058	Pray.g_00965	Prbd.g_00767
OG0000059	Pray.g_01065	Prbd.g_00546
OG0000060	Pray.g_00282	Prbd.g_00036
OG0000061	Pray.g_00099	Prbd.g_00425
OG0000061	Pray.g_00531	Prbd.g_00284
OG0000062	Pray.g_00097	Prbd.g_00427
OG0000063	Pray.g_01927	Prbd.g_01895
OG0000064	Pray.g_01917	Prbd.g_01884
OG0000064	Pray.g_01583	Prbd.g_01547
OG0000065	Pray.g_01870	Prbd.g_01801
OG0000066	Pray.g_01808	Prbd.g_01737
OG0000067	Pray.g_01930	Prbd.g_00534
OG0000068	Pray.g_01306	Prbd.g_01391
OG0000069	Pray.g_01782	Prbd.g_01730
OG0000071	Pray.g_01473	Prbd.g_01226
OG0000072	Pray.g_00800	Prbd.g_00917
OG0000073	Pray.g_01094	Prbd.g_00575
OG0000074	Pray.g_01072	Prbd.g_00553
OG0000075	Pray.g_00355	Prbd.g_00109
OG0000076	Pray.g_00584	Prbd.g_00340
OG0000077	Pray.g_01575	Prbd.g_01913
OG0000078	Pray.g_01788	Prbd.g_01734
OG0000079	Pray.g_01644	Prbd.g_01610
OG0000080	Pray.g_01595	Prbd.g_01561
OG0000081	Pray.g_01337	Prbd.g_01361
OG0000082	Pray.g_01427	Prbd.g_01272
OG0000083	Pray.g_01464	Prbd.g_01234
OG0000084	Pray.g_01468	Prbd.g_01231
OG0000085	Pray.g_01485	Prbd.g_01214
OG0000086	Pray.g_00244	Prbd.g_01199
OG0000087	Pray.g_00234	Prbd.g_01188
OG0000088	Pray.g_00176	Prbd.g_01131
