Orthogroup	Syar	Syas
OG0000001	Syar.g_00070	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000003	Syar.g_00836	Syas.g_01418
OG0000004	Syar.g_02051	Syas.g_00176
OG0000004	Syar.g_02225	Syas.g_00509, Syas.g_00174, Syas.g_00311
OG0000004	Syar.g_00842	Syas.g_00072
OG0000005	Syar.g_02952	Syas.g_02665
OG0000005	Syar.g_02909	Syas.g_02704
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syas.g_01684, Syas.g_02565
OG0000007	Syar.g_01491	Syas.g_01232
OG0000007	Syar.g_02929	Syas.g_02681
OG0000008	Syar.g_02097	Syas.g_00886
OG0000008	Syar.g_02098	Syas.g_00887
OG0000009	Syar.g_03116	Syas.g_01450
OG0000010	Syar.g_01272	Syas.g_01334
OG0000012	Syar.g_00690	Syas.g_00827
OG0000014	Syar.g_00825	Syas.g_01816
OG0000015	Syar.g_00451	Syas.g_02007
OG0000015	Syar.g_00180	Syas.g_00968
OG0000016	Syar.g_02859	Syas.g_02048, Syas.g_01086, Syas.g_01050
OG0000017	Syar.g_02188	Syas.g_00849
OG0000017	Syar.g_02180	Syas.g_00856
OG0000018	Syar.g_01409	Syas.g_01290
OG0000019	Syar.g_00163	Syas.g_01696
OG0000022	Syar.g_00835	Syas.g_02758
OG0000025	Syar.g_01811	Syas.g_00231
OG0000026	Syar.g_00505	Syas.g_02070
OG0000027	Syar.g_02055	Syas.g_01480
OG0000028	Syar.g_00718	Syas.g_01793
OG0000031	Syar.g_00714	Syas.g_01827
OG0000033	Syar.g_00105	Syas.g_02328
OG0000034	Syar.g_00074, Syar.g_02790	Syas.g_02371, Syas.g_02838
OG0000035	Syar.g_02809	Syas.g_02814
OG0000037	Syar.g_02562	Syas.g_01479
OG0000037	Syar.g_01310	Syas.g_00147
OG0000037	Syar.g_02856	Syas.g_01928
OG0000038	Syar.g_00334	Syas.g_01885
OG0000038	Syar.g_00336	Syas.g_01887
OG0000039	Syar.g_02827	Syas.g_02795
OG0000040	Syar.g_02831	Syas.g_02028
OG0000040	Syar.g_00858	Syas.g_01972
OG0000041	Syar.g_01370, Syar.g_02014	Syas.g_00996
OG0000041	Syar.g_02993	Syas.g_02585
OG0000042	Syar.g_00595, Syar.g_01970	Syas.g_01121
OG0000044	Syar.g_02052, Syar.g_02167	Syas.g_00894
OG0000044	Syar.g_01631	Syas.g_02453
OG0000046	Syar.g_01102, Syar.g_01105	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Syar.g_00213	Syas.g_01734
OG0000051	Syar.g_01597	Syas.g_01445
OG0000053	Syar.g_01413	Syas.g_01287
OG0000055	Syar.g_01386	Syas.g_00203
OG0000057	Syar.g_01941	Syas.g_01055, Syas.g_01038
OG0000059	Syar.g_01024	Syas.g_01639
OG0000060	Syar.g_01260	Syas.g_01343, Syas.g_01002
OG0000061	Syar.g_01539	Syas.g_01184
OG0000062	Syar.g_01439	Syas.g_00070
OG0000062	Syar.g_02911	Syas.g_02702
OG0000063	Syar.g_00509	Syas.g_02074
OG0000064	Syar.g_03117	Syas.g_02423
OG0000064	Syar.g_00860	Syas.g_00946
OG0000065	Syar.g_03119	Syas.g_02420
OG0000066	Syar.g_03187, Syar.g_02228	Syas.g_00094
OG0000067	Syar.g_02639	Syas.g_00596
OG0000068	Syar.g_02329	Syas.g_00969
OG0000069	Syar.g_01716	Syas.g_00779, Syas.g_00876
OG0000070	Syar.g_02223	Syas.g_00173
OG0000071	Syar.g_02777	Syas.g_02854
OG0000072	Syar.g_00107	Syas.g_02326
OG0000072	Syar.g_01140	Syas.g_01524
OG0000073	Syar.g_01364	Syas.g_00358, Syas.g_00264
OG0000073	Syar.g_01493	Syas.g_01230
OG0000076	Syar.g_00608	Syas.g_02156
OG0000077	Syar.g_03051	Syas.g_02510
OG0000078	Syar.g_03018	Syas.g_02561
OG0000078	Syar.g_01366	Syas.g_02308
OG0000079	Syar.g_00166	Syas.g_01699
OG0000080	Syar.g_00585	Syas.g_02616, Syas.g_02149
OG0000081	Syar.g_01898	Syas.g_00391
OG0000082	Syar.g_02202	Syas.g_00837
OG0000085	Syar.g_02919	Syas.g_02695
OG0000086	Syar.g_03085	Syas.g_02470
OG0000087	Syar.g_00068	Syas.g_02374
OG0000089	Syar.g_01162	Syas.g_01512
OG0000090	Syar.g_02363, Syar.g_02353, Syar.g_02356	Syas.g_00062
OG0000091	Syar.g_01891	Syas.g_00907
OG0000091	Syar.g_02426	Syas.g_00146
OG0000092	Syar.g_01960	Syas.g_00900, Syas.g_00877
OG0000094	Syar.g_01789	Syas.g_00208, Syas.g_01716
OG0000095	Syar.g_01932	Syas.g_01021
OG0000097	Syar.g_00364	Syas.g_01443
OG0000098	Syar.g_02343	Syas.g_00091
OG0000099	Syar.g_00715	Syas.g_01826
OG0000100	Syar.g_02477	Syas.g_00567
OG0000101	Syar.g_01073	Syas.g_01589
OG0000102	Syar.g_00602	Syas.g_02152
OG0000102	Syar.g_02164, Syar.g_01644, Syar.g_02138	Syas.g_01395
OG0000103	Syar.g_00452	Syas.g_02009
OG0000104	Syar.g_00466	Syas.g_02026
OG0000105	Syar.g_00218	Syas.g_01739
OG0000106	Syar.g_01748	Syas.g_01451
OG0000107	Syar.g_00149	Syas.g_01669
OG0000108	Syar.g_01469	Syas.g_01253
OG0000109	Syar.g_01485	Syas.g_01236
OG0000110	Syar.g_02295	Syas.g_00359, Syas.g_00818
OG0000111	Syar.g_01940, Syar.g_00005	Syas.g_01037
OG0000112	Syar.g_02548	Syas.g_00452
OG0000113	Syar.g_02664	Syas.g_00571
OG0000114	Syar.g_01616	Syas.g_00674
OG0000115	Syar.g_02854	Syas.g_02548
OG0000115	Syar.g_01415	Syas.g_01285
OG0000116	Syar.g_01525	Syas.g_01198
OG0000116	Syar.g_02255	Syas.g_00317
OG0000117	Syar.g_01969	Syas.g_01122
OG0000118	Syar.g_02793	Syas.g_02835
OG0000120	Syar.g_00713	Syas.g_01828
OG0000121	Syar.g_02806	Syas.g_02821
OG0000123	Syar.g_01079	Syas.g_01582
OG0000124	Syar.g_00586	Syas.g_02137
OG0000125	Syar.g_00338	Syas.g_01889
OG0000126	Syar.g_00887, Syar.g_00888	Syas.g_01992
OG0000128	Syar.g_00482	Syas.g_02046
OG0000129	Syar.g_00324	Syas.g_01880
OG0000130	Syar.g_03040	Syas.g_02522
OG0000131	Syar.g_00078	Syas.g_02367
OG0000132	Syar.g_00099	Syas.g_02334
OG0000133	Syar.g_02543	Syas.g_00457
OG0000134	Syar.g_02009, Syar.g_01165	Syas.g_01509
OG0000135	Syar.g_00698	Syas.g_01938
OG0000136	Syar.g_02874	Syas.g_02740
OG0000137	Syar.g_01273	Syas.g_01333
OG0000138	Syar.g_01486	Syas.g_01235
OG0000139	Syar.g_02348	Syas.g_00069
OG0000140	Syar.g_02344, Syar.g_03246	Syas.g_00090
