Orthogroup	Syar	Prbc
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prbc.g_00588
OG0000004	Syar.g_02051	Prbc.g_01381
OG0000004	Syar.g_02225, Syar.g_00842	Prbc.g_00339
OG0000005	Syar.g_02952	Prbc.g_00098
OG0000005	Syar.g_02909	Prbc.g_00788
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbc.g_02202
OG0000007	Syar.g_01491	Prbc.g_01556
OG0000007	Syar.g_02929	Prbc.g_00832
OG0000008	Syar.g_02097	Prbc.g_00893
OG0000008	Syar.g_02098	Prbc.g_00894
OG0000010	Syar.g_01272	Prbc.g_02115
OG0000012	Syar.g_00690, Syar.g_02860	Prbc.g_02155
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbc.g_01219
OG0000014	Syar.g_00825	Prbc.g_01198
OG0000014	Syar.g_02736	Prbc.g_00680
OG0000015	Syar.g_00451, Syar.g_00180	Prbc.g_00599
OG0000016	Syar.g_02859	Prbc.g_01083, Prbc.g_00929
OG0000017	Syar.g_02188	Prbc.g_01681
OG0000018	Syar.g_01409	Prbc.g_01468
OG0000019	Syar.g_00163	Prbc.g_01836
OG0000022	Syar.g_00835	Prbc.g_01288
OG0000025	Syar.g_01811	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syar.g_00505	Prbc.g_01101
OG0000027	Syar.g_02055, Syar.g_02835	Prbc.g_00072
OG0000028	Syar.g_00718	Prbc.g_00653
OG0000031	Syar.g_00714	Prbc.g_01228
OG0000032	Syar.g_01390	Prbc.g_00746
OG0000033	Syar.g_00105	Prbc.g_00402
OG0000034	Syar.g_00074, Syar.g_02790	Prbc.g_00575
OG0000035	Syar.g_02809	Prbc.g_00709
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbc.g_00464
OG0000038	Syar.g_00334, Syar.g_00336	Prbc.g_00995
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prbc.g_01768
OG0000040	Syar.g_02831	Prbc.g_00909, Prbc.g_00811
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Prbc.g_00877
OG0000042	Syar.g_00595, Syar.g_01970	Prbc.g_00203
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prbc.g_00533
OG0000045	Syar.g_02592	Prbc.g_02137
OG0000046	Syar.g_03233, Syar.g_01102, Syar.g_01105	Prbc.g_01220
OG0000048	Syar.g_00213	Prbc.g_01165
OG0000051	Syar.g_01597	Prbc.g_00088, Prbc.g_00095
OG0000052	Syar.g_00281	Prbc.g_00518, Prbc.g_00517
OG0000053	Syar.g_01413	Prbc.g_00728
OG0000054	Syar.g_02265	Prbc.g_01683
OG0000055	Syar.g_01386	Prbc.g_00907
OG0000056	Syar.g_01662	Prbc.g_00011
OG0000057	Syar.g_01941, Syar.g_00006	Prbc.g_00055, Prbc.g_01780
OG0000058	Syar.g_00648	Prbc.g_01928
OG0000059	Syar.g_01024	Prbc.g_00958
OG0000061	Syar.g_01539	Prbc.g_01446
OG0000062	Syar.g_02911	Prbc.g_00790
OG0000063	Syar.g_00509	Prbc.g_00932
OG0000065	Syar.g_03119	Prbc.g_00466
OG0000066	Syar.g_03187, Syar.g_02228	Prbc.g_01618
OG0000067	Syar.g_02639	Prbc.g_01858
OG0000068	Syar.g_02329, Syar.g_01461	Prbc.g_00657
OG0000069	Syar.g_01716	Prbc.g_02181, Prbc.g_00752
OG0000070	Syar.g_02223, Syar.g_03150	Prbc.g_01511
OG0000071	Syar.g_02777	Prbc.g_00566
OG0000072	Syar.g_00107, Syar.g_01140	Prbc.g_00400
OG0000073	Syar.g_01493	Prbc.g_01579
OG0000075	Syar.g_03065, Syar.g_00659	Prbc.g_00236
OG0000076	Syar.g_00608	Prbc.g_00211
OG0000077	Syar.g_03051	Prbc.g_00495
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Prbc.g_00330
OG0000079	Syar.g_00166	Prbc.g_01148
OG0000080	Syar.g_00585	Prbc.g_00679
OG0000081	Syar.g_01898	Prbc.g_01610
OG0000082	Syar.g_02202	Prbc.g_00891
OG0000085	Syar.g_02919	Prbc.g_00826
OG0000086	Syar.g_03085	Prbc.g_00485
OG0000087	Syar.g_03192, Syar.g_00068	Prbc.g_00432
OG0000088	Syar.g_00101	Prbc.g_00405
OG0000089	Syar.g_01162	Prbc.g_01268
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbc.g_01612
OG0000091	Syar.g_01891, Syar.g_02426	Prbc.g_01719
OG0000092	Syar.g_01960	Prbc.g_01982
OG0000093	Syar.g_02623	Prbc.g_01843
OG0000094	Syar.g_01789	Prbc.g_01935
OG0000095	Syar.g_01932	Prbc.g_02113
OG0000097	Syar.g_01706, Syar.g_00364	Prbc.g_01400
OG0000098	Syar.g_02343	Prbc.g_00585
OG0000099	Syar.g_00715	Prbc.g_01229
OG0000100	Syar.g_02477	Prbc.g_00785
OG0000101	Syar.g_01073, Syar.g_03154	Prbc.g_00284
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbc.g_00206
OG0000103	Syar.g_00014, Syar.g_00452	Prbc.g_01053
OG0000104	Syar.g_00466	Prbc.g_01065
OG0000105	Syar.g_00218	Prbc.g_01167
OG0000106	Syar.g_01748	Prbc.g_00134, Prbc.g_00641
OG0000107	Syar.g_03290, Syar.g_00149	Prbc.g_00934
OG0000108	Syar.g_01469	Prbc.g_01540
OG0000109	Syar.g_03310, Syar.g_01485	Prbc.g_01553
OG0000110	Syar.g_02295	Prbc.g_01654
OG0000111	Syar.g_01940, Syar.g_00005	Prbc.g_01781
OG0000112	Syar.g_03195, Syar.g_02548	Prbc.g_02028
OG0000113	Syar.g_02664	Prbc.g_01882, Prbc.g_00153
OG0000114	Syar.g_01616	Prbc.g_01977
OG0000115	Syar.g_02854, Syar.g_01415	Prbc.g_00801
OG0000116	Syar.g_01525, Syar.g_02255	Prbc.g_01457
OG0000117	Syar.g_01969	Prbc.g_00102
OG0000118	Syar.g_02793	Prbc.g_00577
OG0000120	Syar.g_00713	Prbc.g_01753
OG0000121	Syar.g_02806	Prbc.g_00711
OG0000123	Syar.g_01079	Prbc.g_00277
OG0000124	Syar.g_00586	Prbc.g_00193
OG0000125	Syar.g_00338	Prbc.g_00997
OG0000126	Syar.g_00887, Syar.g_00888	Prbc.g_01063
OG0000128	Syar.g_00482	Prbc.g_01081
OG0000129	Syar.g_00324	Prbc.g_01122
OG0000130	Syar.g_03040	Prbc.g_00504
OG0000131	Syar.g_02216, Syar.g_00078	Prbc.g_00426
OG0000132	Syar.g_00099	Prbc.g_00407
OG0000133	Syar.g_02543	Prbc.g_01214
OG0000134	Syar.g_02009, Syar.g_01165	Prbc.g_01270
OG0000135	Syar.g_00698	Prbc.g_02198, Prbc.g_02183
OG0000136	Syar.g_02874	Prbc.g_01502
OG0000137	Syar.g_01273	Prbc.g_01534
OG0000138	Syar.g_01486	Prbc.g_01554
OG0000139	Syar.g_03245, Syar.g_02348	Prbc.g_01616
OG0000140	Syar.g_02344, Syar.g_03246	Prbc.g_01617
OG0000141	Syar.g_02129	Prbc.g_01684
OG0000142	Syar.g_02418	Prbc.g_01712
OG0000143	Syar.g_02422	Prbc.g_01716
OG0000144	Syar.g_02441	Prbc.g_01729
OG0000145	Syar.g_01494, Syar.g_03205	Prbc.g_02142
OG0000146	Syar.g_02549	Prbc.g_02027
OG0000147	Syar.g_02550	Prbc.g_02026
OG0000148	Syar.g_02658	Prbc.g_01876
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prbc.g_01908
OG0000150	Syar.g_02130	Prbc.g_01916
OG0000151	Syar.g_02038	Prbc.g_01988
OG0000152	Syar.g_02539	Prbc.g_02036
OG0000153	Syar.g_03283, Syar.g_02503	Prbc.g_02054
OG0000154	Syar.g_01800	Prbc.g_02083
OG0000155	Syar.g_01959	Prbc.g_01424
OG0000156	Syar.g_01517	Prbc.g_00555
OG0000157	Syar.g_01516	Prbc.g_00556
OG0000158	Syar.g_00650	Prbc.g_00228
OG0000160	Syar.g_02807	Prbc.g_00710
OG0000161	Syar.g_02801	Prbc.g_00716
OG0000162	Syar.g_02863	Prbc.g_00722
OG0000163	Syar.g_00639, Syar.g_01186	Prbc.g_00758
OG0000164	Syar.g_03168, Syar.g_02969	Prbc.g_00854
OG0000165	Syar.g_02976	Prbc.g_00862
OG0000166	Syar.g_01034	Prbc.g_00321
OG0000167	Syar.g_00662	Prbc.g_00238
OG0000168	Syar.g_00246	Prbc.g_00227
OG0000169	Syar.g_00262	Prbc.g_00217
OG0000170	Syar.g_00613	Prbc.g_00215
OG0000171	Syar.g_00587	Prbc.g_00194
OG0000172	Syar.g_00547	Prbc.g_00967
OG0000173	Syar.g_00528	Prbc.g_00982
OG0000174	Syar.g_00701	Prbc.g_01013
OG0000175	Syar.g_00438	Prbc.g_01044
OG0000176	Syar.g_00474	Prbc.g_01074
OG0000177	Syar.g_00475	Prbc.g_01075
OG0000178	Syar.g_00476	Prbc.g_01076
OG0000179	Syar.g_00489	Prbc.g_01086
OG0000180	Syar.g_00490	Prbc.g_01087
OG0000181	Syar.g_00491	Prbc.g_01088
OG0000182	Syar.g_00492	Prbc.g_01089
OG0000183	Syar.g_00496	Prbc.g_01093
OG0000184	Syar.g_00897	Prbc.g_01124
OG0000185	Syar.g_00909	Prbc.g_01127
OG0000186	Syar.g_03036	Prbc.g_00509
OG0000187	Syar.g_03038	Prbc.g_00508
OG0000188	Syar.g_03058	Prbc.g_00491
OG0000189	Syar.g_03104	Prbc.g_00477
OG0000190	Syar.g_03107, Syar.g_02374	Prbc.g_00476
OG0000191	Syar.g_00039	Prbc.g_00453
OG0000192	Syar.g_00046	Prbc.g_00449
OG0000193	Syar.g_00079	Prbc.g_00425
OG0000194	Syar.g_03236, Syar.g_00082	Prbc.g_00422
OG0000195	Syar.g_00023, Syar.g_00084	Prbc.g_00420
OG0000196	Syar.g_00096	Prbc.g_00410
OG0000197	Syar.g_00097	Prbc.g_00409
OG0000198	Syar.g_00098	Prbc.g_00408
OG0000199	Syar.g_00106	Prbc.g_00401
OG0000200	Syar.g_00124	Prbc.g_00388
OG0000201	Syar.g_01000	Prbc.g_00379
OG0000202	Syar.g_00998, Syar.g_00021	Prbc.g_00378
OG0000203	Syar.g_00020, Syar.g_00997	Prbc.g_00377
OG0000204	Syar.g_00996	Prbc.g_00376
OG0000205	Syar.g_00988	Prbc.g_00369
OG0000206	Syar.g_00963	Prbc.g_00365
OG0000207	Syar.g_00957	Prbc.g_00363
OG0000208	Syar.g_00956	Prbc.g_00362
OG0000209	Syar.g_00936, Syar.g_03261	Prbc.g_00352
OG0000210	Syar.g_00935, Syar.g_03260	Prbc.g_00351
OG0000211	Syar.g_03026	Prbc.g_00337
OG0000212	Syar.g_03017	Prbc.g_00329
OG0000213	Syar.g_00187	Prbc.g_01153
OG0000214	Syar.g_00209	Prbc.g_01161
OG0000215	Syar.g_00239	Prbc.g_01185
OG0000216	Syar.g_00244	Prbc.g_01186
OG0000217	Syar.g_00854	Prbc.g_01189
OG0000218	Syar.g_00852	Prbc.g_01191
OG0000219	Syar.g_00851	Prbc.g_01192
OG0000220	Syar.g_00850, Syar.g_02026	Prbc.g_01193
OG0000221	Syar.g_00834	Prbc.g_01194
OG0000222	Syar.g_02119, Syar.g_00728	Prbc.g_01202
OG0000223	Syar.g_00649	Prbc.g_01215
OG0000224	Syar.g_00762, Syar.g_00273	Prbc.g_01217
OG0000225	Syar.g_01142	Prbc.g_01257
OG0000226	Syar.g_01146	Prbc.g_01261
OG0000227	Syar.g_01148	Prbc.g_01263
OG0000228	Syar.g_01161	Prbc.g_01267
OG0000229	Syar.g_01177, Syar.g_03273	Prbc.g_01497
OG0000230	Syar.g_01179, Syar.g_03275	Prbc.g_01499
OG0000231	Syar.g_02865, Syar.g_03151	Prbc.g_01510
OG0000232	Syar.g_01424	Prbc.g_01518
OG0000233	Syar.g_03183, Syar.g_01247	Prbc.g_01526
OG0000234	Syar.g_01275	Prbc.g_01535
OG0000235	Syar.g_01468	Prbc.g_01539
OG0000236	Syar.g_03311, Syar.g_01484	Prbc.g_01552
