Orthogroup	Syar	Syaa
OG0000001	Syar.g_00069	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syar.g_00070	Syaa.g_02439
OG0000004	Syar.g_02051	Syaa.g_00892
OG0000004	Syar.g_02225	Syaa.g_01667
OG0000004	Syar.g_00842	Syaa.g_02116
OG0000005	Syar.g_02952	Syaa.g_00534
OG0000005	Syar.g_02909	Syaa.g_00573
OG0000005	Syar.g_01752	Syaa.g_01449
OG0000006	Syar.g_02439	Syaa.g_01611
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Syar.g_01491	Syaa.g_02032
OG0000007	Syar.g_02929	Syaa.g_00551
OG0000008	Syar.g_02097	Syaa.g_00918
OG0000008	Syar.g_02098	Syaa.g_00919
OG0000009	Syar.g_03116	Syaa.g_02378
OG0000010	Syar.g_01272	Syaa.g_01843
OG0000012	Syar.g_00690, Syar.g_02860	Syaa.g_02304
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syaa.g_02217
OG0000014	Syar.g_00825	Syaa.g_00222
OG0000014	Syar.g_02736	Syaa.g_00481
OG0000015	Syar.g_00451	Syaa.g_02739
OG0000016	Syar.g_02859	Syaa.g_00014, Syaa.g_00981, Syaa.g_01481
OG0000017	Syar.g_03181	Syaa.g_01890
OG0000017	Syar.g_02180	Syaa.g_01883
OG0000018	Syar.g_01409	Syaa.g_01801
OG0000019	Syar.g_00163	Syaa.g_00307
OG0000022	Syar.g_00835	Syaa.g_01571
OG0000025	Syar.g_01811	Syaa.g_00839
OG0000026	Syar.g_00505	Syaa.g_00038
OG0000027	Syar.g_02055	Syaa.g_01605, Syaa.g_00854
OG0000028	Syar.g_00718	Syaa.g_00205
OG0000031	Syar.g_00714	Syaa.g_00200
OG0000032	Syar.g_01390	Syaa.g_01818
OG0000033	Syar.g_00105	Syaa.g_02478, Syaa.g_00485
OG0000034	Syar.g_00074, Syar.g_02790	Syaa.g_00722, Syaa.g_02444
OG0000035	Syar.g_02809	Syaa.g_01773
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Syaa.g_02384
OG0000038	Syar.g_00334	Syaa.g_02596
OG0000039	Syar.g_00007	Syaa.g_00846
OG0000040	Syar.g_02831	Syaa.g_01606
OG0000040	Syar.g_00858	Syaa.g_02690
OG0000042	Syar.g_00595, Syar.g_01970	Syaa.g_00103
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Syaa.g_00363
OG0000045	Syar.g_02592	Syaa.g_01518
OG0000046	Syar.g_03233	Syaa.g_02205
OG0000046	Syar.g_01102, Syar.g_01105	Syaa.g_02218
OG0000048	Syar.g_00213	Syaa.g_00275, Syaa.g_02719
OG0000051	Syar.g_01597	Syaa.g_01531
OG0000052	Syar.g_02742, Syar.g_02751, Syar.g_00281	Syaa.g_00174
OG0000053	Syar.g_01413	Syaa.g_01797
OG0000054	Syar.g_02265	Syaa.g_01502
OG0000055	Syar.g_01386	Syaa.g_01564
OG0000057	Syar.g_01941	Syaa.g_01466
OG0000057	Syar.g_00006	Syaa.g_00889
OG0000058	Syar.g_00648	Syaa.g_00193, Syaa.g_00455
OG0000059	Syar.g_01024	Syaa.g_02315
OG0000060	Syar.g_01260	Syaa.g_02053
OG0000061	Syar.g_01539	Syaa.g_00770
OG0000062	Syar.g_02911	Syaa.g_00571
OG0000063	Syar.g_00509	Syaa.g_00042
OG0000064	Syar.g_03117	Syaa.g_02666
OG0000064	Syar.g_00860	Syaa.g_01568
OG0000066	Syar.g_03187	Syaa.g_01968
OG0000067	Syar.g_02639	Syaa.g_01154
OG0000068	Syar.g_02329, Syar.g_01461	Syaa.g_02059
