Orthogroup	Syar	Praj
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Praj.g_01549
OG0000004	Syar.g_02051	Praj.g_01396
OG0000004	Syar.g_02225, Syar.g_00842	Praj.g_00271
OG0000005	Syar.g_02952	Praj.g_01349
OG0000005	Syar.g_02909	Praj.g_01712
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syar.g_01491	Praj.g_00489
OG0000007	Syar.g_02929	Praj.g_01768
OG0000008	Syar.g_02097	Praj.g_01829
OG0000008	Syar.g_02098	Praj.g_01830
OG0000010	Syar.g_01272	Praj.g_01026
OG0000012	Syar.g_00690, Syar.g_02860	Praj.g_01066
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Praj.g_00362
OG0000014	Syar.g_00825	Praj.g_00341
OG0000014	Syar.g_02736	Praj.g_01609
OG0000015	Syar.g_00451, Syar.g_00180	Praj.g_01113
OG0000016	Syar.g_02859	Praj.g_00013, Praj.g_01865
OG0000017	Syar.g_02188	Praj.g_00592
OG0000018	Syar.g_01409	Praj.g_01482
OG0000019	Syar.g_00163	Praj.g_00747
OG0000022	Syar.g_00835	Praj.g_01216
OG0000025	Syar.g_01811	Praj.g_00805
OG0000026	Syar.g_00505	Praj.g_00031
OG0000027	Syar.g_02055, Syar.g_02835	Praj.g_01331
OG0000028	Syar.g_00718	Praj.g_01571
OG0000031	Syar.g_00714	Praj.g_00371
OG0000032	Syar.g_01390	Praj.g_01669
OG0000033	Syar.g_00105	Praj.g_00209
OG0000034	Syar.g_00074, Syar.g_02790	Praj.g_01538
OG0000035	Syar.g_02809	Praj.g_01632
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Praj.g_00147
OG0000038	Syar.g_00334, Syar.g_00336	Praj.g_02089
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Praj.g_00679
OG0000040	Syar.g_02831	Praj.g_01844, Praj.g_01735
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Praj.g_01813
OG0000042	Syar.g_00595, Syar.g_01970	Praj.g_02020
OG0000045	Syar.g_02592	Praj.g_01303, Praj.g_01049
OG0000046	Syar.g_03233, Syar.g_01102, Syar.g_01105	Praj.g_00363
OG0000048	Syar.g_00213	Praj.g_00308
OG0000051	Syar.g_01597	Praj.g_01339, Praj.g_01347
OG0000052	Syar.g_00281	Praj.g_00095
OG0000053	Syar.g_01413	Praj.g_01651
OG0000054	Syar.g_02265	Praj.g_00594
OG0000055	Syar.g_01386	Praj.g_01842
OG0000057	Syar.g_01941, Syar.g_00006	Praj.g_01313, Praj.g_00691
OG0000058	Syar.g_00648	Praj.g_00839
OG0000059	Syar.g_01024	Praj.g_01892
OG0000060	Syar.g_01260, Syar.g_00178	Praj.g_01108
