Orthogroup	Syar	Syah
OG0000001	Syar.g_00069	Syah.g_01516
OG0000001	Syar.g_00070	Syah.g_00040, Syah.g_00041
OG0000004	Syar.g_02051	Syah.g_02017
OG0000004	Syar.g_02225	Syah.g_01967
OG0000004	Syar.g_00842	Syah.g_00901
OG0000005	Syar.g_02952	Syah.g_02403
OG0000005	Syar.g_02909	Syah.g_02363
OG0000005	Syar.g_01752	Syah.g_01827
OG0000006	Syar.g_02439	Syah.g_01912
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Syar.g_01491	Syah.g_01016
OG0000007	Syar.g_02929	Syah.g_02384
OG0000008	Syar.g_02097	Syah.g_01994
OG0000008	Syar.g_02098	Syah.g_01993
OG0000009	Syar.g_03116	Syah.g_01910, Syah.g_02535
OG0000010	Syar.g_01272	Syah.g_01220
OG0000012	Syar.g_00690, Syar.g_02860	Syah.g_02169, Syah.g_01340
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syah.g_00817
OG0000014	Syar.g_00825	Syah.g_00127
OG0000014	Syar.g_02736	Syah.g_00323
OG0000016	Syar.g_02859	Syah.g_00359, Syah.g_01402, Syah.g_01859
OG0000017	Syar.g_03181	Syah.g_01152
OG0000017	Syar.g_02180	Syah.g_01159
OG0000018	Syar.g_01409	Syah.g_01264
OG0000019	Syar.g_00163	Syah.g_00669
OG0000022	Syar.g_00835	Syah.g_01881
OG0000025	Syar.g_01811	Syah.g_02082
OG0000026	Syar.g_00505	Syah.g_00340
OG0000027	Syar.g_02055	Syah.g_01541
OG0000028	Syar.g_00718	Syah.g_00141
OG0000031	Syar.g_00714	Syah.g_00146
OG0000032	Syar.g_01390	Syah.g_01246
OG0000033	Syar.g_00105	Syah.g_00078, Syah.g_00211
OG0000034	Syar.g_00074, Syar.g_02790	Syah.g_00048, Syah.g_02213
OG0000035	Syar.g_02809	Syah.g_01293
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Syah.g_00956, Syah.g_01365
OG0000038	Syar.g_00334	Syah.g_00508
OG0000038	Syar.g_00336	Syah.g_00506
OG0000039	Syar.g_00007	Syah.g_02074
OG0000040	Syar.g_02831	Syah.g_01908
OG0000040	Syar.g_00858	Syah.g_00431
OG0000042	Syar.g_00595, Syar.g_01970	Syah.g_00261
OG0000045	Syar.g_02592	Syah.g_02356
OG0000046	Syar.g_03233	Syah.g_00830
OG0000046	Syar.g_01102, Syar.g_01105	Syah.g_00816
OG0000048	Syar.g_00213	Syah.g_00637
OG0000051	Syar.g_01597	Syah.g_02473
OG0000052	Syar.g_02742, Syar.g_02751, Syar.g_00281	Syah.g_00171
OG0000053	Syar.g_01413	Syah.g_01267
OG0000054	Syar.g_02265	Syah.g_01862
OG0000055	Syar.g_01386	Syah.g_01878
OG0000057	Syar.g_00006	Syah.g_02020
OG0000058	Syar.g_00648	Syah.g_00152
