Orthogroup	Syar	Syai
OG0000001	Syar.g_00069	Syai.g_01197, Syai.g_02594
OG0000001	Syar.g_00070	Syai.g_00891, Syai.g_02595
OG0000004	Syar.g_02051	Syai.g_01994
OG0000004	Syar.g_02225	Syai.g_01062
OG0000004	Syar.g_00842	Syai.g_00530
OG0000005	Syar.g_02952	Syai.g_02393
OG0000005	Syar.g_02909	Syai.g_02356
OG0000005	Syar.g_01752	Syai.g_02068, Syai.g_01611
OG0000006	Syar.g_02439	Syai.g_01126
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syai.g_00317, Syai.g_00547
OG0000007	Syar.g_01491	Syai.g_00657
OG0000007	Syar.g_02929	Syai.g_02378
OG0000008	Syar.g_02097	Syai.g_01956
OG0000008	Syar.g_02098	Syai.g_01955
OG0000009	Syar.g_03116	Syai.g_02541
OG0000010	Syar.g_01272	Syai.g_00864
OG0000012	Syar.g_00690, Syar.g_02860	Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syai.g_00436
OG0000014	Syar.g_00825	Syai.g_00220
OG0000016	Syar.g_02859	Syai.g_00014, Syai.g_01785, Syai.g_01632
OG0000017	Syar.g_03181	Syai.g_00801
OG0000017	Syar.g_02180	Syai.g_00808
OG0000018	Syar.g_01409	Syai.g_00915
OG0000019	Syar.g_00163	Syai.g_00304
OG0000022	Syar.g_00835	Syai.g_01159
OG0000025	Syar.g_01811	Syai.g_02044
OG0000026	Syar.g_00505	Syai.g_00038
OG0000027	Syar.g_02055	Syai.g_01128, Syai.g_01654
OG0000028	Syar.g_00718	Syai.g_00205
OG0000031	Syar.g_00714	Syai.g_00197
OG0000032	Syar.g_01390	Syai.g_00895
OG0000033	Syar.g_00105	Syai.g_02634
OG0000034	Syar.g_00074, Syar.g_02790	Syai.g_02192, Syai.g_02604
OG0000035	Syar.g_02809	Syai.g_00955
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Syai.g_02815
OG0000038	Syar.g_00334	Syai.g_02780
OG0000039	Syar.g_00007	Syai.g_02034
OG0000040	Syar.g_00858	Syai.g_02876
OG0000042	Syar.g_00595, Syar.g_01970	Syai.g_00099
OG0000046	Syar.g_03233	Syai.g_00449
OG0000046	Syar.g_01102, Syar.g_01105	Syai.g_00435
OG0000048	Syar.g_00213	Syai.g_00272
OG0000051	Syar.g_01597	Syai.g_01773
OG0000052	Syar.g_02742, Syar.g_02751, Syar.g_00281	Syai.g_00176
OG0000053	Syar.g_01413	Syai.g_00930
OG0000057	Syar.g_00006	Syai.g_01997
OG0000058	Syar.g_00648	Syai.g_00195
OG0000059	Syar.g_01024	Syai.g_00351
OG0000060	Syar.g_01260	Syai.g_00635
OG0000061	Syar.g_01539	Syai.g_02144
OG0000062	Syar.g_02911	Syai.g_02358
OG0000063	Syar.g_00509	Syai.g_00042
OG0000064	Syar.g_03117	Syai.g_02844
OG0000064	Syar.g_00860	Syai.g_01163, Syai.g_01668
OG0000066	Syar.g_03187	Syai.g_01709, Syai.g_00719
OG0000067	Syar.g_02639	Syai.g_01321
OG0000068	Syar.g_02329, Syar.g_01461	Syai.g_00628
OG0000070	Syar.g_02223	Syai.g_02196
OG0000072	Syar.g_00107	Syai.g_02636
OG0000073	Syar.g_01493	Syai.g_00659
OG0000075	Syar.g_03065, Syar.g_00659	Syai.g_00161
OG0000076	Syar.g_00608	Syai.g_00111
OG0000077	Syar.g_03051	Syai.g_02486
OG0000078	Syar.g_03018	Syai.g_00543
OG0000079	Syar.g_00166	Syai.g_00300
OG0000081	Syar.g_01898	Syai.g_00553, Syai.g_02292
OG0000082	Syar.g_02202	Syai.g_00781
OG0000085	Syar.g_02919	Syai.g_02365
OG0000086	Syar.g_03085	Syai.g_02507
OG0000087	Syar.g_00068	Syai.g_02592
OG0000088	Syar.g_00101	Syai.g_02630
OG0000089	Syar.g_01162	Syai.g_00517
OG0000090	Syar.g_02363, Syar.g_02353, Syar.g_02356	Syai.g_00707
OG0000091	Syar.g_01891, Syar.g_02426	Syai.g_01112
OG0000092	Syar.g_01960	Syai.g_01358
OG0000093	Syar.g_02623	Syai.g_01306
OG0000094	Syar.g_01789	Syai.g_01424
OG0000095	Syar.g_01932	Syai.g_02007
OG0000097	Syar.g_01706, Syar.g_00364	Syai.g_01787
OG0000098	Syar.g_02343	Syai.g_01718
OG0000099	Syar.g_00715	Syai.g_00199
OG0000100	Syar.g_02477	Syai.g_01372
OG0000101	Syar.g_03154	Syai.g_00404
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Syai.g_00106
OG0000103	Syar.g_00014	Syai.g_02912
