Orthogroup	Syar	Syap
OG0000001	Syar.g_00070	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syar.g_02229	Syap.g_00399
OG0000003	Syar.g_00836	Syap.g_00679
OG0000004	Syar.g_00842	Syap.g_01987
OG0000005	Syar.g_02952	Syap.g_01773
OG0000005	Syar.g_02909	Syap.g_01218
OG0000006	Syar.g_02439	Syap.g_02770
OG0000007	Syar.g_01491	Syap.g_00275
OG0000007	Syar.g_02929	Syap.g_00621
OG0000009	Syar.g_03116	Syap.g_02081
OG0000010	Syar.g_01272	Syap.g_02757
OG0000013	Syar.g_03281	Syap.g_01397
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syap.g_00972
OG0000014	Syar.g_00825	Syap.g_01675
OG0000014	Syar.g_02736	Syap.g_00813
OG0000015	Syar.g_00451	Syap.g_02606
OG0000015	Syar.g_00180	Syap.g_00786
OG0000016	Syar.g_02859	Syap.g_00071, Syap.g_00404
OG0000017	Syar.g_02188	Syap.g_00449
OG0000018	Syar.g_01409	Syap.g_02010
OG0000019	Syar.g_00163	Syap.g_01586
OG0000025	Syar.g_01811	Syap.g_01846
OG0000027	Syar.g_02055	Syap.g_01440
OG0000028	Syar.g_00718	Syap.g_01658
OG0000031	Syar.g_00714	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000032	Syar.g_00543	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Syar.g_00105	Syap.g_01198
OG0000034	Syar.g_00074, Syar.g_02790	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syar.g_02809	Syap.g_02465
OG0000037	Syar.g_01310, Syar.g_02856	Syap.g_02492
OG0000038	Syar.g_00336	Syap.g_00139
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Syap.g_01749, Syap.g_01748
OG0000040	Syar.g_00858	Syap.g_01819
OG0000041	Syar.g_02993	Syap.g_01510
OG0000042	Syar.g_00595, Syar.g_01970	Syap.g_01891
OG0000044	Syar.g_02052, Syar.g_02167	Syap.g_00378
OG0000045	Syar.g_02592	Syap.g_02525
OG0000046	Syar.g_01102, Syar.g_01105	Syap.g_00973
OG0000048	Syar.g_00213	Syap.g_02340
OG0000051	Syar.g_01597	Syap.g_01574
OG0000053	Syar.g_01413	Syap.g_02006
OG0000054	Syar.g_02265	Syap.g_02652
OG0000057	Syar.g_01941, Syar.g_00006	Syap.g_01569
OG0000058	Syar.g_00648	Syap.g_02074
OG0000059	Syar.g_01024	Syap.g_01918
OG0000061	Syar.g_01539	Syap.g_00228
