Orthogroup	Syar	Syak
OG0000001	Syar.g_00069	Syak.g_02139
OG0000001	Syar.g_00070	Syak.g_02138
OG0000004	Syar.g_02051	Syak.g_01219, Syak.g_00720
OG0000004	Syar.g_02225	Syak.g_00003
OG0000004	Syar.g_00842	Syak.g_02297
OG0000005	Syar.g_02952	Syak.g_02401
OG0000005	Syar.g_02909	Syak.g_02436
OG0000006	Syar.g_02439	Syak.g_00057
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Syar.g_01491	Syak.g_02595
OG0000007	Syar.g_02929	Syak.g_02416
OG0000008	Syar.g_02097	Syak.g_00267
OG0000008	Syar.g_02098	Syak.g_00692
OG0000009	Syar.g_03116	Syak.g_02194
OG0000010	Syar.g_01272	Syak.g_01119
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syak.g_01275
OG0000014	Syar.g_00825	Syak.g_01505
OG0000014	Syar.g_02736	Syak.g_01582
OG0000015	Syar.g_00451	Syak.g_01813
OG0000015	Syar.g_00180	Syak.g_00107
OG0000016	Syar.g_02859	Syak.g_01780, Syak.g_00818
OG0000017	Syar.g_03181	Syak.g_02730
OG0000017	Syar.g_02180	Syak.g_02738
OG0000018	Syar.g_01409	Syak.g_01072
OG0000019	Syar.g_00163	Syak.g_01413
OG0000022	Syar.g_00835	Syak.g_00088
OG0000025	Syar.g_01811	Syak.g_00610
OG0000026	Syar.g_00505	Syak.g_01757
OG0000027	Syar.g_02055	Syak.g_00127
OG0000028	Syar.g_00718	Syak.g_01522
OG0000031	Syar.g_00714	Syak.g_01630
OG0000032	Syar.g_01390	Syak.g_01092
OG0000032	Syar.g_00543	Syak.g_01707
OG0000033	Syar.g_00105	Syak.g_02101
OG0000034	Syar.g_00074, Syar.g_02790	Syak.g_00950, Syak.g_02133
OG0000035	Syar.g_02809	Syak.g_01040
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Syak.g_02188
OG0000038	Syar.g_00334	Syak.g_01938
OG0000038	Syar.g_00336	Syak.g_01936
OG0000039	Syar.g_00007	Syak.g_00772
OG0000039	Syar.g_02151	Syak.g_01918
OG0000040	Syar.g_00858	Syak.g_01852
OG0000041	Syar.g_01370, Syar.g_02014	Syak.g_00752
OG0000042	Syar.g_00595, Syar.g_01970	Syak.g_00843, Syak.g_01681
OG0000045	Syar.g_02592	Syak.g_00317
