Orthogroup	Syar	Praa
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Praa.g_01351
OG0000004	Syar.g_02051	Praa.g_00695
OG0000004	Syar.g_02225, Syar.g_00842	Praa.g_00232
OG0000005	Syar.g_02952	Praa.g_01648
OG0000005	Syar.g_02909	Praa.g_01553
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Praa.g_00241, Praa.g_01245
OG0000007	Syar.g_01491	Praa.g_00497
OG0000007	Syar.g_02929	Praa.g_01635
OG0000008	Syar.g_02097	Praa.g_01241
OG0000008	Syar.g_00419, Syar.g_02048	Praa.g_00672
OG0000009	Syar.g_03116	Praa.g_00105
OG0000010	Syar.g_01272	Praa.g_01047
OG0000012	Syar.g_00690, Syar.g_02860	Praa.g_00623
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Praa.g_00327
OG0000014	Syar.g_00825	Praa.g_00306
OG0000014	Syar.g_02736	Praa.g_01409
OG0000015	Syar.g_00451, Syar.g_00180	Praa.g_00765
OG0000016	Syar.g_02859	Praa.g_00013
OG0000017	Syar.g_03181, Syar.g_02188, Syar.g_02180	Praa.g_00598
OG0000018	Syar.g_01409	Praa.g_01141
OG0000019	Syar.g_00163	Praa.g_00249, Praa.g_00782
OG0000022	Syar.g_00835	Praa.g_01124
OG0000025	Syar.g_01811	Praa.g_00331, Praa.g_00839
OG0000026	Syar.g_00505	Praa.g_00031, Praa.g_01054
OG0000027	Syar.g_02055, Syar.g_02835	Praa.g_00470, Praa.g_01301
OG0000028	Syar.g_00718	Praa.g_01248, Praa.g_00320
OG0000033	Syar.g_00105	Praa.g_01437
OG0000034	Syar.g_00074, Syar.g_02790	Praa.g_01328
OG0000035	Syar.g_02809	Praa.g_01476
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Praa.g_00109
OG0000038	Syar.g_00334, Syar.g_00336	Praa.g_01883
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Praa.g_00686
OG0000040	Syar.g_02831	Praa.g_01618
OG0000040	Syar.g_00858	Praa.g_01140
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Praa.g_01683
OG0000042	Syar.g_00595, Syar.g_01970	Praa.g_01839
OG0000048	Syar.g_00213	Praa.g_00373
OG0000051	Syar.g_01597	Praa.g_01291
OG0000053	Syar.g_01413	Praa.g_01496
OG0000054	Syar.g_02265	Praa.g_00606
OG0000055	Syar.g_01386	Praa.g_00783
OG0000057	Syar.g_01941, Syar.g_00006	Praa.g_00698
OG0000058	Syar.g_00648	Praa.g_01425
OG0000059	Syar.g_01024	Praa.g_01723
OG0000061	Syar.g_01539	Praa.g_01159
OG0000062	Syar.g_02911	Praa.g_01555
OG0000063	Syar.g_00509	Praa.g_00033
OG0000065	Syar.g_03119	Praa.g_00107
OG0000066	Syar.g_03187, Syar.g_02228	Praa.g_00539
OG0000067	Syar.g_02639	Praa.g_00803
OG0000068	Syar.g_02329, Syar.g_01461	Praa.g_01366
OG0000069	Syar.g_01716	Praa.g_01590
OG0000070	Syar.g_02223, Syar.g_03150	Praa.g_00449
OG0000071	Syar.g_02777	Praa.g_01318
OG0000072	Syar.g_00107, Syar.g_01140	Praa.g_00171
OG0000073	Syar.g_01364, Syar.g_01493	Praa.g_00499
OG0000075	Syar.g_03065, Syar.g_00659	Praa.g_01808
OG0000076	Syar.g_00608	Praa.g_01832
OG0000077	Syar.g_03051	Praa.g_00078
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Praa.g_00239
OG0000079	Syar.g_00166	Praa.g_00252
OG0000080	Syar.g_00585	Praa.g_01392, Praa.g_01390
OG0000081	Syar.g_01898	Praa.g_00531
OG0000082	Syar.g_02202	Praa.g_00585
OG0000085	Syar.g_02919	Praa.g_01628
OG0000086	Syar.g_03085	Praa.g_00088
OG0000087	Syar.g_03192, Syar.g_00068	Praa.g_00139
OG0000088	Syar.g_00101	Praa.g_00166
OG0000089	Syar.g_01162	Praa.g_00355
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Praa.g_00533
OG0000091	Syar.g_01891, Syar.g_02426	Praa.g_00642
OG0000093	Syar.g_02623	Praa.g_00932
OG0000094	Syar.g_01789	Praa.g_01020
OG0000095	Syar.g_01932	Praa.g_01039
OG0000097	Syar.g_01706, Syar.g_00364	Praa.g_01200
OG0000098	Syar.g_02343	Praa.g_01348
OG0000099	Syar.g_00715	Praa.g_01394
OG0000100	Syar.g_02477	Praa.g_01551
OG0000101	Syar.g_01073, Syar.g_03154	Praa.g_01775
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Praa.g_01837
OG0000103	Syar.g_00014, Syar.g_00452	Praa.g_01916
OG0000104	Syar.g_00466	Praa.g_01924
OG0000105	Syar.g_00218	Praa.g_00274
OG0000106	Syar.g_01748	Praa.g_00369
OG0000107	Syar.g_03290, Syar.g_00149	Praa.g_00383
OG0000108	Syar.g_01469	Praa.g_00480
OG0000109	Syar.g_03310, Syar.g_01485	Praa.g_00494
OG0000110	Syar.g_02295	Praa.g_00575
OG0000111	Syar.g_01940, Syar.g_00005	Praa.g_00699
OG0000112	Syar.g_03195, Syar.g_02548	Praa.g_00766
OG0000113	Syar.g_02664	Praa.g_00826
OG0000114	Syar.g_01616	Praa.g_00907
OG0000115	Syar.g_02854, Syar.g_01415	Praa.g_01101
OG0000116	Syar.g_01525, Syar.g_02255	Praa.g_01150
OG0000117	Syar.g_01969	Praa.g_01255
OG0000118	Syar.g_02793	Praa.g_01330
OG0000120	Syar.g_00713	Praa.g_01387
OG0000121	Syar.g_02806	Praa.g_01478
OG0000123	Syar.g_01079	Praa.g_01782
OG0000124	Syar.g_00586	Praa.g_01848
OG0000125	Syar.g_00338	Praa.g_01885
OG0000126	Syar.g_00887, Syar.g_00888	Praa.g_01923
OG0000128	Syar.g_00482	Praa.g_00011
OG0000129	Syar.g_00324	Praa.g_00044
OG0000130	Syar.g_03040	Praa.g_00069
OG0000131	Syar.g_02216, Syar.g_00078	Praa.g_00145
OG0000132	Syar.g_00099	Praa.g_00164
OG0000133	Syar.g_02543	Praa.g_00322
OG0000134	Syar.g_02009, Syar.g_01165	Praa.g_00356
OG0000135	Syar.g_00698	Praa.g_00381
OG0000136	Syar.g_02874	Praa.g_00440
OG0000137	Syar.g_01273	Praa.g_00475
OG0000138	Syar.g_01486	Praa.g_00495
OG0000139	Syar.g_03245, Syar.g_02348	Praa.g_00537
OG0000140	Syar.g_02344, Syar.g_03246	Praa.g_00538
OG0000141	Syar.g_02129	Praa.g_00607
OG0000142	Syar.g_02418	Praa.g_00635
OG0000143	Syar.g_02422	Praa.g_00639
OG0000144	Syar.g_02441	Praa.g_00652
OG0000145	Syar.g_01494, Syar.g_03205	Praa.g_00764
OG0000146	Syar.g_02549	Praa.g_00767
OG0000147	Syar.g_02550	Praa.g_00768
OG0000148	Syar.g_02658	Praa.g_00820
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Praa.g_00851
OG0000150	Syar.g_02130	Praa.g_00859
OG0000151	Syar.g_02038	Praa.g_00917
OG0000152	Syar.g_02539	Praa.g_00964
OG0000153	Syar.g_03283, Syar.g_02503	Praa.g_00983
OG0000154	Syar.g_01800	Praa.g_01013
OG0000155	Syar.g_01959	Praa.g_01179
OG0000156	Syar.g_01517	Praa.g_01307
OG0000157	Syar.g_01516	Praa.g_01308
OG0000158	Syar.g_00650	Praa.g_01395
OG0000160	Syar.g_02807	Praa.g_01477
OG0000161	Syar.g_02801	Praa.g_01483
OG0000162	Syar.g_02863	Praa.g_01489
OG0000163	Syar.g_00639, Syar.g_01186	Praa.g_01523
OG0000164	Syar.g_03168, Syar.g_02969	Praa.g_01659
OG0000165	Syar.g_02976	Praa.g_01667
OG0000166	Syar.g_01034	Praa.g_01739
OG0000167	Syar.g_00662	Praa.g_01806
OG0000168	Syar.g_00246	Praa.g_01816
OG0000169	Syar.g_00262	Praa.g_01826
OG0000170	Syar.g_00613	Praa.g_01828
OG0000171	Syar.g_00587	Praa.g_01847
OG0000172	Syar.g_00547	Praa.g_01856
OG0000173	Syar.g_00528	Praa.g_01871
OG0000174	Syar.g_00701	Praa.g_01898
OG0000175	Syar.g_00438	Praa.g_01908
OG0000176	Syar.g_00474	Praa.g_00004
OG0000177	Syar.g_00475	Praa.g_00005
OG0000178	Syar.g_00476	Praa.g_00006
OG0000179	Syar.g_00489	Praa.g_00016
OG0000180	Syar.g_00490	Praa.g_00017
OG0000181	Syar.g_00491	Praa.g_00018
OG0000182	Syar.g_00492	Praa.g_00019
OG0000183	Syar.g_00496	Praa.g_00023
OG0000184	Syar.g_00897	Praa.g_00046
OG0000185	Syar.g_00909	Praa.g_00049
OG0000186	Syar.g_03036	Praa.g_00064
OG0000187	Syar.g_03038	Praa.g_00065
OG0000188	Syar.g_03058	Praa.g_00082
OG0000189	Syar.g_03104	Praa.g_00096
OG0000190	Syar.g_03107, Syar.g_02374	Praa.g_00097
OG0000191	Syar.g_00039	Praa.g_00117
OG0000192	Syar.g_00046	Praa.g_00121
OG0000193	Syar.g_00079	Praa.g_00146
OG0000194	Syar.g_03236, Syar.g_00082	Praa.g_00149
OG0000195	Syar.g_00023, Syar.g_00084	Praa.g_00151
OG0000196	Syar.g_00096	Praa.g_00161
OG0000197	Syar.g_00097	Praa.g_00162
OG0000198	Syar.g_00098	Praa.g_00163
OG0000199	Syar.g_00106	Praa.g_00170
OG0000200	Syar.g_00124	Praa.g_00184
OG0000201	Syar.g_01000	Praa.g_00192
OG0000202	Syar.g_00998, Syar.g_00021	Praa.g_00193
OG0000203	Syar.g_00020, Syar.g_00997	Praa.g_00194
OG0000204	Syar.g_00996	Praa.g_00195
OG0000205	Syar.g_00988	Praa.g_00202
OG0000206	Syar.g_00963	Praa.g_00207
OG0000207	Syar.g_00957	Praa.g_00209
OG0000208	Syar.g_00956	Praa.g_00210
OG0000209	Syar.g_00936, Syar.g_03261	Praa.g_00219
OG0000210	Syar.g_00935, Syar.g_03260	Praa.g_00220
OG0000211	Syar.g_03026	Praa.g_00233
OG0000212	Syar.g_03017	Praa.g_00240
OG0000213	Syar.g_00187	Praa.g_00257
OG0000214	Syar.g_00209	Praa.g_00267
OG0000215	Syar.g_00239	Praa.g_00292
OG0000216	Syar.g_00244	Praa.g_00294
OG0000217	Syar.g_00854	Praa.g_00297
OG0000218	Syar.g_00852	Praa.g_00299
OG0000219	Syar.g_00851	Praa.g_00300
OG0000220	Syar.g_00850, Syar.g_02026	Praa.g_00301
OG0000221	Syar.g_00834	Praa.g_00302
OG0000222	Syar.g_02119, Syar.g_00728	Praa.g_00310
OG0000223	Syar.g_00649	Praa.g_00323
OG0000224	Syar.g_00762, Syar.g_00273	Praa.g_00325
OG0000225	Syar.g_01142	Praa.g_00345
OG0000226	Syar.g_01146	Praa.g_00349
OG0000227	Syar.g_01148	Praa.g_00351
OG0000228	Syar.g_01161	Praa.g_00354
OG0000229	Syar.g_01177, Syar.g_03273	Praa.g_00436
OG0000230	Syar.g_01179, Syar.g_03275	Praa.g_00437
OG0000231	Syar.g_02865, Syar.g_03151	Praa.g_00448
OG0000232	Syar.g_01424	Praa.g_00457
OG0000233	Syar.g_03183, Syar.g_01247	Praa.g_00463
OG0000234	Syar.g_01275	Praa.g_00476
OG0000235	Syar.g_01468	Praa.g_00479
OG0000236	Syar.g_03311, Syar.g_01484	Praa.g_00493
OG0000237	Syar.g_01503	Praa.g_00506
OG0000238	Syar.g_01508	Praa.g_00512
OG0000239	Syar.g_03277, Syar.g_02687	Praa.g_00525
OG0000240	Syar.g_03278, Syar.g_02686	Praa.g_00526
OG0000241	Syar.g_02410	Praa.g_00530
OG0000242	Syar.g_01926	Praa.g_00532
OG0000243	Syar.g_02335	Praa.g_00544
OG0000244	Syar.g_02327	Praa.g_00547
OG0000245	Syar.g_02325, Syar.g_03238	Praa.g_00549
OG0000246	Syar.g_02321	Praa.g_00553
OG0000247	Syar.g_02310	Praa.g_00563
OG0000248	Syar.g_02307, Syar.g_03293	Praa.g_00565
OG0000249	Syar.g_02305	Praa.g_00567
OG0000250	Syar.g_02299, Syar.g_03194	Praa.g_00572
OG0000251	Syar.g_03207, Syar.g_02194	Praa.g_00591
OG0000252	Syar.g_02189, Syar.g_03263	Praa.g_00594
OG0000253	Syar.g_02028, Syar.g_03229	Praa.g_00595
