Orthogroup	Prad	Syak
OG0000001	Prad.g_00609	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prad.g_01269	Syak.g_01219, Syak.g_00720
OG0000004	Prad.g_01759	Syak.g_00003, Syak.g_02297
OG0000005	Prad.g_00928	Syak.g_02401
OG0000005	Prad.g_00438	Syak.g_00885, Syak.g_02436
OG0000006	Prad.g_01750	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prad.g_00132	Syak.g_02595
OG0000007	Prad.g_00941	Syak.g_02416
OG0000009	Prad.g_01888	Syak.g_02194
OG0000010	Prad.g_01304, Prad.g_01011	Syak.g_01119
OG0000011	Prad.g_01212	Syak.g_00960
OG0000012	Prad.g_01412	Syak.g_00010
OG0000013	Prad.g_01664	Syak.g_01270, Syak.g_01275
OG0000014	Prad.g_01685	Syak.g_01505
OG0000015	Prad.g_01108	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prad.g_01973	Syak.g_01780
OG0000017	Prad.g_01387	Syak.g_02730, Syak.g_02738
OG0000018	Prad.g_01515	Syak.g_01072
OG0000019	Prad.g_01742, Prad.g_01125	Syak.g_01413
OG0000021	Prad.g_01981, Prad.g_00745	Syak.g_00566
OG0000022	Prad.g_01993	Syak.g_00088
OG0000023	Prad.g_00751	Syak.g_00316, Syak.g_00223
OG0000025	Prad.g_01660, Prad.g_01181	Syak.g_00610
OG0000026	Prad.g_01955, Prad.g_01004	Syak.g_01757
OG0000027	Prad.g_01298, Prad.g_00353	Syak.g_00127
OG0000028	Prad.g_01204, Prad.g_01671	Syak.g_01522
OG0000029	Prad.g_01096, Prad.g_00734	Syak.g_00169, Syak.g_00178
OG0000032	Prad.g_00572	Syak.g_01092
OG0000032	Prad.g_00561	Syak.g_01707
OG0000033	Prad.g_01822	Syak.g_02101
OG0000034	Prad.g_00618	Syak.g_00950, Syak.g_02133
OG0000035	Prad.g_00515	Syak.g_01041, Syak.g_01040
OG0000037	Prad.g_01884	Syak.g_02188
OG0000038	Prad.g_01582	Syak.g_01938, Syak.g_01936
OG0000039	Prad.g_01260	Syak.g_00772, Syak.g_01918
OG0000040	Prad.g_01516	Syak.g_01852
OG0000041	Prad.g_00894	Syak.g_02354, Syak.g_00752
OG0000042	Prad.g_01624	Syak.g_00843, Syak.g_01681
OG0000043	Prad.g_00313, Prad.g_00276	Syak.g_00335
OG0000044	Prad.g_01213	Syak.g_00767, Syak.g_00153
OG0000045	Prad.g_00738	Syak.g_00228
OG0000047	Prad.g_01661, Prad.g_00683	Syak.g_01147
OG0000048	Prad.g_00735	Syak.g_01446
OG0000050	Prad.g_01291	Syak.g_00106
OG0000052	Prad.g_00571	Syak.g_01549
OG0000053	Prad.g_00494	Syak.g_01068
OG0000054	Prad.g_01395	Syak.g_02744, Syak.g_02321
OG0000055	Prad.g_01126	Syak.g_00766
OG0000057	Prad.g_01272	Syak.g_00724, Syak.g_01676
OG0000058	Prad.g_00565	Syak.g_01530
OG0000059	Prad.g_00855	Syak.g_01355
OG0000061	Prad.g_01496	Syak.g_00898
OG0000062	Prad.g_00436	Syak.g_02434
OG0000063	Prad.g_01953, Prad.g_00081	Syak.g_01752
OG0000065	Prad.g_01886	Syak.g_02192, Syak.g_00282
OG0000066	Prad.g_00090	Syak.g_02653
OG0000067	Prad.g_01146	Syak.g_00434
OG0000068	Prad.g_00594	Syak.g_02565
OG0000070	Prad.g_00057	Syak.g_01174
OG0000071	Prad.g_00628	Syak.g_02322, Syak.g_00936
OG0000072	Prad.g_01820	Syak.g_02099
OG0000073	Prad.g_00130	Syak.g_02597
OG0000075	Prad.g_00775	Syak.g_01564
OG0000076	Prad.g_01631	Syak.g_01650
OG0000077	Prad.g_01915	Syak.g_02243
OG0000078	Prad.g_01752	Syak.g_02310
OG0000079	Prad.g_01739	Syak.g_01417
OG0000080	Prad.g_00560	Syak.g_01585, Syak.g_01583
OG0000081	Prad.g_00098	Syak.g_00115
OG0000082	Prad.g_01374	Syak.g_02711
OG0000084	Prad.g_00519	Syak.g_01036
OG0000085	Prad.g_00948	Syak.g_02427
OG0000086	Prad.g_01905	Syak.g_02219
OG0000087	Prad.g_01854	Syak.g_02141
OG0000088	Prad.g_01825	Syak.g_02106
OG0000089	Prad.g_00755	Syak.g_01215
OG0000090	Prad.g_00096	Syak.g_02640
OG0000091	Prad.g_01431	Syak.g_00043
OG0000093	Prad.g_00218	Syak.g_00416
OG0000094	Prad.g_01038	Syak.g_00656
OG0000095	Prad.g_01018	Syak.g_00736
OG0000097	Prad.g_01454	Syak.g_00816
OG0000098	Prad.g_00612	Syak.g_00345, Syak.g_02651
OG0000099	Prad.g_00566	Syak.g_01527
OG0000100	Prad.g_00440	Syak.g_00622
OG0000101	Prad.g_00807	Syak.g_01305
OG0000102	Prad.g_01626	Syak.g_01661
OG0000103	Prad.g_01548	Syak.g_01812
OG0000104	Prad.g_01540	Syak.g_01799
OG0000105	Prad.g_01717	Syak.g_01451
OG0000106	Prad.g_00739	Syak.g_00096
OG0000107	Prad.g_00724	Syak.g_01392
OG0000108	Prad.g_00027	Syak.g_02574
OG0000109	Prad.g_00013	Syak.g_01061, Syak.g_02590
OG0000110	Prad.g_01364	Syak.g_02698
OG0000111	Prad.g_01273	Syak.g_00725
OG0000112	Prad.g_01109	Syak.g_00512
OG0000113	Prad.g_01168	Syak.g_00461
OG0000114	Prad.g_00245	Syak.g_00373, Syak.g_00065
OG0000115	Prad.g_00641	Syak.g_01066
OG0000116	Prad.g_01506	Syak.g_00911
OG0000117	Prad.g_01214	Syak.g_00846
OG0000118	Prad.g_00616	Syak.g_00954
OG0000119	Prad.g_00598	Syak.g_00917
OG0000120	Prad.g_00564	Syak.g_01526
