Orthogroup	Prad	Syan
OG0000001	Prad.g_00609	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528
OG0000004	Prad.g_01269	Syan.g_00183
OG0000004	Prad.g_01759	Syan.g_00989
OG0000005	Prad.g_00928	Syan.g_01423
OG0000005	Prad.g_00438	Syan.g_01378
OG0000006	Prad.g_01750	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prad.g_00132	Syan.g_02743
OG0000007	Prad.g_00941	Syan.g_01400
OG0000009	Prad.g_00317, Prad.g_00401, Prad.g_01888	Syan.g_02972
OG0000010	Prad.g_01304, Prad.g_01011	Syan.g_02847
OG0000012	Prad.g_01412	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000013	Prad.g_01664	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prad.g_01685	Syan.g_01987
OG0000015	Prad.g_01108	Syan.g_01691, Syan.g_00248
OG0000016	Prad.g_01973	Syan.g_01766
OG0000017	Prad.g_01387	Syan.g_01006, Syan.g_01013
OG0000018	Prad.g_01515	Syan.g_02816
OG0000019	Prad.g_01742, Prad.g_01125	Syan.g_02088
OG0000021	Prad.g_01981, Prad.g_00745	Syan.g_01001
OG0000022	Prad.g_01993	Syan.g_00089
OG0000023	Prad.g_00751	Syan.g_00404
OG0000025	Prad.g_01660, Prad.g_01181	Syan.g_00374
OG0000026	Prad.g_01955, Prad.g_01004	Syan.g_01743
OG0000027	Prad.g_01298, Prad.g_00353	Syan.g_02678
OG0000028	Prad.g_01204, Prad.g_01671	Syan.g_01971
OG0000032	Prad.g_00572	Syan.g_02835
OG0000032	Prad.g_00561	Syan.g_01819
OG0000034	Prad.g_00618	Syan.g_01227, Syan.g_03003
OG0000035	Prad.g_00515	Syan.g_01279, Syan.g_01276
OG0000037	Prad.g_01884	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prad.g_01582	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prad.g_01260	Syan.g_02771, Syan.g_00535
OG0000040	Prad.g_01516	Syan.g_01651
OG0000041	Prad.g_00894	Syan.g_00302, Syan.g_01465
OG0000042	Prad.g_01624	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Prad.g_01213	Syan.g_00431, Syan.g_00435, Syan.g_01065
OG0000045	Prad.g_00738	Syan.g_00151
OG0000048	Prad.g_00735	Syan.g_02036
OG0000052	Prad.g_00571	Syan.g_01954, Syan.g_01953
OG0000053	Prad.g_00494	Syan.g_02812
OG0000054	Prad.g_01395	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000055	Prad.g_01126	Syan.g_00312
OG0000057	Prad.g_01272	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000058	Prad.g_00565	Syan.g_01964, Syan.g_01128, Syan.g_01124
OG0000059	Prad.g_00855	Syan.g_02255
OG0000061	Prad.g_01496	Syan.g_02696
OG0000062	Prad.g_00436	Syan.g_01380
OG0000063	Prad.g_01953, Prad.g_00081	Syan.g_01739
OG0000065	Prad.g_01886	Syan.g_02974
OG0000066	Prad.g_00090	Syan.g_01156
OG0000067	Prad.g_01146	Syan.g_00690
OG0000068	Prad.g_00594	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prad.g_00952, Prad.g_00400	Syan.g_00459, Syan.g_00278
OG0000070	Prad.g_00057	Syan.g_00289
OG0000071	Prad.g_00628	Syan.g_01213
OG0000072	Prad.g_01820	Syan.g_03038, Syan.g_02999
OG0000073	Prad.g_00130	Syan.g_02741
OG0000075	Prad.g_00775	Syan.g_00981, Syan.g_01937
OG0000076	Prad.g_01631	Syan.g_01896
OG0000077	Prad.g_01915	Syan.g_02919, Syan.g_02579
OG0000078	Prad.g_01752	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Prad.g_01739	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prad.g_01374	Syan.g_00952
OG0000084	Prad.g_00519	Syan.g_01283
OG0000085	Prad.g_00948	Syan.g_01387
OG0000086	Prad.g_01905	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prad.g_01854	Syan.g_02268
OG0000088	Prad.g_01825	Syan.g_03031
OG0000089	Prad.g_00755	Syan.g_02316
OG0000090	Prad.g_00096	Syan.g_01166
OG0000091	Prad.g_01431	Syan.g_00235, Syan.g_00808
OG0000093	Prad.g_00218	Syan.g_00708
OG0000094	Prad.g_01038	Syan.g_00353, Syan.g_00065
OG0000095	Prad.g_01018	Syan.g_00290
OG0000097	Prad.g_01454	Syan.g_00160, Syan.g_00733
OG0000098	Prad.g_00612	Syan.g_00043
OG0000099	Prad.g_00566	Syan.g_01968
OG0000100	Prad.g_00440	Syan.g_00658
OG0000101	Prad.g_00807	Syan.g_02199
OG0000102	Prad.g_01626	Syan.g_01891
OG0000103	Prad.g_01548	Syan.g_01692
OG0000104	Prad.g_01540	Syan.g_01792
OG0000105	Prad.g_01717	Syan.g_02031
OG0000106	Prad.g_00739	Syan.g_00076
OG0000107	Prad.g_00724	Syan.g_02106
OG0000108	Prad.g_00027	Syan.g_02764
OG0000109	Prad.g_00013	Syan.g_02748
OG0000110	Prad.g_01364	Syan.g_00171, Syan.g_00882
OG0000111	Prad.g_01273	Syan.g_00187
OG0000112	Prad.g_01109	Syan.g_00556, Syan.g_00252
OG0000113	Prad.g_01168	Syan.g_00664
OG0000114	Prad.g_00245	Syan.g_00741
OG0000115	Prad.g_00641	Syan.g_02810
OG0000116	Prad.g_01506	Syan.g_02710, Syan.g_00460
OG0000117	Prad.g_01214	Syan.g_02644
OG0000118	Prad.g_00616	Syan.g_01241, Syan.g_01237
OG0000119	Prad.g_00598	Syan.g_02672
OG0000120	Prad.g_00564	Syan.g_01966
OG0000121	Prad.g_00513	Syan.g_01273
OG0000123	Prad.g_00800	Syan.g_02190
OG0000124	Prad.g_01616	Syan.g_01873
OG0000125	Prad.g_01580	Syan.g_01573
OG0000126	Prad.g_01541	Syan.g_01705
OG0000128	Prad.g_01975	Syan.g_01768
OG0000129	Prad.g_01943	Syan.g_01563
OG0000130	Prad.g_01924	Syan.g_02906, Syan.g_02907
OG0000131	Prad.g_01846	Syan.g_03008
OG0000132	Prad.g_01827	Syan.g_03029
OG0000133	Prad.g_01669	Syan.g_00561
OG0000134	Prad.g_00754	Syan.g_02319
OG0000135	Prad.g_00727	Syan.g_01616
OG0000136	Prad.g_00066	Syan.g_01342
OG0000137	Prad.g_00032	Syan.g_02846
OG0000138	Prad.g_00012	Syan.g_02747
OG0000139	Prad.g_00092	Syan.g_01160
OG0000140	Prad.g_00091	Syan.g_00042
OG0000141	Prad.g_01396	Syan.g_01032
OG0000142	Prad.g_01424	Syan.g_00816
OG0000143	Prad.g_01428	Syan.g_00812
OG0000144	Prad.g_01226	Syan.g_00782
OG0000145	Prad.g_01107	Syan.g_02740
OG0000146	Prad.g_01110	Syan.g_00555, Syan.g_00253
OG0000147	Prad.g_01111	Syan.g_00254, Syan.g_00554
